support_name,source_support,raw_sector,i,j,relation_alpha,coefficient_mod_1000003
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,614,791018
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,615,626955
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,616,208985
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,617,791018
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,618,373048
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,619,208985
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,620,373048
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,621,208985
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,622,791018
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,623,208985
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,624,791018
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,625,626955
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,626,626955
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,627,208985
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,628,791018
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,629,626955
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,630,373048
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,631,208985
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,632,791018
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,633,373048
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,634,208985
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,635,208985
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,636,373048
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,637,208985
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,638,791018
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,639,791018
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,640,208985
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,641,208985
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,642,373048
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,643,791018
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,644,208985
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,645,791018
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,646,626955
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,647,791018
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,648,208985
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,649,791018
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,650,791018
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,651,208985
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,652,791018
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,653,208985
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,654,626955
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,655,373048
pure_Sminus_doublet_25_26,"{25,26}",29,0,0,656,626955
mixed_S_channel_6_26,"{6,26}",9,0,0,613,208985
mixed_S_channel_6_26,"{6,26}",9,0,0,614,208985
mixed_S_channel_6_26,"{6,26}",9,0,0,615,373048
mixed_S_channel_6_26,"{6,26}",9,0,0,616,791018
mixed_S_channel_6_26,"{6,26}",9,0,0,617,208985
mixed_S_channel_6_26,"{6,26}",9,0,0,618,119141
mixed_S_channel_6_26,"{6,26}",9,0,0,619,626955
mixed_S_channel_6_26,"{6,26}",9,0,0,620,626955
mixed_S_channel_6_26,"{6,26}",9,0,0,621,791018
mixed_S_channel_6_26,"{6,26}",9,0,0,622,208985
mixed_S_channel_6_26,"{6,26}",9,0,0,623,791018
mixed_S_channel_6_26,"{6,26}",9,0,0,624,208985
mixed_S_channel_6_26,"{6,26}",9,0,0,625,373048
mixed_S_channel_6_26,"{6,26}",9,0,0,626,373048
mixed_S_channel_6_26,"{6,26}",9,0,0,627,626955
mixed_S_channel_6_26,"{6,26}",9,0,0,628,208985
mixed_S_channel_6_26,"{6,26}",9,0,0,629,373048
mixed_S_channel_6_26,"{6,26}",9,0,0,630,119141
mixed_S_channel_6_26,"{6,26}",9,0,0,631,791018
mixed_S_channel_6_26,"{6,26}",9,0,0,632,208985
mixed_S_channel_6_26,"{6,26}",9,0,0,633,626955
mixed_S_channel_6_26,"{6,26}",9,0,0,634,791018
mixed_S_channel_6_26,"{6,26}",9,0,0,635,626955
mixed_S_channel_6_26,"{6,26}",9,0,0,636,119141
mixed_S_channel_6_26,"{6,26}",9,0,0,637,626955
mixed_S_channel_6_26,"{6,26}",9,0,0,638,208985
mixed_S_channel_6_26,"{6,26}",9,0,0,639,208985
mixed_S_channel_6_26,"{6,26}",9,0,0,640,791018
mixed_S_channel_6_26,"{6,26}",9,0,0,641,791018
mixed_S_channel_6_26,"{6,26}",9,0,0,642,626955
mixed_S_channel_6_26,"{6,26}",9,0,0,643,373048
mixed_S_channel_6_26,"{6,26}",9,0,0,644,791018
mixed_S_channel_6_26,"{6,26}",9,0,0,645,373048
mixed_S_channel_6_26,"{6,26}",9,0,0,646,880862
mixed_S_channel_6_26,"{6,26}",9,0,0,647,373048
mixed_S_channel_6_26,"{6,26}",9,0,0,648,791018
mixed_S_channel_6_26,"{6,26}",9,0,0,649,373048
mixed_S_channel_6_26,"{6,26}",9,0,0,650,373048
mixed_S_channel_6_26,"{6,26}",9,0,0,651,791018
mixed_S_channel_6_26,"{6,26}",9,0,0,652,208985
mixed_S_channel_6_26,"{6,26}",9,0,0,653,626955
mixed_S_channel_6_26,"{6,26}",9,0,0,654,880862
mixed_S_channel_6_26,"{6,26}",9,0,0,655,626955
mixed_S_channel_6_26,"{6,26}",9,0,0,656,880862
mixed_S_channel_6_26,"{6,26}",9,0,1,657,801600
mixed_S_channel_6_26,"{6,26}",9,0,1,658,801600
mixed_S_channel_6_26,"{6,26}",9,0,1,659,801600
mixed_S_channel_6_26,"{6,26}",9,0,1,660,595209
mixed_S_channel_6_26,"{6,26}",9,0,1,661,198403
mixed_S_channel_6_26,"{6,26}",9,0,1,662,595209
mixed_S_channel_6_26,"{6,26}",9,0,1,663,801600
mixed_S_channel_6_26,"{6,26}",9,0,1,664,404794
mixed_S_channel_6_26,"{6,26}",9,0,1,665,404794
mixed_S_channel_6_26,"{6,26}",9,0,1,666,801600
mixed_S_channel_6_26,"{6,26}",9,0,1,667,801600
mixed_S_channel_6_26,"{6,26}",9,0,1,668,198403
mixed_S_channel_6_26,"{6,26}",9,0,1,669,198403
mixed_S_channel_6_26,"{6,26}",9,0,1,670,198403
mixed_S_channel_6_26,"{6,26}",9,0,1,671,198403
mixed_S_channel_6_26,"{6,26}",9,0,1,672,595209
mixed_S_channel_6_26,"{6,26}",9,0,1,673,801600
mixed_S_channel_6_26,"{6,26}",9,0,1,674,595209
mixed_S_channel_6_26,"{6,26}",9,0,1,675,801600
mixed_S_channel_6_26,"{6,26}",9,0,1,676,595209
mixed_S_channel_6_26,"{6,26}",9,0,1,677,801600
mixed_S_channel_6_26,"{6,26}",9,0,1,678,801600
mixed_S_channel_6_26,"{6,26}",9,0,1,679,595209
mixed_S_channel_6_26,"{6,26}",9,0,1,680,801600
mixed_S_channel_6_26,"{6,26}",9,0,1,681,801600
mixed_S_channel_6_26,"{6,26}",9,0,1,682,198403
mixed_S_channel_6_26,"{6,26}",9,0,1,683,198403
mixed_S_channel_6_26,"{6,26}",9,0,1,684,404794
mixed_S_channel_6_26,"{6,26}",9,0,1,685,404794
mixed_S_channel_6_26,"{6,26}",9,0,1,686,198403
mixed_S_channel_6_26,"{6,26}",9,0,1,687,801600
mixed_S_channel_6_26,"{6,26}",9,0,1,688,801600
mixed_S_channel_6_26,"{6,26}",9,0,1,689,801600
mixed_S_channel_6_26,"{6,26}",9,0,1,690,198403
mixed_S_channel_6_26,"{6,26}",9,0,1,691,198403
mixed_S_channel_6_26,"{6,26}",9,0,1,692,198403
mixed_S_channel_6_26,"{6,26}",9,0,1,693,404794
mixed_S_channel_6_26,"{6,26}",9,0,1,694,198403
mixed_S_channel_6_26,"{6,26}",9,0,1,695,198403
mixed_S_channel_6_26,"{6,26}",9,0,1,696,198403
mixed_S_channel_6_26,"{6,26}",9,0,1,697,198403
mixed_S_channel_6_26,"{6,26}",9,0,1,698,198403
mixed_S_channel_6_26,"{6,26}",9,0,1,699,801600
mixed_S_channel_6_26,"{6,26}",9,0,1,700,404794
mixed_S_channel_6_26,"{6,26}",9,1,0,837,1
mixed_S_channel_6_26,"{6,26}",9,1,0,838,1000000
mixed_S_channel_6_26,"{6,26}",9,1,0,839,1
mixed_S_channel_6_26,"{6,26}",9,1,0,840,1
mixed_S_channel_6_26,"{6,26}",9,1,0,841,1
mixed_S_channel_6_26,"{6,26}",9,1,0,842,1000002
mixed_S_channel_6_26,"{6,26}",9,1,0,843,1
mixed_S_channel_6_26,"{6,26}",9,1,0,844,1
mixed_S_channel_6_26,"{6,26}",9,1,0,845,3
mixed_S_channel_6_26,"{6,26}",9,1,0,846,1000000
mixed_S_channel_6_26,"{6,26}",9,1,0,847,1
mixed_S_channel_6_26,"{6,26}",9,1,0,848,1
mixed_S_channel_6_26,"{6,26}",9,1,0,849,3
mixed_S_channel_6_26,"{6,26}",9,1,0,850,1000002
mixed_S_channel_6_26,"{6,26}",9,1,0,851,1000000
mixed_S_channel_6_26,"{6,26}",9,1,0,852,1000002
mixed_S_channel_6_26,"{6,26}",9,1,0,853,1
mixed_S_channel_6_26,"{6,26}",9,1,0,854,1000002
mixed_S_channel_6_26,"{6,26}",9,1,0,855,1000002
mixed_S_channel_6_26,"{6,26}",9,1,0,856,1000002
mixed_S_channel_6_26,"{6,26}",9,1,0,857,3
mixed_S_channel_6_26,"{6,26}",9,1,0,858,1000002
mixed_S_channel_6_26,"{6,26}",9,1,0,859,1000002
mixed_S_channel_6_26,"{6,26}",9,1,0,860,3
mixed_S_channel_6_26,"{6,26}",9,1,0,861,1000002
mixed_S_channel_6_26,"{6,26}",9,1,0,862,1000002
mixed_S_channel_6_26,"{6,26}",9,1,0,863,1000002
mixed_S_channel_6_26,"{6,26}",9,1,0,864,1000002
mixed_S_channel_6_26,"{6,26}",9,1,0,865,1000002
mixed_S_channel_6_26,"{6,26}",9,1,0,866,3
mixed_S_channel_6_26,"{6,26}",9,1,0,867,1
mixed_S_channel_6_26,"{6,26}",9,1,0,868,1000000
mixed_S_channel_6_26,"{6,26}",9,1,0,869,1
mixed_S_channel_6_26,"{6,26}",9,1,0,870,1
mixed_S_channel_6_26,"{6,26}",9,1,0,871,1
mixed_S_channel_6_26,"{6,26}",9,1,0,872,1
mixed_S_channel_6_26,"{6,26}",9,1,0,873,3
mixed_S_channel_6_26,"{6,26}",9,1,0,874,1000002
mixed_S_channel_6_26,"{6,26}",9,1,0,875,1000002
mixed_S_channel_6_26,"{6,26}",9,1,0,876,1000002
mixed_S_channel_6_26,"{6,26}",9,1,0,877,1
mixed_S_channel_6_26,"{6,26}",9,1,0,878,1
mixed_S_channel_6_26,"{6,26}",9,1,0,879,1000000
mixed_S_channel_6_26,"{6,26}",9,1,0,880,1000000
mixed_S_channel_6_26,"{6,26}",9,1,1,886,582033
mixed_S_channel_6_26,"{6,26}",9,1,1,890,582033
mixed_S_channel_6_26,"{6,26}",9,1,1,893,746096
mixed_S_channel_6_26,"{6,26}",9,1,1,895,253907
mixed_S_channel_6_26,"{6,26}",9,1,1,896,417970
mixed_S_channel_6_26,"{6,26}",9,1,1,897,582033
mixed_S_channel_6_26,"{6,26}",9,1,1,907,417970
mixed_S_channel_6_26,"{6,26}",9,1,1,908,582033
mixed_S_channel_6_26,"{6,26}",9,1,1,909,417970
mixed_S_channel_6_26,"{6,26}",9,1,1,910,746096
mixed_S_channel_6_26,"{6,26}",9,1,1,912,253907
mixed_S_channel_6_26,"{6,26}",9,1,1,916,417970
mixed_S_channel_6_26,"{6,26}",9,1,1,917,746096
mixed_S_channel_6_26,"{6,26}",9,1,1,921,417970
mixed_S_channel_6_26,"{6,26}",9,1,1,923,746096
mixed_S_channel_6_26,"{6,26}",9,1,1,926,417970
mixed_S_channel_6_26,"{6,26}",9,1,1,927,582033
mixed_S_channel_6_26,"{6,26}",9,1,1,928,582033
mixed_S_channel_6_26,"{6,26}",9,1,1,930,582033
mixed_S_channel_6_26,"{6,26}",9,1,1,932,253907
mixed_S_channel_6_26,"{6,26}",9,1,1,934,746096
mixed_S_channel_6_26,"{6,26}",9,1,1,935,417970
mixed_S_channel_6_26,"{6,26}",9,1,1,938,417970
mixed_S_channel_6_26,"{6,26}",9,1,1,940,253907
mixed_S_channel_6_26,"{6,26}",9,1,1,941,582033
mixed_S_channel_6_26,"{6,26}",9,1,1,943,582033
mixed_S_channel_6_26,"{6,26}",9,1,1,945,417970
mixed_S_channel_6_26,"{6,26}",9,1,1,951,417970
mixed_S_channel_6_26,"{6,26}",9,1,1,954,582033
mixed_S_channel_6_26,"{6,26}",9,1,1,955,746096
mixed_S_channel_6_26,"{6,26}",9,1,1,956,746096
mixed_S_channel_6_26,"{6,26}",9,1,1,960,582033
mixed_S_channel_6_26,"{6,26}",9,1,1,961,253907
mixed_S_channel_6_26,"{6,26}",9,1,1,962,582033
mixed_S_channel_6_26,"{6,26}",9,1,1,964,417970
mixed_S_channel_6_26,"{6,26}",9,1,1,965,746096
mixed_S_channel_6_26,"{6,26}",9,1,1,969,417970
mixed_S_channel_6_26,"{6,26}",9,1,1,973,253907
mixed_S_channel_6_26,"{6,26}",9,1,1,975,253907
mixed_S_channel_6_26,"{6,26}",9,1,1,977,746096
mixed_S_channel_6_26,"{6,26}",9,1,1,978,746096
mixed_S_channel_6_26,"{6,26}",9,1,1,981,253907
mixed_S_channel_6_26,"{6,26}",9,1,1,982,253907
mixed_S_channel_6_26,"{6,26}",9,1,1,983,253907
mixed_S_channel_6_26,"{6,26}",29,0,0,613,791018
mixed_S_channel_6_26,"{6,26}",29,0,0,614,791018
mixed_S_channel_6_26,"{6,26}",29,0,0,615,626955
mixed_S_channel_6_26,"{6,26}",29,0,0,616,208985
mixed_S_channel_6_26,"{6,26}",29,0,0,617,791018
mixed_S_channel_6_26,"{6,26}",29,0,0,618,373048
mixed_S_channel_6_26,"{6,26}",29,0,0,619,208985
mixed_S_channel_6_26,"{6,26}",29,0,0,620,373048
mixed_S_channel_6_26,"{6,26}",29,0,0,621,208985
mixed_S_channel_6_26,"{6,26}",29,0,0,622,791018
mixed_S_channel_6_26,"{6,26}",29,0,0,623,208985
mixed_S_channel_6_26,"{6,26}",29,0,0,624,791018
mixed_S_channel_6_26,"{6,26}",29,0,0,625,626955
mixed_S_channel_6_26,"{6,26}",29,0,0,626,626955
mixed_S_channel_6_26,"{6,26}",29,0,0,627,208985
mixed_S_channel_6_26,"{6,26}",29,0,0,628,791018
mixed_S_channel_6_26,"{6,26}",29,0,0,629,626955
mixed_S_channel_6_26,"{6,26}",29,0,0,630,373048
mixed_S_channel_6_26,"{6,26}",29,0,0,631,208985
mixed_S_channel_6_26,"{6,26}",29,0,0,632,791018
mixed_S_channel_6_26,"{6,26}",29,0,0,633,373048
mixed_S_channel_6_26,"{6,26}",29,0,0,634,208985
mixed_S_channel_6_26,"{6,26}",29,0,0,635,208985
mixed_S_channel_6_26,"{6,26}",29,0,0,636,373048
mixed_S_channel_6_26,"{6,26}",29,0,0,637,208985
mixed_S_channel_6_26,"{6,26}",29,0,0,638,791018
mixed_S_channel_6_26,"{6,26}",29,0,0,639,791018
mixed_S_channel_6_26,"{6,26}",29,0,0,640,208985
mixed_S_channel_6_26,"{6,26}",29,0,0,641,208985
mixed_S_channel_6_26,"{6,26}",29,0,0,642,373048
mixed_S_channel_6_26,"{6,26}",29,0,0,643,791018
mixed_S_channel_6_26,"{6,26}",29,0,0,644,208985
mixed_S_channel_6_26,"{6,26}",29,0,0,645,791018
mixed_S_channel_6_26,"{6,26}",29,0,0,646,626955
mixed_S_channel_6_26,"{6,26}",29,0,0,647,791018
mixed_S_channel_6_26,"{6,26}",29,0,0,648,208985
mixed_S_channel_6_26,"{6,26}",29,0,0,649,791018
mixed_S_channel_6_26,"{6,26}",29,0,0,650,791018
mixed_S_channel_6_26,"{6,26}",29,0,0,651,208985
mixed_S_channel_6_26,"{6,26}",29,0,0,652,791018
mixed_S_channel_6_26,"{6,26}",29,0,0,653,208985
mixed_S_channel_6_26,"{6,26}",29,0,0,654,626955
mixed_S_channel_6_26,"{6,26}",29,0,0,655,373048
mixed_S_channel_6_26,"{6,26}",29,0,0,656,626955
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,613,208985
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,614,208985
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,615,208985
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,616,791018
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,617,208985
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,618,791018
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,619,791018
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,620,791018
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,621,791018
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,622,208985
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,623,791018
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,624,208985
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,625,208985
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,626,208985
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,627,791018
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,628,208985
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,629,208985
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,630,791018
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,631,791018
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,632,208985
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,633,791018
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,634,791018
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,635,791018
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,636,791018
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,637,791018
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,638,208985
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,639,208985
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,640,791018
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,641,791018
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,642,791018
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,643,208985
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,644,791018
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,645,208985
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,646,208985
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,647,208985
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,648,791018
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,649,208985
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,650,208985
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,651,791018
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,652,208985
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,653,791018
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,654,208985
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,655,791018
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",30,0,0,656,208985
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",29,0,0,613,791018
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",29,0,0,614,791018
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",29,0,0,615,626955
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",29,0,0,616,208985
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",29,0,0,617,791018
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",29,0,0,618,373048
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",29,0,0,619,208985
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",29,0,0,620,373048
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",29,0,0,621,208985
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",29,0,0,622,791018
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",29,0,0,623,208985
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",29,0,0,624,791018
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",29,0,0,625,626955
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",29,0,0,626,626955
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",29,0,0,627,208985
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",29,0,0,628,791018
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",29,0,0,629,626955
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",29,0,0,630,373048
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",29,0,0,631,208985
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",29,0,0,632,791018
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",29,0,0,633,373048
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",29,0,0,634,208985
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",29,0,0,635,208985
Pi33_plus_pure_Sminus_doublet,"{25,26,33}",29,0,0,636,373048
