edge_mod2_height_gap,count
2592768,1
2598912,5
2605056,6
2617344,5
2623488,3
2635776,2
2641920,2
2648064,1
2654208,4
2660352,2
2666496,8
2672640,5
2678784,5
2684928,1
2691072,2
2697216,5
2703360,1
2709504,3
2715648,2
2721792,5
2727936,6
2734080,8
2746368,3
2752512,2
2764800,5
2770944,3
2789376,2
2795520,1
2801664,1
2807808,3
2813952,5
2820096,5
2826240,2
2832384,4
2838528,4
2844672,6
2850816,3
2856960,6
2863104,15
2869248,3
2875392,5
2881536,3
2887680,2
2893824,2
2899968,7
2912256,5
2918400,7
2924544,1
2930688,5
2936832,1
2949120,6
2955264,4
2961408,4
2967552,2
2973696,9
2979840,1
2985984,2
2992128,4
2998272,4
3004416,5
3010560,7
3016704,1
3022848,4
3028992,2
3035136,1
3041280,3
3053568,3
3059712,10
3065856,1
3072000,3
3078144,3
3084288,1
3096576,8
3102720,2
3108864,1
3115008,7
3121152,2
3133440,5
3139584,2
3145728,1
3151872,2
3158016,5
3164160,3
3170304,5
3176448,3
3188736,6
3194880,2
3207168,3
3213312,2
3225600,8
3237888,2
3244032,3
3250176,6
3256320,2
3262464,6
3280896,13
3287040,2
3299328,3
3305472,1
3311616,5
3317760,9
3336192,5
3342336,2
3348480,1
3354624,3
3360768,2
3366912,3
3373056,7
3391488,9
3397632,2
3403776,4
3409920,2
3416064,1
3422208,3
3428352,9
3434496,2
3440640,1
3446784,9
3452928,3
3459072,7
3465216,3
3471360,4
3477504,1
3483648,1
3495936,1
3502080,6
3508224,4
3514368,2
3520512,5
3526656,1
3538944,1
3551232,4
3557376,3
3563520,2
3569664,3
3575808,1
3581952,1
3588096,2
3594240,3
3600384,2
3612672,8
3618816,2
3624960,3
3631104,3
3637248,1
3643392,8
3649536,5
3655680,4
3661824,2
3674112,1
3686400,5
3692544,4
3698688,1
3704832,6
3710976,1
3717120,3
3723264,10
3729408,1
3735552,3
3741696,5
3753984,3
3760128,13
3766272,3
3772416,2
3778560,3
3790848,2
3796992,4
3809280,2
3815424,4
3827712,1
3833856,3
3840000,3
3852288,4
3858432,2
3864576,1
3870720,4
3876864,3
3889152,2
3901440,6
3907584,7
3913728,1
3926016,1
3932160,2
3938304,3
3944448,4
3950592,1
3956736,2
3962880,2
3975168,1
3981312,8
3987456,2
3993600,2
3999744,2
4005888,1
4012032,1
4018176,12
4024320,1
4036608,3
4042752,1
4048896,3
4055040,4
4067328,2
4073472,8
4085760,1
4091904,4
4104192,3
4110336,1
4122624,1
4128768,2
4134912,1
4141056,1
4147200,1
4153344,1
4159488,7
4165632,3
4184064,4
4202496,9
4208640,1
4214784,4
4220928,4
4233216,2
4239360,2
4245504,3
4257792,4
4270080,2
4276224,1
4288512,2
4294656,5
4300800,1
4306944,1
4313088,3
4325376,2
4331520,3
4343808,1
4349952,4
4356096,2
4362240,1
4368384,2
4374528,1
4380672,6
4386816,1
4411392,2
4417536,1
4435968,1
4442112,1
4460544,2
4466688,2
4472832,1
4478976,1
4485120,1
4491264,2
4497408,4
4509696,6
4515840,1
4521984,2
4534272,1
4546560,2
4552704,4
4558848,1
4564992,2
4571136,1
4577280,1
4583424,1
4589568,1
4595712,1
4601856,2
4608000,3
4626432,1
4632576,1
4638720,2
4644864,1
4651008,1
4657152,2
4663296,2
4694016,1
4718592,4
4730880,1
4737024,1
4743168,6
4761600,1
4767744,2
4773888,1
4792320,3
4798464,1
4804608,9
4829184,1
4853760,1
4859904,2
4866048,1
4872192,1
4878336,1
4884480,1
4890624,1
4902912,1
4909056,4
4915200,2
4939776,2
4945920,2
4952064,2
4958208,3
4964352,2
4970496,2
4976640,1
4995072,5
5013504,1
5025792,3
5050368,1
5056512,1
5081088,1
5087232,2
5099520,4
5105664,1
5111808,1
5117952,1
5130240,1
5136384,3
5160960,2
5167104,2
5185536,1
5228544,1
5246976,3
5253120,2
5277696,2
5302272,6
5308416,1
5320704,2
5332992,2
5345280,1
5351424,1
5394432,2
5412864,2
5419008,1
5462016,1
5498880,1
5529600,1
5560320,1
5615616,1
5640192,2
5664768,1
5689344,1
5695488,1
5713920,1
5726208,1
5750784,2
5781504,1
5836800,1
5861376,3
5892096,1
5916672,2
5971968,1
6057984,3
6119424,1
6248448,1
6451200,3
6617088,1
6672384,1
