height_action,count
3999744,2
4005888,2
4008960,1
4012032,1
4015104,1
4021248,1
4024320,1
4027392,2
4030464,1
4033536,2
4036608,1
4039680,3
4042752,2
4045824,1
4048896,2
4051968,2
4055040,2
4061184,1
4064256,1
4067328,2
4073472,2
4079616,2
4085760,1
4088832,1
4094976,1
4101120,1
4107264,2
4110336,1
4113408,3
4116480,1
4119552,2
4122624,2
4125696,3
4128768,2
4131840,1
4134912,2
4137984,2
4141056,1
4144128,1
4150272,1
4153344,2
4156416,3
4162560,3
4168704,3
4171776,1
4177920,3
4184064,1
4190208,1
4196352,2
4202496,2
4208640,2
4211712,1
4214784,1
4217856,3
4224000,2
4227072,1
4230144,3
4233216,1
4236288,3
4239360,3
4242432,2
4245504,2
4251648,4
4254720,2
4260864,2
4267008,2
4273152,1
4279296,2
4282368,1
4285440,3
4291584,3
4294656,1
4297728,2
4300800,2
4306944,3
4313088,3
4316160,1
4319232,2
4325376,2
4328448,1
4331520,1
4334592,2
4340736,2
4343808,1
4349952,1
4353024,1
4356096,2
4359168,1
4362240,1
4365312,2
4368384,2
4371456,1
4374528,2
4377600,1
4380672,2
4383744,2
4389888,2
4396032,2
4402176,2
4408320,3
4414464,3
4417536,2
4420608,1
4423680,2
4426752,2
4429824,3
4432896,1
4435968,2
4439040,1
4442112,3
4448256,2
4451328,1
4454400,2
4457472,1
4460544,1
4463616,2
4469760,2
4472832,1
4478976,1
4482048,1
4485120,3
4491264,2
4497408,2
4500480,1
4503552,1
4506624,2
4512768,3
4518912,2
4525056,2
4528128,1
4531200,3
4534272,1
4537344,3
4540416,1
4543488,3
4546560,2
4552704,4
4555776,1
4558848,1
4561920,1
4564992,1
4568064,1
4571136,1
4574208,1
4580352,1
4586496,1
4592640,1
4595712,1
4601856,2
4608000,2
4614144,4
4617216,1
4620288,2
4623360,1
4626432,2
4629504,4
4635648,3
4641792,3
4647936,1
4651008,1
4654080,2
4657152,1
4660224,2
4663296,1
4666368,1
4669440,2
4672512,2
4678656,1
4681728,2
4684800,1
4690944,2
4700160,1
4703232,1
4706304,1
4709376,1
4712448,1
4715520,1
4718592,2
4724736,2
4730880,4
4737024,2
4740096,1
4743168,3
4746240,1
4749312,1
4752384,2
4755456,1
4758528,3
4764672,2
4770816,2
4780032,1
4783104,1
4792320,1
4801536,2
4804608,1
4807680,2
4810752,1
4813824,3
4816896,2
4819968,2
4823040,1
4826112,2
4829184,3
4832256,1
4835328,2
4838400,1
4841472,2
4844544,1
4847616,3
4853760,3
4859904,4
4866048,1
4869120,2
4872192,1
4881408,2
4887552,1
4893696,1
4899840,1
4902912,2
4909056,2
4912128,1
4915200,1
4918272,2
4921344,1
4924416,2
4927488,1
4930560,5
4936704,4
4942848,4
4945920,2
4948992,1
4952064,3
4955136,1
4958208,2
4961280,1
4970496,2
4976640,2
4982784,2
4988928,2
4992000,2
4998144,2
5001216,1
5004288,2
5007360,2
5010432,1
5013504,2
5016576,1
5019648,2
5025792,3
5028864,1
5031936,2
5035008,2
5038080,1
5041152,2
5044224,1
5047296,3
5053440,2
5056512,1
5059584,4
5065728,3
5068800,1
5071872,2
5074944,2
5081088,3
5087232,2
5090304,1
5093376,1
5099520,2
5102592,1
5105664,2
5108736,2
5111808,1
5114880,2
5117952,3
5121024,2
5124096,2
5127168,1
5130240,3
5133312,2
5136384,1
5139456,1
5142528,2
5145600,1
5148672,2
5154816,3
5157888,1
5160960,1
5164032,2
5170176,2
5176320,3
5182464,3
5188608,3
5191680,2
5194752,2
5197824,2
5200896,2
5203968,3
5207040,1
5210112,2
5213184,1
5216256,2
5219328,1
5222400,2
5228544,2
5231616,2
5234688,2
5237760,3
5243904,4
5246976,3
5253120,3
5256192,1
5259264,4
5265408,2
5271552,2
5277696,2
5280768,1
5283840,1
5286912,2
5293056,2
5299200,2
5305344,4
5308416,1
5311488,3
5317632,3
5320704,4
5326848,3
5329920,2
5332992,2
5336064,2
5342208,2
5345280,1
5348352,2
5351424,1
5354496,2
5357568,1
5360640,3
5363712,2
5366784,2
5369856,2
5372928,2
5376000,3
5382144,3
5388288,3
5394432,2
5400576,2
5403648,1
5406720,1
5409792,3
5415936,2
5419008,1
5422080,2
5425152,1
5428224,1
5431296,2
5434368,3
5437440,1
5440512,2
5443584,2
5446656,3
5449728,2
5452800,1
5455872,2
5458944,2
5462016,1
5465088,2
5471232,1
5474304,1
5477376,2
5483520,3
5489664,2
5492736,2
5495808,1
5498880,3
5505024,4
5508096,1
5511168,2
5517312,3
5520384,1
5523456,2
5526528,1
5529600,2
5532672,2
5535744,1
5538816,3
5544960,2
5548032,1
5551104,2
5554176,1
5557248,2
5560320,2
5563392,1
5566464,2
5572608,2
5575680,2
5581824,2
5587968,2
5594112,2
5603328,1
5606400,2
5609472,1
5612544,3
5615616,1
5618688,2
5621760,4
5627904,4
5634048,5
5637120,1
5640192,2
5643264,1
5646336,2
5649408,1
5652480,1
5655552,2
5661696,2
5664768,1
5670912,1
5677056,1
5683200,2
5692416,1
5695488,2
5698560,1
5704704,4
5710848,3
5716992,3
5720064,1
5723136,2
5726208,1
5729280,2
5732352,1
5735424,3
5738496,2
5741568,1
5744640,2
5747712,2
5750784,3
5753856,1
5756928,2
5760000,1
5763072,2
5772288,1
5781504,1
5784576,1
5793792,2
5799936,2
5806080,3
5809152,1
5812224,2
5815296,1
5818368,1
5821440,3
5824512,1
5827584,2
5833728,4
5839872,2
5846016,2
5849088,1
5852160,1
5855232,1
5858304,1
5861376,1
5864448,1
5873664,2
5879808,1
5882880,2
5885952,1
5892096,2
5895168,2
5898240,1
5901312,1
5904384,2
5907456,1
5910528,2
5913600,1
5916672,1
5922816,3
5928960,3
5935104,4
5938176,2
5941248,1
5944320,2
5947392,1
5950464,4
5956608,2
5962752,2
5968896,1
5971968,1
5978112,1
5984256,1
5990400,1
5993472,1
5996544,1
5999616,1
6002688,1
6005760,1
6008832,1
6011904,4
6018048,2
6021120,3
6024192,1
6027264,3
6030336,1
6033408,3
6036480,1
6039552,2
6045696,2
6051840,3
6057984,2
6061056,1
6064128,1
6067200,2
6073344,2
6079488,3
6082560,1
6085632,1
6091776,1
6094848,2
6100992,2
6104064,1
6107136,1
6110208,2
6113280,1
6116352,2
6122496,3
6125568,1
6128640,2
6131712,1
6134784,3
6137856,2
6140928,2
6144000,1
6147072,2
6150144,3
6156288,3
6162432,2
6168576,2
6174720,2
6180864,2
6183936,2
6187008,1
6190080,2
6193152,1
6196224,2
6199296,2
6202368,1
6205440,1
6208512,2
6211584,1
6214656,1
6220800,1
6223872,2
6230016,2
6233088,1
6236160,1
6239232,2
6245376,2
6248448,1
6251520,3
6257664,3
6263808,2
6266880,2
6269952,1
6273024,3
6279168,3
6282240,1
6285312,2
6291456,1
6297600,2
6303744,2
6309888,2
6312960,4
6319104,2
6322176,2
6325248,3
6328320,3
6331392,1
6334464,3
6337536,1
6340608,2
6346752,3
6349824,1
6352896,1
6355968,2
6362112,2
6368256,2
6374400,1
6380544,1
6386688,3
6392832,1
6395904,3
6402048,3
6408192,3
6411264,2
6414336,1
6420480,1
6423552,1
6426624,2
6429696,2
6432768,1
6435840,2
6438912,3
6441984,2
6445056,2
6448128,1
6451200,3
6454272,1
6457344,2
6463488,1
6469632,1
6475776,1
6478848,1
6484992,2
6491136,2
6497280,2
6500352,1
6503424,1
6509568,2
6512640,2
6515712,2
6518784,1
6521856,2
6524928,3
6528000,1
6531072,2
6534144,1
6537216,2
6540288,1
6543360,1
6549504,1
6552576,1
6555648,1
6558720,2
6564864,2
6567936,2
6574080,3
6580224,2
6586368,2
6595584,1
6598656,1
6601728,1
6604800,1
6607872,2
6614016,2
6620160,2
6626304,3
6629376,1
6632448,2
6638592,2
6641664,2
6647808,2
6650880,1
6653952,1
6657024,2
6663168,1
6684672,1
6687744,2
6696960,3
6703104,4
6709248,4
6712320,1
6715392,2
6718464,1
6721536,2
6724608,2
6727680,1
6730752,3
6736896,2
6739968,1
6743040,1
6746112,1
6752256,1
6773760,1
6786048,3
6795264,1
6798336,1
6801408,1
6804480,2
6807552,1
6810624,1
6813696,2
6816768,1
6819840,2
6825984,4
6829056,1
6832128,2
6838272,2
6841344,1
6847488,1
6853632,1
6875136,2
6884352,1
6887424,1
6890496,1
6896640,2
6902784,2
6908928,1
6915072,2
6924288,1
6927360,1
6930432,1
6933504,1
6936576,1
6939648,1
6942720,2
6948864,2
6955008,2
6961152,1
6964224,1
6970368,1
6973440,1
6976512,1
6982656,1
6985728,1
7004160,3
7013376,2
7016448,1
7019520,2
7025664,4
7031808,2
7037952,2
7041024,1
7047168,1
7053312,1
7059456,1
7071744,1
7077888,1
7084032,1
7087104,2
7093248,1
7096320,1
7099392,1
7102464,3
7105536,1
7108608,1
7114752,2
7120896,2
7127040,2
7130112,1
7133184,1
7136256,1
7142400,2
7148544,2
7154688,1
7160832,1
7170048,1
7176192,1
7182336,1
7185408,1
7191552,1
7200768,1
7203840,2
7206912,1
7213056,2
7216128,2
7219200,1
7222272,1
7225344,2
7228416,1
7231488,2
7237632,1
7243776,1
7249920,2
7256064,1
7259136,2
7265280,2
7271424,2
7274496,1
7277568,1
7289856,1
7299072,1
7305216,1
7311360,1
7314432,1
7317504,1
7320576,1
7323648,1
7326720,1
7329792,1
7332864,2
7339008,2
7342080,2
7348224,3
7354368,2
7360512,1
7378944,2
7388160,2
7394304,2
7400448,3
7403520,2
7406592,1
7412736,1
7415808,2
7421952,2
7425024,1
7428096,1
7431168,2
7437312,2
7443456,1
7461888,1
7471104,1
7477248,3
7483392,1
7489536,1
7495680,1
7501824,1
7504896,2
7507968,1
7511040,1
7514112,1
7517184,2
7520256,2
7523328,1
7526400,1
7529472,1
7532544,1
7560192,1
7566336,1
7578624,1
7587840,1
7590912,1
7593984,1
7600128,2
7603200,1
7606272,2
7612416,1
7618560,1
7624704,1
7630848,1
7633920,2
7640064,1
7643136,1
7646208,1
7649280,2
7655424,1
7676928,1
7689216,1
7695360,1
7701504,1
7707648,2
7713792,1
7716864,2
7723008,2
7729152,2
7732224,1
7778304,3
7787520,1
7790592,1
7793664,1
7796736,1
7799808,2
7805952,2
7812096,2
7818240,1
7821312,1
7876608,1
7879680,1
7888896,1
7895040,2
7901184,1
7907328,2
7916544,1
7922688,1
7928832,1
7965696,1
7977984,1
8005632,1
8008704,1
8017920,2
8024064,2
8030208,2
8033280,1
8039424,1
8045568,1
8051712,1
8094720,2
8107008,2
8116224,1
8122368,1
8128512,1
8153088,1
8162304,1
8168448,1
8174592,1
8177664,1
8196096,2
8205312,1
8211456,1
8217600,1
8223744,1
8251392,1
8282112,1
8291328,1
8294400,1
8297472,1
8303616,1
8306688,1
8325120,1
8334336,1
8340480,2
8346624,1
8380416,1
8392704,1
8398848,1
8404992,1
8408064,2
8414208,1
8417280,1
8420352,1
8423424,2
8429568,1
8469504,2
8481792,1
8491008,1
8497152,1
8503296,1
8506368,1
8512512,1
8552448,1
8570880,1
8580096,1
8586240,1
8592384,1
8595456,1
8598528,1
8669184,1
8681472,1
8699904,1
8709120,1
8715264,1
8721408,1
8724480,1
8782848,1
8792064,1
8798208,2
8804352,1
8868864,1
8881152,1
8887296,1
8970240,1
8997888,1
9099264,2
9108480,1
9114624,1
9120768,1
9197568,1
9243648,1
9286656,1
9372672,1
9415680,1
9474048,1
9483264,1
9489408,1
9495552,1
9498624,1
9572352,1
9661440,1
9790464,1
9873408,1
10189824,1
10564608,1
