mask,basis_cycle_ids,basis_active_count,basis_length_sum,height_action,edge_mod2_height_action,edge_mod2_height_gap,residual_integral,residual_mod_1000003,transport_scalar_mod_1000003,transport_scalar_signed,support_sector,q42_shadow_nonzero,q12_shadow_nonzero,coefficient_matches_residual_mod_prime
1230,1 2 3 6 7 10,6,41,6349824,3154944,3194880,-6349824,650197,825100,-174903,33,0,0,True
1231,0 1 2 3 6 7 10,7,49,7425024,3111936,4313088,-7425024,575000,287500,287500,33,0,0,True
1232,4 6 7 10,4,26,4144128,2774016,1370112,-4144128,855887,927945,-72058,33,0,0,True
1233,0 4 6 7 10,5,34,5219328,3111936,2107392,-5219328,780690,390345,390345,33,0,0,True
1234,1 4 6 7 10,5,34,5465088,3210240,2254848,-5465088,534930,267465,267465,33,0,0,True
1235,0 1 4 6 7 10,6,42,6540288,3425280,3115008,-6540288,459733,729868,-270135,33,0,0,True
1236,2 4 6 7 10,5,31,4918272,2884608,2033664,-4918272,81743,540873,-459130,33,0,0,True
1237,0 2 4 6 7 10,6,39,5993472,3075072,2918400,-5993472,6546,3273,3273,33,0,0,True
1238,1 2 4 6 7 10,6,39,6239232,3320832,2918400,-6239232,760789,880396,-119607,33,0,0,True
1239,0 1 2 4 6 7 10,7,47,7314432,3388416,3926016,-7314432,685592,342796,342796,33,0,0,True
1240,3 4 6 7 10,5,36,5336064,2933760,2402304,-5336064,663954,331977,331977,33,0,0,True
1241,0 3 4 6 7 10,6,44,6411264,3013632,3397632,-6411264,588757,794380,-205623,33,0,0,True
1242,1 3 4 6 7 10,6,44,6657024,3013632,3643392,-6657024,342997,671500,-328503,33,0,0,True
1243,0 1 3 4 6 7 10,7,52,7732224,2970624,4761600,-7732224,267800,133900,133900,33,0,0,True
1244,2 3 4 6 7 10,6,41,6110208,3265536,2844672,-6110208,889813,944908,-55095,33,0,0,True
1245,0 2 3 4 6 7 10,7,49,7185408,3197952,3987456,-7185408,814616,407308,407308,33,0,0,True
1246,1 2 3 4 6 7 10,7,49,7431168,3345408,4085760,-7431168,568856,284428,284428,33,0,0,True
1247,0 1 2 3 4 6 7 10,8,57,8506368,3154944,5351424,-8506368,493659,746831,-253172,33,0,0,True
1248,5 6 7 10,4,23,3753984,2777088,976896,-3753984,246028,123014,123014,33,0,0,True
1249,0 5 6 7 10,5,31,4829184,3115008,1714176,-4829184,170831,585417,-414586,33,0,0,True
1250,1 5 6 7 10,5,31,5074944,3409920,1665024,-5074944,925074,462537,462537,33,0,0,True
1251,0 1 5 6 7 10,6,39,6150144,3624960,2525184,-6150144,849877,924940,-75063,33,0,0,True
1252,2 5 6 7 10,5,28,4528128,2887680,1640448,-4528128,471887,735945,-264058,33,0,0,True
1253,0 2 5 6 7 10,6,36,5603328,3078144,2525184,-5603328,396690,198345,198345,33,0,0,True
1254,1 2 5 6 7 10,6,36,5849088,3520512,2328576,-5849088,150930,75465,75465,33,0,0,True
1255,0 1 2 5 6 7 10,7,44,6924288,3588096,3336192,-6924288,75733,537868,-462135,33,0,0,True
1256,3 5 6 7 10,5,33,4945920,3133440,1812480,-4945920,54095,527049,-472954,33,0,0,True
1257,0 3 5 6 7 10,6,41,6021120,3213312,2807808,-6021120,978901,989452,-10551,33,0,0,True
1258,1 3 5 6 7 10,6,41,6266880,3016704,3250176,-6266880,733141,866572,-133431,33,0,0,True
1259,0 1 3 5 6 7 10,7,49,7342080,2973696,4368384,-7342080,657944,328972,328972,33,0,0,True
1260,2 3 5 6 7 10,6,38,5720064,3465216,2254848,-5720064,279954,139977,139977,33,0,0,True
1261,0 2 3 5 6 7 10,7,46,6795264,3397632,3397632,-6795264,204757,602380,-397623,33,0,0,True
1262,1 2 3 5 6 7 10,7,46,7041024,3348480,3692544,-7041024,959000,479500,479500,33,0,0,True
1263,0 1 2 3 5 6 7 10,8,54,8116224,3158016,4958208,-8116224,883803,941903,-58100,33,0,0,True
