weight_type,series,total_dimension_n,count,q_weighted_sum,q_mean,q2_weighted_sum
tensor_coefficient_value,symmetric_stack,10,8865592257346545271476760246504766923137810715040197266,17.932316347047454,3074567375804227386145936181258451378446588568272742027752,
tensor_coefficient_value,symmetric_stack,11,1140417400394447990500711711799635097578824946029233848966560,19.7255479817522,475383007495404987463169145126597543333984098489106202166629672,
tensor_coefficient_value,symmetric_stack,12,134471937628377869983894587926218020577272017651115950401486176519,21.518779616456943,66339531250372773938281267372795430694701824659365462336220226032120,
tensor_coefficient_value,symmetric_stack,13,14636515299199171795092400949217403858690637814272911379031715378350486,23.31201125116169,8434272067600807385021719136227953514037926765744199815403767011792568648,
tensor_coefficient_value,symmetric_stack,14,1479310510359303264876875379303426143287042572407871899830857523700019603800,25.105242885866435,984621681399863224000993436864928063763476635522283191588877965356613249814024,
tensor_coefficient_value,symmetric_stack,15,139546220442513104962147749820695021195138574922767792774977702921428659631662928,26.89847452057118,106246685956583607665356598878662126452512196127013151968250458960534235471640750536,
tensor_coefficient_value,symmetric_stack,16,12340944437609199578708738939734138384373716790978309799445735843482303624504649213542,28.691706155275927,10657415122991290533727355312297664053326722303658613535177383674074499424429782414520040,
tensor_coefficient_value,symmetric_stack,17,1027188347133688401710639419552008855070331660751203390157852336960771974847625353223844488,30.48493778998067,998655373491376406942669296507478657234208751387021388978298889309494264039453392392939946344,
tensor_coefficient_value,symmetric_stack,18,80747390100217815668295777049768488431552865143042669794984327101154293360114349595176599909123,32.278169424685416,87796158297378986108876044633875910921597826724670297927562160450952443162372938325363058551538136,
tensor_coefficient_value,symmetric_stack,19,6013483383482973971988008602836650478010398339648962159086598529359774432989333283856655363940275447,34.07140105939016,7269082132092874596017850033093468710932428311643104728825107217301699777416210292275397212949203082536,
tensor_coefficient_value,symmetric_stack,20,425449138594713622138974017941627593268882329639904630468583293366804109585714108354073926581938049497349,35.86463269409491,568711384176211833387154661071392185469416647497078614384123454351124091315310492493067201552979571573559072,
tensor_coefficient_value,symmetric_stack,21,28666864255925754982015054763079950172936197488371033690625093440521634079913879391242367878707257921736512054,37.657864328799654,42171757490208996170295522838194627243312031577220248328422221606649295559096092787549772162650037863824651996080,
tensor_coefficient_value,symmetric_stack,22,1843782344819789106317343372221518128519274318854451895119459935983961878421934122228755291834250845144797280524435,39.4510959635044,2971983436980093353030604430628935756696712988963922240822701659568211367769148341929418194142547464456553332428485152,
tensor_coefficient_value,symmetric_stack,23,113431654293457344703506901540500858752547886330009721345679248656913074983858175389232460364492050944322981827438691248,41.244327598209146,199540296494061262021750514273996069385906165031135990510588960401497532729242790137852581850053178609507989596077929077056,
tensor_coefficient_value,symmetric_stack,24,6687684568557942552805242596659372337029781276728048230491947585113958346328630169380245493254447623757838833452385909300384,43.037559232913885,12792093080606109980216607275624703175516618930330079925486658813885073268354609996411815947424575967924749083721762679371159280,
