orbit_id,class_id,orbit_rim_count,rank,nullity,golden_flag,representative_rim,charpoly_sha256
101,9,720,10,10,0,0|1|2|5|6|8|4|10|16|7|19|18|17|14|13|11|15|9|3|12,c4db87f93c8804b6cc7c059cb28717cc465a76779379806e85ba1ae47c372da6
102,54,720,10,10,0,0|1|2|5|6|8|4|16|7|9|19|18|17|14|13|11|15|3|12|10,ea3c5d2af182648c9442a2f0d1155eb1d225fc0919f6c30b3a78848b44500a2c
103,49,720,10,10,0,0|1|2|5|6|9|3|12|11|15|19|18|17|14|13|10|16|7|8|4,43564b3a51d01f9381198b5f6c4927396321d8f5114d7134cc79294dd639fef2
104,27,720,8,12,0,0|1|2|5|6|9|15|11|16|7|19|18|17|14|13|10|4|8|3|12,068fec895a06143a400cc895b96e726f3cf00406ecf3fb597cbbcc8635e1ac50
105,62,720,10,10,0,0|1|2|5|6|12|3|15|9|8|19|18|17|14|13|7|16|4|10|11,b712b26cd763cc136661503dcd3950b1d4309a2049d0642bec0eb99999c9300b
106,10,720,10,10,0,0|1|2|5|6|12|11|15|3|9|19|18|17|14|13|7|8|4|16|10,0703c724589bd001648436f0237e20bf8903fe3054c60adc5fd90f3a5e818bde
107,55,720,10,10,0,0|1|2|5|6|12|15|3|8|9|19|18|17|14|13|7|4|16|11|10,a6b60f99a00e156651eddd599bdf476ca7752a9f42f9d3aa9d0a79f21efe1a05
108,59,720,10,10,0,0|1|2|5|6|12|15|3|9|8|19|18|17|14|13|7|4|16|10|11,98062fdb8f2aabc54e861cb41852b9578720067823d904e12244a61492b2230a
109,11,720,10,10,0,0|1|2|5|7|8|4|6|3|9|19|18|17|14|12|11|15|13|16|10,3db5825227943677dcec6fc969d9840698125930379eb74c79ff968c870401b5
110,2,720,10,10,0,0|1|2|5|7|8|4|10|16|13|19|18|17|14|12|11|15|9|3|6,9d1c1b89642f8c17007559033c0abbd3f50fe677c28ffb980d2b8390eb69579d
111,53,720,10,10,0,0|1|2|5|9|3|8|4|7|13|19|18|17|14|10|16|11|15|12|6,3bb0833877b1349f4c62c3102d81f359734cf87db74d359af8d8ff042a3ecf38
112,7,720,10,10,0,0|1|2|5|9|3|15|11|13|7|19|18|17|14|10|16|4|8|6|12,061f5f29aa6b1e9ef91b7937d561e8377511a367b48c3f8113b1d3f8aa7a4cd4
113,27,720,8,12,0,0|1|2|5|9|6|3|12|11|15|19|18|17|14|10|13|16|7|8|4,068fec895a06143a400cc895b96e726f3cf00406ecf3fb597cbbcc8635e1ac50
114,16,720,10,10,0,0|1|2|5|9|8|3|15|13|7|19|18|17|14|10|11|16|4|6|12,a26c823af45cacc31fd5c43026e9220aabc9375e86ffe932e9c14da013c1c39f
115,1,720,8,12,0,0|1|2|5|9|8|6|4|16|7|19|18|17|14|10|11|13|15|3|12,cf0aeec4c52f83f925a14e29963910b1188da0f1c1e5b4f1a15fcddae0049cb3
116,9,720,10,10,0,0|1|2|5|9|8|7|4|16|13|19|18|17|14|10|11|12|15|3|6,c4db87f93c8804b6cc7c059cb28717cc465a76779379806e85ba1ae47c372da6
117,16,720,10,10,0,0|1|2|5|9|8|7|16|13|15|19|18|17|14|10|11|12|3|6|4,a26c823af45cacc31fd5c43026e9220aabc9375e86ffe932e9c14da013c1c39f
118,56,720,8,12,0,0|1|2|5|9|15|3|6|8|7|19|18|17|14|10|4|16|13|11|12,9fdc69e230c0d970ae74992e9fd8431e8aa8f5c913466d3b725af6eca27e3bc4
119,7,720,10,10,0,0|1|2|5|9|15|12|11|16|13|19|18|17|14|10|4|7|8|3|6,061f5f29aa6b1e9ef91b7937d561e8377511a367b48c3f8113b1d3f8aa7a4cd4
120,57,720,10,10,0,0|1|2|5|11|10|12|6|3|15|19|18|17|14|8|9|7|13|16|4,eb9581884cfca23612e95287943bf2dc71f36031b044ad58b4966bea3e2fd9b3
121,8,720,10,10,0,0|1|2|5|11|12|6|9|3|15|19|18|17|14|8|7|13|10|16|4,94d4d89af66baa7ff1247ae992c7f0f87ed41a4026e92828010df8670d6ed48a
122,0,144,10,10,1,0|1|2|5|11|15|13|10|16|7|19|18|17|14|8|4|6|9|3|12,579dd04119bc7533e8f13023c0236e2a1de90b045fe52b78d765363839c95e8a
123,18,720,10,10,0,0|1|2|5|16|4|10|12|11|13|19|18|17|14|3|15|9|7|8|6,4757f241276c85743088b4a36d628136d9d64ab7752c9be549a324810e5eadfb
