class_id,orbit_count,rim_count,rank,nullity,golden_flag,coeff_x20,coeff_x19,coeff_x18,coeff_x17,coeff_x16,coeff_x15,coeff_x14,coeff_x13,coeff_x12,coeff_x11,coeff_x10,coeff_x9,coeff_x8,coeff_x7,coeff_x6,coeff_x5,coeff_x4,coeff_x3,coeff_x2,coeff_x1,coeff_x0
21,2,1440,10,10,0,1,0,-84,0,2368,0,-24832,0,74752,0,-36864,0,0,0,0,0,0,0,0,0,0
22,2,1440,10,10,0,1,0,-84,0,2400,0,-26752,0,98560,0,-82944,0,0,0,0,0,0,0,0,0,0
23,2,1440,10,10,0,1,0,-84,0,2400,0,-26496,0,89344,0,-82944,0,0,0,0,0,0,0,0,0,0
24,2,1440,10,10,0,1,0,-84,0,2432,0,-28672,0,123904,0,-147456,0,0,0,0,0,0,0,0,0,0
25,2,1440,10,10,0,1,0,-84,0,2432,0,-28160,0,111616,0,-36864,0,0,0,0,0,0,0,0,0,0
26,2,1440,10,10,0,1,0,-84,0,2432,0,-28160,0,114688,0,-147456,0,0,0,0,0,0,0,0,0,0
27,2,1440,8,12,0,1,0,-84,0,2432,0,-27392,0,90112,0,0,0,0,0,0,0,0,0,0,0,0
28,2,1440,10,10,0,1,0,-76,0,1840,0,-15680,0,47104,0,-36864,0,0,0,0,0,0,0,0,0,0
29,2,1440,8,12,0,1,0,-76,0,1840,0,-15424,0,36864,0,0,0,0,0,0,0,0,0,0,0,0
30,2,1440,8,12,0,1,0,-76,0,1840,0,-15424,0,40960,0,0,0,0,0,0,0,0,0,0,0,0
31,2,1440,8,12,0,1,0,-76,0,1840,0,-14912,0,22528,0,0,0,0,0,0,0,0,0,0,0,0
32,2,1440,10,10,0,1,0,-76,0,1872,0,-16192,0,32512,0,-9216,0,0,0,0,0,0,0,0,0,0
33,2,1440,8,12,0,1,0,-76,0,1904,0,-17728,0,40960,0,0,0,0,0,0,0,0,0,0,0,0
34,2,1440,8,12,0,1,0,-76,0,1904,0,-16960,0,25600,0,0,0,0,0,0,0,0,0,0,0,0
35,2,1440,10,10,0,1,0,-76,0,1936,0,-19264,0,60160,0,-9216,0,0,0,0,0,0,0,0,0,0
36,2,1440,10,10,0,1,0,-76,0,1968,0,-19776,0,65536,0,-36864,0,0,0,0,0,0,0,0,0,0
37,2,1440,6,14,0,1,0,-68,0,1344,0,-6656,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2,1440,10,10,0,1,0,-68,0,1376,0,-8576,0,18688,0,-9216,0,0,0,0,0,0,0,0,0,0
39,2,1440,10,10,0,1,0,-68,0,1440,0,-9856,0,18688,0,-9216,0,0,0,0,0,0,0,0,0,0
40,2,1440,10,10,0,1,0,-68,0,1504,0,-12672,0,37120,0,-9216,0,0,0,0,0,0,0,0,0,0
41,2,1440,10,10,0,1,0,-68,0,1504,0,-12416,0,27904,0,-9216,0,0,0,0,0,0,0,0,0,0
42,2,1440,10,10,0,1,0,-68,0,1568,0,-14720,0,58624,0,-82944,0,0,0,0,0,0,0,0,0,0
43,2,1440,10,10,0,1,0,-68,0,1600,0,-15104,0,47104,0,-36864,0,0,0,0,0,0,0,0,0,0
44,2,1440,8,12,0,1,0,-60,0,1008,0,-5184,0,4096,0,0,0,0,0,0,0,0,0,0,0,0
45,2,1440,6,14,0,1,0,-60,0,1008,0,-4160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2,1440,8,12,0,1,0,-60,0,1072,0,-7232,0,16384,0,0,0,0,0,0,0,0,0,0,0,0
47,2,1440,8,12,0,1,0,-52,0,704,0,-3328,0,4096,0,0,0,0,0,0,0,0,0,0,0,0
48,2,1440,8,12,0,1,0,-44,0,560,0,-2624,0,4096,0,0,0,0,0,0,0,0,0,0,0,0
49,1,720,10,10,0,1,0,-116,0,4928,0,-90368,0,603136,0,-147456,0,0,0,0,0,0,0,0,0,0
50,1,720,10,10,0,1,0,-116,0,4992,0,-94464,0,664576,0,-36864,0,0,0,0,0,0,0,0,0,0
51,1,720,10,10,0,1,0,-108,0,4080,0,-60736,0,267264,0,-331776,0,0,0,0,0,0,0,0,0,0
52,1,720,10,10,0,1,0,-108,0,4304,0,-75328,0,499456,0,-230400,0,0,0,0,0,0,0,0,0,0
53,1,720,10,10,0,1,0,-100,0,3424,0,-44416,0,149760,0,-82944,0,0,0,0,0,0,0,0,0,0
54,1,720,10,10,0,1,0,-100,0,3520,0,-49920,0,225280,0,-147456,0,0,0,0,0,0,0,0,0,0
55,1,720,10,10,0,1,0,-100,0,3648,0,-58624,0,385024,0,-589824,0,0,0,0,0,0,0,0,0,0
56,1,720,8,12,0,1,0,-92,0,3056,0,-43840,0,230400,0,0,0,0,0,0,0,0,0,0,0,0
57,1,720,10,10,0,1,0,-84,0,2208,0,-19072,0,66816,0,-82944,0,0,0,0,0,0,0,0,0,0
58,1,720,10,10,0,1,0,-84,0,2336,0,-23680,0,64768,0,-9216,0,0,0,0,0,0,0,0,0,0
59,1,720,10,10,0,1,0,-76,0,1904,0,-18240,0,56320,0,-36864,0,0,0,0,0,0,0,0,0,0
60,1,720,10,10,0,1,0,-76,0,1936,0,-19776,0,69376,0,-9216,0,0,0,0,0,0,0,0,0,0
61,1,720,10,10,0,1,0,-76,0,2000,0,-23360,0,121600,0,-230400,0,0,0,0,0,0,0,0,0,0
62,1,720,10,10,0,1,0,-68,0,1440,0,-11136,0,27904,0,-9216,0,0,0,0,0,0,0,0,0,0
