rank,p39_id,source_count,source_min_rank,source_max_rank,p25_a,p25_b,p25_c,p25_d,p25_e,p25_f,p24_a,p24_b,p24_c,p24_d,p24_e,p24_f,lift_a,lift_b,lift_c,lift_d,lift_e,lift_f,face_a,face_b,face_c,face_d,face_e,face_f,mask_a,mask_b,mask_c,mask_d,mask_e,mask_f,same_lift_flag,same_face_flag,same_mask_flag,joint_p0_support,joint_p1_support,joint_p2_support,joint_p3_support,joint_p4_support,joint_support_min,joint_support_max,joint_support_spread,below_p38_floor_flag,below_p37_floor_flag,below_p36_floor_flag,below_p35_floor_flag,below_p34_floor_flag,below_p33_floor_flag,below_p32_floor_flag,below_p31_floor_flag,below_p30_floor_flag,below_p29_floor_flag,below_p28_floor_flag,below_p27_floor_flag,below_p25_floor_flag,support_equal_flag,joint_mult_value
11,1535955,2,4687,22239,6,18,40,42,44,120,3,9,20,21,22,60,0,0,0,0,0,2,12,12,12,12,12,26,30,30,30,30,30,51,0,0,0,206604800,207418240,206252032,207830144,206786944,206252032,207830144,1578112,0,0,1,1,1,1,1,1,1,1,1,1,1,0,2848849920
12,3320122,2,4686,22238,4,10,12,22,24,136,2,5,6,11,12,68,0,0,0,0,0,2,12,12,12,12,12,26,30,30,30,30,30,51,0,0,0,207418240,206604800,207830144,206252032,206786944,206252032,207830144,1578112,0,0,1,1,1,1,1,1,1,1,1,1,1,0,3019898880
13,1035090,1,8749,8749,18,20,25,48,106,110,9,10,12,24,53,55,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,272779104,271567360,271134976,272060928,271907520,271134976,272779104,1644128,0,0,1,1,1,1,1,1,1,1,1,1,1,0,3784310784
14,2360594,1,8748,8748,10,26,41,94,114,128,5,13,20,47,57,64,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,271567360,272779104,272060928,271134976,271907520,271134976,272779104,1644128,0,0,1,1,1,1,1,1,1,1,1,1,1,0,3244032000
15,238533,2,1902,1903,1,14,32,47,57,79,0,7,16,23,28,39,0,0,0,0,1,1,12,12,12,12,22,22,30,30,30,30,45,45,0,0,0,1054627840,1054627840,1056264192,1056264192,1056295424,1054627840,1056295424,1667584,0,0,0,1,1,1,1,1,1,1,1,1,1,0,5612765184
16,2416586,3,2700,15900,10,12,40,66,124,128,5,6,20,33,62,64,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,226904768,227446784,228471936,226687104,227771712,226687104,228471936,1784832,0,0,0,1,1,1,1,1,1,1,1,1,1,0,3025797120
17,2808941,3,2701,15901,18,24,44,58,110,132,9,12,22,29,55,66,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,227446784,226904768,226687104,228471936,227771712,226687104,228471936,1784832,0,0,0,1,1,1,1,1,1,1,1,1,1,0,3393847296
18,682771,3,3630,4650,2,6,14,29,44,104,1,3,7,14,22,52,0,0,0,0,0,2,12,12,12,12,12,26,30,30,30,30,30,51,0,0,0,215334208,216688768,214891712,215995136,216075008,214891712,216688768,1797056,0,0,0,1,1,1,1,1,1,1,1,1,1,0,3459907584
19,2046793,3,3631,4651,12,22,32,34,37,126,6,11,16,17,18,63,0,0,0,0,0,2,12,12,12,12,12,26,30,30,30,30,30,51,0,0,0,216688768,215334208,215995136,214891712,216075008,214891712,216688768,1797056,0,0,0,1,1,1,1,1,1,1,1,1,1,0,2739142656
20,910168,1,2857,2857,14,22,39,80,100,108,7,11,19,40,50,54,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,333883136,335162176,335395712,334934144,333525888,333525888,335395712,1869824,0,0,0,1,1,1,1,0,1,1,1,1,1,0,3324248064
21,3980816,1,2856,2856,6,17,32,62,138,140,3,8,16,31,69,70,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,335162176,333883136,334934144,335395712,333525888,333525888,335395712,1869824,0,0,0,1,1,1,1,0,1,1,1,1,1,0,4171235328
22,856393,2,4943,10729,18,28,34,40,58,108,9,14,17,20,29,54,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,222293088,222050048,221181312,220554368,220420096,220420096,222293088,1872992,0,0,0,1,1,1,1,0,1,1,1,1,1,0,2978611200
23,3686868,2,4942,10728,2,10,24,36,66,140,1,5,12,18,33,70,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,222050048,222293088,220554368,221181312,220420096,220420096,222293088,1872992,0,0,0,1,1,1,1,0,1,1,1,1,1,0,3271163904
24,193103,1,1840,1840,6,14,16,18,58,76,3,7,8,9,29,38,0,0,0,0,1,1,12,12,12,12,22,22,30,30,30,30,45,45,0,0,0,259456000,261031936,261330656,259827008,260438656,259456000,261330656,1874656,0,0,0,1,1,1,1,0,1,1,1,1,1,0,3142582272
25,283233,1,1841,1841,10,22,32,38,66,84,5,11,16,19,33,42,0,0,0,0,1,1,12,12,12,12,22,22,30,30,30,30,45,45,0,0,0,261031936,259456000,259827008,261330656,260438656,259456000,261330656,1874656,0,0,0,1,1,1,1,0,1,1,1,1,1,0,3096576000
26,575137,2,5037,5238,14,21,36,44,90,98,7,10,18,22,45,49,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,309705280,308356864,309641088,309392256,307779776,307779776,309705280,1925504,0,0,0,1,1,1,1,0,1,1,1,1,1,0,3781951488
27,2485651,2,5036,5239,12,27,28,32,52,130,6,13,14,16,26,65,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,308356864,309705280,309392256,309641088,307779776,307779776,309705280,1925504,0,0,0,1,1,1,1,0,1,1,1,1,1,0,3255828480
28,1355347,1,17749,17749,24,26,38,41,104,116,12,13,19,20,52,58,0,0,0,0,2,2,12,12,12,12,26,26,30,30,30,30,51,51,0,0,0,223730976,223816960,224055616,222686720,224615680,222686720,224615680,1928960,0,0,0,1,1,1,1,0,1,1,1,1,1,0,3065905152
29,2178838,1,17748,17748,16,20,25,40,122,126,8,10,12,20,61,63,0,0,0,0,2,2,12,12,12,12,26,26,30,30,30,30,51,51,0,0,0,223816960,223730976,222686720,224055616,224615680,222686720,224615680,1928960,0,0,0,1,1,1,1,0,1,1,1,1,1,0,3195666432
30,62440,1,16355,16355,6,22,24,26,38,52,3,11,12,13,19,26,0,0,0,0,0,1,12,12,12,12,12,22,30,30,30,30,30,45,0,0,0,219838080,218113920,217901760,219796224,218249728,217901760,219838080,1936320,0,0,0,1,1,1,1,0,1,1,1,1,1,0,2884239360
31,334064,1,16354,16354,6,16,20,22,40,90,3,8,10,11,20,45,0,0,0,0,0,1,12,12,12,12,12,22,30,30,30,30,30,45,0,0,0,218113920,219838080,219796224,217901760,218249728,217901760,219838080,1936320,0,0,0,1,1,1,1,0,1,1,1,1,1,0,2983329792
