pair_id,i,j,product_support,zero_product_flag,closed_in_sector_span_flag,projection_nonzero_coeff_count,projection_coeff_2_mod,accepted_coeff_2_mod,accepted_coeff_2_valid_flag,target_pair_flag,target_expected_mod,target_135_over_2_verified_flag
101,2,23,44,0,0,2,0,-1,0,0,-1,0
102,2,24,0,1,1,0,0,0,1,0,-1,0
103,2,25,88,0,0,5,0,-1,0,0,-1,0
104,2,26,70,0,0,3,0,-1,0,0,-1,0
105,2,27,23,0,0,5,850697,-1,0,0,-1,0
106,2,28,58,0,0,3,0,-1,0,0,-1,0
107,2,29,44,0,0,3,0,-1,0,0,-1,0
108,2,30,44,0,0,3,0,-1,0,0,-1,0
109,2,31,44,0,0,6,0,-1,0,0,-1,0
110,2,32,40,0,0,11,656252,-1,0,0,-1,0
111,2,33,44,0,0,3,0,-1,0,0,-1,0
112,2,34,35,0,0,10,328126,-1,0,0,-1,0
113,2,35,18,0,0,1,0,-1,0,0,-1,0
114,2,36,12,0,0,9,328126,-1,0,0,-1,0
115,2,37,44,0,0,3,0,-1,0,0,-1,0
116,2,38,61,0,0,4,0,-1,0,0,-1,0
117,3,0,86,0,1,1,0,0,1,0,-1,0
118,3,1,86,0,0,3,0,-1,0,0,-1,0
119,3,2,44,0,0,1,0,-1,0,0,-1,0
120,3,3,190,0,0,5,0,-1,0,0,-1,0
121,3,4,104,0,0,0,0,-1,0,0,-1,0
122,3,5,0,1,1,0,0,0,1,0,-1,0
123,3,6,79,0,0,1,0,-1,0,0,-1,0
124,3,7,62,0,0,4,0,-1,0,0,-1,0
125,3,8,52,0,0,0,0,-1,0,0,-1,0
126,3,9,44,0,0,0,0,-1,0,0,-1,0
127,3,10,84,0,0,10,462675,-1,0,0,-1,0
128,3,11,0,1,1,0,0,0,1,0,-1,0
129,3,12,78,0,0,4,0,-1,0,0,-1,0
130,3,13,62,0,1,1,0,0,1,0,-1,0
131,3,14,43,0,0,4,0,-1,0,0,-1,0
132,3,15,39,0,0,4,0,-1,0,0,-1,0
133,3,16,92,0,0,1,0,-1,0,0,-1,0
134,3,17,0,1,1,0,0,0,1,0,-1,0
135,3,18,38,0,1,1,0,0,1,0,-1,0
136,3,19,44,0,0,0,0,-1,0,0,-1,0
137,3,20,190,0,0,1,0,-1,0,0,-1,0
138,3,21,44,0,0,0,0,-1,0,0,-1,0
139,3,22,79,0,0,5,0,-1,0,0,-1,0
140,3,23,92,0,0,4,925350,-1,0,0,-1,0
141,3,24,0,1,1,0,0,0,1,0,-1,0
142,3,25,44,0,0,4,925350,-1,0,0,-1,0
143,3,26,104,0,0,0,0,-1,0,0,-1,0
144,3,27,95,0,0,4,0,-1,0,0,-1,0
145,3,28,44,0,0,0,0,-1,0,0,-1,0
146,3,29,0,1,1,0,0,0,1,0,-1,0
147,3,30,0,1,1,0,0,0,1,0,-1,0
148,3,31,20,0,0,9,462675,-1,0,0,-1,0
149,3,32,22,0,0,11,925350,-1,0,0,-1,0
150,3,33,0,1,1,0,0,0,1,0,-1,0
151,3,34,84,0,0,8,0,-1,0,0,-1,0
152,3,35,38,0,0,5,0,-1,0,0,-1,0
153,3,36,20,0,0,2,0,-1,0,0,-1,0
154,3,37,0,1,1,0,0,0,1,0,-1,0
155,3,38,78,0,0,4,0,-1,0,0,-1,0
156,4,0,11,0,0,1,0,-1,0,0,-1,0
157,4,1,0,1,1,0,0,0,1,0,-1,0
158,4,2,26,0,0,0,0,-1,0,0,-1,0
159,4,3,104,0,0,0,0,-1,0,0,-1,0
160,4,4,115,0,0,5,0,-1,0,0,-1,0
161,4,5,0,1,1,0,0,0,1,0,-1,0
162,4,6,52,0,0,1,0,-1,0,0,-1,0
163,4,7,0,1,1,0,0,0,1,0,-1,0
164,4,8,63,0,0,5,0,-1,0,0,-1,0
165,4,9,44,0,0,0,0,-1,0,0,-1,0
166,4,10,62,0,0,11,447918,-1,0,0,-1,0
167,4,11,0,1,1,0,0,0,1,0,-1,0
168,4,12,54,0,0,0,0,-1,0,0,-1,0
169,4,13,8,0,0,1,0,-1,0,0,-1,0
170,4,14,11,0,0,1,0,-1,0,0,-1,0
171,4,15,27,0,0,0,0,-1,0,0,-1,0
172,4,16,74,0,0,0,0,-1,0,0,-1,0
173,4,17,0,1,1,0,0,0,1,0,-1,0
174,4,18,0,1,1,0,0,0,1,0,-1,0
175,4,19,44,0,0,0,0,-1,0,0,-1,0
176,4,20,115,0,0,1,0,-1,0,0,-1,0
177,4,21,52,0,0,9,0,-1,0,0,-1,0
178,4,22,44,0,0,0,0,-1,0,0,-1,0
179,4,23,74,0,0,0,0,-1,0,0,-1,0
180,4,24,0,1,1,0,0,0,1,0,-1,0
181,4,25,32,0,0,13,895836,-1,0,0,-1,0
182,4,26,104,0,0,0,0,-1,0,0,-1,0
183,4,27,63,0,0,1,0,-1,0,0,-1,0
184,4,28,44,0,0,0,0,-1,0,0,-1,0
185,4,29,0,1,1,0,0,0,1,0,-1,0
186,4,30,0,1,1,0,0,0,1,0,-1,0
187,4,31,0,1,1,0,0,0,1,0,-1,0
188,4,32,18,0,0,11,895836,-1,0,0,-1,0
189,4,33,0,1,1,0,0,0,1,0,-1,0
190,4,34,62,0,0,11,447918,-1,0,0,-1,0
191,4,35,0,1,1,0,0,0,1,0,-1,0
192,4,36,0,1,1,0,0,0,1,0,-1,0
193,4,37,6,0,0,10,895836,-1,0,0,-1,0
194,4,38,54,0,0,0,0,-1,0,0,-1,0
195,5,0,0,1,1,0,0,0,1,0,-1,0
196,5,1,0,1,1,0,0,0,1,0,-1,0
197,5,2,0,1,1,0,0,0,1,0,-1,0
198,5,3,0,1,1,0,0,0,1,0,-1,0
199,5,4,0,1,1,0,0,0,1,0,-1,0
200,5,5,12,0,0,12,0,-1,0,1,500069,0
201,5,6,0,1,1,0,0,0,1,1,500069,0
202,5,7,0,1,1,0,0,0,1,0,-1,0
203,5,8,12,0,0,12,0,-1,0,0,-1,0
204,5,9,0,1,1,0,0,0,1,0,-1,0
205,5,10,8,0,0,11,223959,-1,0,0,-1,0
206,5,11,0,1,1,0,0,0,1,0,-1,0
207,5,12,0,1,1,0,0,0,1,0,-1,0
208,5,13,0,1,1,0,0,0,1,0,-1,0
209,5,14,9,0,0,3,0,-1,0,0,-1,0
210,5,15,6,0,0,10,0,-1,0,0,-1,0
211,5,16,8,0,0,11,776044,-1,0,0,-1,0
212,5,17,12,0,0,10,0,-1,0,0,-1,0
213,5,18,0,1,1,0,0,0,1,0,-1,0
214,5,19,8,0,0,11,223959,-1,0,0,-1,0
215,5,20,12,0,1,1,0,0,1,0,-1,0
216,5,21,0,1,1,0,0,0,1,0,-1,0
217,5,22,0,1,1,0,0,0,1,0,-1,0
218,5,23,0,1,1,0,0,0,1,0,-1,0
219,5,24,12,0,0,2,0,-1,0,0,-1,0
220,5,25,0,1,1,0,0,0,1,0,-1,0
221,5,26,12,0,0,10,0,-1,0,0,-1,0
222,5,27,0,1,1,0,0,0,1,0,-1,0
223,5,28,0,1,1,0,0,0,1,0,-1,0
224,5,29,0,1,1,0,0,0,1,0,-1,0
225,5,30,0,1,1,0,0,0,1,0,-1,0
226,5,31,0,1,1,0,0,0,1,0,-1,0
227,5,32,0,1,1,0,0,0,1,0,-1,0
228,5,33,0,1,1,0,0,0,1,0,-1,0
229,5,34,0,1,1,0,0,0,1,0,-1,0
230,5,35,0,1,1,0,0,0,1,0,-1,0
231,5,36,8,0,0,11,776044,-1,0,0,-1,0
232,5,37,0,1,1,0,0,0,1,0,-1,0
233,5,38,5,0,0,10,0,-1,0,0,-1,0
234,6,0,45,0,0,9,0,-1,0,0,-1,0
235,6,1,35,0,0,4,0,-1,0,0,-1,0
236,6,2,67,0,0,5,776044,-1,0,0,-1,0
237,6,3,79,0,0,1,0,-1,0,0,-1,0
238,6,4,52,0,0,1,0,-1,0,0,-1,0
239,6,5,0,1,1,0,0,0,1,1,500069,0
240,6,6,133,0,0,9,0,-1,0,1,500069,0
241,6,7,35,0,0,5,0,-1,0,0,-1,0
242,6,8,30,0,0,1,0,-1,0,0,-1,0
243,6,9,88,0,0,2,0,-1,0,0,-1,0
244,6,10,72,0,0,12,835940,-1,0,0,-1,0
245,6,11,44,0,0,3,0,-1,0,0,-1,0
246,6,12,58,0,0,4,0,-1,0,0,-1,0
247,6,13,45,0,0,6,0,-1,0,0,-1,0
248,6,14,21,0,0,9,0,-1,0,0,-1,0
249,6,15,27,0,0,4,0,-1,0,0,-1,0
250,6,16,97,0,0,5,776044,-1,0,0,-1,0
251,6,17,0,1,1,0,0,0,1,0,-1,0
252,6,18,55,0,0,8,0,-1,0,0,-1,0
253,6,19,44,0,0,0,0,-1,0,0,-1,0
254,6,20,133,0,0,9,0,-1,0,0,-1,0
255,6,21,52,0,0,1,0,-1,0,0,-1,0
256,6,22,79,0,0,5,0,-1,0,0,-1,0
257,6,23,53,0,0,5,776044,-1,0,0,-1,0
258,6,24,0,1,1,0,0,0,1,0,-1,0
259,6,25,73,0,0,11,671877,-1,0,0,-1,0
260,6,26,88,0,0,1,0,-1,0,0,-1,0
261,6,27,43,0,0,9,0,-1,0,0,-1,0
262,6,28,88,0,0,3,0,-1,0,0,-1,0
263,6,29,44,0,0,2,0,-1,0,0,-1,0
264,6,30,44,0,0,3,0,-1,0,0,-1,0
265,6,31,38,0,0,10,388022,-1,0,0,-1,0
266,6,32,44,0,0,12,447918,-1,0,0,-1,0
267,6,33,44,0,0,2,0,-1,0,0,-1,0
268,6,34,40,0,0,12,835940,-1,0,0,-1,0
269,6,35,11,0,0,5,0,-1,0,0,-1,0
270,6,36,6,0,0,10,388022,-1,0,0,-1,0
271,6,37,50,0,0,13,895836,-1,0,0,-1,0
272,6,38,58,0,0,4,0,-1,0,0,-1,0
273,7,0,62,0,0,3,0,-1,0,0,-1,0
274,7,1,62,0,0,5,0,-1,0,0,-1,0
275,7,2,18,0,0,5,552085,-1,0,0,-1,0
276,7,3,62,0,0,4,0,-1,0,0,-1,0
277,7,4,0,1,1,0,0,0,1,0,-1,0
278,7,5,0,1,1,0,0,0,1,0,-1,0
279,7,6,35,0,0,5,0,-1,0,0,-1,0
280,7,7,62,0,0,5,0,-1,0,0,-1,0
281,7,8,0,1,1,0,0,0,1,0,-1,0
282,7,9,0,1,1,0,0,0,1,0,-1,0
283,7,10,28,0,0,11,552085,-1,0,0,-1,0
284,7,11,0,1,1,0,0,0,1,0,-1,0
285,7,12,16,0,0,4,0,-1,0,0,-1,0
286,7,13,62,0,0,5,0,-1,0,0,-1,0
287,7,14,19,0,0,5,0,-1,0,0,-1,0
288,7,15,4,0,0,4,0,-1,0,0,-1,0
289,7,16,18,0,0,5,552085,-1,0,0,-1,0
290,7,17,0,1,1,0,0,0,1,0,-1,0
291,7,18,38,0,0,5,0,-1,0,0,-1,0
292,7,19,0,1,1,0,0,0,1,0,-1,0
293,7,20,62,0,1,1,0,0,1,0,-1,0
294,7,21,0,1,1,0,0,0,1,0,-1,0
295,7,22,35,0,0,5,0,-1,0,0,-1,0
296,7,23,18,0,0,5,104167,-1,0,0,-1,0
297,7,24,0,1,1,0,0,0,1,0,-1,0
298,7,25,18,0,0,5,104167,-1,0,0,-1,0
299,7,26,0,1,1,0,0,0,1,0,-1,0
300,7,27,19,0,0,4,0,-1,0,0,-1,0
301,7,28,0,1,1,0,0,0,1,0,-1,0
302,7,29,0,1,1,0,0,0,1,0,-1,0
303,7,30,0,1,1,0,0,0,1,0,-1,0
304,7,31,20,0,0,10,552085,-1,0,0,-1,0
305,7,32,8,0,0,11,656252,-1,0,0,-1,0
306,7,33,0,1,1,0,0,0,1,0,-1,0
307,7,34,28,0,0,11,776044,-1,0,0,-1,0
308,7,35,38,0,0,5,0,-1,0,0,-1,0
309,7,36,20,0,0,10,776044,-1,0,0,-1,0
310,7,37,0,1,1,0,0,0,1,0,-1,0
311,7,38,16,0,0,4,0,-1,0,0,-1,0
312,8,0,11,0,0,1,0,-1,0,0,-1,0
313,8,1,0,1,1,0,0,0,1,0,-1,0
314,8,2,14,0,0,0,0,-1,0,0,-1,0
315,8,3,52,0,0,0,0,-1,0,0,-1,0
316,8,4,63,0,0,5,0,-1,0,0,-1,0
317,8,5,12,0,0,12,0,-1,0,0,-1,0
318,8,6,30,0,0,1,0,-1,0,0,-1,0
319,8,7,0,1,1,0,0,0,1,0,-1,0
320,8,8,75,0,0,12,0,-1,0,0,-1,0
321,8,9,22,0,0,0,0,-1,0,0,-1,0
322,8,10,29,0,0,13,671877,-1,0,0,-1,0
323,8,11,0,1,1,0,0,0,1,0,-1,0
324,8,12,27,0,0,0,0,-1,0,0,-1,0
325,8,13,8,0,0,1,0,-1,0,0,-1,0
326,8,14,20,0,0,3,0,-1,0,0,-1,0
327,8,15,33,0,0,10,0,-1,0,0,-1,0
328,8,16,30,0,0,11,223959,-1,0,0,-1,0
329,8,17,12,0,0,10,0,-1,0,0,-1,0
330,8,18,0,1,1,0,0,0,1,0,-1,0
331,8,19,30,0,0,11,776044,-1,0,0,-1,0
332,8,20,75,0,0,2,0,-1,0,0,-1,0
333,8,21,30,0,0,9,0,-1,0,0,-1,0
334,8,22,22,0,0,0,0,-1,0,0,-1,0
335,8,23,22,0,0,0,0,-1,0,0,-1,0
336,8,24,12,0,1,1,0,0,1,0,-1,0
337,8,25,20,0,0,13,791669,-1,0,0,-1,0
338,8,26,64,0,0,10,0,-1,0,0,-1,0
339,8,27,63,0,0,1,0,-1,0,0,-1,0
340,8,28,22,0,0,0,0,-1,0,0,-1,0
341,8,29,0,1,1,0,0,0,1,0,-1,0
342,8,30,0,1,1,0,0,0,1,0,-1,0
343,8,31,0,1,1,0,0,0,1,0,-1,0
344,8,32,18,0,0,11,791669,-1,0,0,-1,0
345,8,33,0,1,1,0,0,0,1,0,-1,0
346,8,34,21,0,0,11,895836,-1,0,0,-1,0
347,8,35,0,1,1,0,0,0,1,0,-1,0
348,8,36,8,0,0,11,223959,-1,0,0,-1,0
349,8,37,6,0,0,10,791669,-1,0,0,-1,0
350,8,38,32,0,0,10,0,-1,0,0,-1,0
351,9,0,0,1,1,0,0,0,1,0,-1,0
352,9,1,0,1,1,0,0,0,1,0,-1,0
353,9,2,58,0,0,3,0,-1,0,0,-1,0
354,9,3,44,0,0,0,0,-1,0,0,-1,0
355,9,4,44,0,0,0,0,-1,0,0,-1,0
356,9,5,0,1,1,0,0,0,1,0,-1,0
357,9,6,88,0,0,2,0,-1,0,0,-1,0
358,9,7,0,1,1,0,0,0,1,0,-1,0
359,9,8,22,0,0,0,0,-1,0,0,-1,0
360,9,9,88,0,0,3,0,-1,0,0,-1,0
361,9,10,58,0,0,3,0,-1,0,0,-1,0
362,9,11,44,0,0,3,0,-1,0,0,-1,0
363,9,12,46,0,0,3,0,-1,0,0,-1,0
364,9,13,0,1,1,0,0,0,1,0,-1,0
365,9,14,0,1,1,0,0,0,1,0,-1,0
366,9,15,23,0,0,2,0,-1,0,0,-1,0
367,9,16,88,0,0,3,0,-1,0,0,-1,0
368,9,17,0,1,1,0,0,0,1,0,-1,0
369,9,18,44,0,0,2,0,-1,0,0,-1,0
370,9,19,44,0,0,0,0,-1,0,0,-1,0
371,9,20,88,0,0,1,0,-1,0,0,-1,0
372,9,21,44,0,0,0,0,-1,0,0,-1,0
373,9,22,44,0,0,0,0,-1,0,0,-1,0
374,9,23,44,0,0,0,0,-1,0,0,-1,0
375,9,24,0,1,1,0,0,0,1,0,-1,0
376,9,25,58,0,0,2,0,-1,0,0,-1,0
377,9,26,88,0,0,3,0,-1,0,0,-1,0
378,9,27,22,0,0,0,0,-1,0,0,-1,0
379,9,28,88,0,0,3,0,-1,0,0,-1,0
380,9,29,44,0,0,3,0,-1,0,0,-1,0
381,9,30,44,0,0,2,0,-1,0,0,-1,0
382,9,31,32,0,0,3,0,-1,0,0,-1,0
383,9,32,36,0,0,2,0,-1,0,0,-1,0
384,9,33,44,0,0,3,0,-1,0,0,-1,0
385,9,34,26,0,0,0,0,-1,0,0,-1,0
386,9,35,0,1,1,0,0,0,1,0,-1,0
387,9,36,0,1,1,0,0,0,1,0,-1,0
388,9,37,44,0,0,2,0,-1,0,0,-1,0
389,9,38,46,0,0,3,0,-1,0,0,-1,0
390,10,0,56,0,0,15,298612,-1,0,0,-1,0
391,10,1,28,0,0,10,925350,-1,0,0,-1,0
392,10,2,67,0,0,7,0,-1,0,0,-1,0
393,10,3,84,0,0,10,462675,-1,0,0,-1,0
394,10,4,62,0,0,11,447918,-1,0,0,-1,0
395,10,5,8,0,0,11,223959,-1,0,0,-1,0
396,10,6,72,0,0,12,835940,-1,0,0,-1,0
397,10,7,28,0,0,11,552085,-1,0,0,-1,0
398,10,8,29,0,0,13,671877,-1,0,0,-1,0
399,10,9,58,0,0,3,0,-1,0,0,-1,0
400,10,10,156,0,0,33,253907,-1,0,0,-1,0
401,10,11,48,0,0,36,835940,-1,0,0,-1,0
402,10,12,61,0,0,11,104167,-1,0,0,-1,0
403,10,13,54,0,0,16,671877,-1,0,0,-1,0
404,10,14,26,0,0,12,447918,-1,0,0,-1,0
405,10,15,39,0,0,36,864586,-1,0,0,-1,0
406,10,16,134,0,0,34,582033,-1,0,0,-1,0
407,10,17,12,0,0,11,611981,-1,0,0,-1,0
408,10,18,78,0,0,9,0,-1,0,0,-1,0
409,10,19,38,0,0,4,0,-1,0,0,-1,0
410,10,20,156,0,0,14,537328,-1,0,0,-1,0
411,10,21,30,0,0,11,343751,-1,0,0,-1,0
412,10,22,36,0,0,11,388022,-1,0,0,-1,0
413,10,23,68,0,0,10,328126,-1,0,0,-1,0
414,10,24,12,0,0,10,611981,-1,0,0,-1,0
415,10,25,93,0,0,34,179688,-1,0,0,-1,0
416,10,26,116,0,0,27,970055,-1,0,0,-1,0
417,10,27,35,0,0,12,223959,-1,0,0,-1,0
418,10,28,80,0,0,32,417970,-1,0,0,-1,0
419,10,29,32,0,0,3,0,-1,0,0,-1,0
420,10,30,32,0,0,3,0,-1,0,0,-1,0
421,10,31,74,0,0,35,582033,-1,0,0,-1,0
422,10,32,61,0,0,35,671877,-1,0,0,-1,0
423,10,33,48,0,0,27,746096,-1,0,0,-1,0
424,10,34,90,0,0,12,343751,-1,0,0,-1,0
425,10,35,24,0,0,10,388022,-1,0,0,-1,0
426,10,36,32,0,0,15,0,-1,0,0,-1,0
427,10,37,52,0,0,33,179688,-1,0,0,-1,0
428,10,38,74,0,0,33,656252,-1,0,0,-1,0
429,11,0,18,0,0,4,0,-1,0,0,-1,0
430,11,1,0,1,1,0,0,0,1,0,-1,0
431,11,2,44,0,0,3,0,-1,0,0,-1,0
432,11,3,0,1,1,0,0,0,1,0,-1,0
433,11,4,0,1,1,0,0,0,1,0,-1,0
434,11,5,0,1,1,0,0,0,1,0,-1,0
435,11,6,44,0,0,3,0,-1,0,0,-1,0
436,11,7,0,1,1,0,0,0,1,0,-1,0
437,11,8,0,1,1,0,0,0,1,0,-1,0
438,11,9,44,0,0,3,0,-1,0,0,-1,0
439,11,10,48,0,0,36,835940,-1,0,0,-1,0
440,11,11,62,0,0,37,164063,-1,0,0,-1,0
441,11,12,36,0,0,3,0,-1,0,0,-1,0
442,11,13,18,0,0,37,671877,-1,0,0,-1,0
443,11,14,0,1,1,0,0,0,1,0,-1,0
444,11,15,22,0,0,29,208334,-1,0,0,-1,0
445,11,16,61,0,0,34,0,-1,0,0,-1,0
446,11,17,0,1,1,0,0,0,1,0,-1,0
447,11,18,62,0,0,37,835940,-1,0,0,-1,0
448,11,19,0,1,1,0,0,0,1,0,-1,0
449,11,20,62,0,0,4,0,-1,0,0,-1,0
450,11,21,0,1,1,0,0,0,1,0,-1,0
451,11,22,0,1,1,0,0,0,1,0,-1,0
452,11,23,0,1,1,0,0,0,1,0,-1,0
453,11,24,0,1,1,0,0,0,1,0,-1,0
454,11,25,60,0,0,36,328126,-1,0,0,-1,0
455,11,26,62,0,0,25,164063,-1,0,0,-1,0
456,11,27,0,1,1,0,0,0,1,0,-1,0
457,11,28,60,0,0,32,328126,-1,0,0,-1,0
458,11,29,44,0,0,3,0,-1,0,0,-1,0
459,11,30,44,0,0,3,0,-1,0,0,-1,0
460,11,31,48,0,0,36,835940,-1,0,0,-1,0
461,11,32,38,0,0,36,671877,-1,0,0,-1,0
462,11,33,62,0,0,36,0,-1,0,0,-1,0
463,11,34,0,1,1,0,0,0,1,0,-1,0
464,11,35,0,1,1,0,0,0,1,0,-1,0
465,11,36,0,1,1,0,0,0,1,0,-1,0
466,11,37,56,0,0,27,835940,-1,0,0,-1,0
467,11,38,40,0,0,29,104167,-1,0,0,-1,0
468,12,0,24,0,0,4,0,-1,0,0,-1,0
469,12,1,24,0,0,4,0,-1,0,0,-1,0
470,12,2,61,0,0,4,0,-1,0,0,-1,0
471,12,3,78,0,0,4,0,-1,0,0,-1,0
472,12,4,54,0,0,0,0,-1,0,0,-1,0
473,12,5,0,1,1,0,0,0,1,0,-1,0
474,12,6,58,0,0,4,0,-1,0,0,-1,0
475,12,7,16,0,0,4,0,-1,0,0,-1,0
476,12,8,27,0,0,0,0,-1,0,0,-1,0
477,12,9,46,0,0,3,0,-1,0,0,-1,0
478,12,10,61,0,0,11,104167,-1,0,0,-1,0
479,12,11,36,0,0,3,0,-1,0,0,-1,0
480,12,12,114,0,0,9,402779,-1,0,0,-1,0
481,12,13,16,0,0,4,0,-1,0,0,-1,0
482,12,14,12,0,0,4,0,-1,0,0,-1,0
483,12,15,57,0,0,10,611113,-1,0,0,-1,0
484,12,16,76,0,0,4,0,-1,0,0,-1,0
485,12,17,0,1,1,0,0,0,1,0,-1,0
486,12,18,44,0,0,4,0,-1,0,0,-1,0
487,12,19,10,0,0,0,0,-1,0,0,-1,0
488,12,20,114,0,0,4,0,-1,0,0,-1,0
489,12,21,10,0,0,0,0,-1,0,0,-1,0
490,12,22,22,0,0,4,0,-1,0,0,-1,0
491,12,23,40,0,0,4,0,-1,0,0,-1,0
