shell,support_size_k,complement_size_r,shell_blocks,intersection_profile,gap_degree,quotient_degree,factor_x_minus_1_squared,quotient_coefficients_nonnegative,quotient_coeff_min,quotient_coeff_max,quotient_coefficients_ascending,certified
12,7,17,2576,0 112 336 840 840 336 112 0 0 0 0 0 0,12,10,True,True,303063824,233134635216,62178377744 102953222176 233134635216 202789548416 170053282336 73106416320 41575408672 10044401024 5325264336 606127648 303063824,True
12,8,16,2576,0 0 448 0 1680 0 448 0 0 0 0 0 0,12,10,True,True,675282944,260952817664,43218108416 86436216832 173694517248 260952817664 189226024960 117499232256 68203577344 18907922432 10129244160 1350565888 675282944,True
12,9,15,2576,0 0 168 280 840 840 280 168 0 0 0 0 0,12,10,True,True,1368992016,258195633696,29342250000 58684500000 161553550032 210913766784 258195633696 144951000768 104956054560 32855808384 17796896208 2737984032 1368992016,True
12,10,14,2576,0 0 56 224 560 896 560 224 56 0 0 0 0,12,10,True,True,2576000000,270060980224,19396084736 38792169472 130612564992 179625893888 270060980224 189267800064 142827833344 53580800000 29366400000 5152000000 2576000000,True
12,11,13,2576,0 0 16 120 384 768 768 384 120 16 0 0 0,12,10,True,True,4563541136,256660593952,12433859984 24867719968 97369683024 146939288960 256660593952 219614813376 186457091872 79915827584 46050278736 9127082272 4563541136,True
12,12,12,2576,0 0 0 64 216 576 864 576 216 64 0 0 0,12,10,True,True,7691894784,232190115840,7691894784 15383789568 69227053056 110839726080 226552578048 232190115840 226552578048 110839726080 69227053056 15383789568 7691894784,True
12,13,11,2576,0 0 0 16 120 384 768 768 384 120 16 0 0,12,10,True,True,4563541136,256660593952,4563541136 9127082272 46050278736 79915827584 186457091872 219614813376 256660593952 146939288960 97369683024 24867719968 12433859984,True
12,14,10,2576,0 0 0 0 56 224 560 896 560 224 56 0 0,12,10,True,True,2576000000,270060980224,2576000000 5152000000 29366400000 53580800000 142827833344 189267800064 270060980224 179625893888 130612564992 38792169472 19396084736,True
12,15,9,2576,0 0 0 0 0 168 280 840 840 280 168 0 0,12,10,True,True,1368992016,258195633696,1368992016 2737984032 17796896208 32855808384 104956054560 144951000768 258195633696 210913766784 161553550032 58684500000 29342250000,True
12,16,8,2576,0 0 0 0 0 0 448 0 1680 0 448 0 0,12,10,True,True,675282944,260952817664,675282944 1350565888 10129244160 18907922432 68203577344 117499232256 189226024960 260952817664 173694517248 86436216832 43218108416,True
12,17,7,2576,0 0 0 0 0 0 112 336 840 840 336 112 0,12,10,True,True,303063824,233134635216,303063824 606127648 5325264336 10044401024 41575408672 73106416320 170053282336 202789548416 233134635216 102953222176 62178377744,True
12,18,6,2576,0 0 0 0 0 0 16 192 600 960 600 192 16,12,10,True,True,120185856,240859173888,120185856 240371712 2523902976 4807434240 23316056064 41824677888 122176014336 165835579392 240859173888 132423911424 84557841408,True
12,19,5,2576,0 0 0 0 0 0 0 48 360 880 880 360 48,12,10,True,True,40250000,221639908944,40250000 80500000 1038450000 1996400000 11672500000 21348600000 75196660000 119871777152 221639908944 155237421856 112017246608,True
12,20,4,2576,0 0 0 0 0 0 0 0 120 640 1056 640 120,12,10,True,True,10551296,177215176704,10551296 21102592 348192768 675282944 4959109120 9242935296 39905001472 70567067648 177215176704 161557381120 141931642880,True
12,21,3,2576,0 0 0 0 0 0 0 0 0 280 1008 1008 280,12,10,True,True,1877904,167424694416,1877904 3755808 84505680 165255552 1626264864 3087274176 17430704928 31774135680 113750278992 142217589024 167424694416,True
12,22,2,2576,0 0 0 0 0 0 0 0 0 0 616 1344 616,12,10,True,True,164864,174347199488,164864 329728 11375616 22421504 332695552 642969600 5341923328 10040877056 50946438144 91851999232 174347199488,True
12,23,1,2576,0 0 0 0 0 0 0 0 0 0 0 1288 1288,12,10,True,True,2576,135199816976,2576 5152 363216 721280 21519904 42318528 689960992 1337603456 12798302160 24259000864 135199816976,True
12,24,0,2576,0 0 0 0 0 0 0 0 0 0 0 0 2576,0,0,True,True,0,0,0,True
16,0,24,759,759 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0,0,True,True,0,0,0,True
16,1,23,759,253 506 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16,14,True,True,759,31588983341751,31588983341751 7479857710446 4044832193325 609806676204 320839872111 31873068018 16476586797 1080105576 551576685 23047794 11665071 282348 141933 1518 759,True
16,2,22,759,77 352 330 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16,14,True,True,194304,33174988822272,33174988822272 27603467054592 15998573800704 4393680546816 2426986172160 460291797504 245997219072 31702640640 16544402688 1386164736 710569728 34974720 17681664 388608 194304,True
16,3,21,759,21 168 360 210 0 0 0 0 0 0 0 0 0 0 0 0 0,16,14,True,True,4979799,35384116168269,26395968657303 34299284533038 35384116168269 13353131826540 7726461916239 2099792005938 1160069076045 220346146152 117578034189 14809922226 7693789455 577656684 293808141 9959598 4979799,True
16,4,20,759,5 64 240 320 130 0 0 0 0 0 0 0 0 0 0 0 0,16,14,True,True,49741824,47220994670592,18880023429120 30715226750976 47220994670592 28502662053888 17236586594304 5970511134720 3409254875136 847998615552 462947155968 77895696384 41037004800 4178313216 2138898432 99483648 49741824,True
16,5,19,759,1 20 120 280 260 78 0 0 0 0 0 0 0 0 0 0 0,16,14,True,True,296484375,47867242829709,12780449033943 23359391784366 47867242829709 41554005905772 31616663871375 13093447331250 7725744778125 2358042225000 1317811378125 277580531250 148396359375 19212187500 9902578125 592968750 296484375,True
16,6,18,759,1 0 60 160 300 192 46 0 0 0 0 0 0 0 0 0 0,16,14,True,True,1274828544,46804011494400,8254074763008 16508149526016 40462105644288 46804011494400 46145123331840 24351774847488 14842828737792 5333882628096 3053214362880 772546097664 419418590976 66291084288 34420370688 2549657088 1274828544,True
16,7,17,759,1 0 0 140 140 336 112 30 0 0 0 0 0 0 0 0 0,16,14,True,True,4375483959,57149705038383,5184524583543 10369049167086 32994608707821 40209624263916 57149705038383 37104480249714 25430733734637 10454727794280 6133089076653 1811450359026 999485550063 187520741100 98135854509 8750967918 4375483959,True
16,8,16,759,1 0 0 0 280 0 448 0 30 0 0 0 0 0 0 0 0,16,14,True,True,12733906944,55053058572288,3149804863488 6299609726976 22488935301120 38678260875264 46865659723776 55053058572288 36745877913600 18438697254912 11091232948224 3743768641536 2101094645760 458420649984 241944231936 25467813888 12733906944,True
16,9,15,759,0 1 0 0 70 210 168 280 15 15 0 0 0 0 0 0 0,16,14,True,True,32672461239,54155126880621,1945233984375 3780392654574 14952674449773 26124956244972 49199924610351 49159076998770 54155126880621 28330088793192 18501083699373 7020948892914 4011452185455 1001955477996 533650200237 65344922478 32672461239,True
16,10,14,759,0 0 1 0 14 112 210 224 175 16 7 0 0 0 0 0 0,16,14,True,True,75900000000,57763161967872,1120123893504 2240247787008 9651004329216 17061760871424 38933232922368 48476269785600 57763161967872 42393183774720 28170446400768 12186504000000 7095132000000 2003760000000 1077780000000 151800000000 75900000000,True
16,11,13,759,0 0 0 1 2 36 148 230 219 108 12 3 0 0 0 0 0,16,14,True,True,162698390679,58213545526029,619139617239 1238279234478 6048517799181 10748681049708 27640794400911 40570196441778 58213545526029 50539572349800 40976031230157 19524356179506 11790927172431 3727272222828 2026334502093 325396781358 162698390679,True
16,12,12,759,0 0 0 0 3 0 72 192 225 192 72 0 3 0 0 0 0,16,14,True,True,326356107264,53073500700672,326356107264 652712214528 3589917179904 6527122145280 18272072171520 30017022197760 52112491610112 53073500700672 52112491610112 30017022197760 18272072171520 6527122145280 3589917179904 652712214528 326356107264,True
16,13,11,759,0 0 0 0 0 3 12 108 219 230 148 36 2 1 0 0 0,16,14,True,True,162698390679,58213545526029,162698390679 325396781358 2026334502093 3727272222828 11790927172431 19524356179506 40976031230157 50539572349800 58213545526029 40570196441778 27640794400911 10748681049708 6048517799181 1238279234478 619139617239,True
16,14,10,759,0 0 0 0 0 0 7 16 175 224 210 112 14 0 1 0 0,16,14,True,True,75900000000,57763161967872,75900000000 151800000000 1077780000000 2003760000000 7095132000000 12186504000000 28170446400768 42393183774720 57763161967872 48476269785600 38933232922368 17061760871424 9651004329216 2240247787008 1120123893504,True
16,15,9,759,0 0 0 0 0 0 0 15 15 280 168 210 70 0 0 1 0,16,14,True,True,32672461239,54155126880621,32672461239 65344922478 533650200237 1001955477996 4011452185455 7020948892914 18501083699373 28330088793192 54155126880621 49159076998770 49199924610351 26124956244972 14952674449773 3780392654574 1945233984375,True
16,16,8,759,0 0 0 0 0 0 0 0 30 0 448 0 280 0 0 0 1,16,14,True,True,12733906944,55053058572288,12733906944 25467813888 241944231936 458420649984 2101094645760 3743768641536 11091232948224 18438697254912 36745877913600 55053058572288 46865659723776 38678260875264 22488935301120 6299609726976 3149804863488,True
16,17,7,759,0 0 0 0 0 0 0 0 0 30 112 336 140 140 0 0 1,16,14,True,True,4375483959,57149705038383,4375483959 8750967918 98135854509 187520741100 999485550063 1811450359026 6133089076653 10454727794280 25430733734637 37104480249714 57149705038383 40209624263916 32994608707821 10369049167086 5184524583543,True
16,18,6,759,0 0 0 0 0 0 0 0 0 0 46 192 300 160 60 0 1,16,14,True,True,1274828544,46804011494400,1274828544 2549657088 34420370688 66291084288 419418590976 772546097664 3053214362880 5333882628096 14842828737792 24351774847488 46145123331840 46804011494400 40462105644288 16508149526016 8254074763008,True
16,19,5,759,0 0 0 0 0 0 0 0 0 0 0 78 260 280 120 20 1,16,14,True,True,296484375,47867242829709,296484375 592968750 9902578125 19212187500 148396359375 277580531250 1317811378125 2358042225000 7725744778125 13093447331250 31616663871375 41554005905772 47867242829709 23359391784366 12780449033943,True
16,20,4,759,0 0 0 0 0 0 0 0 0 0 0 0 130 320 240 64 5,16,14,True,True,49741824,47220994670592,49741824 99483648 2138898432 4178313216 41037004800 77895696384 462947155968 847998615552 3409254875136 5970511134720 17236586594304 28502662053888 47220994670592 30715226750976 18880023429120,True
16,21,3,759,0 0 0 0 0 0 0 0 0 0 0 0 0 210 360 168 21,16,14,True,True,4979799,35384116168269,4979799 9959598 293808141 577656684 7693789455 14809922226 117578034189 220346146152 1160069076045 2099792005938 7726461916239 13353131826540 35384116168269 34299284533038 26395968657303,True
16,22,2,759,0 0 0 0 0 0 0 0 0 0 0 0 0 0 330 352 77,16,14,True,True,194304,33174988822272,194304 388608 17681664 34974720 710569728 1386164736 16544402688 31702640640 245997219072 460291797504 2426986172160 4393680546816 15998573800704 27603467054592 33174988822272,True
16,23,1,759,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 506 253,16,14,True,True,759,31588983341751,759 1518 141933 282348 11665071 23047794 551576685 1080105576 16476586797 31873068018 320839872111 609806676204 4044832193325 7479857710446 31588983341751,True
16,24,0,759,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 759,0,0,True,True,0,0,0,True
24,0,24,1,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0,0,True,True,0,0,0,True
24,1,23,1,0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,24,22,True,True,1,21914624432020321,21914624432020321 7308901427984066 4136895518914935 964889609845804 527033440877507 89177271909210 47574688462773 5972105016336 3133459283994 294813551652 152789573334 10765595016 5526778134 287961252 146728026 5494800 2782869 70938 35747 556 279 2 1,True
24,2,22,1,0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,24,22,True,True,4096,25710005262098432,12855002631049216 25710005262098432 16068299690962944 6426594119827456 3796708165627904 1166822211428352 661730080542720 156637949657088 86162737176576 15687524696064 8429318529024 1171112361984 617740197888 64368033792 33450467328 2532900864 1300254720 67608576 34353152 1097728 552960 8192 4096,True
24,3,21,1,0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,24,22,True,True,531441,34677472553679879,7355827511386641 14711655022773282 34677472553679879 18122942648529900 11476262044431315 4829581440332730 2900924312925285 972267185517840 560117604189690 147968022861540 82448737780086 16929452698632 9181883658294 1434314617956 760833256122 87351894288 45485503749 3619113210 1855260531 91407852 46235367 1062882 531441,True
24,4,20,1,0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,24,22,True,True,16777216,36044800000000000,4096000000000000 8192000000000000 22118400000000000 36044800000000000 24264292563943424 12483785127886848 7912237691830272 3340690255773696 2013174819717120 685659383660544 396234187603968 106808991547392 59604851490816 12400711434240 6720180977664 1039650521088 549571264512 59492007936 30786191360 2080374784 1056964608 33554432 16777216,True
24,5,19,1,0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,24,22,True,True,244140625,42151080522381875,2213314919066161 4426629838132322 13629360291091623 22832090744050924 42151080522381875 24949722864656250 16622276895853125 8294830927050000 5221674774056250 2148518621062500 1287695022093750 426871423125000 245272731093750 63674039062500 35283972656250 6893906250000 3702626953125 511347656250 267294921875 23242187500 11865234375 488281250 244140625,True
24,6,18,1,0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,24,22,True,True,2176782336,42417150652293120,1156831381426176 2313662762852352 8097819669983232 13881976577114112 28149563614703616 42417150652293120 29590423732113408 16763696811933696 11006495000469504 5249293189005312 3262504768856064 1275716348706816 755199802957824 234683257208832 133101532717056 31519808225280 17216171495424 2912534765568 1538985111552 165435457536 84894511104 4353564672 2176782336,True
24,7,17,1,0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,24,22,True,True,13841287201,46980366092434005,582622237229761 1165244474459522 4626706001530455 8088167528601388 18069353329724387 28050539130847386 46980366092434005 29389845617964048 20089977983335386 10790110348706724 6952319879149974 3114529409593224 1900677970316118 686826531039012 399071220095898 111315909152784 61894160648565 12472412144346 6667263302147 862114459948 444898517175 27682574402 13841287201,True
24,8,16,1,0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,24,22,True,True,68719476736,46443371157258240,281474976710656 562949953421312 2533274790395904 4503599627370496 11118261580070912 17732923532771328 32088147345014784 46443371157258240 32986379625431040 19529388093603840 13038902235365376 6548416377126912 4121725495148544 1695034613170176 1009970149588992 324905686007808 184099478175744 43293270343680 23433341566976 3573412790272 1855425871872 137438953472 68719476736,True
24,9,15,1,0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,24,22,True,True,282429536481,49940922410156250,129746337890625 259492675781250 1323412646484375 2387332617187500 6534025576171875 10680718535156250 20992957470703125 31305196406250000 49940922410156250 32056300978005924 22162227131480598 12268153284955272 7967462748367446 3666772211779620 2242678806016794 818585400253968 473215918550517 127846436847066 70136668226115 12426899605164 6495879339063 564859072962 282429536481,True
24,10,14,1,0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0,24,22,True,True,1000000000000,48701038848000000,56693912375296 113387824750592 656029557485568 1198671290220544 3650393745797120 6102116201373696 13099268949430272 20096421697486848 34398730272743424 48701038848000000 34831749504000000 20962460160000000 14050462080000000 7138464000000000 4486032000000000 1833600000000000 1082760000000000 331920000000000 184760000000000 37600000000000 19800000000000 2000000000000 1000000000000,True
24,11,13,1,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0,24,22,True,True,3138428376721,51357225392567094,23298085122481 46596170244962 306459427380327 566322684515692 1927123857557171 3287925030598650 7753935710041989 12219946389485328 22597798244578362 32975650099671396 51357225392567094 33218453249406216 22980792705101814 12743132160797412 8235948160718586 3728764160639760 2252120640680229 775477120720698 438524037729107 101570954737516 53923905745479 6276856753442 3138428376721,True
24,12,12,1,0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0,24,22,True,True,8916100448256,49430860885131264,8916100448256 17832200896512 133741506723840 249650812551168 954022747963392 1658394683375616 4324308717404160 6990222751432704 14069606507347968 21148990263263232 35289925574197248 49430860885131264 35289925574197248 21148990263263232 14069606507347968 6990222751432704 4324308717404160 1658394683375616 954022747963392 249650812551168 133741506723840 17832200896512 8916100448256,True
24,13,11,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0,24,22,True,True,3138428376721,51357225392567094,3138428376721 6276856753442 53923905745479 101570954737516 438524037729107 775477120720698 2252120640680229 3728764160639760 8235948160718586 12743132160797412 22980792705101814 33218453249406216 51357225392567094 32975650099671396 22597798244578362 12219946389485328 7753935710041989 3287925030598650 1927123857557171 566322684515692 306459427380327 46596170244962 23298085122481,True
24,14,10,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0,24,22,True,True,1000000000000,48701038848000000,1000000000000 2000000000000 19800000000000 37600000000000 184760000000000 331920000000000 1082760000000000 1833600000000000 4486032000000000 7138464000000000 14050462080000000 20962460160000000 34831749504000000 48701038848000000 34398730272743424 20096421697486848 13099268949430272 6102116201373696 3650393745797120 1198671290220544 656029557485568 113387824750592 56693912375296,True
24,15,9,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0,24,22,True,True,282429536481,49940922410156250,282429536481 564859072962 6495879339063 12426899605164 70136668226115 127846436847066 473215918550517 818585400253968 2242678806016794 3666772211779620 7967462748367446 12268153284955272 22162227131480598 32056300978005924 49940922410156250 31305196406250000 20992957470703125 10680718535156250 6534025576171875 2387332617187500 1323412646484375 259492675781250 129746337890625,True
24,16,8,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0,24,22,True,True,68719476736,46443371157258240,68719476736 137438953472 1855425871872 3573412790272 23433341566976 43293270343680 184099478175744 324905686007808 1009970149588992 1695034613170176 4121725495148544 6548416377126912 13038902235365376 19529388093603840 32986379625431040 46443371157258240 32088147345014784 17732923532771328 11118261580070912 4503599627370496 2533274790395904 562949953421312 281474976710656,True
24,17,7,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0,24,22,True,True,13841287201,46980366092434005,13841287201 27682574402 444898517175 862114459948 6667263302147 12472412144346 61894160648565 111315909152784 399071220095898 686826531039012 1900677970316118 3114529409593224 6952319879149974 10790110348706724 20089977983335386 29389845617964048 46980366092434005 28050539130847386 18069353329724387 8088167528601388 4626706001530455 1165244474459522 582622237229761,True
24,18,6,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0,24,22,True,True,2176782336,42417150652293120,2176782336 4353564672 84894511104 165435457536 1538985111552 2912534765568 17216171495424 31519808225280 133101532717056 234683257208832 755199802957824 1275716348706816 3262504768856064 5249293189005312 11006495000469504 16763696811933696 29590423732113408 42417150652293120 28149563614703616 13881976577114112 8097819669983232 2313662762852352 1156831381426176,True
24,19,5,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0,24,22,True,True,244140625,42151080522381875,244140625 488281250 11865234375 23242187500 267294921875 511347656250 3702626953125 6893906250000 35283972656250 63674039062500 245272731093750 426871423125000 1287695022093750 2148518621062500 5221674774056250 8294830927050000 16622276895853125 24949722864656250 42151080522381875 22832090744050924 13629360291091623 4426629838132322 2213314919066161,True
24,20,4,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0,24,22,True,True,16777216,36044800000000000,16777216 33554432 1056964608 2080374784 30786191360 59492007936 549571264512 1039650521088 6720180977664 12400711434240 59604851490816 106808991547392 396234187603968 685659383660544 2013174819717120 3340690255773696 7912237691830272 12483785127886848 24264292563943424 36044800000000000 22118400000000000 8192000000000000 4096000000000000,True
24,21,3,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0,24,22,True,True,531441,34677472553679879,531441 1062882 46235367 91407852 1855260531 3619113210 45485503749 87351894288 760833256122 1434314617956 9181883658294 16929452698632 82448737780086 147968022861540 560117604189690 972267185517840 2900924312925285 4829581440332730 11476262044431315 18122942648529900 34677472553679879 14711655022773282 7355827511386641,True
24,22,2,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0,24,22,True,True,4096,25710005262098432,4096 8192 552960 1097728 34353152 67608576 1300254720 2532900864 33450467328 64368033792 617740197888 1171112361984 8429318529024 15687524696064 86162737176576 156637949657088 661730080542720 1166822211428352 3796708165627904 6426594119827456 16068299690962944 25710005262098432 12855002631049216,True
24,23,1,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0,24,22,True,True,1,21914624432020321,1 2 279 556 35747 70938 2782869 5494800 146728026 287961252 5526778134 10765595016 152789573334 294813551652 3133459283994 5972105016336 47574688462773 89177271909210 527033440877507 964889609845804 4136895518914935 7308901427984066 21914624432020321,True
24,24,0,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,0,0,True,True,0,0,0,True
