shell,h2_basis_index,Act_support_size,Act_profile_ids,Act_image_zero,Act_image_nonnegative_by_three_level_certificates,status_multiset
12,523,6,"4559,4562,4577,4578,4580,4581",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
12,524,6,"4526,4531,4559,4562,4580,4584",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
12,525,8,"4526,4531,4559,4562,4577,4578,4580,4583",False,True,"{""EXACT_RATIONAL_PASS"": 8}"
12,526,8,"4474,4483,4526,4531,4559,4562,4580,4586",False,True,"{""EXACT_RATIONAL_PASS"": 8}"
12,527,10,"4474,4483,4526,4531,4559,4562,4577,4578,4580,4585",False,True,"{""EXACT_RATIONAL_PASS"": 10}"
12,528,10,"4396,4411,4474,4483,4526,4531,4559,4562,4580,4588",False,True,"{""EXACT_RATIONAL_PASS"": 10}"
12,529,12,"4396,4411,4474,4483,4526,4531,4559,4562,4577,4578,4580,4587",False,True,"{""EXACT_RATIONAL_PASS"": 12}"
12,530,14,"4109,4110,4279,4300,4396,4411,4474,4483,4526,4531,4559,4562,4580,4590",False,True,"{""EXACT_RATIONAL_PASS"": 14}"
12,531,14,"4279,4300,4396,4411,4474,4483,4526,4531,4559,4562,4577,4578,4580,4589",False,True,"{""EXACT_RATIONAL_PASS"": 14}"
12,532,4,"4578,4580,4591,4592",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,533,6,"4559,4562,4578,4580,4591,4593",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
12,534,8,"4526,4531,4559,4562,4578,4580,4591,4594",False,True,"{""EXACT_RATIONAL_PASS"": 8}"
12,535,10,"4474,4483,4526,4531,4559,4562,4578,4580,4591,4595",False,True,"{""EXACT_RATIONAL_PASS"": 10}"
12,536,12,"4396,4411,4474,4483,4526,4531,4559,4562,4578,4580,4591,4596",False,True,"{""EXACT_RATIONAL_PASS"": 12}"
12,537,4,"4578,4580,4597,4598",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,538,6,"4559,4562,4578,4580,4597,4599",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
12,539,8,"4526,4531,4559,4562,4578,4580,4597,4600",False,True,"{""EXACT_RATIONAL_PASS"": 8}"
12,540,10,"4474,4483,4526,4531,4559,4562,4578,4580,4597,4601",False,True,"{""EXACT_RATIONAL_PASS"": 10}"
12,541,4,"4578,4580,4602,4603",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,542,6,"4559,4562,4578,4580,4602,4604",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
12,543,8,"4526,4531,4559,4562,4578,4580,4602,4605",False,True,"{""EXACT_RATIONAL_PASS"": 8}"
12,544,4,"4578,4580,4606,4607",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,545,6,"4559,4562,4578,4580,4606,4608",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
12,546,4,"4578,4580,4609,4610",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,0,4,"4569,4572,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,1,4,"6,7,4572,4573",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,2,2,"111,113",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,3,4,"41,43,115,116",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,4,4,"41,44,115,117",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,5,4,"41,45,115,118",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,6,4,"41,46,115,119",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,7,4,"41,47,115,120",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,8,4,"4539,4544,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,9,4,"6,7,4543,4544",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,10,2,"212,214",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,11,6,"41,42,113,115,218,221",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
16,12,4,"113,115,218,220",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,13,6,"41,43,113,115,218,222",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
16,14,6,"41,44,113,115,218,223",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
16,15,6,"41,45,113,115,218,224",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
16,16,6,"41,46,113,115,218,225",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
16,17,4,"4489,4498,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,18,2,"240,244",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,19,4,"6,7,4493,4494",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,20,2,"363,368",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,21,4,"6,7,4495,4498",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,22,2,"364,367",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,23,4,"4488,4498,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,24,4,"6,7,4497,4498",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,25,2,"365,367",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,26,2,"371,372",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,27,4,"214,218,372,377",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,28,4,"214,218,372,376",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,29,6,"113,115,214,218,372,379",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
16,30,8,"41,43,113,115,214,218,372,381",False,True,"{""EXACT_RATIONAL_PASS"": 8}"
16,31,8,"41,44,113,115,214,218,372,382",False,True,"{""EXACT_RATIONAL_PASS"": 8}"
16,32,8,"41,45,113,115,214,218,372,383",False,True,"{""EXACT_RATIONAL_PASS"": 8}"
16,33,4,"4410,4426,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,34,4,"4411,4426,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,35,2,"418,420",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,36,4,"6,7,4417,4422",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,37,2,"620,624",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,38,2,"4424,4426",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,39,2,"622,625",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,40,4,"6,7,406,418",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,41,6,"6,7,4398,4412,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
16,42,4,"6,7,4425,4426",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,43,2,"623,625",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,44,4,"367,368,629,633",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,45,2,"630,633",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,46,2,"627,633",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,47,2,"631,633",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
