control_id,challenge_id,case_type_code,public_digest_check_flag,opening_digest_check_flag,source_match_flag,target_match_flag,residual_code_match_flag,expected_accept_flag,actual_accept_flag
74,12,2,1,0,1,1,1,0,0
75,12,3,1,1,0,1,1,0,0
76,12,4,1,1,1,0,1,0,0
77,12,5,1,1,1,1,0,0,0
78,13,0,1,1,1,1,1,1,1
79,13,1,0,1,1,1,1,0,0
80,13,2,1,0,1,1,1,0,0
81,13,3,1,1,0,1,1,0,0
82,13,4,1,1,1,0,1,0,0
83,13,5,1,1,1,1,0,0,0
84,14,0,1,1,1,1,1,1,1
85,14,1,0,1,1,1,1,0,0
86,14,2,1,0,1,1,1,0,0
87,14,3,1,1,0,1,1,0,0
88,14,4,1,1,1,0,1,0,0
89,14,5,1,1,1,1,0,0,0
90,15,0,1,1,1,1,1,1,1
91,15,1,0,1,1,1,1,0,0
92,15,2,1,0,1,1,1,0,0
93,15,3,1,1,0,1,1,0,0
94,15,4,1,1,1,0,1,0,0
95,15,5,1,1,1,1,0,0,0
96,16,0,1,1,1,1,1,1,1
97,16,1,0,1,1,1,1,0,0
98,16,2,1,0,1,1,1,0,0
99,16,3,1,1,0,1,1,0,0
100,16,4,1,1,1,0,1,0,0
101,16,5,1,1,1,1,0,0,0
102,17,0,1,1,1,1,1,1,1
103,17,1,0,1,1,1,1,0,0
104,17,2,1,0,1,1,1,0,0
105,17,3,1,1,0,1,1,0,0
106,17,4,1,1,1,0,1,0,0
107,17,5,1,1,1,1,0,0,0
108,18,0,1,1,1,1,1,1,1
109,18,1,0,1,1,1,1,0,0
110,18,2,1,0,1,1,1,0,0
111,18,3,1,1,0,1,1,0,0
112,18,4,1,1,1,0,1,0,0
113,18,5,1,1,1,1,0,0,0
114,19,0,1,1,1,1,1,1,1
115,19,1,0,1,1,1,1,0,0
116,19,2,1,0,1,1,1,0,0
117,19,3,1,1,0,1,1,0,0
118,19,4,1,1,1,0,1,0,0
119,19,5,1,1,1,1,0,0,0
120,20,0,1,1,1,1,1,1,1
121,20,1,0,1,1,1,1,0,0
122,20,2,1,0,1,1,1,0,0
123,20,3,1,1,0,1,1,0,0
124,20,4,1,1,1,0,1,0,0
125,20,5,1,1,1,1,0,0,0
126,21,0,1,1,1,1,1,1,1
127,21,1,0,1,1,1,1,0,0
128,21,2,1,0,1,1,1,0,0
129,21,3,1,1,0,1,1,0,0
130,21,4,1,1,1,0,1,0,0
131,21,5,1,1,1,1,0,0,0
132,22,0,1,1,1,1,1,1,1
133,22,1,0,1,1,1,1,0,0
134,22,2,1,0,1,1,1,0,0
135,22,3,1,1,0,1,1,0,0
136,22,4,1,1,1,0,1,0,0
137,22,5,1,1,1,1,0,0,0
138,23,0,1,1,1,1,1,1,1
139,23,1,0,1,1,1,1,0,0
140,23,2,1,0,1,1,1,0,0
141,23,3,1,1,0,1,1,0,0
142,23,4,1,1,1,0,1,0,0
143,23,5,1,1,1,1,0,0,0
144,24,0,1,1,1,1,1,1,1
145,24,1,0,1,1,1,1,0,0
146,24,2,1,0,1,1,1,0,0
147,24,3,1,1,0,1,1,0,0
148,24,4,1,1,1,0,1,0,0
149,24,5,1,1,1,1,0,0,0
150,25,0,1,1,1,1,1,1,1
151,25,1,0,1,1,1,1,0,0
152,25,2,1,0,1,1,1,0,0
153,25,3,1,1,0,1,1,0,0
154,25,4,1,1,1,0,1,0,0
155,25,5,1,1,1,1,0,0,0
156,26,0,1,1,1,1,1,1,1
157,26,1,0,1,1,1,1,0,0
158,26,2,1,0,1,1,1,0,0
159,26,3,1,1,0,1,1,0,0
160,26,4,1,1,1,0,1,0,0
161,26,5,1,1,1,1,0,0,0
162,27,0,1,1,1,1,1,1,1
163,27,1,0,1,1,1,1,0,0
164,27,2,1,0,1,1,1,0,0
165,27,3,1,1,0,1,1,0,0
166,27,4,1,1,1,0,1,0,0
167,27,5,1,1,1,1,0,0,0
168,28,0,1,1,1,1,1,1,1
169,28,1,0,1,1,1,1,0,0
170,28,2,1,0,1,1,1,0,0
171,28,3,1,1,0,1,1,0,0
172,28,4,1,1,1,0,1,0,0
173,28,5,1,1,1,1,0,0,0
174,29,0,1,1,1,1,1,1,1
175,29,1,0,1,1,1,1,0,0
176,29,2,1,0,1,1,1,0,0
177,29,3,1,1,0,1,1,0,0
178,29,4,1,1,1,0,1,0,0
179,29,5,1,1,1,1,0,0,0
180,30,0,1,1,1,1,1,1,1
181,30,1,0,1,1,1,1,0,0
182,30,2,1,0,1,1,1,0,0
183,30,3,1,1,0,1,1,0,0
184,30,4,1,1,1,0,1,0,0
185,30,5,1,1,1,1,0,0,0
186,31,0,1,1,1,1,1,1,1
187,31,1,0,1,1,1,1,0,0
188,31,2,1,0,1,1,1,0,0
189,31,3,1,1,0,1,1,0,0
190,31,4,1,1,1,0,1,0,0
191,31,5,1,1,1,1,0,0,0
192,32,0,1,1,1,1,1,1,1
193,32,1,0,1,1,1,1,0,0
194,32,2,1,0,1,1,1,0,0
195,32,3,1,1,0,1,1,0,0
196,32,4,1,1,1,0,1,0,0
197,32,5,1,1,1,1,0,0,0
198,33,0,1,1,1,1,1,1,1
199,33,1,0,1,1,1,1,0,0
200,33,2,1,0,1,1,1,0,0
201,33,3,1,1,0,1,1,0,0
202,33,4,1,1,1,0,1,0,0
203,33,5,1,1,1,1,0,0,0
204,34,0,1,1,1,1,1,1,1
205,34,1,0,1,1,1,1,0,0
206,34,2,1,0,1,1,1,0,0
207,34,3,1,1,0,1,1,0,0
208,34,4,1,1,1,0,1,0,0
209,34,5,1,1,1,1,0,0,0
210,35,0,1,1,1,1,1,1,1
211,35,1,0,1,1,1,1,0,0
212,35,2,1,0,1,1,1,0,0
213,35,3,1,1,0,1,1,0,0
214,35,4,1,1,1,0,1,0,0
215,35,5,1,1,1,1,0,0,0
216,36,0,1,1,1,1,1,1,1
217,36,1,0,1,1,1,1,0,0
218,36,2,1,0,1,1,1,0,0
219,36,3,1,1,0,1,1,0,0
220,36,4,1,1,1,0,1,0,0
221,36,5,1,1,1,1,0,0,0
222,37,0,1,1,1,1,1,1,1
223,37,1,0,1,1,1,1,0,0
224,37,2,1,0,1,1,1,0,0
225,37,3,1,1,0,1,1,0,0
226,37,4,1,1,1,0,1,0,0
227,37,5,1,1,1,1,0,0,0
228,38,0,1,1,1,1,1,1,1
229,38,1,0,1,1,1,1,0,0
230,38,2,1,0,1,1,1,0,0
231,38,3,1,1,0,1,1,0,0
232,38,4,1,1,1,0,1,0,0
233,38,5,1,1,1,1,0,0,0
234,39,0,1,1,1,1,1,1,1
235,39,1,0,1,1,1,1,0,0
236,39,2,1,0,1,1,1,0,0
237,39,3,1,1,0,1,1,0,0
238,39,4,1,1,1,0,1,0,0
239,39,5,1,1,1,1,0,0,0
240,40,0,1,1,1,1,1,1,1
241,40,1,0,1,1,1,1,0,0
242,40,2,1,0,1,1,1,0,0
243,40,3,1,1,0,1,1,0,0
244,40,4,1,1,1,0,1,0,0
245,40,5,1,1,1,1,0,0,0
246,41,0,1,1,1,1,1,1,1
247,41,1,0,1,1,1,1,0,0
248,41,2,1,0,1,1,1,0,0
249,41,3,1,1,0,1,1,0,0
250,41,4,1,1,1,0,1,0,0
251,41,5,1,1,1,1,0,0,0
252,42,0,1,1,1,1,1,1,1
253,42,1,0,1,1,1,1,0,0
254,42,2,1,0,1,1,1,0,0
255,42,3,1,1,0,1,1,0,0
256,42,4,1,1,1,0,1,0,0
257,42,5,1,1,1,1,0,0,0
258,43,0,1,1,1,1,1,1,1
259,43,1,0,1,1,1,1,0,0
260,43,2,1,0,1,1,1,0,0
261,43,3,1,1,0,1,1,0,0
262,43,4,1,1,1,0,1,0,0
263,43,5,1,1,1,1,0,0,0
264,44,0,1,1,1,1,1,1,1
265,44,1,0,1,1,1,1,0,0
266,44,2,1,0,1,1,1,0,0
267,44,3,1,1,0,1,1,0,0
268,44,4,1,1,1,0,1,0,0
269,44,5,1,1,1,1,0,0,0
270,45,0,1,1,1,1,1,1,1
271,45,1,0,1,1,1,1,0,0
272,45,2,1,0,1,1,1,0,0
273,45,3,1,1,0,1,1,0,0
274,45,4,1,1,1,0,1,0,0
275,45,5,1,1,1,1,0,0,0
276,46,0,1,1,1,1,1,1,1
277,46,1,0,1,1,1,1,0,0
278,46,2,1,0,1,1,1,0,0
279,46,3,1,1,0,1,1,0,0
280,46,4,1,1,1,0,1,0,0
281,46,5,1,1,1,1,0,0,0
282,47,0,1,1,1,1,1,1,1
283,47,1,0,1,1,1,1,0,0
284,47,2,1,0,1,1,1,0,0
285,47,3,1,1,0,1,1,0,0
286,47,4,1,1,1,0,1,0,0
287,47,5,1,1,1,1,0,0,0
288,48,0,1,1,1,1,1,1,1
289,48,1,0,1,1,1,1,0,0
290,48,2,1,0,1,1,1,0,0
291,48,3,1,1,0,1,1,0,0
292,48,4,1,1,1,0,1,0,0
293,48,5,1,1,1,1,0,0,0
294,49,0,1,1,1,1,1,1,1
295,49,1,0,1,1,1,1,0,0
296,49,2,1,0,1,1,1,0,0
297,49,3,1,1,0,1,1,0,0
298,49,4,1,1,1,0,1,0,0
299,49,5,1,1,1,1,0,0,0
300,50,0,1,1,1,1,1,1,1
301,50,1,0,1,1,1,1,0,0
302,50,2,1,0,1,1,1,0,0
303,50,3,1,1,0,1,1,0,0
304,50,4,1,1,1,0,1,0,0
305,50,5,1,1,1,1,0,0,0
306,51,0,1,1,1,1,1,1,1
307,51,1,0,1,1,1,1,0,0
308,51,2,1,0,1,1,1,0,0
309,51,3,1,1,0,1,1,0,0
310,51,4,1,1,1,0,1,0,0
311,51,5,1,1,1,1,0,0,0
312,52,0,1,1,1,1,1,1,1
313,52,1,0,1,1,1,1,0,0
314,52,2,1,0,1,1,1,0,0
315,52,3,1,1,0,1,1,0,0
316,52,4,1,1,1,0,1,0,0
317,52,5,1,1,1,1,0,0,0
318,53,0,1,1,1,1,1,1,1
319,53,1,0,1,1,1,1,0,0
320,53,2,1,0,1,1,1,0,0
321,53,3,1,1,0,1,1,0,0
322,53,4,1,1,1,0,1,0,0
323,53,5,1,1,1,1,0,0,0
324,54,0,1,1,1,1,1,1,1
325,54,1,0,1,1,1,1,0,0
326,54,2,1,0,1,1,1,0,0
327,54,3,1,1,0,1,1,0,0
328,54,4,1,1,1,0,1,0,0
329,54,5,1,1,1,1,0,0,0
330,55,0,1,1,1,1,1,1,1
331,55,1,0,1,1,1,1,0,0
332,55,2,1,0,1,1,1,0,0
333,55,3,1,1,0,1,1,0,0
334,55,4,1,1,1,0,1,0,0
335,55,5,1,1,1,1,0,0,0
