shell,profile_id,actor_image_occurrences,certificate_status,certificate_support_size
12,2650,1,EXACT_RATIONAL_PASS,84
12,2651,1,EXACT_RATIONAL_PASS,84
12,2653,1,EXACT_RATIONAL_PASS,84
12,2654,1,EXACT_RATIONAL_PASS,87
12,2659,1,EXACT_RATIONAL_PASS,84
12,2660,1,EXACT_RATIONAL_PASS,82
12,2662,1,EXACT_RATIONAL_PASS,79
12,2664,1,EXACT_RATIONAL_PASS,77
12,2665,1,EXACT_RATIONAL_PASS,83
12,2667,1,EXACT_RATIONAL_PASS,82
12,2668,1,EXACT_RATIONAL_PASS,74
12,2669,1,EXACT_RATIONAL_PASS,73
12,2670,1,EXACT_RATIONAL_PASS,72
12,2742,1,EXACT_RATIONAL_PASS,88
12,2764,1,EXACT_RATIONAL_PASS,86
12,2768,1,EXACT_RATIONAL_PASS,88
12,2769,1,EXACT_RATIONAL_PASS,87
12,2787,1,EXACT_RATIONAL_PASS,87
12,2810,4,EXACT_RATIONAL_PASS,88
12,2814,1,EXACT_RATIONAL_PASS,88
12,2816,1,EXACT_RATIONAL_PASS,86
12,2819,1,EXACT_RATIONAL_PASS,87
12,2826,1,EXACT_RATIONAL_PASS,88
12,2836,1,EXACT_RATIONAL_PASS,88
12,2844,1,EXACT_RATIONAL_PASS,87
12,2845,7,EXACT_RATIONAL_PASS,86
12,2846,1,EXACT_RATIONAL_PASS,86
12,2849,1,EXACT_RATIONAL_PASS,85
12,3048,1,EXACT_RATIONAL_PASS,88
12,3050,1,EXACT_RATIONAL_PASS,86
12,3058,1,EXACT_RATIONAL_PASS,86
12,3061,14,EXACT_RATIONAL_PASS,86
12,3062,1,EXACT_RATIONAL_PASS,87
12,3076,86,EXACT_RATIONAL_PASS,88
12,3077,1,EXACT_RATIONAL_PASS,87
12,3078,1,EXACT_RATIONAL_PASS,84
12,3079,20,EXACT_RATIONAL_PASS,83
12,3108,1,EXACT_RATIONAL_PASS,88
12,3110,1,EXACT_RATIONAL_PASS,86
12,3115,1,EXACT_RATIONAL_PASS,88
12,3125,1,EXACT_RATIONAL_PASS,87
12,3126,1,EXACT_RATIONAL_PASS,87
12,3127,77,EXACT_RATIONAL_PASS,87
12,3128,1,EXACT_RATIONAL_PASS,86
12,3144,1,EXACT_RATIONAL_PASS,86
12,3150,1,EXACT_RATIONAL_PASS,81
12,3152,1,EXACT_RATIONAL_PASS,84
12,3157,1,EXACT_RATIONAL_PASS,86
12,3158,1,EXACT_RATIONAL_PASS,88
12,3159,1,EXACT_RATIONAL_PASS,85
12,3170,1,EXACT_RATIONAL_PASS,87
12,3175,1,EXACT_RATIONAL_PASS,85
12,3176,1,EXACT_RATIONAL_PASS,84
12,3182,1,EXACT_RATIONAL_PASS,87
12,3184,1,EXACT_RATIONAL_PASS,84
12,3187,1,EXACT_RATIONAL_PASS,86
12,3189,1,EXACT_RATIONAL_PASS,84
12,3191,1,EXACT_RATIONAL_PASS,69
12,3192,1,EXACT_RATIONAL_PASS,81
12,3236,1,EXACT_RATIONAL_PASS,86
12,3246,1,EXACT_RATIONAL_PASS,88
12,3269,1,EXACT_RATIONAL_PASS,86
12,3270,1,EXACT_RATIONAL_PASS,84
12,3275,1,EXACT_RATIONAL_PASS,86
12,3279,1,EXACT_RATIONAL_PASS,86
12,3281,1,EXACT_RATIONAL_PASS,87
12,3282,1,EXACT_RATIONAL_PASS,87
12,3285,1,EXACT_RATIONAL_PASS,87
12,3295,1,EXACT_RATIONAL_PASS,88
12,3296,1,EXACT_RATIONAL_PASS,84
12,3311,1,EXACT_RATIONAL_PASS,87
12,3314,1,EXACT_RATIONAL_PASS,87
12,3316,1,EXACT_RATIONAL_PASS,86
12,3326,5,EXACT_RATIONAL_PASS,88
12,3329,1,EXACT_RATIONAL_PASS,86
12,3331,1,EXACT_RATIONAL_PASS,86
12,3335,1,EXACT_RATIONAL_PASS,84
12,3344,1,EXACT_RATIONAL_PASS,87
