source_sector,raw_sector,block_dimension,matrix_unit_count,coefficient_source,previous_normalization_status,convention_status,convention_anchor,convention_rule,identity_gl_transform,mathematical_ambiguity_group,mathematical_projective_gauge_dimension,prior_unanchored_projective_gauge_dimension,repo_convention_residual_gauge_dimension,mathematical_ambiguity_retained,diagonal_sum_equals_central_page,direct_matrix_unit_product_failures,matrix_unit_block_sha256,perennial_id,coordinate_fingerprint_id
24,1,1,1,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CANONICAL_DIMENSION_ONE,INTRINSIC_CANONICAL_DIMENSION_ONE,central idempotent is the single matrix unit,no basis convention required,False,trivial,0,0,0,False,True,0,54a0c94d1936092a36dfb7aea72c78d69967e56068a9082f7b21713290be5286,a985pf.b0f0ffa7a70b464fb1c6be3b,a985coord.110286a1a8b1f401969b938e
25,30,1,1,REGISTERED_SUPPORT_COO,CANONICAL_DIMENSION_ONE,INTRINSIC_CANONICAL_DIMENSION_ONE,central idempotent is the single matrix unit,no basis convention required,False,trivial,0,0,0,False,True,0,5f8093720537697cec4b1c1842978c6c747d25dee28f1376e6241c9fe3bc72b0,a985pf.f5c4748a515dca877336eb56,a985coord.679dfe35a3ec900ef94e3fee
26,29,1,1,REGISTERED_SUPPORT_COO,CANONICAL_DIMENSION_ONE,INTRINSIC_CANONICAL_DIMENSION_ONE,central idempotent is the single matrix unit,no basis convention required,False,trivial,0,0,0,False,True,0,a557afc9bc2ce0083ac178defdfba7b7290d64f8f8bd408a52b165b8c315d7cc,a985pf.1c291d5534c311edc48123b2,a985coord.90b3dfdbbd10982f7e31ff7f
27,26,4,16,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,REPO_STORED_BASIS_CONVENTION,deterministic full_matrix_unit_orbital_coo stored basis is accepted as the repo convention,identity transform relative to stored source-sector basis,True,PGL_4(F_1000003),15,15,0,True,True,0,b35ebb46f211285729225e8d6d81c5d9e0898a32940050e7204687f335b6e66e,a985pf.4d384f591c3ef6e2b4c37add,a985coord.1f3040b2d4517d1b8d063314
28,13,5,25,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,REPO_STORED_BASIS_CONVENTION,deterministic full_matrix_unit_orbital_coo stored basis is accepted as the repo convention,identity transform relative to stored source-sector basis,True,PGL_5(F_1000003),24,24,0,True,True,0,bfa02b03a1ab0ca74e15c95e49ee29274e95b959ed7c0934bb33ac416cfb5416,a985pf.e6c98083c5e5e5d4a1268f82,a985coord.39fc8e1c08d8e3cc19491039
29,2,4,16,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,REPO_STORED_BASIS_CONVENTION,deterministic full_matrix_unit_orbital_coo stored basis is accepted as the repo convention,identity transform relative to stored source-sector basis,True,PGL_4(F_1000003),15,15,0,True,True,0,0eb7f82b50de58e3e3ef384140a8aa1105a4741b9078b7c856e70ffdbdc3874e,a985pf.40d225d7c9eb3b2b13df3c6f,a985coord.94156edfa9ed65e2bb412905
30,8,4,16,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,REPO_STORED_BASIS_CONVENTION,deterministic full_matrix_unit_orbital_coo stored basis is accepted as the repo convention,identity transform relative to stored source-sector basis,True,PGL_4(F_1000003),15,15,0,True,True,0,c08afa758e3f4c93b5b27599cbce1dcb2f5d302c401172c136bb2195c08270e2,a985pf.8b88ad6bf8b651568aa49e4c,a985coord.b07fab0257d656caae29ff29
31,16,10,100,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,REPO_STORED_BASIS_CONVENTION,deterministic full_matrix_unit_orbital_coo stored basis is accepted as the repo convention,identity transform relative to stored source-sector basis,True,PGL_10(F_1000003),99,99,0,True,True,0,efb12b458281fcf521023608e5bd0ed5c9740e30492539f8e1ede9db192fbb4b,a985pf.8b1b2d04f1055c9f34ae3c5e,a985coord.7e6668dc8bd54a40c6c407dd
32,4,2,4,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,REPO_STORED_BASIS_CONVENTION,deterministic full_matrix_unit_orbital_coo stored basis is accepted as the repo convention,identity transform relative to stored source-sector basis,True,PGL_2(F_1000003),3,3,0,True,True,0,e382022752a8c0db9fb91242e1255ace76b60d52dfe5383c1509ef865be3e261,a985pf.8cf60f8da9783cf93a08b3c3,a985coord.3b43e81d41920f044a201f66
33,19,2,4,REGISTERED_SUPPORT_COO,REGISTERED_SUPPORT_ANCHORED,EXTERNAL_REGISTERED_SUPPORT_CONVENTION,promoted registered support rows fix the stored basis,identity transform relative to registered support basis,True,PGL_2(F_1000003),3,0,0,True,True,0,6d5a095e223b393cc8de9ec9b94e8876e02343f26cd8a084eb2c3d68c880be5b,a985pf.0f1476a5434aef02bb516590,a985coord.468ec3c4d550c16c63fa2f3d
34,35,1,1,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CANONICAL_DIMENSION_ONE,INTRINSIC_CANONICAL_DIMENSION_ONE,central idempotent is the single matrix unit,no basis convention required,False,trivial,0,0,0,False,True,0,a38167f3692c93aa42d89c0e44a06b6fbfbdae0784aee5d06c8750289956eaff,a985pf.dee5a3615e2ca5e9f7b6d662,a985coord.111958fabfcf6eb85501a38d
35,38,9,81,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,REPO_STORED_BASIS_CONVENTION,deterministic full_matrix_unit_orbital_coo stored basis is accepted as the repo convention,identity transform relative to stored source-sector basis,True,PGL_9(F_1000003),80,80,0,True,True,0,d99789898bf2f0d9fa4d522b024e2247a4fbd0f7758d5b12fa46606efff69c1d,a985pf.59330ff9790063b5c0df1269,a985coord.096f8eab0a6fa737cbafb7ef
36,10,12,144,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,REPO_STORED_BASIS_CONVENTION,deterministic full_matrix_unit_orbital_coo stored basis is accepted as the repo convention,identity transform relative to stored source-sector basis,True,PGL_12(F_1000003),143,143,0,True,True,0,1486384c4f59c76116422093cbe6839674e582195f86b3e79ff38b5efd17aeae,a985pf.50182ed2eabe67fd6092e6f3,a985coord.f1b667b37ea59ec990928346
37,15,11,121,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,REPO_STORED_BASIS_CONVENTION,deterministic full_matrix_unit_orbital_coo stored basis is accepted as the repo convention,identity transform relative to stored source-sector basis,True,PGL_11(F_1000003),120,120,0,True,True,0,d40aad8afdddc1e2afac52e5bf0a1a176017649d6cf01f7177354b7a052f8fdb,a985pf.bad63dd92c0d7963a1477d0a,a985coord.0f1fc60c89c320f2adcd2858
38,34,8,64,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,REPO_STORED_BASIS_CONVENTION,deterministic full_matrix_unit_orbital_coo stored basis is accepted as the repo convention,identity transform relative to stored source-sector basis,True,PGL_8(F_1000003),63,63,0,True,True,0,2575413ab1e8a363cc8a543980cc08dd463ff6691aca052d5cf7ee6873c21b3e,a985pf.e8b35eb8f197f0e85e7f9a28,a985coord.5f77625dee5f3a1d4924aec2
