entry_id,row_quotient_index,col_quotient_index,row_atom,col_atom,quotient_value,diagonal_flag,nonzero_flag
296,15,11,16,12,0,0,0
297,15,12,16,13,-723859806,0,1
298,15,13,16,14,0,0,0
299,15,14,16,15,0,0,0
300,15,15,16,16,0,1,0
301,15,16,16,17,0,0,0
302,15,17,16,18,0,0,0
303,15,18,16,19,0,0,0
304,16,0,17,0,0,0,0
305,16,1,17,1,0,0,0
306,16,2,17,2,0,0,0
307,16,3,17,3,0,0,0
308,16,4,17,4,0,0,0
309,16,5,17,5,0,0,0
310,16,6,17,7,2136193089,0,1
311,16,7,17,8,1225370314,0,1
312,16,8,17,9,0,0,0
313,16,9,17,10,0,0,0
314,16,10,17,11,0,0,0
315,16,11,17,12,0,0,0
316,16,12,17,13,0,0,0
317,16,13,17,14,-4500837667,0,1
318,16,14,17,15,0,0,0
319,16,15,17,16,0,0,0
320,16,16,17,17,0,1,0
321,16,17,17,18,0,0,0
322,16,18,17,19,0,0,0
323,17,0,18,0,0,0,0
324,17,1,18,1,12812636930,0,1
325,17,2,18,2,0,0,0
326,17,3,18,3,-2789315864,0,1
327,17,4,18,4,0,0,0
328,17,5,18,5,0,0,0
329,17,6,18,7,0,0,0
330,17,7,18,8,0,0,0
331,17,8,18,9,0,0,0
332,17,9,18,10,0,0,0
333,17,10,18,11,0,0,0
334,17,11,18,12,0,0,0
335,17,12,18,13,-3626111880,0,1
336,17,13,18,14,0,0,0
337,17,14,18,15,-2981091488,0,1
338,17,15,18,16,0,0,0
339,17,16,18,17,0,0,0
340,17,17,18,18,0,1,0
341,17,18,18,19,0,0,0
342,18,0,19,0,4223612158,0,1
343,18,1,19,1,0,0,0
344,18,2,19,2,0,0,0
345,18,3,19,3,0,0,0
346,18,4,19,4,0,0,0
347,18,5,19,5,0,0,0
348,18,6,19,7,0,0,0
349,18,7,19,8,719635016,0,1
350,18,8,19,9,1345776678,0,1
351,18,9,19,10,0,0,0
352,18,10,19,11,0,0,0
353,18,11,19,12,0,0,0
354,18,12,19,13,0,0,0
355,18,13,19,14,-5413126740,0,1
356,18,14,19,15,0,0,0
357,18,15,19,16,0,0,0
358,18,16,19,17,0,0,0
359,18,17,19,18,0,0,0
360,18,18,19,19,0,1,0
