automaton_edge_id,source_state_id,target_state_id,source_grammar_cell_id,target_grammar_cell_id,edit_kind_code,edit_position,source_symbol_id,target_symbol_id,native_transition_flag,derived_transition_flag,promoted_transition_flag,promoted_only_transition_flag,old_repaired_edge_flag,old_spectral_cut_edge_flag,new_spectral_cut_edge_flag
414,124,145,124,145,0,7,2,5,1,0,1,0,1,0,0
415,124,152,124,152,0,5,2,5,0,1,0,0,1,0,0
416,124,216,124,216,1,4,-1,5,1,0,0,0,1,0,0
417,125,130,125,130,2,7,2,-1,1,0,0,0,1,0,0
418,125,149,125,149,0,7,2,5,1,0,1,0,1,0,0
419,125,220,125,220,1,4,-1,5,1,0,0,0,1,0,0
420,126,127,126,127,1,9,-1,2,1,0,0,0,1,0,0
421,126,143,126,143,1,6,-1,5,1,0,1,0,1,0,0
422,126,153,126,153,0,5,2,5,0,1,1,0,1,0,0
423,126,222,126,222,1,4,-1,5,1,0,0,0,1,0,0
424,127,128,127,128,1,13,-1,2,1,0,0,0,1,0,0
425,127,129,127,129,1,10,-1,5,1,0,0,0,1,0,0
426,127,130,127,130,1,8,-1,5,1,0,0,0,1,0,0
427,127,138,127,138,2,7,2,-1,1,0,0,0,1,0,0
428,127,145,127,145,1,6,-1,5,1,0,1,0,1,0,0
429,127,154,127,154,0,5,2,5,0,1,1,0,1,0,0
430,127,224,127,224,1,4,-1,5,1,0,0,0,1,0,0
431,128,139,128,139,2,7,2,-1,1,0,0,0,1,0,0
432,128,225,128,225,1,4,-1,5,1,0,0,0,1,0,0
433,129,143,129,143,2,7,2,-1,1,0,1,0,1,0,0
434,129,229,129,229,1,4,-1,5,1,0,0,0,1,0,0
435,130,149,130,149,1,6,-1,5,1,0,1,0,1,0,0
436,130,235,130,235,1,4,-1,5,1,0,0,0,1,0,0
437,131,132,131,132,1,9,-1,2,1,0,0,0,1,0,0
438,131,245,131,245,1,4,-1,5,1,0,0,0,1,0,0
439,132,134,132,134,1,9,-1,5,1,0,0,0,1,0,0
440,132,257,132,257,1,4,-1,5,1,0,0,0,1,0,0
441,133,137,133,137,0,7,4,5,1,0,0,0,1,0,0
442,134,135,134,135,0,8,1,4,1,0,0,0,1,0,0
443,134,273,134,273,1,4,-1,5,1,0,0,0,1,0,0
444,135,314,135,314,1,4,-1,5,1,0,0,0,1,0,0
445,136,142,136,142,0,8,1,2,1,0,0,0,1,0,0
446,136,143,136,143,2,8,1,-1,1,0,1,0,1,0,0
447,136,324,136,324,1,4,-1,5,1,0,0,0,1,0,0
448,137,149,137,149,2,8,1,-1,1,0,1,0,1,0,0
449,138,139,138,139,1,12,-1,2,1,0,0,0,1,0,0
450,138,143,138,143,1,9,-1,5,1,0,1,0,1,0,0
451,138,335,138,335,1,4,-1,5,1,0,0,0,1,0,0
452,139,140,139,140,1,12,-1,2,1,0,0,0,1,0,0
453,139,141,139,141,1,13,-1,5,1,0,0,0,1,0,0
454,139,144,139,144,1,9,-1,5,1,0,1,0,1,0,0
455,139,337,139,337,1,4,-1,5,1,0,0,0,1,0,0
456,140,141,140,141,0,13,2,5,1,0,0,0,1,0,0
457,140,341,140,341,1,4,-1,5,1,0,0,0,1,0,0
458,141,344,141,344,1,4,-1,5,1,0,0,0,1,0,0
