force_id,law_id,square_code,law_code,source_id,target_id,subtarget_id,derivation_code,dependency_count,equal_flag,left_num_digits,left_den_digits,right_num_digits,right_den_digits
47,121,3,3,8,3,-1,4,17,1,1837,1837,1837,1837
48,122,3,3,8,4,-1,4,17,1,1841,1841,1841,1841
49,123,3,3,9,2,-1,4,19,1,2096,2097,2096,2097
50,124,3,3,9,3,-1,4,19,1,2099,2100,2099,2100
51,125,3,3,9,4,-1,4,19,1,2103,2104,2103,2104
52,126,3,3,10,2,-1,4,21,1,2359,2359,2359,2359
53,127,3,3,10,3,-1,4,21,1,2361,2362,2361,2362
54,128,3,3,10,4,-1,4,21,1,2365,2365,2365,2365
55,129,3,3,11,2,-1,4,23,1,2621,2621,2621,2621
56,130,3,3,11,3,-1,4,23,1,2624,2625,2624,2625
57,131,3,3,11,4,-1,4,23,1,2628,2629,2628,2629
58,132,3,3,12,2,-1,4,25,1,2883,2884,2883,2884
59,133,3,3,12,3,-1,4,25,1,2886,2887,2886,2887
60,134,3,3,12,4,-1,4,25,1,2890,2891,2890,2891
61,135,3,3,13,2,-1,4,27,1,3146,3146,3146,3146
62,136,3,3,13,3,-1,4,27,1,3147,3148,3147,3148
63,137,3,3,13,4,-1,4,27,1,3151,3152,3151,3152
64,138,3,3,14,2,-1,4,29,1,3408,3408,3408,3408
65,139,3,3,14,3,-1,4,29,1,3410,3411,3410,3411
66,140,3,3,14,4,-1,4,29,1,3414,3415,3414,3415
67,141,3,3,15,2,-1,4,31,1,3670,3671,3670,3671
68,142,3,3,15,3,-1,4,31,1,3672,3674,3672,3674
69,143,3,3,15,4,-1,4,31,1,3677,3678,3677,3678
70,144,3,3,16,2,-1,4,33,1,3933,3933,3933,3933
71,145,3,3,16,3,-1,4,33,1,3935,3936,3935,3936
72,146,3,3,16,4,-1,4,33,1,3940,3941,3940,3941
73,147,4,4,1,0,0,5,3,1,3,3,3,3
74,148,4,5,1,0,1,6,1,1,6,6,6,6
75,149,4,6,1,0,2,7,2,1,6,6,6,6
76,150,4,4,1,1,0,5,3,1,3,3,3,3
77,151,4,5,1,1,1,6,1,1,6,6,6,6
78,152,4,6,1,1,2,7,2,1,6,6,6,6
79,153,4,4,1,2,0,5,3,1,3,3,3,3
80,154,4,5,1,2,1,6,1,1,7,6,7,6
81,155,4,6,1,2,2,7,2,1,7,6,7,6
82,156,4,4,2,0,0,5,5,1,259,259,259,259
83,157,4,5,2,0,1,6,1,1,261,260,261,260
84,158,4,6,2,0,2,7,2,1,261,261,261,261
85,159,4,4,2,1,0,5,5,1,259,259,259,259
86,160,4,5,2,1,1,6,1,1,261,260,261,260
87,161,4,6,2,1,2,7,2,1,261,261,261,261
88,162,4,4,2,2,0,5,5,1,259,259,259,259
89,163,4,5,2,2,1,6,1,1,261,260,261,260
90,164,4,6,2,2,2,7,2,1,262,261,262,261
91,165,4,4,3,0,0,5,7,1,520,520,520,520
92,166,4,5,3,0,1,6,1,1,522,521,522,521
93,167,4,6,3,0,2,7,2,1,523,523,523,523
94,168,4,4,3,1,0,5,7,1,520,521,520,521
95,169,4,5,3,1,1,6,1,1,522,521,522,521
96,170,4,6,3,1,2,7,2,1,523,523,523,523
97,171,4,4,3,2,0,5,7,1,520,521,520,521
98,172,4,5,3,2,1,6,1,1,522,521,522,521
99,173,4,6,3,2,2,7,2,1,524,523,524,523
100,174,4,4,4,0,0,5,9,1,782,782,782,782
101,175,4,5,4,0,1,6,1,1,784,784,784,784
102,176,4,6,4,0,2,7,2,1,785,785,785,785
103,177,4,4,4,1,0,5,9,1,782,782,782,782
104,178,4,5,4,1,1,6,1,1,784,783,784,783
105,179,4,6,4,1,2,7,2,1,786,785,786,785
106,180,4,4,4,2,0,5,9,1,781,781,781,781
107,181,4,5,4,2,1,6,1,1,784,783,784,783
108,182,4,6,4,2,2,7,2,1,784,783,784,783
109,183,4,4,5,0,0,5,11,1,1044,1045,1044,1045
110,184,4,5,5,0,1,6,1,1,1047,1046,1047,1046
111,185,4,6,5,0,2,7,2,1,1048,1048,1048,1048
112,186,4,4,5,1,0,5,11,1,1041,1041,1041,1041
113,187,4,5,5,1,1,6,1,1,1047,1046,1047,1046
114,188,4,6,5,1,2,7,2,1,1047,1047,1047,1047
115,189,4,4,5,2,0,5,11,1,1041,1041,1041,1041
116,190,4,5,5,2,1,6,1,1,1047,1046,1047,1046
117,191,4,6,5,2,2,7,2,1,1048,1047,1048,1047
118,192,4,4,6,0,0,5,13,1,1303,1304,1303,1304
119,193,4,5,6,0,1,6,1,1,1309,1309,1309,1309
120,194,4,6,6,0,2,7,2,1,1308,1308,1308,1308
121,195,4,4,6,1,0,5,13,1,1302,1302,1302,1302
122,196,4,5,6,1,1,6,1,1,1309,1308,1309,1308
123,197,4,6,6,1,2,7,2,1,1309,1309,1309,1309
124,198,4,4,6,2,0,5,13,1,1302,1302,1302,1302
125,199,4,5,6,2,1,6,1,1,1309,1308,1309,1308
126,200,4,6,6,2,2,7,2,1,1310,1309,1310,1309
127,201,4,4,7,0,0,5,15,1,1565,1565,1565,1565
128,202,4,5,7,0,1,6,1,1,1571,1571,1571,1571
129,203,4,6,7,0,2,7,2,1,1571,1571,1571,1571
130,204,4,4,7,1,0,5,15,1,1562,1562,1562,1562
131,205,4,5,7,1,1,6,1,1,1571,1571,1571,1571
132,206,4,6,7,1,2,7,2,1,1573,1572,1573,1572
133,207,4,4,7,2,0,5,15,1,1562,1562,1562,1562
134,208,4,5,7,2,1,6,1,1,1571,1571,1571,1571
135,209,4,6,7,2,2,7,2,1,1573,1572,1573,1572
136,210,4,4,8,0,0,5,17,1,1826,1826,1826,1826
137,211,4,5,8,0,1,6,1,1,1834,1834,1834,1834
138,212,4,6,8,0,2,7,2,1,1834,1834,1834,1834
139,213,4,4,8,1,0,5,17,1,1824,1824,1824,1824
140,214,4,5,8,1,1,6,1,1,1834,1833,1834,1833
141,215,4,6,8,1,2,7,2,1,1835,1835,1835,1835
142,216,4,4,8,2,0,5,17,1,1821,1822,1821,1822
143,217,4,5,8,2,1,6,1,1,1834,1833,1834,1833
144,218,4,6,8,2,2,7,2,1,1834,1834,1834,1834
145,219,4,4,9,0,0,5,19,1,2085,2085,2085,2085
146,220,4,5,9,0,1,6,1,1,2096,2096,2096,2096
147,221,4,6,9,0,2,7,2,1,2096,2096,2096,2096
148,222,4,4,9,1,0,5,19,1,2083,2083,2083,2083
149,223,4,5,9,1,1,6,1,1,2096,2096,2096,2096
150,224,4,6,9,1,2,7,2,1,2096,2096,2096,2096
151,225,4,4,9,2,0,5,19,1,2080,2080,2080,2080
152,226,4,5,9,2,1,6,1,1,2096,2095,2096,2095
153,227,4,6,9,2,2,7,2,1,2096,2095,2096,2095
154,228,4,4,10,0,0,5,21,1,2348,2348,2348,2348
155,229,4,5,10,0,1,6,1,1,2359,2358,2359,2358
156,230,4,6,10,0,2,7,2,1,2358,2358,2358,2358
157,231,4,4,10,1,0,5,21,1,2343,2343,2343,2343
158,232,4,5,10,1,1,6,1,1,2359,2358,2359,2358
159,233,4,6,10,1,2,7,2,1,2360,2360,2360,2360
160,234,4,4,10,2,0,5,21,1,2341,2341,2341,2341
161,235,4,5,10,2,1,6,1,1,2359,2358,2359,2358
162,236,4,6,10,2,2,7,2,1,2357,2356,2357,2356
163,237,4,4,11,0,0,5,23,1,2607,2607,2607,2607
164,238,4,5,11,0,1,6,1,1,2621,2621,2621,2621
165,239,4,6,11,0,2,7,2,1,2621,2621,2621,2621
166,240,4,4,11,1,0,5,23,1,2605,2605,2605,2605
167,241,4,5,11,1,1,6,1,1,2621,2620,2621,2620
168,242,4,6,11,1,2,7,2,1,2623,2622,2623,2622
169,243,4,4,11,2,0,5,23,1,2599,2600,2599,2600
170,244,4,5,11,2,1,6,1,1,2621,2620,2621,2620
171,245,4,6,11,2,2,7,2,1,2621,2621,2621,2621
172,246,4,4,12,0,0,5,25,1,2867,2867,2867,2867
173,247,4,5,12,0,1,6,1,1,2883,2883,2883,2883
174,248,4,6,12,0,2,7,2,1,2883,2883,2883,2883
175,249,4,4,12,1,0,5,25,1,2864,2865,2864,2865
176,250,4,5,12,1,1,6,1,1,2883,2883,2883,2883
177,251,4,6,12,1,2,7,2,1,2884,2884,2884,2884
178,252,4,4,12,2,0,5,25,1,2861,2861,2861,2861
179,253,4,5,12,2,1,6,1,1,2883,2883,2883,2883
180,254,4,6,12,2,2,7,2,1,2883,2883,2883,2883
181,255,4,4,13,0,0,5,27,1,3128,3129,3128,3129
182,256,4,5,13,0,1,6,1,1,3146,3146,3146,3146
183,257,4,6,13,0,2,7,2,1,3145,3146,3145,3146
184,258,4,4,13,1,0,5,27,1,3127,3127,3127,3127
185,259,4,5,13,1,1,6,1,1,3146,3145,3146,3145
186,260,4,6,13,1,2,7,2,1,3147,3147,3147,3147
187,261,4,4,13,2,0,5,27,1,3121,3121,3121,3121
188,262,4,5,13,2,1,6,1,1,3146,3145,3146,3145
189,263,4,6,13,2,2,7,2,1,3146,3146,3146,3146
190,264,4,4,14,0,0,5,29,1,3389,3389,3389,3389
191,265,4,5,14,0,1,6,1,1,3408,3408,3408,3408
192,266,4,6,14,0,2,7,2,1,3408,3408,3408,3408
193,267,4,4,14,1,0,5,29,1,3383,3383,3383,3383
194,268,4,5,14,1,1,6,1,1,3408,3408,3408,3408
195,269,4,6,14,1,2,7,2,1,3407,3407,3407,3407
196,270,4,4,14,2,0,5,29,1,3382,3382,3382,3382
197,271,4,5,14,2,1,6,1,1,3408,3407,3408,3407
198,272,4,6,14,2,2,7,2,1,3408,3408,3408,3408
199,273,4,4,15,0,0,5,31,1,3647,3648,3647,3648
200,274,4,5,15,0,1,6,1,1,3670,3670,3670,3670
201,275,4,6,15,0,2,7,2,1,3670,3670,3670,3670
202,276,4,4,15,1,0,5,31,1,3645,3646,3645,3646
203,277,4,5,15,1,1,6,1,1,3670,3670,3670,3670
204,278,4,6,15,1,2,7,2,1,3671,3671,3671,3671
205,279,4,4,15,2,0,5,31,1,3642,3643,3642,3643
206,280,4,5,15,2,1,6,1,1,3670,3670,3670,3670
207,281,4,6,15,2,2,7,2,1,3670,3670,3670,3670
208,282,4,4,16,0,0,5,33,1,3910,3910,3910,3910
209,283,4,5,16,0,1,6,1,1,3933,3933,3933,3933
210,284,4,6,16,0,2,7,2,1,3932,3933,3932,3933
211,285,4,4,16,1,0,5,33,1,3905,3905,3905,3905
212,286,4,5,16,1,1,6,1,1,3933,3932,3933,3932
213,287,4,6,16,1,2,7,2,1,3934,3934,3934,3934
214,288,4,4,16,2,0,5,33,1,3902,3902,3902,3902
215,289,4,5,16,2,1,6,1,1,3933,3932,3933,3932
216,290,4,6,16,2,2,7,2,1,3933,3932,3933,3932
217,291,5,7,2,0,-1,8,2,1,258,259,258,259
218,292,5,7,3,0,-1,8,2,1,518,520,518,520
219,293,5,7,4,0,-1,8,2,1,781,782,781,782
220,294,5,7,5,0,-1,8,2,1,1043,1045,1043,1045
221,295,5,7,6,0,-1,8,2,1,1307,1309,1307,1309
222,296,5,7,7,0,-1,8,2,1,1568,1570,1568,1570
223,297,5,7,8,0,-1,8,2,1,1832,1834,1832,1834
224,298,5,7,9,0,-1,8,2,1,2093,2095,2093,2095
225,299,5,7,10,0,-1,8,2,1,2356,2357,2356,2357
226,300,5,7,11,0,-1,8,2,1,2619,2621,2619,2621
227,301,5,7,12,0,-1,8,2,1,2881,2883,2881,2883
228,302,5,7,13,0,-1,8,2,1,3142,3144,3142,3144
229,303,5,7,14,0,-1,8,2,1,3407,3408,3407,3408
230,304,5,7,15,0,-1,8,2,1,3668,3670,3668,3670
231,305,5,7,16,0,-1,8,2,1,3930,3932,3930,3932
