intervention_id,intervention_size,block_code_0,block_code_1,block_code_2,block_code_3,block_code_4,block_code_5,block_code_6,block_code_7,block_code_8,candidate_touch_count,cut_edge_touch_count,full_face_count,max_face_edge_touch_count,state_count,new_state_count,edge_count,new_edge_count,cut_edge_count,old_cut_edge_still_cut_count,old_cut_edge_same_side_count,promoted_cut_edge_count,promoted_only_cut_edge_count,lambda_2_x1e12,cut_conductance_x1e12,conductance_reduction_x1e12,support_changed_flag,selected_best_flag,all_nine_flag
14,4,1451,4512,1255,5252,-1,-1,-1,-1,-1,16,6,4,3,912,52,2743,172,7,6,0,7,1,2535761000,4313001000,16003000,0,0,0
15,4,1451,4512,5255,1252,-1,-1,-1,-1,-1,16,6,4,3,905,45,2718,147,6,6,0,6,0,2451943000,3750000000,579004000,0,0,0
16,4,1451,4512,5255,2145,-1,-1,-1,-1,-1,16,6,4,3,963,103,3008,437,11,6,0,11,5,2652027000,5186233000,-857229000,0,0,0
17,4,1451,4512,5255,5252,-1,-1,-1,-1,-1,16,6,4,3,904,44,2724,153,6,6,0,6,0,2440016000,3708282000,620722000,0,0,0
18,4,1451,4512,1252,2145,-1,-1,-1,-1,-1,15,6,4,3,957,97,2970,399,11,6,0,11,5,2704286000,5378973000,-1049969000,0,0,0
19,4,1451,4512,1252,5252,-1,-1,-1,-1,-1,15,6,4,3,889,29,2647,76,6,6,0,6,0,2549255000,4115226000,213778000,0,0,0
20,4,1451,4512,2145,5252,-1,-1,-1,-1,-1,15,6,4,3,954,94,2959,388,11,6,0,11,5,2721508000,5437469000,-1108465000,0,0,0
21,4,1451,4552,5125,1255,-1,-1,-1,-1,-1,19,6,4,3,904,44,2718,147,7,6,0,7,1,2516792000,4467135000,-138131000,0,0,0
22,4,1451,4552,5125,5255,-1,-1,-1,-1,-1,19,6,4,3,904,44,2715,144,11,6,0,11,5,2589734000,6922593000,-2593589000,0,0,0
23,4,1451,4552,5125,1252,-1,-1,-1,-1,-1,18,6,4,3,889,29,2642,71,7,6,0,7,1,2633623000,4919185000,-590181000,0,0,0
24,4,1451,4552,5125,2145,-1,-1,-1,-1,-1,18,6,4,3,955,95,2962,391,11,6,0,11,5,2723154000,5437469000,-1108465000,0,0,0
25,4,1451,4552,5125,5252,-1,-1,-1,-1,-1,18,6,4,3,890,30,2646,75,7,6,0,7,1,2653299000,4857738000,-528734000,0,0,0
26,4,1451,4552,1255,5255,-1,-1,-1,-1,-1,17,6,4,3,925,65,2810,239,8,6,0,8,2,2644626000,4530011000,-201007000,0,0,0
27,4,1451,4552,1255,1252,-1,-1,-1,-1,-1,16,6,4,3,911,51,2745,174,7,6,0,7,1,2515543000,4355943000,-26939000,0,0,0
28,4,1451,4552,1255,2145,-1,-1,-1,-1,-1,16,6,4,3,965,105,3014,443,11,6,0,11,5,2639289000,5186233000,-857229000,0,0,0
29,4,1451,4552,1255,5252,-1,-1,-1,-1,-1,16,6,4,3,912,52,2743,172,7,6,0,7,1,2535761000,4313001000,16003000,0,0,0
30,4,1451,4552,5255,1252,-1,-1,-1,-1,-1,16,6,4,3,905,45,2718,147,6,6,0,6,0,2451943000,3750000000,579004000,0,0,0
31,4,1451,4552,5255,2145,-1,-1,-1,-1,-1,16,6,4,3,963,103,3008,437,11,6,0,11,5,2652027000,5186233000,-857229000,0,0,0
32,4,1451,4552,5255,5252,-1,-1,-1,-1,-1,16,6,4,3,904,44,2724,153,6,6,0,6,0,2440016000,3708282000,620722000,0,0,0
33,4,1451,4552,1252,2145,-1,-1,-1,-1,-1,15,6,4,3,957,97,2970,399,11,6,0,11,5,2704286000,5378973000,-1049969000,0,0,0
34,4,1451,4552,1252,5252,-1,-1,-1,-1,-1,15,6,4,3,889,29,2647,76,6,6,0,6,0,2549255000,4115226000,213778000,0,0,0
35,4,1451,4552,2145,5252,-1,-1,-1,-1,-1,15,6,4,3,954,94,2959,388,11,6,0,11,5,2721508000,5437469000,-1108465000,0,0,0
36,4,1451,5125,1255,5255,-1,-1,-1,-1,-1,17,6,4,3,927,67,2815,244,8,6,0,8,2,2656178000,4530011000,-201007000,0,0,0
37,4,1451,5125,1255,1252,-1,-1,-1,-1,-1,16,6,4,3,911,51,2745,174,7,6,0,7,1,2515543000,4355943000,-26939000,0,0,0
38,4,1451,5125,1255,2145,-1,-1,-1,-1,-1,16,6,4,3,965,105,3014,443,11,6,0,11,5,2639289000,5186233000,-857229000,0,0,0
39,4,1451,5125,1255,5252,-1,-1,-1,-1,-1,16,6,4,3,913,53,2746,175,7,6,0,7,1,2535971000,4313001000,16003000,0,0,0
40,4,1451,5125,5255,1252,-1,-1,-1,-1,-1,16,6,4,3,911,51,2733,162,7,6,0,7,1,2607117000,4345127000,-16123000,0,0,0
41,4,1451,5125,5255,2145,-1,-1,-1,-1,-1,16,6,4,3,964,104,3011,440,11,6,0,11,5,2653574000,5186233000,-857229000,0,0,0
42,4,1451,5125,5255,5252,-1,-1,-1,-1,-1,16,6,4,3,911,51,2740,169,7,6,0,7,1,2591404000,4297115000,31889000,0,0,0
43,4,1451,5125,1252,2145,-1,-1,-1,-1,-1,15,6,4,3,958,98,2973,402,11,6,0,11,5,2705919000,5378973000,-1049969000,0,0,0
44,4,1451,5125,1252,5252,-1,-1,-1,-1,-1,15,6,4,3,896,36,2663,92,7,6,0,7,1,2671945000,4758668000,-429664000,0,0,0
45,4,1451,5125,2145,5252,-1,-1,-1,-1,-1,15,6,4,3,955,95,2962,391,11,6,0,11,5,2723154000,5437469000,-1108465000,0,0,0
46,4,1451,1255,5255,1252,-1,-1,-1,-1,-1,14,6,4,3,933,73,2840,269,8,6,0,8,2,2659463000,4439512000,-110508000,0,0,0
47,4,1451,1255,5255,2145,-1,-1,-1,-1,-1,14,6,4,3,974,114,3063,492,11,6,0,11,5,2575756000,4957188000,-628184000,0,0,0
48,4,1451,1255,5255,5252,-1,-1,-1,-1,-1,14,6,4,3,933,73,2840,269,8,6,0,8,2,2653436000,4405286000,-76282000,0,0,0
49,4,1451,1255,1252,2145,-1,-1,-1,-1,-1,13,6,4,3,967,107,3022,451,11,6,0,11,5,2627874000,5147403000,-818399000,0,0,0
50,4,1451,1255,1252,5252,-1,-1,-1,-1,-1,13,6,4,3,918,58,2767,196,7,6,0,7,1,2520675000,4224502000,104502000,0,0,0
51,4,1451,1255,2145,5252,-1,-1,-1,-1,-1,13,6,4,3,965,105,3014,443,11,6,0,11,5,2639289000,5186233000,-857229000,0,0,0
52,4,1451,5255,1252,2145,-1,-1,-1,-1,-1,13,6,4,3,965,105,3016,445,11,6,0,11,5,2639397000,5147403000,-818399000,0,0,0
53,4,1451,5255,1252,5252,-1,-1,-1,-1,-1,13,6,4,3,910,50,2740,169,6,6,0,6,0,2431955000,3649635000,679369000,0,0,0
54,4,1451,5255,2145,5252,-1,-1,-1,-1,-1,13,6,4,3,963,103,3008,437,11,6,0,11,5,2652027000,5186233000,-857229000,0,0,0
55,4,1451,1252,2145,5252,-1,-1,-1,-1,-1,12,6,4,3,957,97,2970,399,11,6,0,11,5,2704286000,5378973000,-1049969000,0,0,0
56,4,4512,4552,5125,1255,-1,-1,-1,-1,-1,18,5,2,3,900,40,2707,136,7,6,0,7,1,2520245000,4467135000,-138131000,0,0,0
57,4,4512,4552,5125,5255,-1,-1,-1,-1,-1,18,5,2,3,901,41,2706,135,11,6,0,11,5,2592567000,6922593000,-2593589000,0,0,0
58,4,4512,4552,5125,1252,-1,-1,-1,-1,-1,17,5,2,3,885,25,2631,60,7,6,0,7,1,2636925000,4919185000,-590181000,0,0,0
59,4,4512,4552,5125,2145,-1,-1,-1,-1,-1,17,6,4,3,955,95,2962,391,11,6,0,11,5,2723154000,5437469000,-1108465000,0,0,0
60,4,4512,4552,5125,5252,-1,-1,-1,-1,-1,17,5,2,3,887,27,2637,66,7,6,0,7,1,2655982000,4857738000,-528734000,0,0,0
61,4,4512,4552,1255,5255,-1,-1,-1,-1,-1,16,5,2,3,922,62,2801,230,8,6,0,8,2,2647673000,4530011000,-201007000,0,0,0
62,4,4512,4552,1255,1252,-1,-1,-1,-1,-1,15,5,2,3,907,47,2734,163,7,6,0,7,1,2519034000,4355943000,-26939000,0,0,0
63,4,4512,4552,1255,2145,-1,-1,-1,-1,-1,15,6,4,3,965,105,3014,443,11,6,0,11,5,2639289000,5186233000,-857229000,0,0,0
64,4,4512,4552,1255,5252,-1,-1,-1,-1,-1,15,5,2,3,909,49,2734,163,7,6,0,7,1,2538598000,4313001000,16003000,0,0,0
65,4,4512,4552,5255,1252,-1,-1,-1,-1,-1,15,5,2,3,902,42,2709,138,6,6,0,6,0,2454667000,3750000000,579004000,0,0,0
66,4,4512,4552,5255,2145,-1,-1,-1,-1,-1,15,6,4,3,963,103,3008,437,11,6,0,11,5,2652027000,5186233000,-857229000,0,0,0
67,4,4512,4552,5255,5252,-1,-1,-1,-1,-1,15,5,2,3,902,42,2718,147,6,6,0,6,0,2441711000,3708282000,620722000,0,0,0
68,4,4512,4552,1252,2145,-1,-1,-1,-1,-1,14,6,4,3,957,97,2970,399,11,6,0,11,5,2704286000,5378973000,-1049969000,0,0,0
69,4,4512,4552,1252,5252,-1,-1,-1,-1,-1,14,5,2,3,886,26,2638,67,6,6,0,6,0,2551884000,4115226000,213778000,0,0,0
70,4,4512,4552,2145,5252,-1,-1,-1,-1,-1,14,6,4,3,954,94,2959,388,11,6,0,11,5,2721508000,5437469000,-1108465000,0,0,0
71,4,4512,5125,1255,5255,-1,-1,-1,-1,-1,16,5,2,3,924,64,2806,235,8,6,0,8,2,2659259000,4530011000,-201007000,0,0,0
72,4,4512,5125,1255,1252,-1,-1,-1,-1,-1,15,5,2,3,907,47,2734,163,7,6,0,7,1,2519034000,4355943000,-26939000,0,0,0
73,4,4512,5125,1255,2145,-1,-1,-1,-1,-1,15,6,4,3,965,105,3014,443,11,6,0,11,5,2639289000,5186233000,-857229000,0,0,0
74,4,4512,5125,1255,5252,-1,-1,-1,-1,-1,15,5,2,3,910,50,2737,166,7,6,0,7,1,2538808000,4313001000,16003000,0,0,0
75,4,4512,5125,5255,1252,-1,-1,-1,-1,-1,15,5,2,3,908,48,2724,153,7,6,0,7,1,2609975000,4345127000,-16123000,0,0,0
76,4,4512,5125,5255,2145,-1,-1,-1,-1,-1,15,6,4,3,964,104,3011,440,11,6,0,11,5,2653574000,5186233000,-857229000,0,0,0
77,4,4512,5125,5255,5252,-1,-1,-1,-1,-1,15,5,2,3,909,49,2734,163,7,6,0,7,1,2593184000,4297115000,31889000,0,0,0
78,4,4512,5125,1252,2145,-1,-1,-1,-1,-1,14,6,4,3,958,98,2973,402,11,6,0,11,5,2705919000,5378973000,-1049969000,0,0,0
79,4,4512,5125,1252,5252,-1,-1,-1,-1,-1,14,5,2,3,893,33,2654,83,7,6,0,7,1,2674675000,4758668000,-429664000,0,0,0
80,4,4512,5125,2145,5252,-1,-1,-1,-1,-1,14,6,4,3,955,95,2962,391,11,6,0,11,5,2723154000,5437469000,-1108465000,0,0,0
81,4,4512,1255,5255,1252,-1,-1,-1,-1,-1,13,5,2,3,930,70,2831,260,8,6,0,8,2,2662570000,4439512000,-110508000,0,0,0
82,4,4512,1255,5255,2145,-1,-1,-1,-1,-1,13,6,4,3,974,114,3063,492,11,6,0,11,5,2575756000,4957188000,-628184000,0,0,0
83,4,4512,1255,5255,5252,-1,-1,-1,-1,-1,13,5,2,3,931,71,2834,263,8,6,0,8,2,2655393000,4405286000,-76282000,0,0,0
84,4,4512,1255,1252,2145,-1,-1,-1,-1,-1,12,6,4,3,967,107,3022,451,11,6,0,11,5,2627874000,5147403000,-818399000,0,0,0
85,4,4512,1255,1252,5252,-1,-1,-1,-1,-1,12,5,2,3,915,55,2758,187,7,6,0,7,1,2523529000,4224502000,104502000,0,0,0
86,4,4512,1255,2145,5252,-1,-1,-1,-1,-1,12,6,4,3,965,105,3014,443,11,6,0,11,5,2639289000,5186233000,-857229000,0,0,0
87,4,4512,5255,1252,2145,-1,-1,-1,-1,-1,12,6,4,3,965,105,3016,445,11,6,0,11,5,2639397000,5147403000,-818399000,0,0,0
88,4,4512,5255,1252,5252,-1,-1,-1,-1,-1,12,5,2,3,908,48,2734,163,6,6,0,6,0,2433665000,3649635000,679369000,0,0,0
89,4,4512,5255,2145,5252,-1,-1,-1,-1,-1,12,6,4,3,963,103,3008,437,11,6,0,11,5,2652027000,5186233000,-857229000,0,0,0
90,4,4512,1252,2145,5252,-1,-1,-1,-1,-1,11,6,4,3,957,97,2970,399,11,6,0,11,5,2704286000,5378973000,-1049969000,0,0,0
91,4,4552,5125,1255,5255,-1,-1,-1,-1,-1,16,5,2,3,924,64,2806,235,8,6,0,8,2,2659259000,4530011000,-201007000,0,0,0
92,4,4552,5125,1255,1252,-1,-1,-1,-1,-1,15,5,2,3,907,47,2734,163,7,6,0,7,1,2519034000,4355943000,-26939000,0,0,0
93,4,4552,5125,1255,2145,-1,-1,-1,-1,-1,15,6,4,3,965,105,3014,443,11,6,0,11,5,2639289000,5186233000,-857229000,0,0,0
94,4,4552,5125,1255,5252,-1,-1,-1,-1,-1,15,5,2,3,910,50,2737,166,7,6,0,7,1,2538808000,4313001000,16003000,0,0,0
95,4,4552,5125,5255,1252,-1,-1,-1,-1,-1,15,5,2,3,908,48,2724,153,7,6,0,7,1,2609975000,4345127000,-16123000,0,0,0
96,4,4552,5125,5255,2145,-1,-1,-1,-1,-1,15,6,4,3,964,104,3011,440,11,6,0,11,5,2653574000,5186233000,-857229000,0,0,0
97,4,4552,5125,5255,5252,-1,-1,-1,-1,-1,15,5,2,3,909,49,2734,163,7,6,0,7,1,2593184000,4297115000,31889000,0,0,0
98,4,4552,5125,1252,2145,-1,-1,-1,-1,-1,14,6,4,3,958,98,2973,402,11,6,0,11,5,2705919000,5378973000,-1049969000,0,0,0
99,4,4552,5125,1252,5252,-1,-1,-1,-1,-1,14,5,2,3,893,33,2654,83,7,6,0,7,1,2674675000,4758668000,-429664000,0,0,0
100,4,4552,5125,2145,5252,-1,-1,-1,-1,-1,14,6,4,3,955,95,2962,391,11,6,0,11,5,2723154000,5437469000,-1108465000,0,0,0
101,4,4552,1255,5255,1252,-1,-1,-1,-1,-1,13,5,2,3,923,63,2809,238,8,6,0,8,2,2672622000,4439512000,-110508000,0,0,0
102,4,4552,1255,5255,2145,-1,-1,-1,-1,-1,13,6,4,3,971,111,3055,484,11,6,0,11,5,2580890000,4957188000,-628184000,0,0,0
103,4,4552,1255,5255,5252,-1,-1,-1,-1,-1,13,5,2,3,924,64,2812,241,8,6,0,8,2,2665726000,4405286000,-76282000,0,0,0
104,4,4552,1255,1252,2145,-1,-1,-1,-1,-1,12,6,4,3,964,104,3014,443,11,6,0,11,5,2632988000,5147403000,-818399000,0,0,0
105,4,4552,1255,1252,5252,-1,-1,-1,-1,-1,12,5,2,3,908,48,2736,165,7,6,0,7,1,2533247000,4224502000,104502000,0,0,0
106,4,4552,1255,2145,5252,-1,-1,-1,-1,-1,12,6,4,3,962,102,3006,435,11,6,0,11,5,2644401000,5186233000,-857229000,0,0,0
107,4,4552,5255,1252,2145,-1,-1,-1,-1,-1,12,6,4,3,962,102,3008,437,11,6,0,11,5,2644543000,5147403000,-818399000,0,0,0
108,4,4552,5255,1252,5252,-1,-1,-1,-1,-1,12,5,2,3,900,40,2711,140,6,6,0,6,0,2443681000,3649635000,679369000,0,1,0
109,4,4552,5255,2145,5252,-1,-1,-1,-1,-1,12,6,4,3,960,100,3000,429,11,6,0,11,5,2657173000,5186233000,-857229000,0,0,0
110,4,4552,1252,2145,5252,-1,-1,-1,-1,-1,11,6,4,3,954,94,2962,391,11,6,0,11,5,2709411000,5378973000,-1049969000,0,0,0
111,4,5125,1255,5255,1252,-1,-1,-1,-1,-1,13,5,2,3,930,70,2831,260,8,6,0,8,2,2662570000,4439512000,-110508000,0,0,0
112,4,5125,1255,5255,2145,-1,-1,-1,-1,-1,13,6,4,3,974,114,3063,492,11,6,0,11,5,2575756000,4957188000,-628184000,0,0,0
113,4,5125,1255,5255,5252,-1,-1,-1,-1,-1,13,5,2,3,932,72,2837,266,8,6,0,8,2,2655545000,4405286000,-76282000,0,0,0
114,4,5125,1255,1252,2145,-1,-1,-1,-1,-1,12,6,4,3,967,107,3022,451,11,6,0,11,5,2627874000,5147403000,-818399000,0,0,0
115,4,5125,1255,1252,5252,-1,-1,-1,-1,-1,12,5,2,3,915,55,2758,187,7,6,0,7,1,2523529000,4224502000,104502000,0,0,0
116,4,5125,1255,2145,5252,-1,-1,-1,-1,-1,12,6,4,3,965,105,3014,443,11,6,0,11,5,2639289000,5186233000,-857229000,0,0,0
117,4,5125,5255,1252,2145,-1,-1,-1,-1,-1,12,6,4,3,966,106,3019,448,11,6,0,11,5,2640934000,5147403000,-818399000,0,0,0
118,4,5125,5255,1252,5252,-1,-1,-1,-1,-1,12,5,2,3,914,54,2749,178,7,6,0,7,1,2589987000,4229607000,99397000,0,0,0
119,4,5125,5255,2145,5252,-1,-1,-1,-1,-1,12,6,4,3,964,104,3011,440,11,6,0,11,5,2653574000,5186233000,-857229000,0,0,0
120,4,5125,1252,2145,5252,-1,-1,-1,-1,-1,11,6,4,3,958,98,2973,402,11,6,0,11,5,2705919000,5378973000,-1049969000,0,0,0
121,4,1255,5255,1252,2145,-1,-1,-1,-1,-1,10,6,4,3,972,112,3060,489,11,6,0,11,5,2573599000,4934948000,-605944000,0,0,0
122,4,1255,5255,1252,5252,-1,-1,-1,-1,-1,10,5,2,3,929,69,2834,263,8,6,0,8,2,2653340000,4333694000,-4690000,0,0,0
123,4,1255,5255,2145,5252,-1,-1,-1,-1,-1,10,6,4,3,971,111,3055,484,11,6,0,11,5,2580890000,4957188000,-628184000,0,0,0
124,4,1255,1252,2145,5252,-1,-1,-1,-1,-1,9,6,4,3,964,104,3014,443,11,6,0,11,5,2632988000,5147403000,-818399000,0,0,0
125,4,5255,1252,2145,5252,-1,-1,-1,-1,-1,9,6,4,3,962,102,3008,437,11,6,0,11,5,2644543000,5147403000,-818399000,0,0,0
126,5,1451,4512,4552,5125,1255,-1,-1,-1,-1,24,6,4,3,904,44,2718,147,7,6,0,7,1,2516792000,4467135000,-138131000,0,0,0
127,5,1451,4512,4552,5125,5255,-1,-1,-1,-1,24,6,4,3,904,44,2715,144,11,6,0,11,5,2589734000,6922593000,-2593589000,0,0,0
128,5,1451,4512,4552,5125,1252,-1,-1,-1,-1,23,6,4,3,889,29,2642,71,7,6,0,7,1,2633623000,4919185000,-590181000,0,0,0
129,5,1451,4512,4552,5125,2145,-1,-1,-1,-1,23,6,4,3,955,95,2962,391,11,6,0,11,5,2723154000,5437469000,-1108465000,0,0,0
130,5,1451,4512,4552,5125,5252,-1,-1,-1,-1,23,6,4,3,890,30,2646,75,7,6,0,7,1,2653299000,4857738000,-528734000,0,0,0
131,5,1451,4512,4552,1255,5255,-1,-1,-1,-1,22,6,4,3,925,65,2810,239,8,6,0,8,2,2644626000,4530011000,-201007000,0,0,0
132,5,1451,4512,4552,1255,1252,-1,-1,-1,-1,21,6,4,3,911,51,2745,174,7,6,0,7,1,2515543000,4355943000,-26939000,0,0,0
133,5,1451,4512,4552,1255,2145,-1,-1,-1,-1,21,6,4,3,965,105,3014,443,11,6,0,11,5,2639289000,5186233000,-857229000,0,0,0
134,5,1451,4512,4552,1255,5252,-1,-1,-1,-1,21,6,4,3,912,52,2743,172,7,6,0,7,1,2535761000,4313001000,16003000,0,0,0
135,5,1451,4512,4552,5255,1252,-1,-1,-1,-1,21,6,4,3,905,45,2718,147,6,6,0,6,0,2451943000,3750000000,579004000,0,0,0
136,5,1451,4512,4552,5255,2145,-1,-1,-1,-1,21,6,4,3,963,103,3008,437,11,6,0,11,5,2652027000,5186233000,-857229000,0,0,0
137,5,1451,4512,4552,5255,5252,-1,-1,-1,-1,21,6,4,3,904,44,2724,153,6,6,0,6,0,2440016000,3708282000,620722000,0,0,0
138,5,1451,4512,4552,1252,2145,-1,-1,-1,-1,20,6,4,3,957,97,2970,399,11,6,0,11,5,2704286000,5378973000,-1049969000,0,0,0
139,5,1451,4512,4552,1252,5252,-1,-1,-1,-1,20,6,4,3,889,29,2647,76,6,6,0,6,0,2549255000,4115226000,213778000,0,0,0
140,5,1451,4512,4552,2145,5252,-1,-1,-1,-1,20,6,4,3,954,94,2959,388,11,6,0,11,5,2721508000,5437469000,-1108465000,0,0,0
141,5,1451,4512,5125,1255,5255,-1,-1,-1,-1,22,6,4,3,927,67,2815,244,8,6,0,8,2,2656178000,4530011000,-201007000,0,0,0
142,5,1451,4512,5125,1255,1252,-1,-1,-1,-1,21,6,4,3,911,51,2745,174,7,6,0,7,1,2515543000,4355943000,-26939000,0,0,0
143,5,1451,4512,5125,1255,2145,-1,-1,-1,-1,21,6,4,3,965,105,3014,443,11,6,0,11,5,2639289000,5186233000,-857229000,0,0,0
144,5,1451,4512,5125,1255,5252,-1,-1,-1,-1,21,6,4,3,913,53,2746,175,7,6,0,7,1,2535971000,4313001000,16003000,0,0,0
145,5,1451,4512,5125,5255,1252,-1,-1,-1,-1,21,6,4,3,911,51,2733,162,7,6,0,7,1,2607117000,4345127000,-16123000,0,0,0
146,5,1451,4512,5125,5255,2145,-1,-1,-1,-1,21,6,4,3,964,104,3011,440,11,6,0,11,5,2653574000,5186233000,-857229000,0,0,0
147,5,1451,4512,5125,5255,5252,-1,-1,-1,-1,21,6,4,3,911,51,2740,169,7,6,0,7,1,2591404000,4297115000,31889000,0,0,0
148,5,1451,4512,5125,1252,2145,-1,-1,-1,-1,20,6,4,3,958,98,2973,402,11,6,0,11,5,2705919000,5378973000,-1049969000,0,0,0
149,5,1451,4512,5125,1252,5252,-1,-1,-1,-1,20,6,4,3,896,36,2663,92,7,6,0,7,1,2671945000,4758668000,-429664000,0,0,0
150,5,1451,4512,5125,2145,5252,-1,-1,-1,-1,20,6,4,3,955,95,2962,391,11,6,0,11,5,2723154000,5437469000,-1108465000,0,0,0
151,5,1451,4512,1255,5255,1252,-1,-1,-1,-1,19,6,4,3,933,73,2840,269,8,6,0,8,2,2659463000,4439512000,-110508000,0,0,0
152,5,1451,4512,1255,5255,2145,-1,-1,-1,-1,19,6,4,3,974,114,3063,492,11,6,0,11,5,2575756000,4957188000,-628184000,0,0,0
153,5,1451,4512,1255,5255,5252,-1,-1,-1,-1,19,6,4,3,933,73,2840,269,8,6,0,8,2,2653436000,4405286000,-76282000,0,0,0
154,5,1451,4512,1255,1252,2145,-1,-1,-1,-1,18,6,4,3,967,107,3022,451,11,6,0,11,5,2627874000,5147403000,-818399000,0,0,0
155,5,1451,4512,1255,1252,5252,-1,-1,-1,-1,18,6,4,3,918,58,2767,196,7,6,0,7,1,2520675000,4224502000,104502000,0,0,0
156,5,1451,4512,1255,2145,5252,-1,-1,-1,-1,18,6,4,3,965,105,3014,443,11,6,0,11,5,2639289000,5186233000,-857229000,0,0,0
157,5,1451,4512,5255,1252,2145,-1,-1,-1,-1,18,6,4,3,965,105,3016,445,11,6,0,11,5,2639397000,5147403000,-818399000,0,0,0
158,5,1451,4512,5255,1252,5252,-1,-1,-1,-1,18,6,4,3,910,50,2740,169,6,6,0,6,0,2431955000,3649635000,679369000,0,0,0
159,5,1451,4512,5255,2145,5252,-1,-1,-1,-1,18,6,4,3,963,103,3008,437,11,6,0,11,5,2652027000,5186233000,-857229000,0,0,0
160,5,1451,4512,1252,2145,5252,-1,-1,-1,-1,17,6,4,3,957,97,2970,399,11,6,0,11,5,2704286000,5378973000,-1049969000,0,0,0
161,5,1451,4552,5125,1255,5255,-1,-1,-1,-1,22,6,4,3,927,67,2815,244,8,6,0,8,2,2656178000,4530011000,-201007000,0,0,0
162,5,1451,4552,5125,1255,1252,-1,-1,-1,-1,21,6,4,3,911,51,2745,174,7,6,0,7,1,2515543000,4355943000,-26939000,0,0,0
163,5,1451,4552,5125,1255,2145,-1,-1,-1,-1,21,6,4,3,965,105,3014,443,11,6,0,11,5,2639289000,5186233000,-857229000,0,0,0
164,5,1451,4552,5125,1255,5252,-1,-1,-1,-1,21,6,4,3,913,53,2746,175,7,6,0,7,1,2535971000,4313001000,16003000,0,0,0
165,5,1451,4552,5125,5255,1252,-1,-1,-1,-1,21,6,4,3,911,51,2733,162,7,6,0,7,1,2607117000,4345127000,-16123000,0,0,0
166,5,1451,4552,5125,5255,2145,-1,-1,-1,-1,21,6,4,3,964,104,3011,440,11,6,0,11,5,2653574000,5186233000,-857229000,0,0,0
167,5,1451,4552,5125,5255,5252,-1,-1,-1,-1,21,6,4,3,911,51,2740,169,7,6,0,7,1,2591404000,4297115000,31889000,0,0,0
168,5,1451,4552,5125,1252,2145,-1,-1,-1,-1,20,6,4,3,958,98,2973,402,11,6,0,11,5,2705919000,5378973000,-1049969000,0,0,0
169,5,1451,4552,5125,1252,5252,-1,-1,-1,-1,20,6,4,3,896,36,2663,92,7,6,0,7,1,2671945000,4758668000,-429664000,0,0,0
170,5,1451,4552,5125,2145,5252,-1,-1,-1,-1,20,6,4,3,955,95,2962,391,11,6,0,11,5,2723154000,5437469000,-1108465000,0,0,0
