cut_edge_id,transfer_edge_id,source_signature_class_id,target_signature_class_id,shared_active_atom_count,source_nodal_sign,target_nodal_sign,source_eigenfunction_x1e12,target_eigenfunction_x1e12,undirected_stationary_flux_x1e12,source_carrier_atom_mask,target_carrier_atom_mask
112,857,6,78,1,1,-1,1076857070829,-860433468893,83636815,146,6160
113,858,6,79,1,1,-1,1076857070829,-860433468893,83636815,146,6160
114,859,6,80,1,1,-1,1076857070829,-860433468893,83636815,146,6160
115,860,6,81,1,1,-1,1076857070829,-860433468893,83636815,146,6160
116,861,6,82,1,1,-1,1076857070829,-860433468893,83636815,146,6160
117,862,6,83,1,1,-1,1076857070829,-860433468893,83636815,146,6160
118,863,6,84,1,1,-1,1076857070829,-860433468893,83636815,146,6160
119,972,7,48,1,1,-1,1076857070829,-894848865438,82641807,146,6146
120,973,7,49,1,1,-1,1076857070829,-894848865438,82641807,146,6146
121,974,7,50,1,1,-1,1076857070829,-894848865438,82641807,146,6146
122,975,7,51,1,1,-1,1076857070829,-894848865438,82641807,146,6146
123,976,7,52,1,1,-1,1076857070829,-894848865438,82641807,146,6146
124,977,7,53,1,1,-1,1076857070829,-894848865438,82641807,146,6146
125,978,7,54,1,1,-1,1076857070829,-894848865438,82641807,146,6146
126,979,7,55,1,1,-1,1076857070829,-894848865438,82641807,146,6146
127,980,7,56,1,1,-1,1076857070829,-894848865438,82641807,146,6146
128,981,7,57,1,1,-1,1076857070829,-894848865438,82641807,146,6146
129,987,7,78,1,1,-1,1076857070829,-860433468893,83636815,146,6160
130,988,7,79,1,1,-1,1076857070829,-860433468893,83636815,146,6160
131,989,7,80,1,1,-1,1076857070829,-860433468893,83636815,146,6160
132,990,7,81,1,1,-1,1076857070829,-860433468893,83636815,146,6160
133,991,7,82,1,1,-1,1076857070829,-860433468893,83636815,146,6160
134,992,7,83,1,1,-1,1076857070829,-860433468893,83636815,146,6160
135,993,7,84,1,1,-1,1076857070829,-860433468893,83636815,146,6160
136,1101,8,48,1,1,-1,1076857070829,-894848865438,82641807,146,6146
137,1102,8,49,1,1,-1,1076857070829,-894848865438,82641807,146,6146
138,1103,8,50,1,1,-1,1076857070829,-894848865438,82641807,146,6146
139,1104,8,51,1,1,-1,1076857070829,-894848865438,82641807,146,6146
140,1105,8,52,1,1,-1,1076857070829,-894848865438,82641807,146,6146
141,1106,8,53,1,1,-1,1076857070829,-894848865438,82641807,146,6146
142,1107,8,54,1,1,-1,1076857070829,-894848865438,82641807,146,6146
143,1108,8,55,1,1,-1,1076857070829,-894848865438,82641807,146,6146
144,1109,8,56,1,1,-1,1076857070829,-894848865438,82641807,146,6146
145,1110,8,57,1,1,-1,1076857070829,-894848865438,82641807,146,6146
146,1116,8,78,1,1,-1,1076857070829,-860433468893,83636815,146,6160
147,1117,8,79,1,1,-1,1076857070829,-860433468893,83636815,146,6160
148,1118,8,80,1,1,-1,1076857070829,-860433468893,83636815,146,6160
149,1119,8,81,1,1,-1,1076857070829,-860433468893,83636815,146,6160
150,1120,8,82,1,1,-1,1076857070829,-860433468893,83636815,146,6160
151,1121,8,83,1,1,-1,1076857070829,-860433468893,83636815,146,6160
152,1122,8,84,1,1,-1,1076857070829,-860433468893,83636815,146,6160
153,1229,9,48,1,1,-1,1076857070829,-894848865438,82641807,146,6146
154,1230,9,49,1,1,-1,1076857070829,-894848865438,82641807,146,6146
155,1231,9,50,1,1,-1,1076857070829,-894848865438,82641807,146,6146
156,1232,9,51,1,1,-1,1076857070829,-894848865438,82641807,146,6146
157,1233,9,52,1,1,-1,1076857070829,-894848865438,82641807,146,6146
158,1234,9,53,1,1,-1,1076857070829,-894848865438,82641807,146,6146
159,1235,9,54,1,1,-1,1076857070829,-894848865438,82641807,146,6146
160,1236,9,55,1,1,-1,1076857070829,-894848865438,82641807,146,6146
161,1237,9,56,1,1,-1,1076857070829,-894848865438,82641807,146,6146
162,1238,9,57,1,1,-1,1076857070829,-894848865438,82641807,146,6146
163,1244,9,78,1,1,-1,1076857070829,-860433468893,83636815,146,6160
164,1245,9,79,1,1,-1,1076857070829,-860433468893,83636815,146,6160
165,1246,9,80,1,1,-1,1076857070829,-860433468893,83636815,146,6160
166,1247,9,81,1,1,-1,1076857070829,-860433468893,83636815,146,6160
167,1248,9,82,1,1,-1,1076857070829,-860433468893,83636815,146,6160
168,1249,9,83,1,1,-1,1076857070829,-860433468893,83636815,146,6160
169,1250,9,84,1,1,-1,1076857070829,-860433468893,83636815,146,6160
170,1356,10,48,1,1,-1,1076857070829,-894848865438,82641807,146,6146
171,1357,10,49,1,1,-1,1076857070829,-894848865438,82641807,146,6146
172,1358,10,50,1,1,-1,1076857070829,-894848865438,82641807,146,6146
173,1359,10,51,1,1,-1,1076857070829,-894848865438,82641807,146,6146
174,1360,10,52,1,1,-1,1076857070829,-894848865438,82641807,146,6146
175,1361,10,53,1,1,-1,1076857070829,-894848865438,82641807,146,6146
176,1362,10,54,1,1,-1,1076857070829,-894848865438,82641807,146,6146
177,1363,10,55,1,1,-1,1076857070829,-894848865438,82641807,146,6146
178,1364,10,56,1,1,-1,1076857070829,-894848865438,82641807,146,6146
179,1365,10,57,1,1,-1,1076857070829,-894848865438,82641807,146,6146
180,1371,10,78,1,1,-1,1076857070829,-860433468893,83636815,146,6160
181,1372,10,79,1,1,-1,1076857070829,-860433468893,83636815,146,6160
182,1373,10,80,1,1,-1,1076857070829,-860433468893,83636815,146,6160
183,1374,10,81,1,1,-1,1076857070829,-860433468893,83636815,146,6160
184,1375,10,82,1,1,-1,1076857070829,-860433468893,83636815,146,6160
185,1376,10,83,1,1,-1,1076857070829,-860433468893,83636815,146,6160
186,1377,10,84,1,1,-1,1076857070829,-860433468893,83636815,146,6160
187,1482,11,48,1,1,-1,1076857070829,-894848865438,82641807,146,6146
188,1483,11,49,1,1,-1,1076857070829,-894848865438,82641807,146,6146
189,1484,11,50,1,1,-1,1076857070829,-894848865438,82641807,146,6146
190,1485,11,51,1,1,-1,1076857070829,-894848865438,82641807,146,6146
191,1486,11,52,1,1,-1,1076857070829,-894848865438,82641807,146,6146
192,1487,11,53,1,1,-1,1076857070829,-894848865438,82641807,146,6146
193,1488,11,54,1,1,-1,1076857070829,-894848865438,82641807,146,6146
194,1489,11,55,1,1,-1,1076857070829,-894848865438,82641807,146,6146
195,1490,11,56,1,1,-1,1076857070829,-894848865438,82641807,146,6146
196,1491,11,57,1,1,-1,1076857070829,-894848865438,82641807,146,6146
197,1497,11,78,1,1,-1,1076857070829,-860433468893,83636815,146,6160
198,1498,11,79,1,1,-1,1076857070829,-860433468893,83636815,146,6160
