seed_atom_id,rank,entering_atom_id,poincare_threshold,new_signature_class_count,cumulative_signature_class_count,cumulative_tensor_path_coefficient_mass,cumulative_internal_signature_count,full_coverage
8,7,5,0.3063166078,6,209,608832,629,0
8,8,2,0.3706976063,6,215,641856,710,0
8,9,12,0.4469463319,6,221,661440,768,0
8,10,14,0.4665950222,4,225,727488,839,0
8,11,17,0.5377726807,8,233,802752,909,1
8,12,11,0.5565300596,0,233,813376,962,1
8,13,4,0.7012144781,0,233,846400,1032,1
8,14,3,0.7146947196,0,233,892480,1104,1
8,15,1,0.7414883061,0,233,924736,1173,1
8,16,6,0.7699267797,0,233,961600,1240,1
8,17,13,0.7980153427,0,233,1000000,1310,1
8,18,16,0.8152983309,0,233,1040960,1373,1
8,19,10,2.9797503767,0,233,1057472,1428,1
8,20,0,3.2903897629,0,233,1067072,1478,1
9,1,9,0.0,110,110,112640,110,0
9,2,15,0.0332912375,28,138,168448,199,0
9,3,18,0.0372411127,15,153,213888,275,0
9,4,19,0.0622692354,36,189,379264,372,0
9,5,8,0.0805885309,14,203,502144,462,0
9,6,7,0.1483567889,0,203,585856,559,0
9,7,5,0.2258188302,6,209,608832,629,0
9,8,2,0.2932577774,6,215,641856,710,0
9,9,12,0.3843976522,6,221,661440,768,0
9,10,14,0.5464411023,4,225,727488,839,0
9,11,11,0.5597050228,0,225,738112,892,0
9,12,17,0.6169099802,8,233,813376,962,1
9,13,3,0.6344798947,0,233,859456,1034,1
9,14,6,0.6930880981,0,233,896320,1101,1
9,15,4,0.7092840679,0,233,929344,1171,1
9,16,1,0.741255813,0,233,961600,1240,1
9,17,13,0.8750394914,0,233,1000000,1310,1
9,18,16,0.8929215996,0,233,1040960,1373,1
9,19,10,3.0144829209,0,233,1057472,1428,1
9,20,0,3.2421574468,0,233,1067072,1478,1
10,1,10,0.0,55,55,16512,55,0
10,2,4,2.3803030662,35,90,49536,125,0
10,3,1,2.4126262295,6,96,81792,194,0
10,4,11,2.5201822499,30,126,92416,247,0
10,5,13,2.691967093,8,134,130816,317,0
10,6,16,2.7177766619,0,134,171776,380,0
10,7,17,2.7858635648,35,169,247040,450,0
10,8,14,2.8238853201,8,177,313088,521,0
10,9,7,2.8662390218,22,199,396800,618,0
10,10,8,2.9797503767,12,211,519680,708,0
10,11,12,2.985135665,0,211,539264,766,0
10,12,19,2.9888236218,22,233,704640,863,1
10,13,9,3.0144829209,0,233,817280,973,1
10,14,15,3.018702018,0,233,873088,1062,1
10,15,18,3.0195866631,0,233,918528,1138,1
10,16,2,3.1026952834,0,233,951552,1219,1
10,17,5,3.1277441481,0,233,974528,1289,1
10,18,3,3.4738214754,0,233,1020608,1361,1
10,19,6,3.5981191932,0,233,1057472,1428,1
10,20,0,4.9551491696,0,233,1067072,1478,1
11,1,11,0.0,53,53,10624,53,0
11,2,4,0.1529230769,63,116,43648,123,0
11,3,1,0.1858620527,10,126,75904,192,0
11,4,7,0.42219248,30,156,159616,289,0
11,5,12,0.4662853802,35,191,179200,347,0
11,6,8,0.5565300596,20,211,302080,437,0
11,7,19,0.557922089,22,233,467456,534,1
11,8,9,0.5597050228,0,233,580096,644,1
11,9,15,0.5757314339,0,233,635904,733,1
11,10,18,0.5780110759,0,233,681344,809,1
11,11,2,0.5856247319,0,233,714368,890,1
11,12,5,0.6208377226,0,233,737344,960,1
11,13,14,0.7022603634,0,233,803392,1031,1
11,14,17,0.7272469773,0,233,878656,1101,1
11,15,13,0.8737146077,0,233,917056,1171,1
11,16,16,0.9021843377,0,233,958016,1234,1
11,17,3,0.9537002719,0,233,1004096,1306,1
11,18,6,1.079259781,0,233,1040960,1373,1
11,19,10,2.5201822499,0,233,1057472,1428,1
11,20,0,2.9151707714,0,233,1067072,1478,1
12,1,12,0.0,58,58,19584,58,0
12,2,2,0.172508551,71,129,52608,139,0
12,3,5,0.257541464,8,137,75584,209,0
12,4,7,0.3696804531,42,179,159296,306,0
12,5,9,0.3843976522,34,213,271936,416,0
12,6,15,0.4173140082,0,213,327744,505,0
12,7,18,0.4212670345,0,213,373184,581,0
12,8,19,0.433237496,8,221,538560,678,0
12,9,8,0.4469463319,0,221,661440,768,0
12,10,11,0.4662853802,0,221,672064,821,0
12,11,3,0.4905209275,0,221,718144,893,0
12,12,1,0.5927782089,4,225,750400,962,0
12,13,4,0.6063973373,8,233,783424,1032,1
12,14,6,0.6269429496,0,233,820288,1099,1
12,15,14,0.8509395039,0,233,886336,1170,1
12,16,17,0.9081963746,0,233,961600,1240,1
12,17,13,1.1332808062,0,233,1000000,1310,1
12,18,16,1.1565503164,0,233,1040960,1373,1
12,19,0,2.8706869096,0,233,1050560,1423,1
12,20,10,2.985135665,0,233,1067072,1478,1
13,1,13,0.0,70,70,38400,70,0
13,2,16,0.0306028008,17,87,79360,133,0
13,3,17,0.2716717989,35,122,154624,203,0
13,4,14,0.3488557941,8,130,220672,274,0
13,5,7,0.7862008603,51,181,304384,371,0
13,6,8,0.7980153427,12,193,427264,461,0
13,7,19,0.8160216283,22,215,592640,558,0
13,8,18,0.8519866479,0,215,638080,634,0
13,9,15,0.8541496258,0,215,693888,723,0
13,10,11,0.8737146077,6,221,704512,776,0
13,11,9,0.8750394914,0,221,817152,886,0
13,12,4,0.9131642356,6,227,850176,956,0
13,13,1,0.9996840291,6,233,882432,1025,1
13,14,5,1.0913075648,0,233,905408,1095,1
13,15,2,1.1321810708,0,233,938432,1176,1
13,16,12,1.1332808062,0,233,958016,1234,1
13,17,3,1.5045496447,0,233,1004096,1306,1
13,18,6,1.5678045627,0,233,1040960,1373,1
13,19,10,2.691967093,0,233,1057472,1428,1
13,20,0,3.7888828935,0,233,1067072,1478,1
14,1,14,0.0,71,71,66048,71,0
14,2,17,0.0771840343,21,92,141312,141,0
14,3,13,0.3488557941,36,128,179712,211,0
14,4,16,0.360588612,2,130,220672,274,0
14,5,8,0.4665950222,41,171,343552,364,0
14,6,7,0.4843469708,22,193,427264,461,0
14,7,19,0.48500567,22,215,592640,558,0
14,8,18,0.5192247766,0,215,638080,634,0
14,9,15,0.5218517081,0,215,693888,723,0
14,10,9,0.5464411023,0,215,806528,833,0
14,11,11,0.7022603634,6,221,817152,886,0
14,12,5,0.7697737358,6,227,840128,956,0
14,13,4,0.790121238,0,227,873152,1026,0
14,14,2,0.8220453627,6,233,906176,1107,1
14,15,12,0.8509395039,0,233,925760,1165,1
14,16,1,0.8656493441,0,233,958016,1234,1
14,17,3,1.1808603132,0,233,1004096,1306,1
14,18,6,1.2339996164,0,233,1040960,1373,1
14,19,10,2.8238853201,0,233,1057472,1428,1
14,20,0,3.5933302937,0,233,1067072,1478,1
15,1,15,0.0,89,89,55808,89,0
15,2,18,0.0039610949,15,104,101248,165,0
15,3,9,0.0332912375,49,153,213888,275,0
15,4,19,0.0384898921,36,189,379264,372,0
15,5,8,0.0561458637,14,203,502144,462,0
15,6,7,0.1567454416,0,203,585856,559,0
15,7,5,0.2550026546,6,209,608832,629,0
15,8,2,0.3254272779,6,215,641856,710,0
15,9,12,0.4173140082,6,221,661440,768,0
15,10,14,0.5218517081,4,225,727488,839,0
15,11,11,0.5757314339,0,225,738112,892,0
15,12,17,0.5934791253,8,233,813376,962,1
15,13,3,0.6604260766,0,233,859456,1034,1
15,14,6,0.7138581257,0,233,896320,1101,1
15,15,4,0.7237899104,0,233,929344,1171,1
15,16,1,0.7587644774,0,233,961600,1240,1
15,17,13,0.8541496258,0,233,1000000,1310,1
15,18,16,0.8713812364,0,233,1040960,1373,1
15,19,10,3.018702018,0,233,1057472,1428,1
15,20,0,3.2732765543,0,233,1067072,1478,1
16,1,16,0.0,63,63,40960,63,0
16,2,13,0.0306028008,24,87,79360,133,0
16,3,17,0.2837131581,35,122,154624,203,0
16,4,14,0.360588612,8,130,220672,274,0
16,5,7,0.8070978955,51,181,304384,371,0
16,6,8,0.8152983309,12,193,427264,461,0
16,7,19,0.8334070844,22,215,592640,558,0
16,8,18,0.869132579,0,215,638080,634,0
16,9,15,0.8713812364,0,215,693888,723,0
16,10,9,0.8929215996,0,215,806528,833,0
16,11,11,0.9021843377,6,221,817152,886,0
16,12,4,0.94293949,6,227,850176,956,0
16,13,1,1.0293247684,6,233,882432,1025,1
16,14,5,1.1105123588,0,233,905408,1095,1
16,15,2,1.1528455632,0,233,938432,1176,1
16,16,12,1.1565503164,0,233,958016,1234,1
16,17,3,1.523694298,0,233,1004096,1306,1
16,18,6,1.585224997,0,233,1040960,1373,1
16,19,10,2.7177766619,0,233,1057472,1428,1
16,20,0,3.8173107131,0,233,1067072,1478,1
17,1,17,0.0,70,70,75264,70,0
17,2,14,0.0771840343,22,92,141312,141,0
17,3,13,0.2716717989,36,128,179712,211,0
17,4,16,0.2837131581,2,130,220672,274,0
17,5,8,0.5377726807,41,171,343552,364,0
17,6,7,0.5457057316,22,193,427264,461,0
17,7,19,0.5561031147,22,215,592640,558,0
17,8,18,0.5910002862,0,215,638080,634,0
17,9,15,0.5934791253,0,215,693888,723,0
17,10,9,0.6169099802,0,215,806528,833,0
17,11,11,0.7272469773,6,221,817152,886,0
17,12,4,0.803453673,6,227,850176,956,0
17,13,5,0.8385044459,0,227,873152,1026,0
17,14,1,0.8825284361,6,233,905408,1095,1
17,15,2,0.8874316985,0,233,938432,1176,1
17,16,12,0.9081963746,0,233,958016,1234,1
17,17,3,1.2506553552,0,233,1004096,1306,1
17,18,6,1.3067596499,0,233,1040960,1373,1
17,19,10,2.7858635648,0,233,1057472,1428,1
17,20,0,3.6291255357,0,233,1067072,1478,1
18,1,18,0.0,76,76,45440,76,0
18,2,15,0.0039610949,28,104,101248,165,0
18,3,19,0.0369521993,36,140,266624,262,0
18,4,9,0.0372411127,49,189,379264,372,0
18,5,8,0.054144051,14,203,502144,462,0
18,6,7,0.1584718777,0,203,585856,559,0
18,7,5,0.2583908597,6,209,608832,629,0
18,8,2,0.329182255,6,215,641856,710,0
18,9,12,0.4212670345,6,221,661440,768,0
18,10,14,0.5192247766,4,225,727488,839,0
18,11,11,0.5780110759,0,225,738112,892,0
18,12,17,0.5910002862,8,233,813376,962,1
18,13,3,0.6633609882,0,233,859456,1034,1
18,14,6,0.7161532606,0,233,896320,1101,1
18,15,4,0.7258854465,0,233,929344,1171,1
18,16,1,0.7611870182,0,233,961600,1240,1
18,17,13,0.8519866479,0,233,1000000,1310,1
18,18,16,0.869132579,0,233,1040960,1373,1
18,19,10,3.0195866631,0,233,1057472,1428,1
18,20,0,3.2770865041,0,233,1067072,1478,1
19,1,19,0.0,97,97,165376,97,0
19,2,8,0.0184330603,41,138,288256,187,0
19,3,18,0.0369521993,15,153,333696,263,0
