mask,basis_cycle_ids,height_action,transport_scalar_mod_1000003,lambda_support,corrected_support,corrected_coefficient_sum_signed,corrected_abs_sum_signed_lift,corrected_vector_sha256_dense_i8
392,3 7 8,2635776,682118,297,297,449248,1636096,9140a0853291cbfc92534704ecd65765a4f7079b55d156a746c8c630a7791d0d
393,0 3 7 8,3710976,144518,297,297,641984,2303296,2f9039cee8bfafe08e0877334f118beea281e30ad8e73b1e998f144b4a8c6824
394,1 3 7 8,3956736,21638,297,297,676384,2457504,9639d0cd2e22e000e4b69e39c574304e843e549c5492d03f6580ba6b2f10007e
395,0 1 3 7 8,5031936,484041,297,297,869120,3124704,dee2e6aa039f5a49baab7b7e88aea3e165842574f77071b0445d525ae238b891
396,2 3 7 8,3409920,295046,297,297,551200,2099776,9a0ed948511f617b2b09f8e1631d40f2bc921bdc21b6976a867aac57fee28161
397,0 2 3 7 8,4485120,757449,297,297,743936,2766976,9c9e6687a215c94105f249de879aa063594b3a9c1ece92c9089174edda67cc8a
398,1 2 3 7 8,4730880,634569,297,297,778336,2921184,c46e8ba68c3779a8560bc309dfab4d67c747a96e7e87620386612b9cf9858e54
399,0 1 2 3 7 8,5806080,96969,297,297,971072,3588384,e6eb6d2015e0e22be9c9b5f8190188eda4371bdae616a900e7707b278a90cadf
400,4 7 8,2525184,737414,297,297,378656,1534976,3fd097ef18f07e15d8e7494c862d96d808645b6a6abf9aab93a9b8080fbf4c3d
401,0 4 7 8,3600384,199814,297,297,571392,2202176,e29bbdea50a4f4b7c34ce21ca2c16343e24fbd353f042b2377ad87991436b706
402,1 4 7 8,3846144,76934,297,297,605792,2356384,f49aa7cea5a116a8dde3b5d1c1aae6b48e23ede6e1a2daccb8ce1a1c41dc6629
403,0 1 4 7 8,4921344,539337,297,297,798528,3023584,6eb79a0de9d49c9f60a9f2d596e19edc079092f641a200c3b85066d18184fd4f
404,2 4 7 8,3299328,350342,297,297,480608,1998656,eba76eb1b3756bf1055f7c8781665a6d936ab70e824f3c1b5591e50fbb2ec486
405,0 2 4 7 8,4374528,812745,297,297,673344,2665856,46b553f84c6e2b0ab9821926c2e225cd66ec8b8c24cf5b4bd7e0dc166d8c9709
406,1 2 4 7 8,4620288,689865,297,297,707744,2820064,55475efd396c519ee8025fa0143e1a30b2a2cd7ec8ae3da2417fa24d5ad73b2e
407,0 1 2 4 7 8,5695488,152265,297,297,900480,3487264,c2d0de79d5900596a30f81a6ea6e0077aa00ff368100d048b82408c9031c5145
408,3 4 7 8,3717120,141446,297,297,630080,2308448,267443c525acb7ef91989a115b5a642a05ca5df16ea46b41cbdc0eba591d5959
409,0 3 4 7 8,4792320,603849,297,297,822816,2975648,96b060a38d7407e3da7cbc56b562372d5c9c43f816aa27a206552f092db194ca
410,1 3 4 7 8,5038080,480969,297,297,857216,3129856,de5ca2ac027589fc12a02d7398c971a112eeca51317e43c0d2d3eefbfeda5fed
411,0 1 3 4 7 8,6113280,943372,297,297,1049952,3797056,599cdfb77b19428cfb1e810c7cf6470fc2079ae537440d65943b99f62534dcc8
412,2 3 4 7 8,4491264,754377,297,297,732032,2772128,d06c35dc3f12471297fbd0f72420379e7390f8f6fe799681e5ef019d1a23dc2e
413,0 2 3 4 7 8,5566464,216777,297,297,924768,3439328,65fc6dcb16a8a9886a3eae9af0018dfea340c071e36b89763c9cb8fc545fce4a
414,1 2 3 4 7 8,5812224,93897,297,297,959168,3593536,5429ea61fa356bec8a91305d1e9a71d4fac7e978b4583d5a8cbe7c8aeb1fb492
415,0 1 2 3 4 7 8,6887424,556300,297,297,1151904,4260736,81823b8cb3c2f3e805f99a4eef660f71e5211ef6173b1491a519aae0dca22a64
416,5 7 8,2135040,932486,297,297,250144,1242832,afd3c1df1f4223be718b752a5b619d38ae67e7467ba300084cdf683a229ae75a
417,0 5 7 8,3210240,394886,297,297,442880,1910032,e7fdcd344cbde08d42d1c84802492e36ae9dead3ec34c0b76f09cacad67b9d50
418,1 5 7 8,3456000,272006,297,297,477280,2064240,2e51d4756306ed684739ae04df76a9efb3124ef7d932b8505e43ee96ad6600ac
419,0 1 5 7 8,4531200,734409,297,297,670016,2731440,f9111082031e184594793b18e2b94c4899f47030aff09962a34eeb89c3143033
420,2 5 7 8,2909184,545414,297,297,352096,1706512,391a96a98415cdc21a88cf19248008ab02b0ace6f2fe6cf365025530989cfdc3
421,0 2 5 7 8,3984384,7814,297,297,544832,2373712,a700de477dbb1a2f59011994aed7f7cee4e546b07d750d0171437206ea233207
422,1 2 5 7 8,4230144,884937,297,297,579232,2527920,ad7303d13ac07751c43bf525254a278435b4f0cf1e6ded181f3b300fa09821f5
423,0 1 2 5 7 8,5305344,347337,297,297,771968,3195120,44c805a513075c23be0ecc1449dff27345753aea6928a4ce93d8a36caa93affb
424,3 5 7 8,3326976,336518,297,297,501568,2016304,acee08ffad77e36f0486d4f9217e8a09718dac2edf5ef0554a79b1fe80a0c4d1
425,0 3 5 7 8,4402176,798921,297,297,694304,2683504,61b96a0e1478499a605674b29c90dc9dfc338c1ab97638756dc1b4970a008938
426,1 3 5 7 8,4647936,676041,297,297,728704,2837712,72d5e677b506d170d67318171f41726c1266417c3cd54bcaeed89bdc81d11c79
427,0 1 3 5 7 8,5723136,138441,297,297,921440,3504912,95b94f602266e9dc3a2783b811d1579436b8b31997392930fe7b12775f890980
428,2 3 5 7 8,4101120,949449,297,297,603520,2479984,4dcfa54ef89287bcba1889a50a2670e0756eec2fd6c974aaaae086d7bd9a3e6d
429,0 2 3 5 7 8,5176320,411849,297,297,796256,3147184,74e74fa80070e49b4f3050d267e9d267a420e508a56dfcb6ef3803daa6303a49
430,1 2 3 5 7 8,5422080,288969,297,297,830656,3301392,17d2a126ee4959d67ca919f796f640d16e6f91a0e897b4ee96e92763a4f458c2
431,0 1 2 3 5 7 8,6497280,751372,297,297,1023392,3968592,f7cd8582725bb0c5c6051161dea30e632b457594c16e808d1d63c4736be31564
432,4 5 7 8,3216384,391814,297,297,430976,1915184,feb3b6dd8adef0bfea6fe2c26e6fcec48d351b51ee87625f49e0af61f5e40943
433,0 4 5 7 8,4291584,854217,297,297,623712,2582384,226afca18f424c754931e47958bb6ca0d2d450a952e1d37135c4daf35ab7d7f1
434,1 4 5 7 8,4537344,731337,297,297,658112,2736592,98fd8598b529e5d72c4b25adc93db11ba629a857bcc69ae323d1f5bfb55d683e
435,0 1 4 5 7 8,5612544,193737,297,297,850848,3403792,4cad0a50b6795da8d93aab7fb6729e4f7deba96dd6703061c30931233be51a9f
436,2 4 5 7 8,3990528,4742,297,297,532928,2378864,d0e3114fc62e7c5721f5fc0c9e1663e1ebc51324d663080c2d16b63a464c2b55
437,0 2 4 5 7 8,5065728,467145,297,297,725664,3046064,914b592db8b40eb7df10d4426d3936536056a4ab4ddc78327422125b472f9be9
438,1 2 4 5 7 8,5311488,344265,297,297,760064,3200272,51196f3f15c9e6419dd8880134fec3971bdd3625cb4cba5c51cf071f0a0f574c
439,0 1 2 4 5 7 8,6386688,806668,297,297,952800,3867472,bcb21b24fe77609a0510b51ff1de0347a5d3ddafa29e303462965aa2a9ef0076
440,3 4 5 7 8,4408320,795849,297,297,682400,2688656,4523e265ace2f23b5f9bc0d64d62e58959f11e29fcc8d6b414c8df134c4c0db9
441,0 3 4 5 7 8,5483520,258249,297,297,875136,3355856,50995747375a28fbe0d21993f0a9299cb64a610f53c030c829af92c14fa0f4ba
442,1 3 4 5 7 8,5729280,135369,297,297,909536,3510064,f3f8b1975592c492a2c25d64d21d12d4f24515670ec88d85cb88738afa2f1f3f
443,0 1 3 4 5 7 8,6804480,597772,297,297,1102272,4177264,ebdd3bab7a78a1e4edf828d03d205497cbd71fbf72c02a222c179b8b3daeaedb
444,2 3 4 5 7 8,5182464,408777,297,297,784352,3152336,5c2fe478a79eb5d509742fab7213bed1ce85a1f9b3bd3f58a2e69a512a84877f
445,0 2 3 4 5 7 8,6257664,871180,297,297,977088,3819536,95d2facc9b46ec4d963fb20c316dc51fa849a14c88c442069e97945c0243a551
446,1 2 3 4 5 7 8,6503424,748300,297,297,1011488,3973744,3f7d79d7e6f41c555d1cd26ed1c155457ed1df790a060223dec04398614477e1
447,0 1 2 3 4 5 7 8,7578624,210700,297,297,1204224,4640944,bac645d00b45a6863a7abfad42cdafbd073758f1ce017048dad3b3d3226c8c70
448,6 7 8,2347008,826502,297,297,268864,1360192,7e0b2a376aab24b282ad16ed6b51e252b99007d64af7f34aa2f3865d50751949
449,0 6 7 8,3422208,288902,297,297,461600,2027392,be382ba2d7acb1b498debf8aa198518daabd3b5a6d65fd0e741819822a4aba4b
450,1 6 7 8,3667968,166022,297,297,496000,2181600,c3756da2739ebc3c80f097aecc0da1e2fa334ffed0353bf7857cab160c4b55fd
451,0 1 6 7 8,4743168,628425,297,297,688736,2848800,b6e1f86914eadf659d8ea6ec687cc597c4a6579ebc86290cb2f90ab358367ea3
452,2 6 7 8,3121152,439430,297,297,370816,1823872,5ca0c513809ce88414b5445f9f3fc53bb7474d6eabe3710c4d0b993f2f812255
453,0 2 6 7 8,4196352,901833,297,297,563552,2491072,a23e59a40db9f836e56f29db990a9f47c0c1f51138694682f9c4b804dc1e222d
454,1 2 6 7 8,4442112,778953,297,297,597952,2645280,27a7216336c288de2e43d47155e41494cbb136c4a9ed865a0c6e2e5aa2b6ed53
455,0 1 2 6 7 8,5517312,241353,297,297,790688,3312480,e45d3b28068e422a46931238f1094776a15e5d7377bb273fa9ffe702c398c487
456,3 6 7 8,3538944,230534,297,297,520288,2133664,9ed8e7ebc232b7b3092cc227ca2b341118168f3fac6723f04330923611665a56
457,0 3 6 7 8,4614144,692937,297,297,713024,2800864,f68d0bd0b2fa5d9521656781692a1e710a4b19760155206a055212d42aba35f9
458,1 3 6 7 8,4859904,570057,297,297,747424,2955072,c7704167683dded5d2563c3fc28b02d00cb505d87e88eab45b070a8ba4fcd2f0
459,0 1 3 6 7 8,5935104,32457,297,297,940160,3622272,f422db166df4b84828d60057c28ba83c64f10321ba59570c5a2ca8e7debd0131
460,2 3 6 7 8,4313088,843465,297,297,622240,2597344,b51f7eeb70a3cdbde58d70c6c42c072c0d559dcb9643975c6cf976763cdd52bf
461,0 2 3 6 7 8,5388288,305865,297,297,814976,3264544,ab9e9b30d0ebe70713ab67a98324a3e535155723a0c65afcf8fef541b3af3609
462,1 2 3 6 7 8,5634048,182985,297,297,849376,3418752,264c35218aa138f3706977e00cfbffd01ff7c3e7a003b99cbd99112a470af0c8
463,0 1 2 3 6 7 8,6709248,645388,297,297,1042112,4085952,b5c4bf22c22861a9f8031690e31357a80d3d16af1a30329016199403cf563a4f
464,4 6 7 8,3428352,285830,297,297,449696,2032544,665e4e9b5d8c3c673042c049ccfa97d250ef94cedc370c71daa3cbff9a0c28a5
465,0 4 6 7 8,4503552,748233,297,297,642432,2699744,740956def4c65df6db84551e0d4b65e11c9db9bf0f8a84bd43c23495c7a1437d
466,1 4 6 7 8,4749312,625353,297,297,676832,2853952,49cff3d6840cf732944207eddfe2f1f9940ff61d92b68558bbf6e1b674e84965
467,0 1 4 6 7 8,5824512,87753,297,297,869568,3521152,23cb388d9402acad982bd731ff4bd898fa1db6cadc630794ffecc8e5dfb02d2d
468,2 4 6 7 8,4202496,898761,297,297,551648,2496224,433ad3f65d49ba90c57824084cf79d9e5cd85d939c3e4e10ae9a62cfd7521674
469,0 2 4 6 7 8,5277696,361161,297,297,744384,3163424,856163855cffa99c58ee498c291b0175a7f21fa490445c7ff366432b928dc86d
470,1 2 4 6 7 8,5523456,238281,297,297,778784,3317632,246b694e42a578af5a3dea53763b3e77ccbbc9734642458580b463c58389418e
471,0 1 2 4 6 7 8,6598656,700684,297,297,971520,3984832,e537dfbe2aa99741e6f321d26183681a0ecfbeda3a991e767048fa2c809c358c
472,3 4 6 7 8,4620288,689865,297,297,701120,2806016,d0743c9789f0fe8e9ed908614ad0e2d1bcb9ba247707dc97f0716afa33bc9fde
473,0 3 4 6 7 8,5695488,152265,297,297,893856,3473216,51078cc20b37a69a537b9f7c4230d0ed4700f0478ddbc9aa59fef28c7758ffa0
474,1 3 4 6 7 8,5941248,29385,297,297,928256,3627424,11d49bef1bac52902de4e143e71e925508543fdb23697b2ac2bae2d1278d4c81
475,0 1 3 4 6 7 8,7016448,491788,297,297,1120992,4294624,76b456226ea79d18e02f583951b46252d4d6dd026d9256f4a4154ffa584ed683
476,2 3 4 6 7 8,5394432,302793,297,297,803072,3269696,1579f5306d96a71da491e985a78067c3e59fa3eba4e280437e0168ebdf571949
477,0 2 3 4 6 7 8,6469632,765196,297,297,995808,3936896,9bd27ef8b4fb68db0501f75cfe9a3035c8ceb35bd0e0492cdc6e1ba3e53dd854
478,1 2 3 4 6 7 8,6715392,642316,297,297,1030208,4091104,996c786e7f182b9fbd720ee6a6be0ab2059205604ccfa1f145e4d2e286f2660e
479,0 1 2 3 4 6 7 8,7790592,104716,297,297,1222944,4758304,f4fddc773acf83ad3afa391e265ce85fdb17869e4aad0c2869f2dda774e80380
480,5 6 7 8,3038208,480902,297,297,321184,1740400,9e36f3f57f2c28140eecec095e9327ae8e1e5de7fe16c100cba2c0360f233b90
481,0 5 6 7 8,4113408,943305,297,297,513920,2407600,b71d46f6b524677aba8d6926a452a6af94b48a0df38f4b504893373390632b5c
482,1 5 6 7 8,4359168,820425,297,297,548320,2561808,62d96fc6f2f2e4c3d338e2aa97ae6b68d5f53b8af35bb05b0f9f928a563b4358
483,0 1 5 6 7 8,5434368,282825,297,297,741056,3229008,7b322ede96342627206c69dfea55fcc021268729c5739b552c0056a0f1c987c4
484,2 5 6 7 8,3812352,93830,297,297,423136,2204080,02d4060fbc14d64fe61d6d5413d3ed06da4fa3ccac0976a16a5d2f6ed0f28e31
485,0 2 5 6 7 8,4887552,556233,297,297,615872,2871280,a2bcfe5000f715e01c7fd89ce6e3a8932f344d23427b229cd95940e44203a244
486,1 2 5 6 7 8,5133312,433353,297,297,650272,3025488,6f5de6d292651652927ae41b225b709f05e080fb85fb15c54d31affdae3ef04a
487,0 1 2 5 6 7 8,6208512,895756,297,297,843008,3692688,106ae1418c4c085039fa82440c6007f713f75f7a753a528ddcc162e5d1d9b97c
488,3 5 6 7 8,4230144,884937,297,297,572608,2513872,2d679b3d5c30df33681689b686da08c71646d571ace44e8fe3dbae4466a0b3e1
489,0 3 5 6 7 8,5305344,347337,297,297,765344,3181072,0ab7adcef0b2a3ddb37271c437908a311b74c9f1daaaa61e7d2ded3fbba6123c
490,1 3 5 6 7 8,5551104,224457,297,297,799744,3335280,80310b70385e3401a824b4e364b9cd31b550ece31834dc22189512cd31bd9548
491,0 1 3 5 6 7 8,6626304,686860,297,297,992480,4002480,f1632979e2e33a52ff9808bed7229ab8a38b6fde952d296ace82690de265e922
492,2 3 5 6 7 8,5004288,497865,297,297,674560,2977552,bb83ade112cdb8fdb88b3c16ee382f004bc762a55e18f2acc78ac20367239939
493,0 2 3 5 6 7 8,6079488,960268,297,297,867296,3644752,92003df30476a7c8f8bde99ee9fa520f660a7e48cb5510422edcf2efb0e04b6f
494,1 2 3 5 6 7 8,6325248,837388,297,297,901696,3798960,c2b307b93e30a0baf16573d9c7a37bd1c57039cdb675a26b9f4bb77a90019a7a
495,0 1 2 3 5 6 7 8,7400448,299788,297,297,1094432,4466160,5127ec8565e29b4caa669d4d8d40b03e9c1a5f0cc4dde5ed6afb86705685d6d2
496,4 5 6 7 8,4119552,940233,297,297,502016,2412752,5dbba371c294926fd66c549b245b253d4945dee4113b9f771dd23a8f7551a13c
497,0 4 5 6 7 8,5194752,402633,297,297,694752,3079952,5ad296c47a75f72633c3165a88e948be38d5f1fbacf7a06d30923cc421173bf0
498,1 4 5 6 7 8,5440512,279753,297,297,729152,3234160,f275f20f78c7cd63333a3cdcc6177fdb6d2b5dae2d37efca5c02e5ff516044ca
499,0 1 4 5 6 7 8,6515712,742156,297,297,921888,3901360,ae824ee95efc71b98549c5b8f48a3cae78d578b225fd9d44e8909e756881ca2e
500,2 4 5 6 7 8,4893696,553161,297,297,603968,2876432,67766e7dc469081dc4495acbe2c72b84b1edf7c0233fe3219a9bf06278e586da
501,0 2 4 5 6 7 8,5968896,15561,297,297,796704,3543632,588d5f4d0a2719665fd6c21f5b539162d9fd7169240b6326f765c9752acf85bc
502,1 2 4 5 6 7 8,6214656,892684,297,297,831104,3697840,79b31bb3f2ba2de7565922fc83e305e741c0f6dadbd20a8bb8f04ead610ab155
503,0 1 2 4 5 6 7 8,7289856,355084,297,297,1023840,4365040,f627f78df00a4f4067b0dda952873d750e036499086d1549f263380491f97524
504,3 4 5 6 7 8,5311488,344265,297,297,753440,3186224,8bcb21dd134537f1901f025db6a2310547c2cab442975982adffeb2916c40f0c
505,0 3 4 5 6 7 8,6386688,806668,297,297,946176,3853424,80ec72a26e0990d8c986ff1a3dce0d1bcb40d00a0bcac6286c81cb564f001a10
506,1 3 4 5 6 7 8,6632448,683788,297,297,980576,4007632,38936c7e38a27a2f6b03796f60a7dfe6ccd3837121358b7bf35f867805632aaf
507,0 1 3 4 5 6 7 8,7707648,146188,297,297,1173312,4674832,d02cd84e29da23b9beed242ebace754c512b70fa23ca7262ca8ba0b8473ca101
508,2 3 4 5 6 7 8,6085632,957196,297,297,855392,3649904,8c1e25906f1b52aa6183ade19080782046617099d80f8e12f0c4151b22c1699a
509,0 2 3 4 5 6 7 8,7160832,419596,297,297,1048128,4317104,9a7c0dc3e23a778e48fa298669ef495f110d58926bfe1bd45615d2fe9fa25d11
510,1 2 3 4 5 6 7 8,7406592,296716,297,297,1082528,4471312,204cb673126b78990162ec1455695e0f1bcce4de33c7084a49b5876af04decd5
511,0 1 2 3 4 5 6 7 8,8481792,759119,297,297,1275264,5138512,72ec30e4c29a4a6900f0d3801c8a79149fb9391c85628fdf78d96662e27c588a
512,9,992256,503875,264,264,96448,545328,ded1f97d4640dd52f95f9eccf31899f998b4afbf38924ca6f57dce8cf7d02565
513,0 9,2067456,966278,297,297,289184,1212528,5e411c3762043273be7ce8abcffac144872fe7dcfd0302be56e00dbc4c1d1903
514,1 9,2313216,843398,297,297,323584,1366736,2b9084a7c90679d355e5b53505956816afe1da64cb2363356c483d545893b780
515,0 1 9,3388416,305798,297,297,516320,2033936,5e7a666941a34a2cf6bff0bd882063b4c439756717e8fb487e869e6ba096c150
516,2 9,1766400,116803,297,297,198400,1009008,f753e753b3d3c1eb7c87040f47c5d8cc2f3e88bcfc8ae73130c0cb3767db728d
517,0 2 9,2841600,579206,297,297,391136,1676208,21a4798ed6e43d6bead71f0db4f4dbfdb0882e2f67b8ab6258eb6bb3043a45f5
518,1 2 9,3087360,456326,297,297,425536,1830416,aed66d75bd8c100e8fdb2f231ac611bbf27fb3a8f10a774a1054c031c30649e5
519,0 1 2 9,4162560,918729,297,297,618272,2497616,96a7bde2ff89f337736e2f90ab6e9cb38d0313aa90f182d14662e8e56ffdc5b0
520,3 9,2184192,907910,297,297,347872,1318800,cb946f4510001d0874fbff87c7b3341472aeb7c2606a0ffa3f0ea3bf0c2bc652
521,0 3 9,3259392,370310,297,297,540608,1986000,c95a21e06e7b0beb2b41b861cfd1eec35c5e9a29f89f308f7a1413e37bd080e0
522,1 3 9,3505152,247430,297,297,575008,2140208,ee673bed38d53f7bd609e288c9da7d38bacb9b533b8e17d44881c280b9aea72e
523,0 1 3 9,4580352,709833,297,297,767744,2807408,840fa6f1be61c593cc550e99924f5a9120875330f25ec3480668db1f70e7d78d
524,2 3 9,2958336,520838,297,297,449824,1782480,2053d019a33def8e47c33d2ddc82925d65207f0a8b12c1d8ed8a9de0092b235d
525,0 2 3 9,4033536,983241,297,297,642560,2449680,5cba3c1c7e155ada8846ddc36b59ea11dc1bab297ec373d1899fab7e1f4963b6
526,1 2 3 9,4279296,860361,297,297,676960,2603888,3c854ab1943f9f0256aa9c2575e1eadd277e51b7978ba0097c9c0f56e0208ecc
527,0 1 2 3 9,5354496,322761,297,297,869696,3271088,1e4144f42133d1b3959af3cec3c9a42a06685220b2de441bff919ed8f6564703
528,4 9,2073600,963206,297,297,277280,1217680,01fd327d34e32ea85f716ad5d0bffbc568226a59ce70a88805c44ef58b3b692e
529,0 4 9,3148800,425606,297,297,470016,1884880,3901ad452adb97d6d07364a1ee4d6d21b1c5b93218c8673d034cde84bc3e21b9
530,1 4 9,3394560,302726,297,297,504416,2039088,e8a2c51a357a73a85d6dafee6403c0ab49412696446143fca2a5e2f8f4d9092e
531,0 1 4 9,4469760,765129,297,297,697152,2706288,ab6afb9a1a505b467f36d7130e5affd685b7cb641dce02856bdeab129f9be0ab
532,2 4 9,2847744,576134,297,297,379232,1681360,d3bedfe921976f619def01a81337dad811ad47ff7bbc016bdffe15559ca0cc44
533,0 2 4 9,3922944,38534,297,297,571968,2348560,0579aa7a9e5eccc24bda60aba96cf2aa3dcc8c7f8273a1690010dfa1bb7cce47
534,1 2 4 9,4168704,915657,297,297,606368,2502768,ecccb75213bece25ab7ec720c2a6bb18c99356c3870b7836f678d52b17a6ad6e
535,0 1 2 4 9,5243904,378057,297,297,799104,3169968,55943b1f367773fd7c1c04e29d139fa562ec89ed9226d04906a913cc9f845f9b
536,3 4 9,3265536,367238,297,297,528704,1991152,801e84c3891c4c5c76c9b2421a56d89c66eff146406e3d6b9c97aa7bc7a9f0f1
537,0 3 4 9,4340736,829641,297,297,721440,2658352,3ab56f9c65056f2bb92f9aade30b9d2874b3f7a9954c31d45e177a3fa339588b
538,1 3 4 9,4586496,706761,297,297,755840,2812560,3078ffe5f132a4f1b75726fa53446261ce2fcf0b8306c2e4e6dadc1fb2a9f075
539,0 1 3 4 9,5661696,169161,297,297,948576,3479760,6c5d6e22a92c16f382bcfef7d5f8fa1abd81b7411a6807e5ade45439871f4db7
540,2 3 4 9,4039680,980169,297,297,630656,2454832,0df11549dc7e903ea381db473e7ae40feaa551fe9047c7e45078443ad08ceb27
541,0 2 3 4 9,5114880,442569,297,297,823392,3122032,41bac1416323ac7ed0538315888d7c01b798929bbc9242fe738063a4db6f9275
542,1 2 3 4 9,5360640,319689,297,297,857792,3276240,d362308a1ec83b6352ccafd78d40758d384555e9836987f1afe20aaf161501ed
543,0 1 2 3 4 9,6435840,782092,297,297,1050528,3943440,fd2bc830fc51fe61bf4138edc61dd4cbc8c01dc68c74a1c18a94ab39004367fb
544,5 9,1683456,158275,297,297,148768,925536,1bf03b061828ac72ebe7eab17dc2459fe8eb7e3a218404d612654d02f9261642
545,0 5 9,2758656,620678,297,297,341504,1592736,18a1b4bef1286804cd38b7e424b0487c9684099267a9e26ed3fbe4b2e9ff2a7f
546,1 5 9,3004416,497798,297,297,375904,1746944,e738c6f3dce6c64cc4a83cbc0b58d91cf95583940063bba0a88fdd99c66b2797
547,0 1 5 9,4079616,960201,297,297,568640,2414144,c1cf80afb5c0d37fd7c5f2905ba0bcf026656dbb6ecf30ba16e13f4f98330668
548,2 5 9,2457600,771206,297,297,250720,1389216,8739819150b0b19cae2104b13587683de6c45808e7f5a0e73551b76d85c4efdf
549,0 2 5 9,3532800,233606,297,297,443456,2056416,588146f76c626c800115b7af186d0d3dcc87b74a1f70a14d7a4ab4ac99924b58
550,1 2 5 9,3778560,110726,297,297,477856,2210624,d8ad2c6abe2c7ff22cb64888eac6104dc1b9757a5c3229ca18e9a7d1c26cd2f9
551,0 1 2 5 9,4853760,573129,297,297,670592,2877824,5b90e78d685bcf59c5532570d563fa8d15b92d802e988991bcecae99795b53da
552,3 5 9,2875392,562310,297,297,400192,1699008,84f0bdca3ebe91948633711f726e12c046b947a12b0db525b4c93e2a80e43ab0
553,0 3 5 9,3950592,24710,297,297,592928,2366208,c478e54e34def323f73ccb3cfd4b61a9ec5467f4e0244585c35c93e8d719613d
554,1 3 5 9,4196352,901833,297,297,627328,2520416,5ac6de0918c6a31e0efd3fb072f4360c006c351a019197006afbb90521f266f8
555,0 1 3 5 9,5271552,364233,297,297,820064,3187616,78faab94ddfb3a907a61fbd25eb3673dae62d5aa239cd5101e89a23aaaadc869
556,2 3 5 9,3649536,175238,297,297,502144,2162688,a999ed6f3a01b9de4dbf8c72f136dc87971210a6d4b457fb49c401d09f530b99
557,0 2 3 5 9,4724736,637641,297,297,694880,2829888,05a75f69f7d862e63ae0b90c08a64bd6911c652380219e5b7a70acc8368dad89
558,1 2 3 5 9,4970496,514761,297,297,729280,2984096,9b043a67dc133ff2c060d3bae5582f95b3b4dd4c8fc76b4f4169ec52fe24e79c
559,0 1 2 3 5 9,6045696,977164,297,297,922016,3651296,b4b5aaec277ea648d9f400ef616558c5defcb617d9e5ec72fdedc86c64a0ec22
560,4 5 9,2764800,617606,297,297,329600,1597888,9d6b9ee9d6128d702bfcc6b1d2608043ba80070e74f1f133dfe487f36280cc38
561,0 4 5 9,3840000,80006,297,297,522336,2265088,bbd82ce95ffae1216bc738da3f57ac0b6ec4681f0d8c417fbe24e996df7c49b8
562,1 4 5 9,4085760,957129,297,297,556736,2419296,4677cc98b3ea09492edc7cc27e7bc01507cc86c0b84cc0ef45b99bf0136bb2d1
563,0 1 4 5 9,5160960,419529,297,297,749472,3086496,0fbfbb7981254d102f55d022c2bee61b8ac9ec9a5e56e77e23b9b03a99e7d143
564,2 4 5 9,3538944,230534,297,297,431552,2061568,b75d46b1037ea3d1001d05e3da8e5a8084b2710cc20e4f52dffec96c69c37556
565,0 2 4 5 9,4614144,692937,297,297,624288,2728768,b086a629cc968ed3fde09998caeaa53f2a92a1a9f1e6dbeb0dec4778c28b000a
566,1 2 4 5 9,4859904,570057,297,297,658688,2882976,ec5341def84938c94a70eb9bf88ac0d858508210a7cd5e2ea2d86d006093c326
567,0 1 2 4 5 9,5935104,32457,297,297,851424,3550176,e754c2e4fc4becf1073c64d4e2769296b8cd6a8fbcec373fee62ab55f3f83edc
568,3 4 5 9,3956736,21638,297,297,581024,2371360,a7d10282dc9c56d0812a3ddf02e639196360289a263c225e1f361e2ad219a99e
569,0 3 4 5 9,5031936,484041,297,297,773760,3038560,0eb0e39f73dad3a48f0fa0448cb587db111aa4b779fe70ba8aaf552965974161
570,1 3 4 5 9,5277696,361161,297,297,808160,3192768,22dea5919d43777ca0de919c5bdf2eb103105d13618a2db4a8986d122d3f7711
571,0 1 3 4 5 9,6352896,823564,297,297,1000896,3859968,1cf4b4be5daae912f7f26204c3c58b2536adbea1601d9d4658d2fed409f9e75e
572,2 3 4 5 9,4730880,634569,297,297,682976,2835040,564d1dc32d0853231ebaea1afc795da350e6981b45b59f669c24f22e4072a9f2
573,0 2 3 4 5 9,5806080,96969,297,297,875712,3502240,7276fc451e47e47bfc2e0278f4555507af243dbe851881c6b7004b333776b8e5
574,1 2 3 4 5 9,6051840,974092,297,297,910112,3656448,4767a25734986ffb2ba357b260d1ea6d164e1b143309c5887a62deb869d5e76a
575,0 1 2 3 4 5 9,7127040,436492,297,297,1102848,4323648,63d78363abb6cb1ac02521682839468413ad3e6e436252e2927e153f19027959
576,6 9,1895424,52291,297,297,167488,1042896,00ac075a4b3e4e1838b4a83d8a1aca0fa540bda9547cc253dbf633afc26b10e5
577,0 6 9,2970624,514694,297,297,360224,1710096,161eec6cca042ff1d159feff665af7abbbd636dfc1f6fafd630f71f47cadcf8f
578,1 6 9,3216384,391814,297,297,394624,1864304,cd9892a7d744f6eda646a0e2e4ec21fbb15c86ee6ec4d31c38bb605016f594bf
579,0 1 6 9,4291584,854217,297,297,587360,2531504,e3ac6e96287e3201e6503229b0c690a3ebf43b565d2f60b27a48b7bb58ccad30
580,2 6 9,2669568,665222,297,297,269440,1506576,74d6c56b9b0c5b5b31b69cc8114672183722c78742b123a52e09b5db00e0d8f5
