propagation_id,law_id,square_code,law_code,source_id,target_id,subtarget_id,external_seed_flag,internal_propagation_flag,split_pair_count,direct_missing_row_count,ultimate_missing_row_count,dependency_count,law_dependency_count,external_dependency_count,equal_flag
52,239,4,6,11,0,2,0,1,6,0,23,2,2,0,1
53,240,4,4,11,1,0,1,0,6,23,23,23,0,23,1
54,241,4,5,11,1,1,0,1,6,0,23,1,1,0,1
55,242,4,6,11,1,2,0,1,6,0,23,2,2,0,1
56,243,4,4,11,2,0,1,0,6,23,23,23,0,23,1
57,244,4,5,11,2,1,0,1,6,0,23,1,1,0,1
58,245,4,6,11,2,2,0,1,6,0,23,2,2,0,1
59,246,4,4,12,0,0,1,0,5,25,25,25,0,25,1
60,247,4,5,12,0,1,0,1,5,0,25,1,1,0,1
61,248,4,6,12,0,2,0,1,5,0,25,2,2,0,1
62,249,4,4,12,1,0,1,0,5,25,25,25,0,25,1
63,250,4,5,12,1,1,0,1,5,0,25,1,1,0,1
64,251,4,6,12,1,2,0,1,5,0,25,2,2,0,1
65,252,4,4,12,2,0,1,0,5,25,25,25,0,25,1
66,253,4,5,12,2,1,0,1,5,0,25,1,1,0,1
67,254,4,6,12,2,2,0,1,5,0,25,2,2,0,1
68,255,4,4,13,0,0,1,0,4,27,27,27,0,27,1
69,256,4,5,13,0,1,0,1,4,0,27,1,1,0,1
70,257,4,6,13,0,2,0,1,4,0,27,2,2,0,1
71,258,4,4,13,1,0,1,0,4,27,27,27,0,27,1
72,259,4,5,13,1,1,0,1,4,0,27,1,1,0,1
73,260,4,6,13,1,2,0,1,4,0,27,2,2,0,1
74,261,4,4,13,2,0,1,0,4,27,27,27,0,27,1
75,262,4,5,13,2,1,0,1,4,0,27,1,1,0,1
76,263,4,6,13,2,2,0,1,4,0,27,2,2,0,1
77,264,4,4,14,0,0,1,0,3,29,29,29,0,29,1
78,265,4,5,14,0,1,0,1,3,0,29,1,1,0,1
79,266,4,6,14,0,2,0,1,3,0,29,2,2,0,1
80,267,4,4,14,1,0,1,0,3,29,29,29,0,29,1
81,268,4,5,14,1,1,0,1,3,0,29,1,1,0,1
82,269,4,6,14,1,2,0,1,3,0,29,2,2,0,1
83,270,4,4,14,2,0,1,0,3,29,29,29,0,29,1
84,271,4,5,14,2,1,0,1,3,0,29,1,1,0,1
85,272,4,6,14,2,2,0,1,3,0,29,2,2,0,1
86,273,4,4,15,0,0,1,0,2,31,31,31,0,31,1
87,274,4,5,15,0,1,0,1,2,0,31,1,1,0,1
88,275,4,6,15,0,2,0,1,2,0,31,2,2,0,1
89,276,4,4,15,1,0,1,0,2,31,31,31,0,31,1
90,277,4,5,15,1,1,0,1,2,0,31,1,1,0,1
91,278,4,6,15,1,2,0,1,2,0,31,2,2,0,1
92,279,4,4,15,2,0,1,0,2,31,31,31,0,31,1
93,280,4,5,15,2,1,0,1,2,0,31,1,1,0,1
94,281,4,6,15,2,2,0,1,2,0,31,2,2,0,1
95,282,4,4,16,0,0,1,0,1,33,33,33,0,33,1
96,283,4,5,16,0,1,0,1,1,0,33,1,1,0,1
97,284,4,6,16,0,2,0,1,1,0,33,2,2,0,1
98,285,4,4,16,1,0,1,0,1,33,33,33,0,33,1
99,286,4,5,16,1,1,0,1,1,0,33,1,1,0,1
100,287,4,6,16,1,2,0,1,1,0,33,2,2,0,1
101,288,4,4,16,2,0,1,0,1,33,33,33,0,33,1
102,289,4,5,16,2,1,0,1,1,0,33,1,1,0,1
103,290,4,6,16,2,2,0,1,1,0,33,2,2,0,1
104,298,5,7,9,0,-1,0,1,8,0,19,2,2,0,1
105,299,5,7,10,0,-1,0,1,7,0,40,2,2,0,1
106,300,5,7,11,0,-1,0,1,6,0,44,2,2,0,1
107,301,5,7,12,0,-1,0,1,5,0,48,2,2,0,1
108,302,5,7,13,0,-1,0,1,4,0,52,2,2,0,1
109,303,5,7,14,0,-1,0,1,3,0,56,2,2,0,1
110,304,5,7,15,0,-1,0,1,2,0,60,2,2,0,1
111,305,5,7,16,0,-1,0,1,1,0,64,2,2,0,1
