fingerprint_id,word_id,matrix_role_code,sha256
38,19,0,3d315bf8fba00f5fe0e0efe55ad4d1be2be0a77251a6bf8aba5a9d51f8e9a35d
39,19,1,783feabe1d2ed3350f58b308aee0e3f9ec314bd04039e4cbce8d16a15975ed6a
40,20,0,9dec6b9f118e950898d48bc91853af17bf8fcba13dbfd58c5e15042746ed8f25
41,20,1,13424a6b56a52f480d41f30a71c22800fdbceb8dfb61fc81f6f5a478b892978c
42,21,0,cfcd7e6e31773405afa90eb6c186d47dda119f4aa1c36dc69fc95e625545b1f3
43,21,1,ff0d41c8cbb969cc5f4c3959081bc5c5b640d0c7619805d89a7e2946c35f8da0
44,22,0,53e6588885e735911a47af6c30e40f05db7ab2d07c4e4bc5d15e11378ee92c4c
45,22,1,60623c990a0dce65c56611941575d7c40e981874a848c1179d6c21fea15bb02c
46,23,0,75c3fdaa39a5928b6d70790a594ff062cf37d1cef1b8322e5e99b3e4511aa534
47,23,1,a1278a92200f67c6f49de16b8cc8391fc09576bac1562a5e29929f4624aa7317
48,24,0,ba6388aa47eaf7fc35d459dac7eebec3d7a0fa8ab45cb89a866b9de8b604f2eb
49,24,1,4657d396e58af13ca32523bb2cfd9c59206bbaac0e8a4cb694db88969e81fc1d
50,25,0,13141560a5440efbe422d42d18675f95cda1a09f5c781ade82cba76ea9871b50
51,25,1,1a38dc3516c9d61f60dd92aea972a970d1807a092244f07f5ff436117ced4446
52,26,0,c5aa2bfc7aa7b10fba128d105d655740acb1446d1a84eb58c819ca899dd0a9b5
53,26,1,98a01d3ae4c726a59bb4b58cceee279ce517dba04902e13b7e4ed87ed8ed1889
54,27,0,31a84836f75d1e9e47001eef0837d6f76337c02ad66017ed101dd0029d3f2bd2
55,27,1,eecc146efbd14c495fcae51e2b65a55ea9da1434e5f49ac6b0400b85bb1d74a6
56,28,0,13c45898acc122c5a722a1e6be383335aca7225fba4fe60d3f1d217fa66d736e
57,28,1,37f2cbda3b3194293bdb5bcd91f613edb7f5216aba57a36d6a7a9c8deb495a93
58,29,0,b3668bd121c4102e897e415de1e367b30600c691042221f702c0c5277f02e4d0
59,29,1,faa52c8ebfc8c7944cb35ff2f3e8c0c8f04ff820ca8e86747b3d69c6c81aded3
60,30,0,9dec6b9f118e950898d48bc91853af17bf8fcba13dbfd58c5e15042746ed8f25
61,30,1,13424a6b56a52f480d41f30a71c22800fdbceb8dfb61fc81f6f5a478b892978c
62,31,0,e5a7d4d2139cf9654a1a1e6fccb6dec2a3b813833393e3bc078eaae068a877ec
63,31,1,51824427791fdbf0a7909b0bf4888ede399eedda9e17c736d032ead9f09ad7f8
64,32,0,8ed88a8ed0c283e92f9257a92dbd738861d9b0446a19211ff19cd96b8b7881c2
65,32,1,e5ee9654a491b103f3cec9fc48e95979fc7c90bf1aedcba376de37ad47597411
66,33,0,0609f7ea1de6eb0ceba3cca8b61c1ef128cb4d5bb1f2b08d0796be39f82e859f
67,33,1,2a4138f8aeffe6d4b41b20954a79344d61469a885136e6cd4bd727305fb9eabd
68,34,0,3fb5b6a35c03d511d04d2b464d70d871d6e37e4f15c94f6384f39ae34c759a8f
69,34,1,45996603fe989a21ec2bd362a8aca3eab03d706fcda50f26779340b77b47fae9
70,35,0,b97fb4bddc7f64363254bfc7187d5a4b002d4f70a471b025cdbcce02e998c074
71,35,1,44827b92b7d138d3d8aae09e1a1a20d3f8f585c069abcc419ea500d6d33aea2d
72,36,0,ecc7d6e90f1e0c7c95e9f18c82523d15b20bbfa4c4e53d8bbb0cbc57ed4c7f48
73,36,1,fd8f61f0b2a3a421cbd49b6d851e7e8cb6534370a0e7078226b93f474f4b8bc1
74,37,0,e5a7d4d2139cf9654a1a1e6fccb6dec2a3b813833393e3bc078eaae068a877ec
75,37,1,51824427791fdbf0a7909b0bf4888ede399eedda9e17c736d032ead9f09ad7f8
76,38,0,828f4c3a6fec29e49b90d3235c9749f508236b367202315ab2bb09b22e39d83a
77,38,1,934a0bc3a5741f9cded07fb918cfaf44e3e3a4d95a015eed8ce75d3deeef0c6f
78,39,0,8c0e9ca09989f035d944d100a0651c9be63f77a30de7d4bd1a613075ded57df6
79,39,1,96dd8a7b0a78e09c5232c214711aedafef02e2266a2a730e8ce5613ceeb49db1
80,40,0,9dec6b9f118e950898d48bc91853af17bf8fcba13dbfd58c5e15042746ed8f25
81,40,1,13424a6b56a52f480d41f30a71c22800fdbceb8dfb61fc81f6f5a478b892978c
82,41,0,60bf6f718183fe2212fc94dcb55d38e3eda27d0fa72f71001756d4f4a3ffdd08
83,41,1,677c37f51086fe3eec2994ea7d925ec9bdd3c8a318e3dda247fa312dfde1791e
84,42,0,318e2b635b87c466f63575755ee364a87806a415d853b085ab51aeaa6dff339e
85,42,1,57b555bf2ddc225ecdf10245ee5ddcd4413a4b20325c45cad4a02757d6a7df60
86,43,0,121ed8f14b6410201e9941ddf9276beae4eaa6102191236c45d26bf92f32214d
87,43,1,2edeb3fd4cf29134f0fa243dac619757937512377fdd60d6575db5023824e7d3
88,44,0,c24a19c75b91ed727d81723df6b0c8eadcfff96a1b9732a7fab0b1f4f4898f74
89,44,1,2a2ab3205dd752c7d81f1f72d1fc86b0100045768e43e67fdfc678be416876a0
90,45,0,3eba25bdd00dc15809e5d98bd4b1c87fcc3dcabb93a90456f2e64a31ab2426cd
91,45,1,a101cf6766274bb3919887e7e91bac49bb6fe1c3339f74963b8c92cd221f80e1
92,46,0,5ec6bfc776e4dfc87a609f7f38e9168623b5357f38dbd87c6a65db41c2410b4c
93,46,1,907646bb7a94127208f9858f9d19a921cc7957e909dc8bcc1e5ff9e67e443d50
94,47,0,75c3fdaa39a5928b6d70790a594ff062cf37d1cef1b8322e5e99b3e4511aa534
95,47,1,a1278a92200f67c6f49de16b8cc8391fc09576bac1562a5e29929f4624aa7317
96,48,0,8ed88a8ed0c283e92f9257a92dbd738861d9b0446a19211ff19cd96b8b7881c2
97,48,1,e5ee9654a491b103f3cec9fc48e95979fc7c90bf1aedcba376de37ad47597411
98,49,0,aefe7be37716499953e0ffffd10c863594b598c17d15aee4510e9038a57b3ea4
99,49,1,4ad3e291585be54ae3c76f5a646895c70a8f6182c18d769d84ede243b7dcded8
100,50,0,9dec6b9f118e950898d48bc91853af17bf8fcba13dbfd58c5e15042746ed8f25
101,50,1,13424a6b56a52f480d41f30a71c22800fdbceb8dfb61fc81f6f5a478b892978c
102,51,0,a03ed9a95e5c56c682e70bfeb5e70386dcaec60c6b348669cfc8b00011380734
103,51,1,14f206e74bb596493ddf6629d19b91cb826ca4c6c6f82e5a94c665559724ce5c
104,52,0,c3dec8d1454fb7c296d005d69dc489fdce4e00a09a938b4732d0b0711fea1f16
105,52,1,7edd456cc747f787ca42acfbe0de2cad52fb3ace75ba1d744eb9f851f609bd33
106,53,0,c46d3ce8c94443a4b6c4368bd114b14eb516d9c94fb0dca96ac4c32ca9c3a102
107,53,1,ab4efed9410bb235e83e0360943b05307d799d2c9b63982930bbbaa754323e3d
108,54,0,be54ede9129065ebf179524de2b69c8bdc8d2ddb06a38e8e5ba8282670b361c1
109,54,1,cc994a1ea357497f8519af3566ea5e51bc82f6ef70723d5f1a30b01f0ef20231
110,55,0,0929d013eae2ddc1817b47abb43c2801069b74d38edd51c9f33715138ba72b32
111,55,1,fefdf6ae208605a6f34b2bc7707d4b7570241c4e0b46d09a532a848ffe360776
112,56,0,c5aa2bfc7aa7b10fba128d105d655740acb1446d1a84eb58c819ca899dd0a9b5
113,56,1,98a01d3ae4c726a59bb4b58cceee279ce517dba04902e13b7e4ed87ed8ed1889
114,57,0,7baf2cc47df761e5469d803a8488281d32ce82dea251113d34a2bff8ed4d8bd9
115,57,1,ad501ac10c5ccb687b9921e6f759dbb713dbbb74c9e73c609ed35d2957e1a658
116,58,0,318e2b635b87c466f63575755ee364a87806a415d853b085ab51aeaa6dff339e
117,58,1,57b555bf2ddc225ecdf10245ee5ddcd4413a4b20325c45cad4a02757d6a7df60
118,59,0,a03ed9a95e5c56c682e70bfeb5e70386dcaec60c6b348669cfc8b00011380734
119,59,1,14f206e74bb596493ddf6629d19b91cb826ca4c6c6f82e5a94c665559724ce5c
120,60,0,9dec6b9f118e950898d48bc91853af17bf8fcba13dbfd58c5e15042746ed8f25
121,60,1,13424a6b56a52f480d41f30a71c22800fdbceb8dfb61fc81f6f5a478b892978c
122,61,0,0281192fc5742b244a703902165eecc7ad4095a35006cea399355e573aad38d1
123,61,1,0725dbefea35389b4c39a78a7e18e4057a6728f92e52402a280be4005468a682
124,62,0,1f5b23267fadec5f5caf726f5484b0e66e23806585c3b32c071dd8239ca36877
125,62,1,4b976ff6d949cca1d13a1b102c0922f72838df5ddd4e5ecd77d4bcdd8873c8e6
126,63,0,af4a3ee2e39afe57222bcdf71c6dc4f3c4aa1ddbca408637aabe5e8763d1eb8c
127,63,1,728056ef450ffb0fa0fa8abe39769e6a9dc1e5b8f723796ba30d9b207db98263
128,64,0,bfb404c2c1fea3ff830eee50f4f986b46f5af28d09ddd3dcd6a5c9a5cc9c4550
129,64,1,06d9fdd7257a2b268eef384d32027bba38f1c067e530dce77892887e5173178d
130,65,0,31a84836f75d1e9e47001eef0837d6f76337c02ad66017ed101dd0029d3f2bd2
131,65,1,eecc146efbd14c495fcae51e2b65a55ea9da1434e5f49ac6b0400b85bb1d74a6
132,66,0,3d0d38ded54eca7dc81254da703a44e129d5771df3787bdcdaef8a8bfe78afe4
133,66,1,0856f5f14c9680e67c9ebb0fd799ae82db28b6ffedb698473470fdc5ab2ccc75
134,67,0,e3f5a9845f0be01ee6f9ef3f40e7d266d51ba30267e49ddb923a65f199ab6b1d
135,67,1,0a355d00f50458dc1a719a1c46765319170916b54465043642e33bc01b00afc0
136,68,0,c3dec8d1454fb7c296d005d69dc489fdce4e00a09a938b4732d0b0711fea1f16
137,68,1,7edd456cc747f787ca42acfbe0de2cad52fb3ace75ba1d744eb9f851f609bd33
138,69,0,0281192fc5742b244a703902165eecc7ad4095a35006cea399355e573aad38d1
139,69,1,0725dbefea35389b4c39a78a7e18e4057a6728f92e52402a280be4005468a682
140,70,0,9dec6b9f118e950898d48bc91853af17bf8fcba13dbfd58c5e15042746ed8f25
141,70,1,13424a6b56a52f480d41f30a71c22800fdbceb8dfb61fc81f6f5a478b892978c
142,71,0,a59bee0a4f11f3a068fac0d4c2757475ee58be8a3381071a703a859694b06c7c
143,71,1,2373bb2b3e50d21335b68efee8c33e262b25788fe5c6a83c22fec3337fd75eb9
144,72,0,4933b9a52c99bc182364712f7a823b71bbdc370ee198dc5b3dc95b561966b2a1
145,72,1,27c075b1a94508bf8aa64968d199a3a8e41d0986b3c56b13a77a83f56146bbbc
146,73,0,c990ab04ced19cbcf46dd4964a519e15341efffc50d2f20db252f92a890dc790
147,73,1,f538dbdb741c8a26878e5b1e91bf667ec3fd3355e6dd14e22c403e4bb0d9f07e
148,74,0,ba6388aa47eaf7fc35d459dac7eebec3d7a0fa8ab45cb89a866b9de8b604f2eb
149,74,1,4657d396e58af13ca32523bb2cfd9c59206bbaac0e8a4cb694db88969e81fc1d
150,75,0,127c640b13ef05d0d5d201d991ca285dc1f6ed70383d19947a6a0e3853ba0f5e
151,75,1,e66d578dc818b359771d79dad4bd3a22a8f153127ffc35a56f3e1f48e59a7614
152,76,0,95693bc423d13f216b4d422cc677258458b6e3dc845240f5848f19fc0d42e2f2
153,76,1,035f5c023eb453bc3b2221139a7bb7fd692ff6253f6a8924eccdff80f893844a
154,77,0,c46d3ce8c94443a4b6c4368bd114b14eb516d9c94fb0dca96ac4c32ca9c3a102
155,77,1,ab4efed9410bb235e83e0360943b05307d799d2c9b63982930bbbaa754323e3d
156,78,0,1f5b23267fadec5f5caf726f5484b0e66e23806585c3b32c071dd8239ca36877
157,78,1,4b976ff6d949cca1d13a1b102c0922f72838df5ddd4e5ecd77d4bcdd8873c8e6
158,79,0,a59bee0a4f11f3a068fac0d4c2757475ee58be8a3381071a703a859694b06c7c
159,79,1,2373bb2b3e50d21335b68efee8c33e262b25788fe5c6a83c22fec3337fd75eb9
160,80,0,9dec6b9f118e950898d48bc91853af17bf8fcba13dbfd58c5e15042746ed8f25
161,80,1,13424a6b56a52f480d41f30a71c22800fdbceb8dfb61fc81f6f5a478b892978c
162,81,0,d7d6c4a2bd67896b16264e11c03e0b582fd7465595c2bbed4eaf98b7ce2f9d21
163,81,1,91575f354515d62299b9ad39446a15b86562f9752975a5b6e97db2d410acaa9e
164,82,0,8fd5f3e0cf78b023f8b55a447e5a8edc6ef212d32749b02317d2927e64318f72
165,82,1,8c044cd20dbcdb54e51e4db1877ee96c63487ef5dc0b7103e331e59d6683c81b
166,83,0,13141560a5440efbe422d42d18675f95cda1a09f5c781ade82cba76ea9871b50
167,83,1,1a38dc3516c9d61f60dd92aea972a970d1807a092244f07f5ff436117ced4446
168,84,0,72e3a88dcda6dfb2fc3ebec3eb8313d66dd30ae29f5890e192e84d4e569373a4
169,84,1,8e9623b11472519b989f78b4c0a0f1aa67823c2a1c07017863891f749f59ab94
170,85,0,78713227542fabe640703d34bde9ce7babb50fb2481a9c729e72f1d0e6af7ed9
171,85,1,165d79ccddf8c4a9f42fc38a7acd34c64e86f398686ad9281776d49cad026667
172,86,0,be54ede9129065ebf179524de2b69c8bdc8d2ddb06a38e8e5ba8282670b361c1
173,86,1,cc994a1ea357497f8519af3566ea5e51bc82f6ef70723d5f1a30b01f0ef20231
174,87,0,af4a3ee2e39afe57222bcdf71c6dc4f3c4aa1ddbca408637aabe5e8763d1eb8c
175,87,1,728056ef450ffb0fa0fa8abe39769e6a9dc1e5b8f723796ba30d9b207db98263
176,88,0,4933b9a52c99bc182364712f7a823b71bbdc370ee198dc5b3dc95b561966b2a1
177,88,1,27c075b1a94508bf8aa64968d199a3a8e41d0986b3c56b13a77a83f56146bbbc
178,89,0,d7d6c4a2bd67896b16264e11c03e0b582fd7465595c2bbed4eaf98b7ce2f9d21
179,89,1,91575f354515d62299b9ad39446a15b86562f9752975a5b6e97db2d410acaa9e
180,90,0,9dec6b9f118e950898d48bc91853af17bf8fcba13dbfd58c5e15042746ed8f25
181,90,1,13424a6b56a52f480d41f30a71c22800fdbceb8dfb61fc81f6f5a478b892978c
