projector_column,support_name,relation_alpha,coefficient_mod_1000003,projector_source
2,Pi33,896,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,897,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,907,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,908,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,909,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,910,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,912,507814,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,916,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,917,492189,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,921,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,923,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,926,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,927,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,928,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,930,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,932,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,934,507814,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,935,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,938,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,940,492189,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,941,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,943,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,945,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,951,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,954,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,955,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,956,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,960,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,961,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,962,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,964,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,965,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,969,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,973,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,975,492189,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,977,507814,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,978,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,981,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,982,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
2,Pi33,983,507814,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
3,pure_Sminus_doublet_25_26,615,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
3,pure_Sminus_doublet_25_26,618,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
3,pure_Sminus_doublet_25_26,620,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
3,pure_Sminus_doublet_25_26,625,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
3,pure_Sminus_doublet_25_26,626,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
3,pure_Sminus_doublet_25_26,629,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
3,pure_Sminus_doublet_25_26,630,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
3,pure_Sminus_doublet_25_26,633,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
3,pure_Sminus_doublet_25_26,636,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
3,pure_Sminus_doublet_25_26,642,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
3,pure_Sminus_doublet_25_26,646,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
3,pure_Sminus_doublet_25_26,654,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
3,pure_Sminus_doublet_25_26,655,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
3,pure_Sminus_doublet_25_26,656,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,618,492189,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,619,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,627,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,630,492189,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,635,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,636,492189,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,637,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,643,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,645,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,646,507814,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,647,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,649,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,650,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,653,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,654,507814,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,656,507814,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,886,582033,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,890,582033,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,893,746096,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,895,253907,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,896,417970,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,897,582033,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,907,417970,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,908,582033,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,909,417970,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,910,746096,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,912,253907,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,916,417970,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,917,746096,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,921,417970,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,923,746096,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,926,417970,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,927,582033,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,928,582033,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,930,582033,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,932,253907,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,934,746096,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,935,417970,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,938,417970,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,940,253907,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,941,582033,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,943,582033,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,945,417970,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,951,417970,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,954,582033,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,955,746096,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,956,746096,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,960,582033,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,961,253907,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,962,582033,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,964,417970,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,965,746096,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,969,417970,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,973,253907,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,975,253907,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,977,746096,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,978,746096,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,981,253907,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,982,253907,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
4,mixed_S_channel_6_26,983,253907,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,155,343751,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,156,656252,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,157,656252,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,158,343751,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,159,343751,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,160,656252,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,161,656252,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,162,343751,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,163,968753,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,164,656252,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,165,343751,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,166,31250,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,615,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,618,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,620,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,625,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,626,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,629,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,630,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,633,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,636,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,642,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,646,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,654,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,655,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,656,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,886,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,890,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,893,492189,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,895,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,896,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,897,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,907,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,908,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,909,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,910,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,912,507814,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,916,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,917,492189,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,921,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,923,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,926,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,927,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,928,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,930,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,932,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,934,507814,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,935,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,938,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,940,492189,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,941,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,943,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,945,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,951,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,954,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,955,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,956,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,960,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,961,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,962,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,964,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,965,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,969,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,973,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,975,492189,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,977,507814,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,978,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,981,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,982,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
5,Pi33_plus_pure_Sminus_doublet,983,507814,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,155,343751,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,156,656252,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,157,656252,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,158,343751,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,159,343751,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,160,656252,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,161,656252,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,162,343751,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,163,968753,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,164,656252,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,165,343751,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,166,31250,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,618,492189,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,619,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,627,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,630,492189,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,635,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,636,492189,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,637,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,643,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,645,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,646,507814,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,647,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,649,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,650,164063,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,653,835940,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,654,507814,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,656,507814,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,886,417970,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,890,417970,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,893,238282,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,895,417970,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,896,253907,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,897,746096,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,907,582033,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,908,746096,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,909,253907,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,910,582033,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,912,761721,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,916,253907,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,917,238282,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,921,582033,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,923,582033,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,926,253907,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,927,746096,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,928,746096,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,930,417970,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,932,89844,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,934,253907,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,935,582033,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,938,582033,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
