game_row_id,challenge_id,transcript_id,class_id,opening_id,word_id,prover_move_code,verifier_move_code,expected_accept_flag,actual_accept_flag,prover_payoff,verifier_payoff,payoff_label_code,accepted_truth_flag,rejected_tamper_flag
46,7,7,7,16,7,4,0,0,0,0,1,1,0,1
47,7,7,7,16,7,5,0,0,0,0,1,1,0,1
48,8,8,8,17,8,0,0,1,1,1,1,0,1,0
49,8,8,8,17,8,1,0,0,0,0,1,1,0,1
50,8,8,8,17,8,2,0,0,0,0,1,1,0,1
51,8,8,8,17,8,3,0,0,0,0,1,1,0,1
52,8,8,8,17,8,4,0,0,0,0,1,1,0,1
53,8,8,8,17,8,5,0,0,0,0,1,1,0,1
54,9,9,9,18,9,0,0,1,1,1,1,0,1,0
55,9,9,9,18,9,1,0,0,0,0,1,1,0,1
56,9,9,9,18,9,2,0,0,0,0,1,1,0,1
57,9,9,9,18,9,3,0,0,0,0,1,1,0,1
58,9,9,9,18,9,4,0,0,0,0,1,1,0,1
59,9,9,9,18,9,5,0,0,0,0,1,1,0,1
60,10,10,10,20,19,0,0,1,1,1,1,0,1,0
61,10,10,10,20,19,1,0,0,0,0,1,1,0,1
62,10,10,10,20,19,2,0,0,0,0,1,1,0,1
63,10,10,10,20,19,3,0,0,0,0,1,1,0,1
64,10,10,10,20,19,4,0,0,0,0,1,1,0,1
65,10,10,10,20,19,5,0,0,0,0,1,1,0,1
66,11,11,11,21,12,0,0,1,1,1,1,0,1,0
67,11,11,11,21,12,1,0,0,0,0,1,1,0,1
68,11,11,11,21,12,2,0,0,0,0,1,1,0,1
69,11,11,11,21,12,3,0,0,0,0,1,1,0,1
70,11,11,11,21,12,4,0,0,0,0,1,1,0,1
71,11,11,11,21,12,5,0,0,0,0,1,1,0,1
72,12,12,12,23,13,0,0,1,1,1,1,0,1,0
73,12,12,12,23,13,1,0,0,0,0,1,1,0,1
74,12,12,12,23,13,2,0,0,0,0,1,1,0,1
75,12,12,12,23,13,3,0,0,0,0,1,1,0,1
76,12,12,12,23,13,4,0,0,0,0,1,1,0,1
77,12,12,12,23,13,5,0,0,0,0,1,1,0,1
78,13,13,13,25,14,0,0,1,1,1,1,0,1,0
79,13,13,13,25,14,1,0,0,0,0,1,1,0,1
80,13,13,13,25,14,2,0,0,0,0,1,1,0,1
81,13,13,13,25,14,3,0,0,0,0,1,1,0,1
82,13,13,13,25,14,4,0,0,0,0,1,1,0,1
83,13,13,13,25,14,5,0,0,0,0,1,1,0,1
84,14,14,14,28,64,0,0,1,1,1,1,0,1,0
85,14,14,14,28,64,1,0,0,0,0,1,1,0,1
86,14,14,14,28,64,2,0,0,0,0,1,1,0,1
87,14,14,14,28,64,3,0,0,0,0,1,1,0,1
88,14,14,14,28,64,4,0,0,0,0,1,1,0,1
89,14,14,14,28,64,5,0,0,0,0,1,1,0,1
90,15,15,15,30,55,0,0,1,1,1,1,0,1,0
91,15,15,15,30,55,1,0,0,0,0,1,1,0,1
92,15,15,15,30,55,2,0,0,0,0,1,1,0,1
93,15,15,15,30,55,3,0,0,0,0,1,1,0,1
94,15,15,15,30,55,4,0,0,0,0,1,1,0,1
95,15,15,15,30,55,5,0,0,0,0,1,1,0,1
96,16,16,16,31,17,0,0,1,1,1,1,0,1,0
97,16,16,16,31,17,1,0,0,0,0,1,1,0,1
98,16,16,16,31,17,2,0,0,0,0,1,1,0,1
99,16,16,16,31,17,3,0,0,0,0,1,1,0,1
100,16,16,16,31,17,4,0,0,0,0,1,1,0,1
101,16,16,16,31,17,5,0,0,0,0,1,1,0,1
102,17,17,17,33,18,0,0,1,1,1,1,0,1,0
103,17,17,17,33,18,1,0,0,0,0,1,1,0,1
104,17,17,17,33,18,2,0,0,0,0,1,1,0,1
105,17,17,17,33,18,3,0,0,0,0,1,1,0,1
106,17,17,17,33,18,4,0,0,0,0,1,1,0,1
107,17,17,17,33,18,5,0,0,0,0,1,1,0,1
108,18,18,18,35,21,0,0,1,1,1,1,0,1,0
109,18,18,18,35,21,1,0,0,0,0,1,1,0,1
110,18,18,18,35,21,2,0,0,0,0,1,1,0,1
111,18,18,18,35,21,3,0,0,0,0,1,1,0,1
112,18,18,18,35,21,4,0,0,0,0,1,1,0,1
113,18,18,18,35,21,5,0,0,0,0,1,1,0,1
114,19,19,19,36,22,0,0,1,1,1,1,0,1,0
115,19,19,19,36,22,1,0,0,0,0,1,1,0,1
116,19,19,19,36,22,2,0,0,0,0,1,1,0,1
117,19,19,19,36,22,3,0,0,0,0,1,1,0,1
118,19,19,19,36,22,4,0,0,0,0,1,1,0,1
119,19,19,19,36,22,5,0,0,0,0,1,1,0,1
120,20,20,20,37,23,0,0,1,1,1,1,0,1,0
121,20,20,20,37,23,1,0,0,0,0,1,1,0,1
122,20,20,20,37,23,2,0,0,0,0,1,1,0,1
123,20,20,20,37,23,3,0,0,0,0,1,1,0,1
124,20,20,20,37,23,4,0,0,0,0,1,1,0,1
125,20,20,20,37,23,5,0,0,0,0,1,1,0,1
126,21,21,21,40,74,0,0,1,1,1,1,0,1,0
127,21,21,21,40,74,1,0,0,0,0,1,1,0,1
128,21,21,21,40,74,2,0,0,0,0,1,1,0,1
129,21,21,21,40,74,3,0,0,0,0,1,1,0,1
130,21,21,21,40,74,4,0,0,0,0,1,1,0,1
131,21,21,21,40,74,5,0,0,0,0,1,1,0,1
132,22,22,22,41,25,0,0,1,1,1,1,0,1,0
133,22,22,22,41,25,1,0,0,0,0,1,1,0,1
134,22,22,22,41,25,2,0,0,0,0,1,1,0,1
135,22,22,22,41,25,3,0,0,0,0,1,1,0,1
136,22,22,22,41,25,4,0,0,0,0,1,1,0,1
137,22,22,22,41,25,5,0,0,0,0,1,1,0,1
138,23,23,23,44,56,0,0,1,1,1,1,0,1,0
139,23,23,23,44,56,1,0,0,0,0,1,1,0,1
140,23,23,23,44,56,2,0,0,0,0,1,1,0,1
141,23,23,23,44,56,3,0,0,0,0,1,1,0,1
142,23,23,23,44,56,4,0,0,0,0,1,1,0,1
143,23,23,23,44,56,5,0,0,0,0,1,1,0,1
144,24,24,24,45,27,0,0,1,1,1,1,0,1,0
145,24,24,24,45,27,1,0,0,0,0,1,1,0,1
146,24,24,24,45,27,2,0,0,0,0,1,1,0,1
147,24,24,24,45,27,3,0,0,0,0,1,1,0,1
148,24,24,24,45,27,4,0,0,0,0,1,1,0,1
149,24,24,24,45,27,5,0,0,0,0,1,1,0,1
150,25,25,25,47,29,0,0,1,1,1,1,0,1,0
151,25,25,25,47,29,1,0,0,0,0,1,1,0,1
152,25,25,25,47,29,2,0,0,0,0,1,1,0,1
153,25,25,25,47,29,3,0,0,0,0,1,1,0,1
154,25,25,25,47,29,4,0,0,0,0,1,1,0,1
155,25,25,25,47,29,5,0,0,0,0,1,1,0,1
156,26,26,26,49,37,0,0,1,1,1,1,0,1,0
157,26,26,26,49,37,1,0,0,0,0,1,1,0,1
158,26,26,26,49,37,2,0,0,0,0,1,1,0,1
159,26,26,26,49,37,3,0,0,0,0,1,1,0,1
160,26,26,26,49,37,4,0,0,0,0,1,1,0,1
161,26,26,26,49,37,5,0,0,0,0,1,1,0,1
162,27,27,27,50,32,0,0,1,1,1,1,0,1,0
163,27,27,27,50,32,1,0,0,0,0,1,1,0,1
164,27,27,27,50,32,2,0,0,0,0,1,1,0,1
165,27,27,27,50,32,3,0,0,0,0,1,1,0,1
166,27,27,27,50,32,4,0,0,0,0,1,1,0,1
167,27,27,27,50,32,5,0,0,0,0,1,1,0,1
168,28,28,28,52,33,0,0,1,1,1,1,0,1,0
169,28,28,28,52,33,1,0,0,0,0,1,1,0,1
170,28,28,28,52,33,2,0,0,0,0,1,1,0,1
171,28,28,28,52,33,3,0,0,0,0,1,1,0,1
172,28,28,28,52,33,4,0,0,0,0,1,1,0,1
173,28,28,28,52,33,5,0,0,0,0,1,1,0,1
174,29,29,29,53,34,0,0,1,1,1,1,0,1,0
175,29,29,29,53,34,1,0,0,0,0,1,1,0,1
176,29,29,29,53,34,2,0,0,0,0,1,1,0,1
177,29,29,29,53,34,3,0,0,0,0,1,1,0,1
178,29,29,29,53,34,4,0,0,0,0,1,1,0,1
179,29,29,29,53,34,5,0,0,0,0,1,1,0,1
180,30,30,30,54,35,0,0,1,1,1,1,0,1,0
181,30,30,30,54,35,1,0,0,0,0,1,1,0,1
182,30,30,30,54,35,2,0,0,0,0,1,1,0,1
183,30,30,30,54,35,3,0,0,0,0,1,1,0,1
184,30,30,30,54,35,4,0,0,0,0,1,1,0,1
185,30,30,30,54,35,5,0,0,0,0,1,1,0,1
186,31,31,31,55,36,0,0,1,1,1,1,0,1,0
187,31,31,31,55,36,1,0,0,0,0,1,1,0,1
188,31,31,31,55,36,2,0,0,0,0,1,1,0,1
189,31,31,31,55,36,3,0,0,0,0,1,1,0,1
190,31,31,31,55,36,4,0,0,0,0,1,1,0,1
191,31,31,31,55,36,5,0,0,0,0,1,1,0,1
192,32,32,32,56,38,0,0,1,1,1,1,0,1,0
193,32,32,32,56,38,1,0,0,0,0,1,1,0,1
194,32,32,32,56,38,2,0,0,0,0,1,1,0,1
195,32,32,32,56,38,3,0,0,0,0,1,1,0,1
196,32,32,32,56,38,4,0,0,0,0,1,1,0,1
197,32,32,32,56,38,5,0,0,0,0,1,1,0,1
198,33,33,33,57,41,0,0,1,1,1,1,0,1,0
199,33,33,33,57,41,1,0,0,0,0,1,1,0,1
200,33,33,33,57,41,2,0,0,0,0,1,1,0,1
201,33,33,33,57,41,3,0,0,0,0,1,1,0,1
202,33,33,33,57,41,4,0,0,0,0,1,1,0,1
203,33,33,33,57,41,5,0,0,0,0,1,1,0,1
204,34,34,34,58,42,0,0,1,1,1,1,0,1,0
205,34,34,34,58,42,1,0,0,0,0,1,1,0,1
206,34,34,34,58,42,2,0,0,0,0,1,1,0,1
207,34,34,34,58,42,3,0,0,0,0,1,1,0,1
208,34,34,34,58,42,4,0,0,0,0,1,1,0,1
209,34,34,34,58,42,5,0,0,0,0,1,1,0,1
210,35,35,35,60,43,0,0,1,1,1,1,0,1,0
211,35,35,35,60,43,1,0,0,0,0,1,1,0,1
212,35,35,35,60,43,2,0,0,0,0,1,1,0,1
213,35,35,35,60,43,3,0,0,0,0,1,1,0,1
214,35,35,35,60,43,4,0,0,0,0,1,1,0,1
215,35,35,35,60,43,5,0,0,0,0,1,1,0,1
216,36,36,36,61,44,0,0,1,1,1,1,0,1,0
217,36,36,36,61,44,1,0,0,0,0,1,1,0,1
218,36,36,36,61,44,2,0,0,0,0,1,1,0,1
219,36,36,36,61,44,3,0,0,0,0,1,1,0,1
220,36,36,36,61,44,4,0,0,0,0,1,1,0,1
221,36,36,36,61,44,5,0,0,0,0,1,1,0,1
222,37,37,37,62,45,0,0,1,1,1,1,0,1,0
223,37,37,37,62,45,1,0,0,0,0,1,1,0,1
224,37,37,37,62,45,2,0,0,0,0,1,1,0,1
225,37,37,37,62,45,3,0,0,0,0,1,1,0,1
226,37,37,37,62,45,4,0,0,0,0,1,1,0,1
227,37,37,37,62,45,5,0,0,0,0,1,1,0,1
228,38,38,38,63,49,0,0,1,1,1,1,0,1,0
229,38,38,38,63,49,1,0,0,0,0,1,1,0,1
230,38,38,38,63,49,2,0,0,0,0,1,1,0,1
231,38,38,38,63,49,3,0,0,0,0,1,1,0,1
232,38,38,38,63,49,4,0,0,0,0,1,1,0,1
233,38,38,38,63,49,5,0,0,0,0,1,1,0,1
234,39,39,39,65,59,0,0,1,1,1,1,0,1,0
235,39,39,39,65,59,1,0,0,0,0,1,1,0,1
236,39,39,39,65,59,2,0,0,0,0,1,1,0,1
237,39,39,39,65,59,3,0,0,0,0,1,1,0,1
238,39,39,39,65,59,4,0,0,0,0,1,1,0,1
239,39,39,39,65,59,5,0,0,0,0,1,1,0,1
240,40,40,40,66,52,0,0,1,1,1,1,0,1,0
241,40,40,40,66,52,1,0,0,0,0,1,1,0,1
242,40,40,40,66,52,2,0,0,0,0,1,1,0,1
243,40,40,40,66,52,3,0,0,0,0,1,1,0,1
244,40,40,40,66,52,4,0,0,0,0,1,1,0,1
245,40,40,40,66,52,5,0,0,0,0,1,1,0,1
246,41,41,41,68,53,0,0,1,1,1,1,0,1,0
247,41,41,41,68,53,1,0,0,0,0,1,1,0,1
248,41,41,41,68,53,2,0,0,0,0,1,1,0,1
249,41,41,41,68,53,3,0,0,0,0,1,1,0,1
250,41,41,41,68,53,4,0,0,0,0,1,1,0,1
251,41,41,41,68,53,5,0,0,0,0,1,1,0,1
252,42,42,42,70,54,0,0,1,1,1,1,0,1,0
253,42,42,42,70,54,1,0,0,0,0,1,1,0,1
254,42,42,42,70,54,2,0,0,0,0,1,1,0,1
255,42,42,42,70,54,3,0,0,0,0,1,1,0,1
256,42,42,42,70,54,4,0,0,0,0,1,1,0,1
257,42,42,42,70,54,5,0,0,0,0,1,1,0,1
258,43,43,43,72,57,0,0,1,1,1,1,0,1,0
259,43,43,43,72,57,1,0,0,0,0,1,1,0,1
260,43,43,43,72,57,2,0,0,0,0,1,1,0,1
261,43,43,43,72,57,3,0,0,0,0,1,1,0,1
262,43,43,43,72,57,4,0,0,0,0,1,1,0,1
263,43,43,43,72,57,5,0,0,0,0,1,1,0,1
264,44,44,44,73,61,0,0,1,1,1,1,0,1,0
265,44,44,44,73,61,1,0,0,0,0,1,1,0,1
266,44,44,44,73,61,2,0,0,0,0,1,1,0,1
267,44,44,44,73,61,3,0,0,0,0,1,1,0,1
268,44,44,44,73,61,4,0,0,0,0,1,1,0,1
269,44,44,44,73,61,5,0,0,0,0,1,1,0,1
270,45,45,45,76,78,0,0,1,1,1,1,0,1,0
271,45,45,45,76,78,1,0,0,0,0,1,1,0,1
272,45,45,45,76,78,2,0,0,0,0,1,1,0,1
273,45,45,45,76,78,3,0,0,0,0,1,1,0,1
274,45,45,45,76,78,4,0,0,0,0,1,1,0,1
275,45,45,45,76,78,5,0,0,0,0,1,1,0,1
276,46,46,46,77,63,0,0,1,1,1,1,0,1,0
277,46,46,46,77,63,1,0,0,0,0,1,1,0,1
278,46,46,46,77,63,2,0,0,0,0,1,1,0,1
279,46,46,46,77,63,3,0,0,0,0,1,1,0,1
280,46,46,46,77,63,4,0,0,0,0,1,1,0,1
281,46,46,46,77,63,5,0,0,0,0,1,1,0,1
282,47,47,47,79,66,0,0,1,1,1,1,0,1,0
283,47,47,47,79,66,1,0,0,0,0,1,1,0,1
284,47,47,47,79,66,2,0,0,0,0,1,1,0,1
285,47,47,47,79,66,3,0,0,0,0,1,1,0,1
286,47,47,47,79,66,4,0,0,0,0,1,1,0,1
287,47,47,47,79,66,5,0,0,0,0,1,1,0,1
288,48,48,48,80,67,0,0,1,1,1,1,0,1,0
289,48,48,48,80,67,1,0,0,0,0,1,1,0,1
290,48,48,48,80,67,2,0,0,0,0,1,1,0,1
291,48,48,48,80,67,3,0,0,0,0,1,1,0,1
292,48,48,48,80,67,4,0,0,0,0,1,1,0,1
293,48,48,48,80,67,5,0,0,0,0,1,1,0,1
294,49,49,49,82,79,0,0,1,1,1,1,0,1,0
295,49,49,49,82,79,1,0,0,0,0,1,1,0,1
296,49,49,49,82,79,2,0,0,0,0,1,1,0,1
297,49,49,49,82,79,3,0,0,0,0,1,1,0,1
298,49,49,49,82,79,4,0,0,0,0,1,1,0,1
299,49,49,49,82,79,5,0,0,0,0,1,1,0,1
300,50,50,50,83,72,0,0,1,1,1,1,0,1,0
301,50,50,50,83,72,1,0,0,0,0,1,1,0,1
302,50,50,50,83,72,2,0,0,0,0,1,1,0,1
303,50,50,50,83,72,3,0,0,0,0,1,1,0,1
304,50,50,50,83,72,4,0,0,0,0,1,1,0,1
305,50,50,50,83,72,5,0,0,0,0,1,1,0,1
306,51,51,51,85,75,0,0,1,1,1,1,0,1,0
307,51,51,51,85,75,1,0,0,0,0,1,1,0,1
308,51,51,51,85,75,2,0,0,0,0,1,1,0,1
309,51,51,51,85,75,3,0,0,0,0,1,1,0,1
310,51,51,51,85,75,4,0,0,0,0,1,1,0,1
311,51,51,51,85,75,5,0,0,0,0,1,1,0,1
312,52,52,52,86,76,0,0,1,1,1,1,0,1,0
313,52,52,52,86,76,1,0,0,0,0,1,1,0,1
314,52,52,52,86,76,2,0,0,0,0,1,1,0,1
315,52,52,52,86,76,3,0,0,0,0,1,1,0,1
316,52,52,52,86,76,4,0,0,0,0,1,1,0,1
317,52,52,52,86,76,5,0,0,0,0,1,1,0,1
318,53,53,53,88,89,0,0,1,1,1,1,0,1,0
319,53,53,53,88,89,1,0,0,0,0,1,1,0,1
320,53,53,53,88,89,2,0,0,0,0,1,1,0,1
321,53,53,53,88,89,3,0,0,0,0,1,1,0,1
322,53,53,53,88,89,4,0,0,0,0,1,1,0,1
323,53,53,53,88,89,5,0,0,0,0,1,1,0,1
324,54,54,54,89,84,0,0,1,1,1,1,0,1,0
325,54,54,54,89,84,1,0,0,0,0,1,1,0,1
326,54,54,54,89,84,2,0,0,0,0,1,1,0,1
327,54,54,54,89,84,3,0,0,0,0,1,1,0,1
328,54,54,54,89,84,4,0,0,0,0,1,1,0,1
329,54,54,54,89,84,5,0,0,0,0,1,1,0,1
330,55,55,55,90,85,0,0,1,1,1,1,0,1,0
331,55,55,55,90,85,1,0,0,0,0,1,1,0,1
332,55,55,55,90,85,2,0,0,0,0,1,1,0,1
333,55,55,55,90,85,3,0,0,0,0,1,1,0,1
334,55,55,55,90,85,4,0,0,0,0,1,1,0,1
335,55,55,55,90,85,5,0,0,0,0,1,1,0,1
