triple_id,left_symbol_id,middle_symbol_id,right_symbol_id,left_atom_id,middle_atom_id,right_atom_id,canonical_first_symbol_id,canonical_second_symbol_id,canonical_third_symbol_id,left_path_first_rule_id,left_path_second_rule_id,left_path_third_rule_id,right_path_first_rule_id,right_path_second_rule_id,right_path_third_rule_id,left_final_matches_right_final,matches_direct_sorted_normal_form,sector_union_mask,sector_coverage_count,signature_union_count,tensor_path_support_sum,tensor_path_coefficient_mass_sum,word_triple_multiplicity,left_path_swap_count,right_path_swap_count,canonical_triple_id
85,2,2,1,7,7,4,1,2,2,14,13,13,13,13,14,1,1,29,4,118,121920,200448,216,2,2,26
86,2,2,2,7,7,7,2,2,2,14,14,14,14,14,14,1,1,25,3,97,166464,251136,216,0,0,36
87,2,2,3,7,7,11,2,2,3,14,15,14,15,14,15,1,1,31,5,132,113088,178048,216,0,0,37
88,2,2,4,7,7,12,2,2,4,14,16,14,16,14,16,1,1,63,6,155,117888,187008,216,0,0,38
89,2,2,5,7,7,19,2,2,5,14,17,14,17,14,17,1,1,57,4,148,236928,332800,216,0,0,39
90,2,3,0,7,11,1,0,2,3,15,18,12,18,12,15,1,1,31,5,142,72624,126592,216,2,2,12
91,2,3,1,7,11,4,1,2,3,15,19,13,19,13,15,1,1,31,5,146,68544,127360,216,2,2,27
92,2,3,2,7,11,7,2,2,3,15,20,14,20,14,15,1,1,31,5,132,113088,178048,216,1,1,37
93,2,3,3,7,11,11,2,3,3,15,21,15,21,15,21,1,1,31,5,132,59712,104960,216,0,0,40
94,2,3,4,7,11,12,2,3,4,15,22,15,22,15,22,1,1,63,6,167,64512,113920,216,0,0,41
95,2,3,5,7,11,19,2,3,5,15,23,15,23,15,23,1,1,63,6,183,183552,259712,216,0,0,42
96,2,4,0,7,12,1,0,2,4,16,24,12,24,12,16,1,1,63,6,165,77424,135552,216,2,2,13
97,2,4,1,7,12,4,1,2,4,16,25,13,25,13,16,1,1,63,6,169,73344,136320,216,2,2,28
98,2,4,2,7,12,7,2,2,4,16,26,14,26,14,16,1,1,63,6,155,117888,187008,216,1,1,38
99,2,4,3,7,12,11,2,3,4,16,27,15,27,15,22,1,1,63,6,167,64512,113920,216,1,1,41
100,2,4,4,7,12,12,2,4,4,16,28,16,28,16,28,1,1,63,6,155,69312,122880,216,0,0,43
101,2,4,5,7,12,19,2,4,5,16,29,16,29,16,29,1,1,63,6,185,188352,268672,216,0,0,44
102,2,5,0,7,19,1,0,2,5,17,30,12,30,12,17,1,1,59,5,168,196464,281344,216,2,2,14
103,2,5,1,7,19,4,1,2,5,17,31,13,31,13,17,1,1,61,5,169,192384,282112,216,2,2,29
104,2,5,2,7,19,7,2,2,5,17,32,14,32,14,17,1,1,57,4,148,236928,332800,216,1,1,39
105,2,5,3,7,19,11,2,3,5,17,33,15,33,15,23,1,1,63,6,183,183552,259712,216,1,1,42
106,2,5,4,7,19,12,2,4,5,17,34,16,34,16,29,1,1,63,6,185,188352,268672,216,1,1,44
107,2,5,5,7,19,19,2,5,5,17,35,17,35,17,35,1,1,57,4,148,307392,414464,216,0,0,45
108,3,0,0,11,1,1,0,0,3,18,18,0,0,18,18,1,1,31,5,112,32160,75136,216,2,2,3
109,3,0,1,11,1,4,0,1,3,18,19,1,1,18,19,1,1,31,5,126,28080,75904,216,2,2,8
110,3,0,2,11,1,7,0,2,3,18,20,2,2,18,20,1,1,31,5,142,72624,126592,216,2,2,12
111,3,0,3,11,1,11,0,3,3,18,21,3,3,18,21,1,1,31,5,112,19248,53504,216,1,1,15
112,3,0,4,11,1,12,0,3,4,18,22,3,4,18,22,1,1,63,6,147,24048,62464,216,1,1,16
113,3,0,5,11,1,19,0,3,5,18,23,3,5,18,23,1,1,63,6,171,143088,208256,216,1,1,17
114,3,1,0,11,4,1,0,1,3,19,18,6,6,18,19,1,1,31,5,126,28080,75904,216,3,3,8
115,3,1,1,11,4,4,1,1,3,19,19,7,7,19,19,1,1,31,5,116,24000,76672,216,2,2,23
116,3,1,2,11,4,7,1,2,3,19,20,8,8,19,20,1,1,31,5,146,68544,127360,216,2,2,27
117,3,1,3,11,4,11,1,3,3,19,21,9,9,19,21,1,1,31,5,116,15168,54272,216,1,1,30
118,3,1,4,11,4,12,1,3,4,19,22,9,10,19,22,1,1,63,6,151,19968,63232,216,1,1,31
119,3,1,5,11,4,19,1,3,5,19,23,9,11,19,23,1,1,63,6,175,139008,209024,216,1,1,32
120,3,2,0,11,7,1,0,2,3,20,18,12,12,18,20,1,1,31,5,142,72624,126592,216,3,3,12
121,3,2,1,11,7,4,1,2,3,20,19,13,13,19,20,1,1,31,5,146,68544,127360,216,3,3,27
122,3,2,2,11,7,7,2,2,3,20,20,14,14,20,20,1,1,31,5,132,113088,178048,216,2,2,37
123,3,2,3,11,7,11,2,3,3,20,21,15,15,20,21,1,1,31,5,132,59712,104960,216,1,1,40
124,3,2,4,11,7,12,2,3,4,20,22,15,16,20,22,1,1,63,6,167,64512,113920,216,1,1,41
125,3,2,5,11,7,19,2,3,5,20,23,15,17,20,23,1,1,63,6,183,183552,259712,216,1,1,42
126,3,3,0,11,11,1,0,3,3,21,18,18,18,18,21,1,1,31,5,112,19248,53504,216,2,2,15
127,3,3,1,11,11,4,1,3,3,21,19,19,19,19,21,1,1,31,5,116,15168,54272,216,2,2,30
128,3,3,2,11,11,7,2,3,3,21,20,20,20,20,21,1,1,31,5,132,59712,104960,216,2,2,40
129,3,3,3,11,11,11,3,3,3,21,21,21,21,21,21,1,1,22,3,53,6336,31872,216,0,0,46
