candidate_id,candidate_type_code,a_restricted_index,b_restricted_index,b_coefficient,support_count
106,1,2,14,1,2
107,2,2,14,-1,2
108,1,2,15,1,2
109,2,2,15,-1,2
110,1,2,16,1,2
111,2,2,16,-1,2
112,1,2,17,1,2
113,2,2,17,-1,2
114,1,3,4,1,2
115,2,3,4,-1,2
116,1,3,5,1,2
117,2,3,5,-1,2
118,1,3,6,1,2
119,2,3,6,-1,2
120,1,3,7,1,2
121,2,3,7,-1,2
122,1,3,8,1,2
123,2,3,8,-1,2
124,1,3,9,1,2
125,2,3,9,-1,2
126,1,3,10,1,2
127,2,3,10,-1,2
128,1,3,11,1,2
129,2,3,11,-1,2
130,1,3,12,1,2
131,2,3,12,-1,2
132,1,3,13,1,2
133,2,3,13,-1,2
134,1,3,14,1,2
135,2,3,14,-1,2
136,1,3,15,1,2
137,2,3,15,-1,2
138,1,3,16,1,2
139,2,3,16,-1,2
140,1,3,17,1,2
141,2,3,17,-1,2
142,1,4,5,1,2
143,2,4,5,-1,2
144,1,4,6,1,2
145,2,4,6,-1,2
146,1,4,7,1,2
147,2,4,7,-1,2
148,1,4,8,1,2
149,2,4,8,-1,2
150,1,4,9,1,2
151,2,4,9,-1,2
152,1,4,10,1,2
153,2,4,10,-1,2
154,1,4,11,1,2
155,2,4,11,-1,2
156,1,4,12,1,2
157,2,4,12,-1,2
158,1,4,13,1,2
159,2,4,13,-1,2
160,1,4,14,1,2
161,2,4,14,-1,2
162,1,4,15,1,2
163,2,4,15,-1,2
164,1,4,16,1,2
165,2,4,16,-1,2
166,1,4,17,1,2
167,2,4,17,-1,2
168,1,5,6,1,2
169,2,5,6,-1,2
170,1,5,7,1,2
171,2,5,7,-1,2
172,1,5,8,1,2
173,2,5,8,-1,2
174,1,5,9,1,2
175,2,5,9,-1,2
176,1,5,10,1,2
177,2,5,10,-1,2
178,1,5,11,1,2
179,2,5,11,-1,2
180,1,5,12,1,2
181,2,5,12,-1,2
182,1,5,13,1,2
183,2,5,13,-1,2
184,1,5,14,1,2
185,2,5,14,-1,2
186,1,5,15,1,2
187,2,5,15,-1,2
188,1,5,16,1,2
189,2,5,16,-1,2
190,1,5,17,1,2
191,2,5,17,-1,2
192,1,6,7,1,2
193,2,6,7,-1,2
194,1,6,8,1,2
195,2,6,8,-1,2
196,1,6,9,1,2
197,2,6,9,-1,2
198,1,6,10,1,2
199,2,6,10,-1,2
200,1,6,11,1,2
201,2,6,11,-1,2
202,1,6,12,1,2
203,2,6,12,-1,2
204,1,6,13,1,2
205,2,6,13,-1,2
206,1,6,14,1,2
207,2,6,14,-1,2
208,1,6,15,1,2
209,2,6,15,-1,2
210,1,6,16,1,2
211,2,6,16,-1,2
212,1,6,17,1,2
213,2,6,17,-1,2
214,1,7,8,1,2
215,2,7,8,-1,2
216,1,7,9,1,2
217,2,7,9,-1,2
218,1,7,10,1,2
219,2,7,10,-1,2
220,1,7,11,1,2
221,2,7,11,-1,2
222,1,7,12,1,2
223,2,7,12,-1,2
224,1,7,13,1,2
225,2,7,13,-1,2
226,1,7,14,1,2
227,2,7,14,-1,2
228,1,7,15,1,2
229,2,7,15,-1,2
230,1,7,16,1,2
231,2,7,16,-1,2
232,1,7,17,1,2
233,2,7,17,-1,2
234,1,8,9,1,2
235,2,8,9,-1,2
236,1,8,10,1,2
237,2,8,10,-1,2
238,1,8,11,1,2
239,2,8,11,-1,2
240,1,8,12,1,2
241,2,8,12,-1,2
242,1,8,13,1,2
243,2,8,13,-1,2
244,1,8,14,1,2
245,2,8,14,-1,2
246,1,8,15,1,2
247,2,8,15,-1,2
248,1,8,16,1,2
249,2,8,16,-1,2
250,1,8,17,1,2
251,2,8,17,-1,2
252,1,9,10,1,2
253,2,9,10,-1,2
254,1,9,11,1,2
255,2,9,11,-1,2
256,1,9,12,1,2
257,2,9,12,-1,2
258,1,9,13,1,2
259,2,9,13,-1,2
260,1,9,14,1,2
261,2,9,14,-1,2
262,1,9,15,1,2
263,2,9,15,-1,2
264,1,9,16,1,2
265,2,9,16,-1,2
266,1,9,17,1,2
267,2,9,17,-1,2
268,1,10,11,1,2
269,2,10,11,-1,2
270,1,10,12,1,2
271,2,10,12,-1,2
272,1,10,13,1,2
273,2,10,13,-1,2
274,1,10,14,1,2
275,2,10,14,-1,2
276,1,10,15,1,2
277,2,10,15,-1,2
278,1,10,16,1,2
279,2,10,16,-1,2
280,1,10,17,1,2
281,2,10,17,-1,2
282,1,11,12,1,2
283,2,11,12,-1,2
284,1,11,13,1,2
285,2,11,13,-1,2
286,1,11,14,1,2
287,2,11,14,-1,2
288,1,11,15,1,2
289,2,11,15,-1,2
290,1,11,16,1,2
291,2,11,16,-1,2
292,1,11,17,1,2
293,2,11,17,-1,2
294,1,12,13,1,2
295,2,12,13,-1,2
296,1,12,14,1,2
297,2,12,14,-1,2
298,1,12,15,1,2
299,2,12,15,-1,2
300,1,12,16,1,2
301,2,12,16,-1,2
302,1,12,17,1,2
303,2,12,17,-1,2
304,1,13,14,1,2
305,2,13,14,-1,2
306,1,13,15,1,2
307,2,13,15,-1,2
308,1,13,16,1,2
309,2,13,16,-1,2
310,1,13,17,1,2
311,2,13,17,-1,2
312,1,14,15,1,2
313,2,14,15,-1,2
314,1,14,16,1,2
315,2,14,16,-1,2
316,1,14,17,1,2
317,2,14,17,-1,2
318,1,15,16,1,2
319,2,15,16,-1,2
320,1,15,17,1,2
321,2,15,17,-1,2
322,1,16,17,1,2
323,2,16,17,-1,2
