legacy_sector,raw_sector,block_dimension,matrix_unit_count,expected_matrix_unit_count,matrix_unit_product_count,coefficient_source,normalization_status,normalization_anchor,remaining_projective_gauge_dimension,change_of_basis_template_terms,change_of_basis_formula,identity_fingerprint,matrix_unit_block_sha256
10,24,1,1,1,1,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CANONICAL_DIMENSION_ONE,central idempotent is the only matrix unit,0,0,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[0,-223959,0,0,0,0]",9c49b8e8ba8bf51aa1a663ac4019a08eb08ebbcc5b838aaa162678ad79995432
11,6,5,25,25,125,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,no legacy off-diagonal matrix-unit basis is present in the certified lift,24,625,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[0,0,104167,-447918,373048,-417970]",fe81a9b6c0fcb1dd55c7ffeae5892d51f430b6b3d80416dde6c2cd315055ccce
12,14,4,16,16,64,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,no legacy off-diagonal matrix-unit basis is present in the certified lift,15,256,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[0,104167,-194445,402779,0,0]",4fe11932b453f117aad357fbcc44e43193ff00f7939c1fa932439aeabf27f45b
13,3,2,4,4,8,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,no legacy off-diagonal matrix-unit basis is present in the certified lift,3,16,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[0,0,0,-74653,0,194011]",a5c04648d4fcad74d355370a6d5806baed333b132d1efd244cd2a39b4a246f0a
14,27,5,25,25,125,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,no legacy off-diagonal matrix-unit basis is present in the certified lift,24,625,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[0,0,402779,-298612,0,-223959]",3be86c019ac41d4b56a70442ad038948ee88907cc89eca55290aaf37ff69ec96
15,37,4,16,16,64,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,no legacy off-diagonal matrix-unit basis is present in the certified lift,15,256,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[-31250,0,-375001,0,238282,0]",87a9f66cb1f0674678ae6e6108981f7d630fd652824f026a7d131dfac5108b96
16,7,3,9,9,27,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,no legacy off-diagonal matrix-unit basis is present in the certified lift,8,81,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[0,0,0,-343751,0,0]",933f83e0e1f30b2dab316d2016a8a09d19a98b0f1d4362c91335979a4ae00f89
17,31,4,16,16,64,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,no legacy off-diagonal matrix-unit basis is present in the certified lift,15,256,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[-15625,0,0,-343751,476564,0]",2a2fc17b7c332a1b58b4dfea11fed26db9f1e94538172f69f9354e5597ab836c
18,20,6,36,36,216,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,no legacy off-diagonal matrix-unit basis is present in the certified lift,35,1296,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[388022,-223959,-298612,-74653,-208985,194011]",080fed8553f6a181b88d0460c4103f47c77d0ba883646b2f28bf4cb50a4f7c2b
19,5,1,1,1,1,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CANONICAL_DIMENSION_ONE,central idempotent is the only matrix unit,0,0,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[0,-343751,0,0,0,0]",b56eb1140e1ac047b51678617f616b9b3faabb51565b0ec5d5154e5cbf112f2a
20,11,2,4,4,8,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,no legacy off-diagonal matrix-unit basis is present in the certified lift,3,16,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[-15625,0,0,0,238282,0]",294b6a97c6f2a4d6209b9681fc71dc820385defcc90dae917a854205f5159bba
21,33,2,4,4,8,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,no legacy off-diagonal matrix-unit basis is present in the certified lift,3,16,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[492189,0,0,0,119141,0]",3638946e82fc5cd3a74d304af8ea2a87b52c7e1a884c52f7db282d2ed3bca27f
22,36,2,4,4,8,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,no legacy off-diagonal matrix-unit basis is present in the certified lift,3,16,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[0,-31250,0,-343751,0,0]",791ee191030cb6fa41da52790cc89683e945b951742c8d456e25d6108d49c0a1
23,0,3,9,9,27,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,no legacy off-diagonal matrix-unit basis is present in the certified lift,8,81,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[-223959,0,402779,-149306,0,0]",37b6bc11a61ccbdac32a00cf282cec5448b328277d8d348743227ee7ff4831b2
24,1,1,1,1,1,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CANONICAL_DIMENSION_ONE,central idempotent is the only matrix unit,0,0,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[0,0,0,-149306,0,0]",54a0c94d1936092a36dfb7aea72c78d69967e56068a9082f7b21713290be5286
25,30,1,1,1,1,REGISTERED_SUPPORT_COO,CANONICAL_DIMENSION_ONE,central idempotent is the only matrix unit,0,0,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[0,0,0,0,-208985,0]",5f8093720537697cec4b1c1842978c6c747d25dee28f1376e6241c9fe3bc72b0
26,29,1,1,1,1,REGISTERED_SUPPORT_COO,CANONICAL_DIMENSION_ONE,central idempotent is the only matrix unit,0,0,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[0,0,0,0,373048,0]",a557afc9bc2ce0083ac178defdfba7b7290d64f8f8bd408a52b165b8c315d7cc
27,26,4,16,16,64,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,no legacy off-diagonal matrix-unit basis is present in the certified lift,15,256,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[164063,328126,0,0,373048,-417970]",b35ebb46f211285729225e8d6d81c5d9e0898a32940050e7204687f335b6e66e
28,13,5,25,25,125,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,no legacy off-diagonal matrix-unit basis is present in the certified lift,24,625,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[328126,0,208334,-343751,0,0]",bfa02b03a1ab0ca74e15c95e49ee29274e95b959ed7c0934bb33ac416cfb5416
29,2,4,16,16,64,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,no legacy off-diagonal matrix-unit basis is present in the certified lift,15,256,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[0,0,0,-343751,238282,-15625]",0eb7f82b50de58e3e3ef384140a8aa1105a4741b9078b7c856e70ffdbdc3874e
30,8,4,16,16,64,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,no legacy off-diagonal matrix-unit basis is present in the certified lift,15,256,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[0,-343751,208334,0,0,328126]",c08afa758e3f4c93b5b27599cbce1dcb2f5d302c401172c136bb2195c08270e2
31,16,10,100,100,1000,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,no legacy off-diagonal matrix-unit basis is present in the certified lift,99,10000,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[-46875,-31250,0,-343751,476564,476564]",efb12b458281fcf521023608e5bd0ed5c9740e30492539f8e1ede9db192fbb4b
32,4,2,4,4,8,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,no legacy off-diagonal matrix-unit basis is present in the certified lift,3,16,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[0,0,104167,0,0,-417970]",e382022752a8c0db9fb91242e1255ace76b60d52dfe5383c1509ef865be3e261
33,19,2,4,4,8,REGISTERED_SUPPORT_COO,REGISTERED_SUPPORT_ANCHORED,promoted registered support matrix-unit source fixes this basis,0,0,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[0,-31250,0,0,0,492189]",6d5a095e223b393cc8de9ec9b94e8876e02343f26cd8a084eb2c3d68c880be5b
34,35,1,1,1,1,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,CANONICAL_DIMENSION_ONE,central idempotent is the only matrix unit,0,0,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[0,0,0,-223959,0,0]",a38167f3692c93aa42d89c0e44a06b6fbfbdae0784aee5d06c8750289956eaff
35,38,9,81,81,729,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,no legacy off-diagonal matrix-unit basis is present in the certified lift,80,6561,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[-375001,250001,0,208334,-31250,312501]",d99789898bf2f0d9fa4d522b024e2247a4fbd0f7758d5b12fa46606efff69c1d
36,10,12,144,144,1728,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,no legacy off-diagonal matrix-unit basis is present in the certified lift,143,20736,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[-15625,-31250,-375001,-31250,476564,-31250]",1486384c4f59c76116422093cbe6839674e582195f86b3e79ff38b5efd17aeae
37,15,11,121,121,1331,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,no legacy off-diagonal matrix-unit basis is present in the certified lift,120,14641,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[250001,250001,0,-166667,-62500,250001]",d40aad8afdddc1e2afac52e5bf0a1a176017649d6cf01f7177354b7a052f8fdb
38,34,8,64,64,512,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,OPEN_GL_BLOCK_NORMALIZATION,no legacy off-diagonal matrix-unit basis is present in the certified lift,63,4096,"v_s[i,j] = sum_{a,b} g_s[a,i] * ginv_s[j,b] * u_s[a,b]","[0,0,-375001,-31250,0,-31250]",2575413ab1e8a363cc8a543980cc08dd463ff6691aca052d5cf7ee6873c21b3e
