basis_id,source0_addr,source1_addr,target_addr,coeff,raw_row_id,raw_row_id_flag
72,214,879,186,2,251528,1
73,214,880,194,6,261245,1
74,214,972,195,1,262213,1
75,214,982,199,1,268934,1
76,214,984,214,2,290480,1
77,284,772,227,32,302662,1
78,287,772,228,16,302756,1
79,288,984,271,1,332653,1
80,289,771,227,32,302658,1
81,289,772,229,16,302917,1
82,289,984,274,1,336398,1
83,290,732,215,2,291536,1
84,290,752,223,1,300386,1
85,290,762,227,32,302664,1
86,290,770,228,16,302848,1
87,290,772,233,2,303629,1
88,290,836,241,2,306425,1
89,290,880,263,1,321964,1
90,290,975,271,1,332662,1
91,290,979,272,2,333600,1
92,290,981,276,2,338901,1
93,290,983,279,1,341423,1
94,290,984,287,1,349742,1
95,490,984,467,2,576658,1
96,492,983,467,1,577439,1
97,493,982,467,2,577432,1
98,498,984,470,1,580997,1
99,501,984,474,1,587964,1
100,505,984,480,1,598031,1
101,506,983,485,1,606566,1
102,510,752,315,1,400735,1
103,510,880,435,1,511340,1
104,510,984,487,1,610444,1
105,511,982,472,1,585387,1
106,518,984,511,1,651024,1
107,523,772,327,2,420584,1
108,525,836,349,8,435890,1
109,525,982,480,1,598455,1
110,526,984,512,1,652806,1
111,527,832,349,8,435893,1
112,527,982,487,1,610873,1
113,528,772,328,2,421281,1
114,528,982,497,1,628058,1
115,528,984,513,1,654033,1
116,529,751,315,1,401587,1
117,529,752,316,1,402805,1
118,529,772,333,4,425328,1
119,529,823,349,8,435898,1
120,529,826,350,8,436193,1
121,529,879,435,1,511970,1
122,529,880,459,1,561559,1
123,529,981,467,1,577143,1
124,529,983,516,1,658505,1
125,529,984,522,1,666281,1
126,530,732,291,1,354776,1
127,530,747,315,1,401486,1
128,530,748,316,1,402890,1
129,530,751,317,1,404804,1
130,530,752,319,1,408126,1
131,530,770,327,2,420470,1
132,530,771,335,4,426473,1
133,530,772,336,4,427117,1
134,530,815,349,8,435900,1
135,530,836,351,2,436887,1
136,530,872,435,2,511937,1
137,530,879,437,1,516344,1
138,530,880,460,1,563610,1
139,530,954,467,2,577125,1
140,530,958,469,2,580237,1
141,530,979,472,1,585330,1
142,530,981,474,1,588797,1
143,530,982,516,2,658357,1
144,530,983,519,1,662186,1
145,530,984,523,1,668292,1
146,693,752,561,4,720274,1
147,694,836,581,1,746894,1
148,696,732,531,2,678547,1
149,696,752,562,2,721485,1
150,697,836,583,1,750899,1
151,697,984,657,1,869825,1
152,698,727,531,2,678525,1
153,698,752,563,2,722805,1
154,698,836,584,2,752434,1
155,698,880,613,1,812663,1
156,698,983,657,1,869829,1
157,699,752,566,6,726884,1
158,699,772,573,1,735674,1
159,699,834,581,1,745701,1
160,699,835,582,1,747749,1
161,699,836,592,1,769186,1
162,699,876,613,1,811059,1
163,699,878,614,2,813110,1
164,699,879,616,2,816289,1
165,699,970,657,1,868857,1
166,699,979,658,1,870190,1
167,699,981,661,1,877127,1
168,699,982,668,1,893846,1
169,700,726,531,2,678550,1
170,700,732,532,1,680365,1
171,700,751,561,2,720309,1
172,700,752,572,6,734367,1
173,700,771,573,1,735042,1
174,700,772,575,1,737749,1
175,700,825,581,1,747479,1
176,700,826,582,1,749541,1
177,700,832,583,1,751587,1
178,700,835,588,1,761815,1
179,700,836,605,1,796482,1
180,700,872,613,1,812360,1
181,700,875,614,2,813710,1
182,700,878,616,2,816193,1
183,700,880,618,6,818932,1
184,700,967,657,1,868289,1
185,700,970,661,1,878594,1
186,700,984,672,1,901017,1
187,958,836,773,1,1078832,1
188,969,880,837,1,1179795,1
189,969,984,881,1,1271332,1
190,970,732,701,1,960900,1
191,970,880,840,1,1186422,1
192,971,836,775,1,1083060,1
193,972,752,733,1,1027586,1
194,972,836,777,2,1086021,1
195,972,878,837,1,1180947,1
196,972,982,881,1,1272933,1
197,974,836,793,1,1113806,1
198,977,835,773,1,1078479,1
199,978,772,753,2,1057186,1
200,978,831,773,1,1079071,1
201,979,732,702,2,961967,1
202,979,750,733,1,1028296,1
203,979,767,753,4,1057185,1
204,979,772,754,1,1057845,1
205,979,833,774,1,1081527,1
206,979,835,775,2,1083047,1
207,979,879,838,1,1182018,1
208,980,982,882,1,1274509,1
209,981,732,704,1,967329,1
210,981,830,774,1,1080613,1
211,981,874,837,1,1180560,1
212,982,731,701,1,960535,1
213,982,745,733,1,1028579,1
214,982,751,735,1,1030898,1
215,982,752,738,1,1036021,1
216,982,772,759,2,1063956,1
217,982,828,773,1,1079836,1
218,982,835,780,1,1091099,1
219,982,836,794,1,1114474,1
220,982,876,839,1,1185724,1
221,982,959,881,1,1272107,1
222,982,980,882,1,1274117,1
223,983,730,703,1,965179,1
224,983,732,707,1,973639,1
225,983,757,753,1,1057273,1
226,983,828,774,1,1081629,1
227,983,836,810,1,1140699,1
228,983,866,838,1,1183262,1
229,984,714,701,1,961041,1
230,984,726,703,1,965184,1
231,984,729,707,1,973644,1
232,984,730,708,1,975812,1
233,984,732,715,1,990557,1
234,984,742,733,1,1028398,1
235,984,745,734,1,1030153,1
236,984,748,735,2,1031348,1
237,984,750,737,1,1034698,1
238,984,751,738,2,1035888,1
239,984,752,752,2,1056266,1
240,984,756,753,2,1057274,1
241,984,758,754,1,1058610,1
242,984,770,759,1,1064268,1
243,984,772,761,1,1066632,1
244,984,824,773,1,1079612,1
245,984,830,776,2,1084876,1
246,984,834,809,1,1139202,1
247,984,835,813,2,1144876,1
248,984,836,817,1,1149920,1
249,984,865,837,1,1181041,1
250,984,875,839,1,1185491,1
251,984,876,840,1,1187680,1
252,984,878,842,1,1192044,1
253,984,880,845,1,1197535,1
254,984,924,881,1,1272526,1
255,984,926,883,1,1275929,1
256,984,948,886,1,1281882,1
257,984,958,888,1,1286113,1
258,984,984,893,2,1295177,1
