transition_id,edge_id,left_basis_id,right_basis_id,left_raw_row_id,right_raw_row_id,source0_boundary_count,source1_boundary_count,boundary_count,normal_form_delta_t,contact_lift_flag,endpoint_pair_raw_row_flag,operation_row_id,operation_source0_addr,operation_source1_addr,operation_target_addr,operation_coeff,operation_time_component,semantic_transition_flag,obstruction_code
19,19,6,16,145625,179440,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
20,20,7,9,543,302,732,0,732,1,1,1,-1,-1,-1,-1,0,0,0,0
21,21,7,10,543,798,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
22,22,7,11,543,30348,0,3,3,1,1,1,-1,-1,-1,-1,0,0,0,0
23,23,8,12,141280,143348,3,0,3,1,1,1,-1,-1,-1,-1,0,0,0,0
24,24,8,14,141280,115813,0,3,3,1,1,1,-1,-1,-1,-1,0,0,0,0
25,25,8,16,141280,179440,0,3,3,1,1,1,-1,-1,-1,-1,0,0,0,0
26,26,8,22,141280,139655,99,0,99,1,1,1,-1,-1,-1,-1,0,0,0,0
27,27,9,10,302,798,0,3,3,1,1,1,-1,-1,-1,-1,0,0,0,0
28,28,9,25,302,425,731,0,731,1,1,1,-1,-1,-1,-1,0,0,0,0
29,29,9,26,302,1240,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
30,30,10,11,798,30348,0,3,3,1,1,1,-1,-1,-1,-1,0,0,0,0
31,31,10,26,798,1240,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
32,32,11,13,30348,31777,1,7,8,1,1,1,-1,-1,-1,-1,0,0,0,0
33,33,11,26,30348,1240,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
34,34,11,27,30348,30949,18,0,18,1,1,1,-1,-1,-1,-1,0,0,0,0
35,35,12,15,143348,148575,3,0,3,1,1,1,-1,-1,-1,-1,0,0,0,0
36,36,12,16,143348,179440,0,5,5,1,1,1,-1,-1,-1,-1,0,0,0,0
37,37,12,22,143348,139655,0,5,5,1,1,1,-1,-1,-1,-1,0,0,0,0
38,38,13,17,31777,31536,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
39,39,13,18,31777,34767,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
40,40,13,19,31777,41881,0,9,9,1,1,1,-1,-1,-1,-1,0,0,0,0
41,41,13,27,31777,30949,0,2,2,1,1,1,-1,-1,-1,-1,0,0,0,0
42,42,14,20,115813,97228,0,9,9,1,1,1,-1,-1,-1,-1,0,0,0,0
43,43,14,21,115813,123775,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
44,44,14,22,115813,139655,0,6,6,1,1,1,-1,-1,-1,-1,0,0,0,0
45,45,15,16,148575,179440,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
46,46,15,22,148575,139655,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
47,47,15,23,148575,148918,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
48,48,15,40,148575,154845,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
49,49,16,24,179440,203295,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
50,50,17,18,31536,34767,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
51,51,17,27,31536,30949,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
52,52,17,28,31536,32481,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
53,53,18,19,34767,41881,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
54,54,18,29,34767,37164,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
55,55,19,30,41881,42295,18,0,18,1,1,1,-1,-1,-1,-1,0,0,0,0
56,56,19,31,41881,43249,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
57,57,19,32,41881,51367,0,138,138,1,1,1,-1,-1,-1,-1,0,0,0,0
58,58,20,21,97228,123775,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
59,59,20,32,97228,51367,0,18,18,1,1,1,-1,-1,-1,-1,0,0,0,0
60,60,20,33,97228,97410,40,0,40,1,1,1,-1,-1,-1,-1,0,0,0,0
61,61,20,34,97228,98877,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
62,62,20,35,97228,100538,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
63,63,21,22,123775,139655,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
64,64,21,36,123775,138356,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
65,65,22,23,139655,148918,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
66,66,22,37,139655,140552,89,0,89,1,1,1,-1,-1,-1,-1,0,0,0,0
67,67,22,38,139655,144444,3,0,3,1,1,1,-1,-1,-1,-1,0,0,0,0
68,68,22,39,139655,153352,7,0,7,1,1,1,-1,-1,-1,-1,0,0,0,0
69,69,23,39,148918,153352,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
70,70,23,40,148918,154845,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
71,71,24,40,203295,154845,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
72,72,24,41,203295,205579,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
73,73,25,26,425,1240,0,5,5,1,1,1,-1,-1,-1,-1,0,0,0,0
74,74,25,63,425,207754,731,0,731,1,1,1,-1,-1,-1,-1,0,0,0,0
75,75,26,27,1240,30949,0,4,4,1,1,1,-1,-1,-1,-1,0,0,0,0
76,76,26,63,1240,207754,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
77,77,27,28,30949,32481,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
78,78,27,53,30949,218948,18,0,18,1,1,1,-1,-1,-1,-1,0,0,0,0
79,79,28,29,32481,37164,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
80,80,28,53,32481,218948,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
81,81,29,30,37164,42295,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
82,82,29,53,37164,218948,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
83,83,30,31,42295,43249,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
84,84,30,59,42295,224373,18,0,18,1,1,1,-1,-1,-1,-1,0,0,0,0
85,85,31,32,43249,51367,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
86,86,31,59,43249,224373,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
87,87,32,33,51367,97410,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
88,88,32,57,51367,228290,64,0,64,1,1,1,-1,-1,-1,-1,0,0,0,0
89,89,33,34,97410,98877,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
90,90,33,44,97410,247894,40,0,40,1,1,1,-1,-1,-1,-1,0,0,0,0
91,91,34,35,98877,100538,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
92,92,34,44,98877,247894,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
93,93,35,36,100538,138356,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
94,94,35,44,100538,247894,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
95,95,36,37,138356,140552,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
96,96,36,44,138356,247894,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
97,97,37,38,140552,144444,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
98,98,37,42,140552,263086,89,0,89,1,1,1,-1,-1,-1,-1,0,0,0,0
99,99,38,39,144444,153352,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
100,100,38,42,144444,263086,3,0,3,1,1,1,-1,-1,-1,-1,0,0,0,0
101,101,39,40,153352,154845,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
102,102,39,42,153352,263086,9,0,9,1,1,1,-1,-1,-1,-1,0,0,0,0
103,103,40,41,154845,205579,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
104,104,40,42,154845,263086,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
105,105,41,42,205579,263086,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
106,106,42,43,263086,266398,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
107,107,42,44,263086,247894,0,58,58,1,1,1,-1,-1,-1,-1,0,0,0,0
108,108,42,55,263086,263105,102,0,102,1,1,1,-1,-1,-1,-1,0,0,0,0
109,109,43,45,266398,266399,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
110,110,43,46,266398,266741,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
111,111,43,55,266398,263105,0,5,5,1,1,1,-1,-1,-1,-1,0,0,0,0
112,112,44,47,247894,253472,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
113,113,44,50,247894,247108,43,0,43,1,1,1,-1,-1,-1,-1,0,0,0,0
114,114,44,55,247894,263105,0,7,7,1,1,1,-1,-1,-1,-1,0,0,0,0
115,115,44,57,247894,228290,0,65,65,1,1,1,-1,-1,-1,-1,0,0,0,0
116,116,45,46,266399,266741,0,2,2,1,1,1,-1,-1,-1,-1,0,0,0,0
117,117,45,48,266399,275191,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
118,118,45,55,266399,263105,0,2,2,1,1,1,-1,-1,-1,-1,0,0,0,0
119,119,46,48,266741,275191,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
120,120,47,50,253472,247108,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
121,121,47,54,253472,255417,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
122,122,47,55,253472,263105,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
123,123,48,49,275191,276212,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
124,124,48,55,275191,263105,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
125,125,49,51,276212,277690,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
126,126,49,52,276212,279423,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
127,127,49,55,276212,263105,0,3,3,1,1,1,-1,-1,-1,-1,0,0,0,0
128,128,50,54,247108,255417,0,5,5,1,1,1,-1,-1,-1,-1,0,0,0,0
129,129,50,57,247108,228290,0,6,6,1,1,1,-1,-1,-1,-1,0,0,0,0
130,130,50,60,247108,247619,42,0,42,1,1,1,-1,-1,-1,-1,0,0,0,0
131,131,50,72,247108,251528,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
132,132,51,52,277690,279423,0,2,2,1,1,1,-1,-1,-1,-1,0,0,0,0
133,133,51,55,277690,263105,0,2,2,1,1,1,-1,-1,-1,-1,0,0,0,0
134,134,51,56,277690,283128,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
135,135,52,56,279423,283128,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
136,136,53,59,218948,224373,0,72,72,1,1,1,-1,-1,-1,-1,0,0,0,0
137,137,53,63,218948,207754,0,72,72,1,1,1,-1,-1,-1,-1,0,0,0,0
138,138,53,64,218948,218749,18,0,18,1,1,1,-1,-1,-1,-1,0,0,0,0
139,139,53,65,218948,219272,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
140,140,54,55,255417,263105,0,6,6,1,1,1,-1,-1,-1,-1,0,0,0,0
141,141,54,61,255417,259913,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
142,142,54,72,255417,251528,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
143,143,55,56,263105,283128,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
144,144,55,74,263105,262213,92,0,92,1,1,1,-1,-1,-1,-1,0,0,0,0
145,145,55,75,263105,268934,10,0,10,1,1,1,-1,-1,-1,-1,0,0,0,0
146,146,56,58,283128,287659,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
147,147,57,59,228290,224373,0,73,73,1,1,1,-1,-1,-1,-1,0,0,0,0
148,148,57,60,228290,247619,0,2,2,1,1,1,-1,-1,-1,-1,0,0,0,0
149,149,57,68,228290,228169,62,0,62,1,1,1,-1,-1,-1,-1,0,0,0,0
150,150,57,69,228290,229344,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
151,151,58,62,287659,289152,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
152,152,58,75,287659,268934,0,2,2,1,1,1,-1,-1,-1,-1,0,0,0,0
153,153,59,65,224373,219272,0,3,3,1,1,1,-1,-1,-1,-1,0,0,0,0
154,154,59,66,224373,224618,18,0,18,1,1,1,-1,-1,-1,-1,0,0,0,0
155,155,59,67,224373,225449,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
156,156,59,68,224373,228169,0,2,2,1,1,1,-1,-1,-1,-1,0,0,0,0
157,157,60,69,247619,229344,0,2,2,1,1,1,-1,-1,-1,-1,0,0,0,0
158,158,60,70,247619,247345,41,0,41,1,1,1,-1,-1,-1,-1,0,0,0,0
159,159,60,71,247619,248887,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
160,160,60,72,247619,251528,0,4,4,1,1,1,-1,-1,-1,-1,0,0,0,0
161,161,61,72,259913,251528,0,3,3,1,1,1,-1,-1,-1,-1,0,0,0,0
162,162,61,73,259913,261245,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
163,163,61,74,259913,262213,0,3,3,1,1,1,-1,-1,-1,-1,0,0,0,0
164,164,62,75,289152,268934,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
165,165,62,76,289152,290480,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
166,166,63,64,207754,218749,0,4,4,1,1,1,-1,-1,-1,-1,0,0,0,0
167,167,63,83,207754,291536,733,0,733,1,1,1,-1,-1,-1,-1,0,0,0,0
168,168,64,65,218749,219272,0,4,4,1,1,1,-1,-1,-1,-1,0,0,0,0
169,169,64,84,218749,300386,18,0,18,1,1,1,-1,-1,-1,-1,0,0,0,0
170,170,65,66,219272,224618,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
171,171,65,84,219272,300386,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
172,172,66,67,224618,225449,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
173,173,66,77,224618,302662,18,0,18,1,1,1,-1,-1,-1,-1,0,0,0,0
174,174,67,68,225449,228169,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
175,175,67,77,225449,302662,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
176,176,68,69,228169,229344,0,3,3,1,1,1,-1,-1,-1,-1,0,0,0,0
177,177,68,88,228169,306425,62,0,62,1,1,1,-1,-1,-1,-1,0,0,0,0
178,178,69,70,229344,247345,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
179,179,69,88,229344,306425,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
180,180,70,71,247345,248887,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
181,181,70,89,247345,321964,41,0,41,1,1,1,-1,-1,-1,-1,0,0,0,0
182,182,71,72,248887,251528,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
183,183,71,89,248887,321964,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
184,184,72,73,251528,261245,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
185,185,72,89,251528,321964,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
186,186,73,74,261245,262213,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
187,187,73,89,261245,321964,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
188,188,74,75,262213,268934,0,4,4,1,1,1,-1,-1,-1,-1,0,0,0,0
189,189,74,79,262213,332653,92,0,92,1,1,1,-1,-1,-1,-1,0,0,0,0
190,190,75,76,268934,290480,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
191,191,75,79,268934,332653,10,0,10,1,1,1,-1,-1,-1,-1,0,0,0,0
192,192,76,79,290480,332653,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
193,193,77,78,302662,302756,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
194,194,77,80,302662,302658,19,0,19,1,1,1,-1,-1,-1,-1,0,0,0,0
195,195,77,84,302662,300386,0,70,70,1,1,1,-1,-1,-1,-1,0,0,0,0
196,196,77,88,302662,306425,0,70,70,1,1,1,-1,-1,-1,-1,0,0,0,0
197,197,78,80,302756,302658,0,3,3,1,1,1,-1,-1,-1,-1,0,0,0,0
198,198,78,81,302756,302917,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
199,199,78,88,302756,306425,0,3,3,1,1,1,-1,-1,-1,-1,0,0,0,0
200,200,79,82,332653,336398,5,0,5,1,1,1,-1,-1,-1,-1,0,0,0,0
201,201,79,89,332653,321964,0,74,74,1,1,1,-1,-1,-1,-1,0,0,0,0
202,202,79,90,332653,332662,95,0,95,1,1,1,-1,-1,-1,-1,0,0,0,0
203,203,79,91,332653,333600,4,0,4,1,1,1,-1,-1,-1,-1,0,0,0,0
204,204,80,81,302658,302917,0,2,2,1,1,1,-1,-1,-1,-1,0,0,0,0
205,205,80,84,302658,300386,0,5,5,1,1,1,-1,-1,-1,-1,0,0,0,0
206,206,80,85,302658,302664,10,0,10,1,1,1,-1,-1,-1,-1,0,0,0,0
207,207,80,86,302658,302848,8,0,8,1,1,1,-1,-1,-1,-1,0,0,0,0
208,208,80,87,302658,303629,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
209,209,81,87,302917,303629,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
210,210,81,88,302917,306425,0,2,2,1,1,1,-1,-1,-1,-1,0,0,0,0
211,211,82,91,336398,333600,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
212,212,82,92,336398,338901,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
213,213,82,93,336398,341423,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
214,214,82,94,336398,349742,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
215,215,83,84,291536,300386,0,76,76,1,1,1,-1,-1,-1,-1,0,0,0,0
216,216,83,126,291536,354776,733,0,733,1,1,1,-1,-1,-1,-1,0,0,0,0
217,217,84,85,300386,302664,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
218,218,84,102,300386,400735,20,0,20,1,1,1,-1,-1,-1,-1,0,0,0,0
219,219,85,86,302664,302848,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
220,220,85,107,302664,420584,10,0,10,1,1,1,-1,-1,-1,-1,0,0,0,0
221,221,86,87,302848,303629,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
222,222,86,107,302848,420584,8,0,8,1,1,1,-1,-1,-1,-1,0,0,0,0
223,223,87,88,303629,306425,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
224,224,87,107,303629,420584,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
225,225,88,89,306425,321964,0,76,76,1,1,1,-1,-1,-1,-1,0,0,0,0
226,226,88,108,306425,435890,64,0,64,1,1,1,-1,-1,-1,-1,0,0,0,0
227,227,89,90,321964,332662,0,2,2,1,1,1,-1,-1,-1,-1,0,0,0,0
228,228,89,103,321964,511340,44,0,44,1,1,1,-1,-1,-1,-1,0,0,0,0
229,229,90,91,332662,333600,0,2,2,1,1,1,-1,-1,-1,-1,0,0,0,0
230,230,90,95,332662,576658,95,0,95,1,1,1,-1,-1,-1,-1,0,0,0,0
231,231,91,92,333600,338901,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
232,232,91,95,333600,576658,4,0,4,1,1,1,-1,-1,-1,-1,0,0,0,0
233,233,92,93,338901,341423,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
234,234,92,95,338901,576658,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
235,235,93,94,341423,349742,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
236,236,93,95,341423,576658,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
237,237,94,95,349742,576658,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
238,238,95,96,576658,577439,103,0,103,1,1,1,-1,-1,-1,-1,0,0,0,0
239,239,95,98,576658,580997,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
240,240,95,103,576658,511340,0,200,200,1,1,1,-1,-1,-1,-1,0,0,0,0
241,241,96,97,577439,577432,102,0,102,1,1,1,-1,-1,-1,-1,0,0,0,0
242,242,96,98,577439,580997,1,2,3,1,1,1,-1,-1,-1,-1,0,0,0,0
243,243,96,103,577439,511340,0,2,2,1,1,1,-1,-1,-1,-1,0,0,0,0
244,244,97,98,577432,580997,1,1,2,1,1,1,-1,-1,-1,-1,0,0,0,0
245,245,97,103,577432,511340,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
246,246,97,123,577432,577143,101,0,101,1,1,1,-1,-1,-1,-1,0,0,0,0
247,247,98,99,580997,587964,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
248,248,98,105,580997,585387,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
249,249,98,123,580997,577143,0,5,5,1,1,1,-1,-1,-1,-1,0,0,0,0
250,250,99,100,587964,598031,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
251,251,99,105,587964,585387,0,3,3,1,1,1,-1,-1,-1,-1,0,0,0,0
252,252,100,101,598031,606566,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
253,253,100,104,598031,610444,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
254,254,100,105,598031,585387,0,4,4,1,1,1,-1,-1,-1,-1,0,0,0,0
255,255,101,104,606566,610444,1,1,2,1,1,1,-1,-1,-1,-1,0,0,0,0
256,256,101,105,606566,585387,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
257,257,102,107,400735,420584,0,220,220,1,1,1,-1,-1,-1,-1,0,0,0,0
258,258,102,116,400735,401587,19,0,19,1,1,1,-1,-1,-1,-1,0,0,0,0
259,259,102,117,400735,402805,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
260,260,102,126,400735,354776,0,220,220,1,1,1,-1,-1,-1,-1,0,0,0,0
261,261,103,108,511340,435890,0,220,220,1,1,1,-1,-1,-1,-1,0,0,0,0
262,262,103,121,511340,511970,43,0,43,1,1,1,-1,-1,-1,-1,0,0,0,0
263,263,103,122,511340,561559,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
264,264,103,123,511340,577143,0,17,17,1,1,1,-1,-1,-1,-1,0,0,0,0
265,265,104,105,610444,585387,0,4,4,1,1,1,-1,-1,-1,-1,0,0,0,0
266,266,104,106,610444,651024,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
267,267,105,106,585387,651024,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
268,268,105,109,585387,598455,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
269,269,105,123,585387,577143,0,13,13,1,1,1,-1,-1,-1,-1,0,0,0,0
270,270,106,109,651024,598455,0,7,7,1,1,1,-1,-1,-1,-1,0,0,0,0
271,271,106,110,651024,652806,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
272,272,107,108,420584,435890,0,233,233,1,1,1,-1,-1,-1,-1,0,0,0,0
273,273,107,113,420584,421281,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
274,274,107,117,420584,402805,0,13,13,1,1,1,-1,-1,-1,-1,0,0,0,0
275,275,107,131,420584,420470,18,0,18,1,1,1,-1,-1,-1,-1,0,0,0,0
276,276,108,111,435890,435893,60,0,60,1,1,1,-1,-1,-1,-1,0,0,0,0
277,277,108,113,435890,421281,0,2,2,1,1,1,-1,-1,-1,-1,0,0,0,0
278,278,108,121,435890,511970,0,15,15,1,1,1,-1,-1,-1,-1,0,0,0,0
279,279,108,135,435890,436887,4,0,4,1,1,1,-1,-1,-1,-1,0,0,0,0
280,280,109,110,598455,652806,0,7,7,1,1,1,-1,-1,-1,-1,0,0,0,0
281,281,109,112,598455,610873,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
282,282,109,123,598455,577143,0,14,14,1,1,1,-1,-1,-1,-1,0,0,0,0
283,283,110,112,652806,610873,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
284,284,110,115,652806,654033,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
285,285,111,113,435893,421281,0,2,2,1,1,1,-1,-1,-1,-1,0,0,0,0
286,286,111,119,435893,435898,51,0,51,1,1,1,-1,-1,-1,-1,0,0,0,0
287,287,111,120,435893,436193,3,0,3,1,1,1,-1,-1,-1,-1,0,0,0,0
288,288,111,135,435893,436887,6,2,8,1,1,1,-1,-1,-1,-1,0,0,0,0
289,289,112,114,610873,628058,1,0,1,1,1,1,-1,-1,-1,-1,0,0,0,0
290,290,112,115,610873,654033,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
291,291,112,123,610873,577143,0,2,2,1,1,1,-1,-1,-1,-1,0,0,0,0
292,292,113,118,421281,425328,2,0,2,1,1,1,-1,-1,-1,-1,0,0,0,0
293,293,113,119,421281,435898,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
294,294,113,131,421281,420470,0,5,5,1,1,1,-1,-1,-1,-1,0,0,0,0
295,295,114,115,628058,654033,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
296,296,114,123,628058,577143,0,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0
