pair_id,atom_i,atom_j,forward_flux_scaled,reverse_flux_scaled,symmetric_flux_scaled,abs_symmetric_flux_scaled,directed_support_count,symmetric_nonzero_flag
102,6,10,0,0,0,0,0,0
103,6,11,0,0,0,0,0,0
104,6,12,0,0,0,0,0,0
105,6,13,0,0,0,0,0,0
106,6,14,0,0,0,0,0,0
107,6,15,0,0,0,0,0,0
108,6,16,0,0,0,0,0,0
109,6,17,0,0,0,0,0,0
110,6,18,-728681970,0,-728681970,728681970,1,1
111,6,19,0,0,0,0,0,0
112,7,8,0,0,0,0,0,0
113,7,9,4879688304,0,4879688304,4879688304,1,1
114,7,10,0,0,0,0,0,0
115,7,11,0,0,0,0,0,0
116,7,12,-4947681144,827163159,-4120517985,4120517985,2,1
117,7,13,0,0,0,0,0,0
118,7,14,8151413237,1484423974,9635837211,9635837211,2,1
119,7,15,0,3635640175,3635640175,3635640175,1,1
120,7,16,0,0,0,0,0,0
121,7,17,0,2136193089,2136193089,2136193089,1,1
122,7,18,0,0,0,0,0,0
123,7,19,0,0,0,0,0,0
124,8,9,1126064767,5276924695,6402989462,6402989462,2,1
125,8,10,0,0,0,0,0,0
126,8,11,0,0,0,0,0,0
127,8,12,0,0,0,0,0,0
128,8,13,0,0,0,0,0,0
129,8,14,2205854598,0,2205854598,2205854598,1,1
130,8,15,0,0,0,0,0,0
131,8,16,0,0,0,0,0,0
132,8,17,1225370314,0,1225370314,1225370314,1,1
133,8,18,0,0,0,0,0,0
134,8,19,719635016,0,719635016,719635016,1,1
135,9,10,0,1527658764,1527658764,1527658764,1,1
136,9,11,0,0,0,0,0,0
137,9,12,0,0,0,0,0,0
138,9,13,0,0,0,0,0,0
139,9,14,0,0,0,0,0,0
140,9,15,910710462,0,910710462,910710462,1,1
141,9,16,0,0,0,0,0,0
142,9,17,0,0,0,0,0,0
143,9,18,0,0,0,0,0,0
144,9,19,1345776678,0,1345776678,1345776678,1,1
145,10,11,-1798968720,-4373584662,-6172553382,6172553382,2,1
146,10,12,0,-791735858,-791735858,791735858,1,1
147,10,13,0,0,0,0,0,0
148,10,14,0,0,0,0,0,0
149,10,15,0,0,0,0,0,0
150,10,16,0,0,0,0,0,0
151,10,17,0,0,0,0,0,0
152,10,18,0,0,0,0,0,0
153,10,19,0,0,0,0,0,0
154,11,12,0,0,0,0,0,0
155,11,13,0,0,0,0,0,0
156,11,14,0,0,0,0,0,0
157,11,15,0,0,0,0,0,0
158,11,16,0,0,0,0,0,0
159,11,17,0,0,0,0,0,0
160,11,18,0,0,0,0,0,0
161,11,19,0,0,0,0,0,0
162,12,13,0,0,0,0,0,0
163,12,14,0,0,0,0,0,0
164,12,15,0,0,0,0,0,0
165,12,16,0,0,0,0,0,0
166,12,17,0,0,0,0,0,0
167,12,18,0,0,0,0,0,0
168,12,19,0,0,0,0,0,0
169,13,14,0,0,0,0,0,0
170,13,15,0,0,0,0,0,0
171,13,16,0,-723859806,-723859806,723859806,1,1
172,13,17,0,0,0,0,0,0
173,13,18,-3626111880,0,-3626111880,3626111880,1,1
174,13,19,0,0,0,0,0,0
175,14,15,0,-3443327095,-3443327095,3443327095,1,1
176,14,16,0,0,0,0,0,0
177,14,17,-1795007446,-2705830221,-4500837667,4500837667,2,1
178,14,18,0,0,0,0,0,0
179,14,19,0,-5413126740,-5413126740,5413126740,1,1
180,15,16,0,0,0,0,0,0
181,15,17,0,0,0,0,0,0
182,15,18,0,-2981091488,-2981091488,2981091488,1,1
183,15,19,0,0,0,0,0,0
184,16,17,0,0,0,0,0,0
185,16,18,0,0,0,0,0,0
186,16,19,0,0,0,0,0,0
187,17,18,0,0,0,0,0,0
188,17,19,0,0,0,0,0,0
189,18,19,0,0,0,0,0,0
