entry_id,row_atom,col_atom,directed_flux_scaled,transpose_flux_scaled,symmetric_flux_scaled,diagonal_flag,nonzero_flag
258,12,18,0,0,0,0,0
259,12,19,0,0,0,0,0
260,13,0,0,0,0,0,0
261,13,1,3678786710,676506229,4355292939,0,1
262,13,2,0,0,0,0,0
263,13,3,0,0,0,0,0
264,13,4,0,100028407,100028407,0,1
265,13,5,0,0,0,0,0
266,13,6,0,0,0,0,0
267,13,7,0,0,0,0,0
268,13,8,0,0,0,0,0
269,13,9,0,0,0,0,0
270,13,10,0,0,0,0,0
271,13,11,0,0,0,0,0
272,13,12,0,0,0,0,0
273,13,13,0,0,0,1,0
274,13,14,0,0,0,0,0
275,13,15,0,0,0,0,0
276,13,16,0,-723859806,-723859806,0,1
277,13,17,0,0,0,0,0
278,13,18,-3626111880,0,-3626111880,0,1
279,13,19,0,0,0,0,0
280,14,0,0,0,0,0,0
281,14,1,0,0,0,0,0
282,14,2,0,0,0,0,0
283,14,3,0,0,0,0,0
284,14,4,0,0,0,0,0
285,14,5,0,894432749,894432749,0,1
286,14,6,0,0,0,0,0
287,14,7,1484423974,8151413237,9635837211,0,1
288,14,8,0,2205854598,2205854598,0,1
289,14,9,0,0,0,0,0
290,14,10,0,0,0,0,0
291,14,11,0,0,0,0,0
292,14,12,0,0,0,0,0
293,14,13,0,0,0,0,0
294,14,14,0,0,0,1,0
295,14,15,0,-3443327095,-3443327095,0,1
296,14,16,0,0,0,0,0
297,14,17,-1795007446,-2705830221,-4500837667,0,1
298,14,18,0,0,0,0,0
299,14,19,0,-5413126740,-5413126740,0,1
300,15,0,0,0,0,0,0
301,15,1,0,0,0,0,0
302,15,2,0,0,0,0,0
303,15,3,0,0,0,0,0
304,15,4,0,2262694106,2262694106,0,1
305,15,5,0,0,0,0,0
306,15,6,0,0,0,0,0
307,15,7,3635640175,0,3635640175,0,1
308,15,8,0,0,0,0,0
309,15,9,0,910710462,910710462,0,1
310,15,10,0,0,0,0,0
311,15,11,0,0,0,0,0
312,15,12,0,0,0,0,0
313,15,13,0,0,0,0,0
314,15,14,-3443327095,0,-3443327095,0,1
315,15,15,0,0,0,1,0
316,15,16,0,0,0,0,0
317,15,17,0,0,0,0,0
318,15,18,0,-2981091488,-2981091488,0,1
319,15,19,0,0,0,0,0
320,16,0,0,0,0,0,0
321,16,1,0,0,0,0,0
322,16,2,0,0,0,0,0
323,16,3,0,0,0,0,0
324,16,4,723859806,0,723859806,0,1
325,16,5,0,0,0,0,0
326,16,6,0,0,0,0,0
327,16,7,0,0,0,0,0
328,16,8,0,0,0,0,0
329,16,9,0,0,0,0,0
330,16,10,0,0,0,0,0
331,16,11,0,0,0,0,0
332,16,12,0,0,0,0,0
333,16,13,-723859806,0,-723859806,0,1
334,16,14,0,0,0,0,0
335,16,15,0,0,0,0,0
336,16,16,0,0,0,1,0
337,16,17,0,0,0,0,0
338,16,18,0,0,0,0,0
339,16,19,0,0,0,0,0
340,17,0,0,0,0,0,0
341,17,1,0,0,0,0,0
342,17,2,0,0,0,0,0
343,17,3,0,0,0,0,0
344,17,4,0,0,0,0,0
345,17,5,0,0,0,0,0
346,17,6,0,0,0,0,0
347,17,7,2136193089,0,2136193089,0,1
348,17,8,0,1225370314,1225370314,0,1
349,17,9,0,0,0,0,0
350,17,10,0,0,0,0,0
351,17,11,0,0,0,0,0
352,17,12,0,0,0,0,0
353,17,13,0,0,0,0,0
354,17,14,-2705830221,-1795007446,-4500837667,0,1
355,17,15,0,0,0,0,0
356,17,16,0,0,0,0,0
357,17,17,0,0,0,1,0
358,17,18,0,0,0,0,0
359,17,19,0,0,0,0,0
360,18,0,0,0,0,0,0
361,18,1,4324809352,8487827578,12812636930,0,1
362,18,2,0,0,0,0,0
363,18,3,0,-2789315864,-2789315864,0,1
364,18,4,0,0,0,0,0
365,18,5,0,0,0,0,0
366,18,6,0,-728681970,-728681970,0,1
367,18,7,0,0,0,0,0
368,18,8,0,0,0,0,0
369,18,9,0,0,0,0,0
370,18,10,0,0,0,0,0
371,18,11,0,0,0,0,0
372,18,12,0,0,0,0,0
373,18,13,0,-3626111880,-3626111880,0,1
374,18,14,0,0,0,0,0
375,18,15,-2981091488,0,-2981091488,0,1
376,18,16,0,0,0,0,0
377,18,17,0,0,0,0,0
378,18,18,0,0,0,1,0
379,18,19,0,0,0,0,0
380,19,0,5851075296,-1627463138,4223612158,0,1
381,19,1,0,0,0,0,0
382,19,2,0,0,0,0,0
383,19,3,0,0,0,0,0
384,19,4,0,0,0,0,0
385,19,5,0,0,0,0,0
386,19,6,0,0,0,0,0
387,19,7,0,0,0,0,0
388,19,8,0,719635016,719635016,0,1
389,19,9,0,1345776678,1345776678,0,1
390,19,10,0,0,0,0,0
391,19,11,0,0,0,0,0
392,19,12,0,0,0,0,0
393,19,13,0,0,0,0,0
394,19,14,-5413126740,0,-5413126740,0,1
395,19,15,0,0,0,0,0
396,19,16,0,0,0,0,0
397,19,17,0,0,0,0,0
398,19,18,0,0,0,0,0
399,19,19,0,0,0,1,0
