shell,sample,a,b,R,C11,C10,C01,C00,B_prefix,DB_prefix,Q_prefix,identity_ok,lhs_minus_rhs
16,41,5,2,212,493706448,655262208,654649344,749571840,-7506581521441296892791,-11825528423130141183792,2977424695296,True,0
16,42,2,2,130,5814954,5932920,5797968,4355136,-94210792463300564736,29709767597359104,-37246752,True,0
16,43,2,1,231,940098048,1337423616,1334859264,1532252160,-6486617768967825457152,-1337981173292804603904,40026267648,True,0
16,44,4,2,122,8256204,8598384,8494992,6897960,-111786707919924901632,-167737248362398113792,21400269120,True,0
16,45,3,1,195,101886976,117624832,115724288,108756992,-2270207224862215488471,-1452080555104286251392,64410345472,True,0
16,46,1,1,187,49126784,60944000,56852480,45556736,-1212377103664304328279,450375349457387520,-773297280,True,0
16,47,3,3,157,23689392,25317528,24993408,21782592,-625165610445954685047,107032832492175360,-170163000,True,0
16,48,2,1,175,197434512,260889120,260344800,276566400,-676414103120416014336,-194266634014127554560,22712787072,True,0
16,49,2,2,178,119580672,146653184,147779584,150855680,-953213274038597932800,-247977667775692800,419020800,True,0
16,50,5,1,172,145164096,184818432,185372160,193950720,-1569561113660127139584,-3395882450818525151232,632959879680,True,0
16,51,5,3,212,484814592,682852896,666605088,713615616,-8704410833889734563584,-10437511840967814709248,3082423538304,True,0
16,52,2,1,184,93663744,111316992,114247168,105410560,-1166460375169179029079,-301914596743354695312,9736613376,True,0
16,53,5,1,207,389959680,528146432,528128000,572129280,-5966676864675995613879,-10633322998354248461952,1693025761280,True,0
16,54,3,3,201,197119744,245444096,246808576,240513024,-3631697850140872188183,-450586694060605440,896463360,True,0
16,55,2,1,154,42499548,48703464,48772584,45043128,-279635549678364966903,-88243765055642783664,5525782632,True,0
16,56,2,2,204,267760128,348326208,347207616,353569536,-2786973955730850643968,246258731669520384,-474283008,True,0
16,57,5,5,134,4630311,4657419,4459689,3299022,-979081742289261821952,108825959360102400,-181911600,True,0
16,58,4,3,150,7016336,6500272,6459472,4990080,-652833515308847011959,-426564362670009151728,13912381392,True,0
16,59,4,1,126,6951444,6997032,7111656,5551848,-125182604840845733751,-220445639059761672048,13444442424,True,0
16,60,2,2,133,9178176,9219264,9299072,7722496,-109607379600043908567,-17569781347516416,22505856,True,0
16,61,2,1,166,26756640,27265296,27023520,26079840,-537156472966192706967,-152732095714818278640,3031357824,True,0
16,62,1,1,194,382212864,528430464,529417728,581762304,-1430513741836936740864,-108673394974654464,193503744,True,0
16,63,4,2,201,196251904,248456704,246616064,242061312,-3955814416622055047511,-3697122294474271248960,522802587648,True,0
