join_id,carrier_id,relation_id,transition_id,contact_lift_flag,endpoint_pair_raw_row_flag,normal_form_delta_t,operation_row_id,operation_source0_addr,operation_source1_addr,operation_target_addr,operation_coeff,operation_time_component,semantic_transition_flag,operation_sentinel_flag,transition_ready_flag,operation_backed_flag,blocking_schema_gap_code
60,24,22,16,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
61,24,23,16,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
62,24,24,53,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
63,24,25,17,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
64,24,26,42,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
65,25,22,16,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
66,25,23,16,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
67,25,24,53,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
68,25,25,17,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
69,25,26,42,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
70,26,22,16,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
71,26,23,16,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
72,26,24,53,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
73,26,25,17,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
74,26,26,42,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
75,27,22,16,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
76,27,23,16,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
77,27,24,53,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
78,27,25,17,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
79,27,26,42,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
80,28,22,16,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
81,28,23,16,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
82,28,24,53,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
83,28,25,17,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
84,28,26,42,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
85,29,38,21,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
86,29,39,13,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
87,30,38,21,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
88,30,39,13,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
89,31,38,21,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
90,31,39,13,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
91,32,38,21,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
92,32,39,13,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
93,33,38,21,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
94,33,39,13,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
95,34,46,39,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
96,34,47,17,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
97,34,48,42,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
98,35,46,39,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
99,35,47,17,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
100,35,48,42,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
101,36,46,39,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
102,36,47,17,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
103,36,48,42,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
104,37,46,39,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
105,37,47,17,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
106,37,48,42,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
107,38,46,39,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
108,38,47,17,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
109,38,48,42,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
110,39,15,10,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
111,39,16,15,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
112,39,17,24,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
113,39,18,39,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
114,39,19,17,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
115,39,20,42,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
116,40,15,10,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
117,40,16,15,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
118,40,17,24,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
119,40,18,39,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
120,40,19,17,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
121,40,20,42,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
122,41,15,10,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
123,41,16,15,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
124,41,17,24,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
125,41,18,39,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
126,41,19,17,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
127,41,20,42,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
128,42,15,10,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
129,42,16,15,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
130,42,17,24,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
131,42,18,39,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
132,42,19,17,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
133,42,20,42,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
134,43,15,10,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
135,43,16,15,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
136,43,17,24,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
137,43,18,39,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
138,43,19,17,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
139,43,20,42,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
140,44,9,12,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
141,45,9,12,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
142,46,9,12,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
143,47,9,12,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
144,48,53,16,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
145,48,54,16,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
146,48,55,44,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
147,48,56,53,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
148,48,57,17,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
149,48,58,42,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
150,49,53,16,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
151,49,54,16,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
152,49,55,44,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
153,49,56,53,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
154,49,57,17,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
155,49,58,42,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
156,50,53,16,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
157,50,54,16,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
158,50,55,44,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
159,50,56,53,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
160,50,57,17,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
161,50,58,42,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
162,51,53,16,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
163,51,54,16,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
164,51,55,44,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
165,51,56,53,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
166,51,57,17,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
167,51,58,42,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
168,52,53,16,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
169,52,54,16,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
170,52,55,44,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
171,52,56,53,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
172,52,57,17,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
173,52,58,42,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
174,53,14,49,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
175,54,14,49,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
176,55,14,49,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
177,56,33,0,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
178,56,34,3,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
179,56,35,38,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
180,56,36,40,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
181,56,37,26,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
182,57,33,0,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
183,57,34,3,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
184,57,35,38,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
185,57,36,40,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
186,57,37,26,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
187,58,33,0,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
188,58,34,3,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
189,58,35,38,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
190,58,36,40,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
191,58,37,26,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
192,59,33,0,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
193,59,34,3,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
194,59,35,38,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
195,59,36,40,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
196,59,37,26,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
197,60,33,0,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
198,60,34,3,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
199,60,35,38,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
200,60,36,40,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
201,60,37,26,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
202,61,21,49,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
203,62,21,49,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
204,63,21,49,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
205,64,21,49,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
206,65,21,49,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
207,66,32,13,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
208,67,32,13,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
209,68,32,13,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
210,69,32,13,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
211,70,29,4,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
212,70,30,44,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
213,70,31,40,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
214,71,29,4,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
215,71,30,44,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
216,71,31,40,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
217,72,29,4,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
218,72,30,44,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
219,72,31,40,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
220,73,29,4,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
221,73,30,44,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
222,73,31,40,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
223,74,27,19,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
224,74,28,49,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
225,75,27,19,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
226,75,28,49,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
227,76,27,19,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
228,76,28,49,1,1,1,-1,-1,-1,-1,0,0,0,1,1,0,3
