transfer_edge_id,source_state_id,target_state_id,edge_weight,native_transition_flag,derived_transition_flag,derived_only_transition_flag,spectral_cut_edge_flag,boundary_path_edge_flag,undirected_stationary_flux_x1e12,source_to_target_probability_x1e12,target_to_source_probability_x1e12,source_stationary_mass_x1e12,target_stationary_mass_x1e12
1612,512,663,3,1,0,0,0,0,513962652,81081081081,125000000000,3169436355,2055850608
1613,512,667,3,1,0,0,0,0,513962652,81081081081,200000000000,3169436355,1284906630
1614,512,686,3,1,0,0,0,0,513962652,81081081081,142857142858,3169436355,1798869282
1615,512,803,1,0,1,0,0,0,171320884,27027027027,250000000000,3169436355,342641768
1616,513,514,3,1,0,0,0,0,513962652,333333333333,333333333333,770943978,770943978
1617,513,632,3,1,0,0,0,0,513962652,333333333333,88235294118,770943978,2912455029
1618,514,635,3,1,0,0,0,0,513962652,333333333333,88235294118,770943978,2912455029
1619,515,529,3,1,0,0,0,0,513962652,200000000000,88235294118,1284906630,2912455029
1620,515,644,3,1,0,0,0,0,513962652,200000000000,88235294118,1284906630,2912455029
1621,515,666,3,1,0,0,0,0,513962652,200000000000,76923076923,1284906630,3340757239
1622,515,687,3,1,0,0,0,0,513962652,200000000000,200000000000,1284906630,1284906630
1623,529,530,3,1,0,0,0,0,513962652,88235294118,166666666667,2912455029,1541887956
1624,529,648,3,1,0,0,0,0,513962652,88235294117,125000000000,2912455029,2055850608
1625,529,668,3,1,0,0,0,0,513962652,88235294117,166666666667,2912455029,1541887956
1626,529,669,3,1,0,0,0,0,513962652,88235294117,100000000000,2912455029,2569813261
1627,529,688,3,1,0,0,0,0,513962652,88235294117,90909090910,2912455029,2826794587
1628,529,804,1,0,1,0,0,0,171320884,29411764706,200000000000,2912455029,428302210
1629,530,670,3,1,0,0,0,0,513962652,166666666666,83333333334,1541887956,3083775913
1630,530,689,3,1,0,0,0,0,513962652,166666666666,200000000000,1541887956,1284906630
1631,531,532,3,1,0,0,0,0,513962652,111111111112,111111111112,2312831935,2312831935
1632,531,533,3,1,0,0,0,0,513962652,111111111111,142857142858,2312831935,1798869282
1633,531,535,3,1,0,0,0,0,513962652,111111111111,250000000000,2312831935,1027925304
1634,531,537,3,1,0,0,0,0,513962652,111111111111,200000000000,2312831935,1284906630
1635,531,538,3,1,0,0,0,0,513962652,111111111111,68181818182,2312831935,3769059449
1636,531,544,3,1,0,0,0,0,513962652,111111111111,125000000000,2312831935,2055850608
1637,531,550,3,1,0,0,0,0,513962652,111111111111,50847457628,2312831935,5053966079
1638,531,575,3,1,0,0,0,0,513962652,111111111111,200000000000,2312831935,1284906630
1639,531,586,3,1,0,0,0,0,513962652,111111111111,142857142858,2312831935,1798869282
1640,532,534,3,1,0,0,0,0,513962652,111111111111,125000000000,2312831935,2055850608
1641,532,538,3,1,0,0,0,0,513962652,111111111111,68181818182,2312831935,3769059449
1642,532,541,3,1,0,0,0,0,513962652,111111111111,83333333334,2312831935,3083775913
1643,532,543,3,1,0,0,0,0,513962652,111111111111,111111111112,2312831935,2312831935
1644,532,545,3,1,0,0,0,0,513962652,111111111111,142857142858,2312831935,1798869282
1645,532,553,3,1,0,0,0,0,513962652,111111111111,125000000000,2312831935,2055850608
1646,532,576,3,1,0,0,0,0,513962652,111111111111,142857142858,2312831935,1798869282
1647,532,587,3,1,0,0,0,0,513962652,111111111111,142857142858,2312831935,1798869282
