entry_id,row_restricted_index,col_restricted_index,row_atom,col_atom,restricted_value,diagonal_flag,nonzero_flag
257,14,5,16,7,0,0,0
258,14,6,16,8,0,0,0
259,14,7,16,9,0,0,0
260,14,8,16,10,0,0,0
261,14,9,16,11,0,0,0
262,14,10,16,12,0,0,0
263,14,11,16,13,-723859806,0,1
264,14,12,16,14,0,0,0
265,14,13,16,15,0,0,0
266,14,14,16,16,0,1,0
267,14,15,16,17,0,0,0
268,14,16,16,18,0,0,0
269,14,17,16,19,0,0,0
270,15,0,17,1,0,0,0
271,15,1,17,2,0,0,0
272,15,2,17,3,0,0,0
273,15,3,17,4,0,0,0
274,15,4,17,5,0,0,0
275,15,5,17,7,2136193089,0,1
276,15,6,17,8,1225370314,0,1
277,15,7,17,9,0,0,0
278,15,8,17,10,0,0,0
279,15,9,17,11,0,0,0
280,15,10,17,12,0,0,0
281,15,11,17,13,0,0,0
282,15,12,17,14,-4500837667,0,1
283,15,13,17,15,0,0,0
284,15,14,17,16,0,0,0
285,15,15,17,17,0,1,0
286,15,16,17,18,0,0,0
287,15,17,17,19,0,0,0
288,16,0,18,1,12812636930,0,1
289,16,1,18,2,0,0,0
290,16,2,18,3,-2789315864,0,1
291,16,3,18,4,0,0,0
292,16,4,18,5,0,0,0
293,16,5,18,7,0,0,0
294,16,6,18,8,0,0,0
295,16,7,18,9,0,0,0
296,16,8,18,10,0,0,0
297,16,9,18,11,0,0,0
298,16,10,18,12,0,0,0
299,16,11,18,13,-3626111880,0,1
300,16,12,18,14,0,0,0
301,16,13,18,15,-2981091488,0,1
302,16,14,18,16,0,0,0
303,16,15,18,17,0,0,0
304,16,16,18,18,0,1,0
305,16,17,18,19,0,0,0
306,17,0,19,1,0,0,0
307,17,1,19,2,0,0,0
308,17,2,19,3,0,0,0
309,17,3,19,4,0,0,0
310,17,4,19,5,0,0,0
311,17,5,19,7,0,0,0
312,17,6,19,8,719635016,0,1
313,17,7,19,9,1345776678,0,1
314,17,8,19,10,0,0,0
315,17,9,19,11,0,0,0
316,17,10,19,12,0,0,0
317,17,11,19,13,0,0,0
318,17,12,19,14,-5413126740,0,1
319,17,13,19,15,0,0,0
320,17,14,19,16,0,0,0
321,17,15,19,17,0,0,0
322,17,16,19,18,0,0,0
323,17,17,19,19,0,1,0
