shell,start_index,success,iterations,F,dF_pair,minus_dF,theta0_minus_theta1,theta_std,theta_min,theta_max,valid_contact,positive_outward_derivative,message
16,5,True,131,-2.673417043297377e-13,0.0,-0.0,-3.970466940254533e-23,1.4244728162386938e-07,-1.6158316332224678e-07,4.6464987408015413e-07,True,False,Optimization terminated successfully
16,6,True,155,-4.050093593832571e-13,1.1102230246251565e-16,-1.1102230246251565e-16,1.1911400820763599e-22,1.755155522082637e-07,-3.504194266254263e-07,3.9723381769528545e-07,True,False,Optimization terminated successfully
16,7,True,29,-9.094947017729282e-13,1.1102230246251565e-16,-1.1102230246251565e-16,3.449663438679306e-17,2.6257234287879703e-07,-7.59557759350528e-07,5.567842640196727e-07,True,False,Optimization terminated successfully
16,8,True,28,-7.664979762012081e-13,-7.771561172376096e-16,7.771561172376096e-16,-2.712405961389163e-17,2.406406459611035e-07,-2.815528731297449e-07,4.864234676714177e-07,True,False,Optimization terminated successfully
16,9,True,28,-9.245937349078304e-13,-5.551115123125783e-16,5.551115123125783e-16,-1.5716701630259463e-16,2.645445593644671e-07,-6.371069777514967e-07,8.026064210278682e-07,True,False,Optimization terminated successfully
16,10,True,27,-9.272582701669307e-13,-4.440892098500626e-16,4.440892098500626e-16,5.4657852887171805e-16,2.650399495790174e-07,-3.663380292045506e-07,4.433010381116996e-07,True,False,Optimization terminated successfully
16,11,True,30,-3.934630399271555e-13,-1.1102230246251565e-16,1.1102230246251565e-16,2.5120138479365565e-17,1.7246829085072487e-07,-2.0862841514363768e-07,4.0836278265585826e-07,True,False,Optimization terminated successfully
16,12,True,28,-8.837375276016246e-13,2.220446049250313e-16,-2.220446049250313e-16,-3.545548627099677e-16,2.5874870782152887e-07,-4.001620870699825e-07,7.138512904512771e-07,True,False,Optimization terminated successfully
16,13,True,31,-5.231370892033738e-13,4.440892098500626e-16,-4.440892098500626e-16,-3.8400521890415444e-16,1.986205621131404e-07,-3.8181163347572605e-07,5.350910460782484e-07,True,False,Optimization terminated successfully
16,14,True,31,-6.137312880127865e-13,4.440892098500626e-16,-4.440892098500626e-16,3.0122926824086276e-17,2.154838938170717e-07,-4.248535717593993e-07,3.034293149565011e-07,True,False,Optimization terminated successfully
16,15,True,31,-2.9043434324194095e-13,2.220446049250313e-16,-2.220446049250313e-16,-4.5486092784029555e-17,1.4852987088554364e-07,-2.7784060435022443e-07,3.6251125478418604e-07,True,False,Optimization terminated successfully
16,16,True,31,-7.460698725481052e-13,9.992007221626409e-16,-9.992007221626409e-16,-9.25972368062122e-16,2.3785830994390363e-07,-3.715760356744622e-07,5.258273780515076e-07,True,False,Optimization terminated successfully
16,17,True,30,-9.103828801926284e-13,-2.220446049250313e-16,2.220446049250313e-16,1.0694436821707823e-16,2.62316505738032e-07,-9.311589216656239e-07,3.8101012364731477e-07,True,False,Optimization terminated successfully
16,18,True,40,-9.983125437429408e-13,0.0,-0.0,3.877859769340036e-17,2.746872928667644e-07,-7.459962012457735e-07,5.76091902518858e-07,True,False,Optimization terminated successfully
16,19,False,220,-3.388314749685918,-5.582211647243534e-14,5.582211647243534e-14,6.854248153768646,9.992242884563135,-25.25168654622211,6.409235297091798,False,False,Iteration limit reached
16,20,False,220,-3.388499554389881,-0.00015806179770883055,0.00015806179770883055,48.93395011751021,23.594261445902195,-93.88331936516953,10.806778005543284,False,False,Iteration limit reached
16,21,True,80,-4.75175454539567e-13,-1.7763568394002505e-15,1.7763568394002505e-15,8.817864509997932e-16,1.9028252983525167e-07,-3.32987825623479e-07,3.606016856756428e-07,True,False,Optimization terminated successfully
16,22,True,48,-9.068301665138279e-13,-7.771561172376096e-16,7.771561172376096e-16,9.248700870301686e-16,2.6209035295506347e-07,-6.201740483081277e-07,6.485410894020397e-07,True,False,Optimization terminated successfully
16,23,True,50,-5.702105454474804e-13,-2.9976021664879227e-15,2.9976021664879227e-15,2.3686041025352498e-15,2.0720979769867205e-07,-4.2160074086391574e-07,5.04622942463002e-07,True,False,Optimization terminated successfully
16,24,True,159,-6.217248937900877e-15,0.0,-0.0,0.0,2.367769228398191e-08,-3.833167059228989e-08,6.477654518339283e-08,True,False,Optimization terminated successfully
16,25,False,220,-3.3960243856417947,-1.337186839004562e-51,1.337186839004562e-51,361584.02674520994,71964.57268386199,-343367.70740006334,18274.938453717576,False,False,Iteration limit reached
16,26,False,220,-5.739047976853726,-0.3987061497920038,0.3987061497920038,0.2441934504784058,1180.6620906274004,-5648.00019695591,279.1624885898015,False,False,Iteration limit reached
16,27,False,220,-3.3883111225017046,0.0014620153608074782,-0.0014620153608074782,30.15012117464716,58.34032614121274,-276.3560871637445,17.28537276720539,False,False,Iteration limit reached
16,28,False,220,-3.813751704715827,0.03641234588907071,-0.03641234588907071,17.542257871511474,68.07721929069977,-326.01623627526243,15.715579024903429,False,False,Iteration limit reached
16,29,False,220,-3.388290270672769,-4.7471044692036535e-09,4.7471044692036535e-09,6.676840735836606,945.231792291027,-4055.334477883192,275.4796143993926,False,False,Iteration limit reached
16,30,False,220,-3.3924358925523848,-0.055204925355965884,0.055204925355965884,196.27856182171672,156.8734995732211,-408.0738639616968,87.61487996541187,False,False,Iteration limit reached
16,31,False,220,-3.3882812022711732,-0.00013820628478034003,0.00013820628478034003,10267.265075569696,7048.651064621042,-26165.604694869533,3167.9082058084978,False,False,Iteration limit reached
16,32,False,220,-3.39383761130739,0.0006199289234378735,-0.0006199289234378735,2332.3985471917113,118620.11523686443,-316475.2184192423,45197.95741097171,False,False,Iteration limit reached
16,33,False,220,-3.3894293224973353,0.0006599921586602044,-0.0006599921586602044,12.698938381470825,321.84490319879455,-1343.7525987218282,112.82695368941432,False,False,Iteration limit reached
16,34,False,220,-3.4534411670756526,0.00316040971904219,-0.00316040971904219,104988.9311472158,70076.77347839496,-311878.8924708787,23244.817234418268,False,False,Iteration limit reached
16,35,False,220,-3.4048440510232467,-0.010489807486360636,0.010489807486360636,35924.22523560007,33420.719729338125,-119366.32454409082,15273.642771521181,False,False,Iteration limit reached
16,36,False,220,-3.38828258391095,-0.000512963059667193,0.000512963059667193,0.00025657715747229304,1052.5112252806975,-4643.940147963866,327.42319566400096,False,False,Iteration limit reached
