rank,p32_id,source_mask,p25_a,p25_b,p25_c,p25_d,p25_e,p25_f,p24_a,p24_b,p24_c,p24_d,p24_e,p24_f,lift_a,lift_b,lift_c,lift_d,lift_e,lift_f,face_a,face_b,face_c,face_d,face_e,face_f,mask_a,mask_b,mask_c,mask_d,mask_e,mask_f,same_lift_flag,same_face_flag,same_mask_flag,joint_p0_support,joint_p1_support,joint_p2_support,joint_p3_support,joint_p4_support,joint_support_min,joint_support_max,joint_support_spread,below_p31_floor_flag,below_p30_floor_flag,below_p29_floor_flag,below_p28_floor_flag,below_p27_floor_flag,below_p25_floor_flag,support_equal_flag,joint_mult_value
10,2332,2,4,19,32,56,125,138,2,9,16,28,62,69,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,796182720,793192928,801805824,801750656,800677632,793192928,801805824,8612896,0,0,0,0,1,1,0,5313134592
11,5149,2,11,14,42,78,100,133,5,7,21,39,50,66,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,793192928,796182720,801750656,801805824,800677632,793192928,801805824,8612896,0,0,0,0,1,1,0,5309595648
12,603,2,0,6,18,34,110,142,0,3,9,17,55,71,0,0,0,0,2,2,12,12,12,12,26,26,30,30,30,30,51,51,0,0,0,210212928,210560384,201890432,209798016,210229120,201890432,210560384,8669952,0,0,0,0,1,1,0,3170893824
13,1660,2,2,10,22,46,96,128,1,5,11,23,48,64,0,0,0,0,2,2,12,12,12,12,26,26,30,30,30,30,51,51,0,0,0,210560384,210212928,209798016,201890432,210229120,201890432,210560384,8669952,0,0,0,0,1,1,0,3006922752
14,821,2,1,6,44,86,120,133,0,3,22,43,60,66,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,725735808,727041664,726472448,733725120,734639200,725735808,734639200,8903392,0,0,0,0,1,1,0,5342625792
15,5434,2,12,22,47,64,125,136,6,11,23,32,62,68,0,0,0,1,2,2,12,12,12,22,26,26,30,30,30,45,51,51,0,0,0,727041664,725735808,733725120,726472448,734639200,725735808,734639200,8903392,0,0,0,0,1,1,0,4853071872
16,5957,2,14,26,60,66,92,110,7,13,30,33,46,55,0,0,1,1,1,2,12,12,22,22,22,26,30,30,45,45,45,51,0,0,0,250178304,250143040,258713856,249792384,253541376,249792384,258713856,8921472,0,0,0,0,1,1,0,3392667648
17,6906,2,20,32,58,60,92,128,10,16,29,30,46,64,0,0,1,1,1,2,12,12,22,22,22,26,30,30,45,45,45,51,0,0,0,250143040,250178304,249792384,258713856,253541376,249792384,258713856,8921472,0,0,0,0,1,1,0,3326607360
18,3907,2,8,14,19,48,78,133,4,7,9,24,39,66,0,0,0,1,1,2,12,12,12,22,22,26,30,30,30,45,45,51,0,0,0,799354176,803121536,808108928,808429824,807677568,799354176,808429824,9075648,0,0,0,0,1,1,0,5784993792
19,5196,2,11,30,32,56,94,125,5,15,16,28,47,62,0,0,0,1,1,2,12,12,12,22,22,26,30,30,30,45,45,51,0,0,0,803121536,799354176,808429824,808108928,807677568,799354176,808429824,9075648,0,0,0,0,1,1,0,4742184960
20,4351,2,9,18,27,32,77,108,4,9,13,16,38,54,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,648070176,640206976,647692928,649239168,649474944,640206976,649474944,9267968,0,0,0,0,1,1,0,4510973952
21,4616,2,10,14,21,31,85,140,5,7,10,15,42,70,0,0,0,0,1,2,12,12,12,12,22,26,30,30,30,30,45,51,0,0,0,640206976,648070176,649239168,647692928,649474944,640206976,649474944,9267968,0,0,0,0,1,1,0,5157421056
22,1688,2,2,18,22,96,106,110,1,9,11,48,53,55,0,0,0,2,2,2,12,12,12,26,26,26,30,30,30,51,51,51,0,0,0,210499936,209596608,212648576,203387904,212834176,203387904,212834176,9446272,0,0,0,0,1,1,0,3227516928
23,2943,2,6,10,34,114,128,142,3,5,17,57,64,71,0,0,0,2,2,2,12,12,12,26,26,26,30,30,30,51,51,51,0,0,0,209596608,210499936,203387904,212648576,212834176,203387904,212834176,9446272,0,0,0,0,1,1,0,3170893824
24,5421,2,12,14,26,60,66,92,6,7,13,30,33,46,0,0,0,1,1,1,12,12,12,22,22,22,30,30,30,45,45,45,0,0,0,239914752,240208384,242290944,237974016,247430144,237974016,247430144,9456128,0,0,0,0,1,1,0,3241672704
25,6825,2,20,32,44,58,60,92,10,16,22,29,30,46,0,0,0,1,1,1,12,12,12,22,22,22,30,30,30,45,45,45,0,0,0,240208384,239914752,237974016,242290944,247430144,237974016,247430144,9456128,0,0,0,0,1,1,0,3351379968
26,2179,2,4,14,16,25,43,142,2,7,8,12,21,71,0,0,0,0,0,2,12,12,12,12,12,26,30,30,30,30,30,51,0,0,0,322252224,328367808,331569024,331738048,329658560,322252224,331738048,9485824,0,0,0,0,1,1,0,3777232896
27,2644,2,5,32,38,41,42,96,2,16,19,20,21,48,0,0,0,0,0,2,12,12,12,12,12,26,30,30,30,30,30,51,0,0,0,328367808,322252224,331738048,331569024,329658560,322252224,331738048,9485824,0,0,0,0,1,1,0,3449290752
28,2214,2,4,16,25,43,44,142,2,8,12,21,22,71,0,0,0,0,0,2,12,12,12,12,12,26,30,30,30,30,30,51,0,0,0,330566080,329057984,328063232,334943424,337561024,328063232,337561024,9497792,0,0,0,0,1,1,0,3802005504
29,2602,2,5,12,38,41,42,96,2,6,19,20,21,48,0,0,0,0,0,2,12,12,12,12,12,26,30,30,30,30,30,51,0,0,0,329057984,330566080,334943424,328063232,337561024,328063232,337561024,9497792,0,0,0,0,1,1,0,3562536960
30,613,2,0,6,18,44,110,142,0,3,9,22,55,71,0,0,0,0,2,2,12,12,12,12,26,26,30,30,30,30,51,51,0,0,0,210334272,207357184,209469952,212532352,216895360,207357184,216895360,9538176,0,0,0,0,1,1,0,3308912640
31,4606,2,10,12,22,46,96,128,5,6,11,23,48,64,0,0,0,0,2,2,12,12,12,12,26,26,30,30,30,30,51,51,0,0,0,207357184,210334272,212532352,209469952,216895360,207357184,216895360,9538176,0,0,0,0,1,1,0,2950299648
