orbit_id,size,representative,member_a,member_b,fixed,nonzero
163,2,362,362,1384,False,True
164,2,364,364,1898,False,True
165,2,367,367,1912,False,True
166,1,371,371,371,True,True
167,2,373,373,881,False,True
168,2,374,374,867,False,True
169,2,376,376,1387,False,True
170,2,379,379,1401,False,True
171,2,381,381,1915,False,True
172,2,382,382,1897,False,True
173,1,384,384,384,True,True
174,2,387,387,402,False,True
175,2,389,389,912,False,True
176,2,390,390,898,False,True
177,2,392,392,1418,False,True
178,2,395,395,1432,False,True
179,2,397,397,1946,False,True
180,2,398,398,1928,False,True
181,1,401,401,401,True,True
182,2,404,404,897,False,True
183,2,407,407,915,False,True
184,2,409,409,1435,False,True
185,2,410,410,1417,False,True
186,2,412,412,1931,False,True
187,2,415,415,1945,False,True
188,2,417,417,464,False,True
189,2,418,418,450,False,True
190,2,420,420,960,False,True
191,2,423,423,978,False,True
192,2,425,425,1498,False,True
193,2,426,426,1480,False,True
194,2,428,428,1994,False,True
195,2,431,431,2008,False,True
196,2,432,432,449,False,True
197,2,435,435,467,False,True
198,2,437,437,977,False,True
199,2,438,438,963,False,True
200,2,440,440,1483,False,True
201,2,443,443,1497,False,True
202,2,445,445,2011,False,True
203,2,446,446,1993,False,True
204,2,452,452,928,False,True
205,2,455,455,946,False,True
206,2,457,457,1466,False,True
207,2,458,458,1448,False,True
208,2,460,460,1962,False,True
209,2,463,463,1976,False,True
210,2,469,469,945,False,True
211,2,470,470,931,False,True
212,2,472,472,1451,False,True
213,2,475,475,1465,False,True
214,2,477,477,1979,False,True
215,2,478,478,1961,False,True
216,1,480,480,480,True,True
217,2,483,483,498,False,True
218,2,485,485,1008,False,True
219,2,486,486,994,False,True
220,2,488,488,1514,False,True
221,2,491,491,1528,False,True
222,2,493,493,2042,False,True
223,2,494,494,2024,False,True
224,1,497,497,497,True,True
225,2,500,500,993,False,True
226,2,503,503,1011,False,True
227,2,505,505,1531,False,True
228,2,506,506,1513,False,True
229,2,508,508,2027,False,True
230,2,511,511,2041,False,True
231,1,516,516,516,True,True
232,2,519,519,534,False,True
233,2,521,521,1054,False,True
234,2,522,522,1036,False,True
235,2,524,524,1550,False,True
236,2,527,527,1564,False,True
237,1,533,533,533,True,True
238,2,536,536,1039,False,True
239,2,539,539,1053,False,True
240,2,541,541,1567,False,True
241,2,542,542,1549,False,True
242,2,549,549,596,False,True
243,2,550,550,582,False,True
244,2,552,552,1102,False,True
245,2,555,555,1116,False,True
246,2,557,557,1630,False,True
247,2,558,558,1612,False,True
248,2,564,564,581,False,True
249,2,567,567,599,False,True
250,2,569,569,1119,False,True
251,2,570,570,1101,False,True
252,2,572,572,1615,False,True
253,2,575,575,1629,False,True
254,2,584,584,1070,False,True
255,2,587,587,1084,False,True
256,2,589,589,1598,False,True
257,2,590,590,1580,False,True
258,2,601,601,1087,False,True
259,2,602,602,1069,False,True
260,2,604,604,1583,False,True
261,2,607,607,1597,False,True
262,1,612,612,612,True,True
263,2,615,615,630,False,True
264,2,617,617,1150,False,True
265,2,618,618,1132,False,True
266,2,620,620,1646,False,True
267,2,623,623,1660,False,True
268,1,629,629,629,True,True
