index,label,F,K,scale,gap_to_candidate,codeword_abs_corr
67,random_normal,1.000000117783463,1.0000000588917297,0.00016988155113768273,0.44485474148296844,0.6869747192078216
68,random_sign,1.0000000091690138,1.0000000045845068,0.0006058928155414428,0.44485485009741765,0.6666666666666667
69,random_sparse_7,1.0000022092130008,1.0000011046058903,4.3456725246781615e-05,0.44485265005343066,0.3847272870806619
70,random_three_level,1.000000029475493,1.0000000147377464,0.0003612753261584233,0.4448548297909385,0.6378743210247103
71,sorted_normal,1.0000000771121422,1.0000000385560703,0.00020157918214270157,0.4448547821542892,0.7847247742546553
72,random_normal,1.0000000020499398,1.0000000010249699,0.0006194397553416632,0.44485485721649165,0.6630068950747503
73,random_sign,1.0220063181370902,1.010943281365028,3.615548565724011,0.4228485411293412,0.8333333333333335
74,random_sparse_3,1.000000099499397,1.0000000497496973,0.000192703973228105,0.4448547597670345,0.2794548709463257
75,random_three_level,1.0000005764294133,1.000000288214665,7.293380644066296e-05,0.4448542828370181,0.7192075518618619
76,sorted_normal,1.000000018069147,1.0000000090345735,0.0004318781831257488,0.44485484119728436,0.7979635767414819
77,random_normal,1.0000011079915492,1.0000005539956212,6.554117254325875e-05,0.44485375127488225,0.6141949992908474
78,random_sign,1.0000000199032566,1.0000000099516282,0.00046815106263766994,0.4448548393631748,0.7500000000000001
79,random_sparse_3,1.0000000178584076,1.0000000089292038,0.0003732593211265876,0.4448548414080238,0.29842208729374187
80,random_three_level,1.0000000073529522,1.000000003676476,0.0006299018103491213,0.4448548519134792,0.7073532498956345
81,sorted_normal,1.0000000370583983,1.000000018529199,0.0003263997962081001,0.4448548222080331,0.8008930663742988
82,random_normal,1.0000000051205167,1.0000000025602582,0.0005426849280298469,0.44485485414591475,0.5984686228510032
83,random_sign,1.0000000199032566,1.0000000099516282,0.00046815106263766994,0.4448548393631748,0.7500000000000001
84,random_sparse_17,1.0000000242906888,1.0000000121453443,0.00038107121971778533,0.44485483497574263,0.6058136679495144
85,random_three_level,1.0000000089908745,1.0000000044954371,0.0005597739145736293,0.44485485027555693,0.7179114470101172
86,sorted_normal,1.00000008786372,1.000000043931859,0.00021420930713419883,0.44485477140271135,0.7702496768126184
87,random_normal,1.0000009130702143,1.000000456535003,7.290105272486992e-05,0.4448539461962171,0.6839540307665495
88,random_sign,1.0220063181370902,1.010943281365028,3.615548565724011,0.4228485411293412,0.8333333333333335
89,random_sparse_2,1.000000081378795,1.0000000406893967,0.00022049722185636344,0.4448547778876364,0.24226323650266582
90,random_three_level,1.1330624840569612,1.064454077946513,3.7143452972325774,0.31179237520947023,0.8837708971742184
91,sorted_normal,0.9756527278071638,0.9877513491801283,3.633009173401438,0.4692021314592676,0.8125748627438364
92,random_normal,1.0000001364544415,1.0000000682272185,0.00018491683444775474,0.4448547228119899,0.7215427033770515
93,random_sign,1.0000000091690138,1.0000000045845068,0.0006058928155414428,0.44485485009741765,0.6666666666666667
94,random_sparse_11,1.0000000960545365,1.000000048027267,0.00020169488650084177,0.4448547632118949,0.6065987759636662
95,random_three_level,1.2651176454298898,1.1247744864771292,3.5580433683898867,0.17973721383654162,0.9348984039448094
96,sorted_normal,1.0000000066094237,1.0000000033047118,0.0005592986062920753,0.44485485265700775,0.7827371201363029
97,random_normal,1.0000000465308212,1.0000000232654103,0.00028622132377784196,0.4448548127356102,0.6371698667305791
98,random_sign,1.0000000091690138,1.0000000045845068,0.0006058928155414428,0.44485485009741765,0.6666666666666667
99,random_sparse_20,1.0000000138720628,1.0000000069360313,0.0004842713539736953,0.4448548453943686,0.6344239724292687
100,random_three_level,1.0000000986630844,1.000000049331541,0.00019253034668623807,0.44485476060334705,0.6874524891657696
101,sorted_normal,1.0121087610483337,1.0060361628929317,3.751342770228637,0.43274609821809773,0.8313707655238156
102,random_normal,1.0000000459791871,1.0000000229895933,0.00030873601785244114,0.4448548132872443,0.61369647380858
103,random_sign,1.0000000153078241,1.000000007653912,0.0004656071414592021,0.4448548439586073,0.7500000000000001
104,random_sparse_9,1.0000001055979042,1.0000000527989508,0.00018843854502949156,0.4448547536685272,0.5091800467972323
105,random_three_level,1.2379281081909297,1.1126221767477626,3.5911674567125234,0.20692675107550174,0.9246659704079775
106,sorted_normal,1.02945702493128,1.0146216166292141,3.7246482559747065,0.41539783433515143,0.838298014757141
