path_id,fiber_row_id,sample_count,sum_value,step_count,transition_count,zeta_left_transition_count,zeta_right_transition_count,zeta_both_transition_count,exact_left_transition_count,exact_right_transition_count,zeta_path_flag,exact_path_flag,long_tens_gap_flag,gap_zeta_witness_flag
36,36,6,1,6,5,5,5,5,0,0,1,0,0,0
37,37,6,2,6,5,5,5,5,0,0,1,0,0,0
38,38,6,3,6,5,5,5,5,0,0,1,0,0,0
39,39,6,4,6,5,5,5,5,0,0,1,0,0,0
40,40,6,5,6,5,5,5,5,0,0,1,0,0,0
41,41,6,6,6,5,5,5,5,0,0,1,0,0,0
42,42,6,7,6,5,5,5,5,0,0,1,0,0,0
43,43,6,8,6,5,5,5,5,0,0,1,0,0,0
44,44,6,9,6,5,5,5,5,0,0,1,0,0,0
45,45,6,10,6,5,5,5,5,0,0,1,0,0,0
46,46,6,11,6,5,5,5,5,0,0,1,0,0,0
47,47,6,12,6,5,5,5,5,0,0,1,0,0,0
48,48,7,0,7,6,6,6,6,0,0,1,0,0,0
49,49,7,1,7,6,6,6,6,0,0,1,0,0,0
50,50,7,2,7,6,6,6,6,0,0,1,0,0,0
51,51,7,3,7,6,6,6,6,0,0,1,0,0,0
52,52,7,4,7,6,6,6,6,0,0,1,0,0,0
53,53,7,5,7,6,6,6,6,0,0,1,0,0,0
54,54,7,6,7,6,6,6,6,0,0,1,0,0,0
55,55,7,7,7,6,6,6,6,0,0,1,0,0,0
56,56,7,8,7,6,6,6,6,0,0,1,0,0,0
57,57,7,9,7,6,6,6,6,0,0,1,0,0,0
58,58,7,10,7,6,6,6,6,0,0,1,0,0,0
59,59,7,11,7,6,6,6,6,0,0,1,0,0,0
60,60,7,12,7,6,6,6,6,0,0,1,0,0,0
61,61,7,13,7,6,6,6,6,0,0,1,0,0,0
62,62,7,14,7,6,6,6,6,0,0,1,0,0,0
63,63,8,0,8,7,7,7,7,0,0,1,0,0,0
64,64,8,1,8,7,7,7,7,0,0,1,0,0,0
65,65,8,2,8,7,7,7,7,0,0,1,0,0,0
66,66,8,3,8,7,7,7,7,0,0,1,0,0,0
67,67,8,4,8,7,7,7,7,0,0,1,0,0,0
68,68,8,5,8,7,7,7,7,0,0,1,0,0,0
69,69,8,6,8,7,7,7,7,0,0,1,0,0,0
70,70,8,7,8,7,7,7,7,0,0,1,0,0,0
71,71,8,8,8,7,7,7,7,0,0,1,0,0,0
72,72,8,9,8,7,7,7,7,0,0,1,0,0,0
73,73,8,10,8,7,7,7,7,0,0,1,0,0,0
74,74,8,11,8,7,7,7,7,0,0,1,0,0,0
75,75,8,12,8,7,7,7,7,0,0,1,0,0,0
76,76,8,13,8,7,7,7,7,0,0,1,0,0,0
77,77,8,14,8,7,7,7,7,0,0,1,0,0,0
78,78,8,15,8,7,7,7,7,0,0,1,0,0,0
79,79,8,16,8,7,7,7,7,0,0,1,0,0,0
80,80,9,0,9,8,8,8,8,0,0,1,0,1,1
81,81,9,1,9,8,8,8,8,0,0,1,0,1,1
82,82,9,2,9,8,8,8,8,0,0,1,0,1,1
83,83,9,3,9,8,8,8,8,0,0,1,0,1,1
84,84,9,4,9,8,8,8,8,0,0,1,0,1,1
85,85,9,5,9,8,8,8,8,0,0,1,0,1,1
86,86,9,6,9,8,8,8,8,0,0,1,0,1,1
87,87,9,7,9,8,8,8,8,0,0,1,0,1,1
88,88,9,8,9,8,8,8,8,0,0,1,0,1,1
89,89,9,9,9,8,8,8,8,0,0,1,0,1,1
90,90,9,10,9,8,8,8,8,0,0,1,0,1,1
91,91,9,11,9,8,8,8,8,0,0,1,0,1,1
92,92,9,12,9,8,8,8,8,0,0,1,0,1,1
93,93,9,13,9,8,8,8,8,0,0,1,0,1,1
94,94,9,14,9,8,8,8,8,0,0,1,0,1,1
95,95,9,15,9,8,8,8,8,0,0,1,0,1,1
96,96,9,16,9,8,8,8,8,0,0,1,0,1,1
97,97,9,17,9,8,8,8,8,0,0,1,0,1,1
98,98,9,18,9,8,8,8,8,0,0,1,0,1,1
99,99,10,0,10,9,9,9,9,0,0,1,0,1,1
100,100,10,1,10,9,9,9,9,0,0,1,0,1,1
101,101,10,2,10,9,9,9,9,0,0,1,0,1,1
102,102,10,3,10,9,9,9,9,0,0,1,0,1,1
103,103,10,4,10,9,9,9,9,0,0,1,0,1,1
104,104,10,5,10,9,9,9,9,0,0,1,0,1,1
105,105,10,6,10,9,9,9,9,0,0,1,0,1,1
106,106,10,7,10,9,9,9,9,0,0,1,0,1,1
107,107,10,8,10,9,9,9,9,0,0,1,0,1,1
108,108,10,9,10,9,9,9,9,0,0,1,0,1,1
109,109,10,10,10,9,9,9,9,0,0,1,0,1,1
110,110,10,11,10,9,9,9,9,0,0,1,0,1,1
111,111,10,12,10,9,9,9,9,0,0,1,0,1,1
112,112,10,13,10,9,9,9,9,0,0,1,0,1,1
113,113,10,14,10,9,9,9,9,0,0,1,0,1,1
114,114,10,15,10,9,9,9,9,0,0,1,0,1,1
115,115,10,16,10,9,9,9,9,0,0,1,0,1,1
116,116,10,17,10,9,9,9,9,0,0,1,0,1,1
117,117,10,18,10,9,9,9,9,0,0,1,0,1,1
118,118,10,19,10,9,9,9,9,0,0,1,0,1,1
119,119,10,20,10,9,9,9,9,0,0,1,0,1,1
120,120,11,0,11,10,10,10,10,0,0,1,0,1,1
121,121,11,1,11,10,10,10,10,0,0,1,0,1,1
122,122,11,2,11,10,10,10,10,0,0,1,0,1,1
123,123,11,3,11,10,10,10,10,0,0,1,0,1,1
124,124,11,4,11,10,10,10,10,0,0,1,0,1,1
125,125,11,5,11,10,10,10,10,0,0,1,0,1,1
126,126,11,6,11,10,10,10,10,0,0,1,0,1,1
127,127,11,7,11,10,10,10,10,0,0,1,0,1,1
128,128,11,8,11,10,10,10,10,0,0,1,0,1,1
129,129,11,9,11,10,10,10,10,0,0,1,0,1,1
130,130,11,10,11,10,10,10,10,0,0,1,0,1,1
131,131,11,11,11,10,10,10,10,0,0,1,0,1,1
132,132,11,12,11,10,10,10,10,0,0,1,0,1,1
133,133,11,13,11,10,10,10,10,0,0,1,0,1,1
134,134,11,14,11,10,10,10,10,0,0,1,0,1,1
135,135,11,15,11,10,10,10,10,0,0,1,0,1,1
136,136,11,16,11,10,10,10,10,0,0,1,0,1,1
137,137,11,17,11,10,10,10,10,0,0,1,0,1,1
138,138,11,18,11,10,10,10,10,0,0,1,0,1,1
139,139,11,19,11,10,10,10,10,0,0,1,0,1,1
140,140,11,20,11,10,10,10,10,0,0,1,0,1,1
141,141,11,21,11,10,10,10,10,0,0,1,0,1,1
142,142,11,22,11,10,10,10,10,0,0,1,0,1,1
143,143,12,0,12,11,11,11,11,0,0,1,0,1,1
144,144,12,1,12,11,11,11,11,0,0,1,0,1,1
145,145,12,2,12,11,11,11,11,0,0,1,0,1,1
146,146,12,3,12,11,11,11,11,0,0,1,0,1,1
147,147,12,4,12,11,11,11,11,0,0,1,0,1,1
148,148,12,5,12,11,11,11,11,0,0,1,0,1,1
149,149,12,6,12,11,11,11,11,0,0,1,0,1,1
150,150,12,7,12,11,11,11,11,0,0,1,0,1,1
151,151,12,8,12,11,11,11,11,0,0,1,0,1,1
152,152,12,9,12,11,11,11,11,0,0,1,0,1,1
153,153,12,10,12,11,11,11,11,0,0,1,0,1,1
154,154,12,11,12,11,11,11,11,0,0,1,0,1,1
155,155,12,12,12,11,11,11,11,0,0,1,0,1,1
156,156,12,13,12,11,11,11,11,0,0,1,0,1,1
157,157,12,14,12,11,11,11,11,0,0,1,0,1,1
158,158,12,15,12,11,11,11,11,0,0,1,0,1,1
159,159,12,16,12,11,11,11,11,0,0,1,0,1,1
160,160,12,17,12,11,11,11,11,0,0,1,0,1,1
161,161,12,18,12,11,11,11,11,0,0,1,0,1,1
162,162,12,19,12,11,11,11,11,0,0,1,0,1,1
163,163,12,20,12,11,11,11,11,0,0,1,0,1,1
164,164,12,21,12,11,11,11,11,0,0,1,0,1,1
165,165,12,22,12,11,11,11,11,0,0,1,0,1,1
166,166,12,23,12,11,11,11,11,0,0,1,0,1,1
167,167,12,24,12,11,11,11,11,0,0,1,0,1,1
168,168,13,0,13,12,12,12,12,0,0,1,0,1,1
169,169,13,1,13,12,12,12,12,0,0,1,0,1,1
170,170,13,2,13,12,12,12,12,0,0,1,0,1,1
171,171,13,3,13,12,12,12,12,0,0,1,0,1,1
172,172,13,4,13,12,12,12,12,0,0,1,0,1,1
173,173,13,5,13,12,12,12,12,0,0,1,0,1,1
174,174,13,6,13,12,12,12,12,0,0,1,0,1,1
175,175,13,7,13,12,12,12,12,0,0,1,0,1,1
176,176,13,8,13,12,12,12,12,0,0,1,0,1,1
177,177,13,9,13,12,12,12,12,0,0,1,0,1,1
178,178,13,10,13,12,12,12,12,0,0,1,0,1,1
179,179,13,11,13,12,12,12,12,0,0,1,0,1,1
180,180,13,12,13,12,12,12,12,0,0,1,0,1,1
181,181,13,13,13,12,12,12,12,0,0,1,0,1,1
182,182,13,14,13,12,12,12,12,0,0,1,0,1,1
183,183,13,15,13,12,12,12,12,0,0,1,0,1,1
184,184,13,16,13,12,12,12,12,0,0,1,0,1,1
185,185,13,17,13,12,12,12,12,0,0,1,0,1,1
186,186,13,18,13,12,12,12,12,0,0,1,0,1,1
187,187,13,19,13,12,12,12,12,0,0,1,0,1,1
188,188,13,20,13,12,12,12,12,0,0,1,0,1,1
189,189,13,21,13,12,12,12,12,0,0,1,0,1,1
190,190,13,22,13,12,12,12,12,0,0,1,0,1,1
191,191,13,23,13,12,12,12,12,0,0,1,0,1,1
192,192,13,24,13,12,12,12,12,0,0,1,0,1,1
193,193,13,25,13,12,12,12,12,0,0,1,0,1,1
194,194,13,26,13,12,12,12,12,0,0,1,0,1,1
195,195,14,0,14,13,13,13,13,0,0,1,0,1,1
196,196,14,1,14,13,13,13,13,0,0,1,0,1,1
197,197,14,2,14,13,13,13,13,0,0,1,0,1,1
198,198,14,3,14,13,13,13,13,0,0,1,0,1,1
199,199,14,4,14,13,13,13,13,0,0,1,0,1,1
200,200,14,5,14,13,13,13,13,0,0,1,0,1,1
201,201,14,6,14,13,13,13,13,0,0,1,0,1,1
202,202,14,7,14,13,13,13,13,0,0,1,0,1,1
203,203,14,8,14,13,13,13,13,0,0,1,0,1,1
204,204,14,9,14,13,13,13,13,0,0,1,0,1,1
205,205,14,10,14,13,13,13,13,0,0,1,0,1,1
206,206,14,11,14,13,13,13,13,0,0,1,0,1,1
207,207,14,12,14,13,13,13,13,0,0,1,0,1,1
208,208,14,13,14,13,13,13,13,0,0,1,0,1,1
209,209,14,14,14,13,13,13,13,0,0,1,0,1,1
210,210,14,15,14,13,13,13,13,0,0,1,0,1,1
211,211,14,16,14,13,13,13,13,0,0,1,0,1,1
212,212,14,17,14,13,13,13,13,0,0,1,0,1,1
213,213,14,18,14,13,13,13,13,0,0,1,0,1,1
214,214,14,19,14,13,13,13,13,0,0,1,0,1,1
215,215,14,20,14,13,13,13,13,0,0,1,0,1,1
216,216,14,21,14,13,13,13,13,0,0,1,0,1,1
217,217,14,22,14,13,13,13,13,0,0,1,0,1,1
218,218,14,23,14,13,13,13,13,0,0,1,0,1,1
219,219,14,24,14,13,13,13,13,0,0,1,0,1,1
220,220,14,25,14,13,13,13,13,0,0,1,0,1,1
221,221,14,26,14,13,13,13,13,0,0,1,0,1,1
222,222,14,27,14,13,13,13,13,0,0,1,0,1,1
223,223,14,28,14,13,13,13,13,0,0,1,0,1,1
224,224,15,0,15,14,14,14,14,0,0,1,0,1,1
225,225,15,1,15,14,14,14,14,0,0,1,0,1,1
226,226,15,2,15,14,14,14,14,0,0,1,0,1,1
227,227,15,3,15,14,14,14,14,0,0,1,0,1,1
228,228,15,4,15,14,14,14,14,0,0,1,0,1,1
229,229,15,5,15,14,14,14,14,0,0,1,0,1,1
230,230,15,6,15,14,14,14,14,0,0,1,0,1,1
231,231,15,7,15,14,14,14,14,0,0,1,0,1,1
232,232,15,8,15,14,14,14,14,0,0,1,0,1,1
233,233,15,9,15,14,14,14,14,0,0,1,0,1,1
234,234,15,10,15,14,14,14,14,0,0,1,0,1,1
235,235,15,11,15,14,14,14,14,0,0,1,0,1,1
236,236,15,12,15,14,14,14,14,0,0,1,0,1,1
237,237,15,13,15,14,14,14,14,0,0,1,0,1,1
238,238,15,14,15,14,14,14,14,0,0,1,0,1,1
239,239,15,15,15,14,14,14,14,0,0,1,0,1,1
240,240,15,16,15,14,14,14,14,0,0,1,0,1,1
241,241,15,17,15,14,14,14,14,0,0,1,0,1,1
242,242,15,18,15,14,14,14,14,0,0,1,0,1,1
243,243,15,19,15,14,14,14,14,0,0,1,0,1,1
244,244,15,20,15,14,14,14,14,0,0,1,0,1,1
245,245,15,21,15,14,14,14,14,0,0,1,0,1,1
246,246,15,22,15,14,14,14,14,0,0,1,0,1,1
247,247,15,23,15,14,14,14,14,0,0,1,0,1,1
248,248,15,24,15,14,14,14,14,0,0,1,0,1,1
249,249,15,25,15,14,14,14,14,0,0,1,0,1,1
250,250,15,26,15,14,14,14,14,0,0,1,0,1,1
251,251,15,27,15,14,14,14,14,0,0,1,0,1,1
252,252,15,28,15,14,14,14,14,0,0,1,0,1,1
253,253,15,29,15,14,14,14,14,0,0,1,0,1,1
254,254,15,30,15,14,14,14,14,0,0,1,0,1,1
255,255,16,0,16,15,15,15,15,0,0,1,0,1,1
256,256,16,1,16,15,15,15,15,0,0,1,0,1,1
257,257,16,2,16,15,15,15,15,0,0,1,0,1,1
258,258,16,3,16,15,15,15,15,0,0,1,0,1,1
259,259,16,4,16,15,15,15,15,0,0,1,0,1,1
260,260,16,5,16,15,15,15,15,0,0,1,0,1,1
261,261,16,6,16,15,15,15,15,0,0,1,0,1,1
262,262,16,7,16,15,15,15,15,0,0,1,0,1,1
263,263,16,8,16,15,15,15,15,0,0,1,0,1,1
264,264,16,9,16,15,15,15,15,0,0,1,0,1,1
265,265,16,10,16,15,15,15,15,0,0,1,0,1,1
266,266,16,11,16,15,15,15,15,0,0,1,0,1,1
267,267,16,12,16,15,15,15,15,0,0,1,0,1,1
268,268,16,13,16,15,15,15,15,0,0,1,0,1,1
269,269,16,14,16,15,15,15,15,0,0,1,0,1,1
270,270,16,15,16,15,15,15,15,0,0,1,0,1,1
271,271,16,16,16,15,15,15,15,0,0,1,0,1,1
272,272,16,17,16,15,15,15,15,0,0,1,0,1,1
273,273,16,18,16,15,15,15,15,0,0,1,0,1,1
274,274,16,19,16,15,15,15,15,0,0,1,0,1,1
275,275,16,20,16,15,15,15,15,0,0,1,0,1,1
276,276,16,21,16,15,15,15,15,0,0,1,0,1,1
277,277,16,22,16,15,15,15,15,0,0,1,0,1,1
278,278,16,23,16,15,15,15,15,0,0,1,0,1,1
279,279,16,24,16,15,15,15,15,0,0,1,0,1,1
280,280,16,25,16,15,15,15,15,0,0,1,0,1,1
281,281,16,26,16,15,15,15,15,0,0,1,0,1,1
282,282,16,27,16,15,15,15,15,0,0,1,0,1,1
283,283,16,28,16,15,15,15,15,0,0,1,0,1,1
284,284,16,29,16,15,15,15,15,0,0,1,0,1,1
285,285,16,30,16,15,15,15,15,0,0,1,0,1,1
286,286,16,31,16,15,15,15,15,0,0,1,0,1,1
287,287,16,32,16,15,15,15,15,0,0,1,0,1,1
