candidate_id,generator_id,quotient_intertwiner_residual_nonzero_count,unit_residual_nonzero_count,product_residual_nonzero_count,product_preserved_flag
15,5,0,0,84981,0
15,6,0,0,91357,0
15,7,0,0,95251,0
15,8,0,0,82289,0
16,0,0,0,137787,0
16,1,0,0,138983,0
16,2,0,0,128193,0
16,3,0,0,137616,0
16,4,0,0,87404,0
16,5,0,0,89464,0
16,6,0,0,89409,0
16,7,0,0,109028,0
16,8,0,0,82390,0
17,0,0,0,137510,0
17,1,0,0,138920,0
17,2,0,0,128064,0
17,3,0,0,137542,0
17,4,0,0,87434,0
17,5,0,0,89462,0
17,6,0,0,89386,0
17,7,0,0,108986,0
17,8,0,0,82390,0
18,0,0,0,137517,0
18,1,0,0,138906,0
18,2,0,0,128073,0
18,3,0,0,137531,0
18,4,0,0,87415,0
18,5,0,0,89456,0
18,6,0,0,89377,0
18,7,0,0,109007,0
18,8,0,0,82390,0
19,0,0,0,137693,0
19,1,0,0,139001,0
19,2,0,0,128222,0
19,3,0,0,137716,0
19,4,0,0,87436,0
19,5,0,0,89448,0
19,6,0,0,89405,0
19,7,0,0,108940,0
19,8,0,0,82390,0
20,0,0,0,138763,0
20,1,0,0,138340,0
20,2,0,0,138210,0
20,3,0,0,138300,0
20,4,0,0,88134,0
20,5,0,0,89682,0
20,6,0,0,97254,0
20,7,0,0,101013,0
20,8,0,0,82925,0
21,0,0,0,138446,0
21,1,0,0,138296,0
21,2,0,0,138161,0
21,3,0,0,138019,0
21,4,0,0,88164,0
21,5,0,0,89682,0
21,6,0,0,97254,0
21,7,0,0,101013,0
21,8,0,0,82871,0
22,0,0,0,138467,0
22,1,0,0,138268,0
22,2,0,0,138154,0
22,3,0,0,138114,0
22,4,0,0,88145,0
22,5,0,0,89682,0
22,6,0,0,97254,0
22,7,0,0,101013,0
22,8,0,0,82892,0
23,0,0,0,138671,0
23,1,0,0,138296,0
23,2,0,0,138282,0
23,3,0,0,138646,0
23,4,0,0,88166,0
23,5,0,0,89682,0
23,6,0,0,97254,0
23,7,0,0,101013,0
23,8,0,0,82837,0
