legacy_sector,raw_sector,block_dimension,matrix_unit_count,expected_matrix_unit_count,first_legacy_matrix_unit_label,last_legacy_matrix_unit_label,first_raw_matrix_unit_label,last_raw_matrix_unit_label,active_objects,permutation_rank,permutation_multiplicity,regular_trace_block_square,q42_nonzero_count,q12_nonzero_count,legacy_identity_fingerprint
21,33,2,4,4,"u_legacy[21;0,0]","u_legacy[21;1,1]","u[33;0,0]","u[33;1,1]","B-,S-",18,9,4,4,4,"[492189, 0, 0, 0, 119141, 0]"
22,36,2,4,4,"u_legacy[22;0,0]","u_legacy[22;1,1]","u[36;0,0]","u[36;1,1]","B+,V+",36,18,4,2,2,"[0, -31250, 0, -343751, 0, 0]"
23,0,3,9,9,"u_legacy[23;0,0]","u_legacy[23;2,2]","u[0;0,0]","u[0;2,2]","B-,V-,V+",6,2,9,6,4,"[-223959, 0, 402779, -149306, 0, 0]"
24,1,1,1,1,"u_legacy[24;0,0]","u_legacy[24;0,0]","u[1;0,0]","u[1;0,0]",V+,2,2,1,2,2,"[0, 0, 0, -149306, 0, 0]"
25,30,1,1,1,"u_legacy[25;0,0]","u_legacy[25;0,0]","u[30;0,0]","u[30;0,0]",S-,1,1,1,2,2,"[0, 0, 0, 0, -208985, 0]"
26,29,1,1,1,"u_legacy[26;0,0]","u_legacy[26;0,0]","u[29;0,0]","u[29;0,0]",S-,3,3,1,2,2,"[0, 0, 0, 0, 373048, 0]"
27,26,4,16,16,"u_legacy[27;0,0]","u_legacy[27;3,3]","u[26;0,0]","u[26;3,3]","B-,B+,S-,S+",12,3,16,8,4,"[164063, 328126, 0, 0, 373048, -417970]"
28,13,5,25,25,"u_legacy[28;0,0]","u_legacy[28;4,4]","u[13;0,0]","u[13;4,4]","B-,V-,V+",30,6,25,6,4,"[328126, 0, 208334, -343751, 0, 0]"
29,2,4,16,16,"u_legacy[29;0,0]","u_legacy[29;3,3]","u[2;0,0]","u[2;3,3]","V+,S-,S+",72,18,16,4,4,"[0, 0, 0, -343751, 238282, -15625]"
30,8,4,16,16,"u_legacy[30;0,0]","u_legacy[30;3,3]","u[8;0,0]","u[8;3,3]","B+,V-,S+",24,6,16,6,6,"[0, -343751, 208334, 0, 0, 328126]"
31,16,10,100,100,"u_legacy[31;0,0]","u_legacy[31;9,9]","u[16;0,0]","u[16;9,9]","B-,B+,V+,S-,S+",180,18,100,7,6,"[-46875, -31250, 0, -343751, 476564, 476564]"
32,4,2,4,4,"u_legacy[32;0,0]","u_legacy[32;1,1]","u[4;0,0]","u[4;1,1]","V-,S+",6,3,4,4,4,"[0, 0, 104167, 0, 0, -417970]"
33,19,2,4,4,"u_legacy[33;0,0]","u_legacy[33;1,1]","u[19;0,0]","u[19;1,1]","B+,S+",36,18,4,0,0,"[0, -31250, 0, 0, 0, 492189]"
34,35,1,1,1,"u_legacy[34;0,0]","u_legacy[34;0,0]","u[35;0,0]","u[35;0,0]",V+,3,3,1,2,2,"[0, 0, 0, -223959, 0, 0]"
35,38,9,81,81,"u_legacy[35;0,0]","u_legacy[35;8,8]","u[38;0,0]","u[38;8,8]","B-,B+,V+,S-,S+",216,24,81,8,6,"[-375001, 250001, 0, 208334, -31250, 312501]"
36,10,12,144,144,"u_legacy[36;0,0]","u_legacy[36;11,11]","u[10;0,0]","u[10;11,11]","B-,B+,V-,V+,S-,S+",216,18,144,9,6,"[-15625, -31250, -375001, -31250, 476564, -31250]"
37,15,11,121,121,"u_legacy[37;0,0]","u_legacy[37;10,10]","u[15;0,0]","u[15;10,10]","B-,B+,V+,S-,S+",528,48,121,7,5,"[250001, 250001, 0, -166667, -62500, 250001]"
38,34,8,64,64,"u_legacy[38;0,0]","u_legacy[38;7,7]","u[34;0,0]","u[34;7,7]","V-,V+,S+",144,18,64,5,3,"[0, 0, -375001, -31250, 0, -31250]"
