label,shell_weight,num_cells,cell_sizes,patterns,profile_count,best_ratio,success,cv,max_level_over_min,levels
single_w16_3,16,2,8;16,0;1,4,1.0000000000000002,True,3.78175463747169e-09,1.000000008022313,1;0.999999996
pair_w8_0_w8_0,16,2,16;8,00;11,4,1.0,True,0.0,1.0,1;1
pair_w8_0_w8_1,16,4,12;4;4;4,00;01;10;11,18,1.000000000000001,True,1.0191819050178287e-09,1.000000002038364,1;0.999999999;0.999999999;0.999999999
pair_w8_1_w8_0,16,4,12;4;4;4,00;01;10;11,18,1.000000000000001,True,1.0191819050178287e-09,1.000000002038364,1;0.999999999;0.999999999;0.999999999
pair_w8_1_w8_1,16,2,16;8,00;11,4,1.0,True,0.0,1.0,1;1
pair_w8_0_w12_0,16,4,10;6;2;6,00;01;10;11,16,1.0,True,0.0,1.0,1;1;1;1
pair_w8_0_w12_1,16,4,10;6;2;6,00;01;10;11,16,1.0,True,0.0,1.0,1;1;1;1
pair_w8_1_w12_0,16,4,10;6;2;6,00;01;10;11,16,1.0,True,0.0,1.0,1;1;1;1
pair_w8_1_w12_1,16,4,10;6;2;6,00;01;10;11,16,1.0,True,0.0,1.0,1;1;1;1
pair_w8_0_w16_0,16,3,8;8;8,00;01;11,9,1.0,True,0.0,1.0,1;1;1
pair_w8_0_w16_1,16,3,8;8;8,00;01;11,9,1.0000000000000007,True,1.8487003673721541e-09,1.00000000451052,1;0.999999998;1
pair_w8_1_w16_0,16,3,8;8;8,00;01;11,9,1.0,True,0.0,1.0,1;1;1
pair_w8_1_w16_1,16,4,6;10;2;6,00;01;10;11,16,1.000000000000002,True,3.8192511433908095e-09,1.0000000102211206,0.999999996;1;0.999999997;1.00000001
pair_w12_0_w12_0,16,2,12;12,00;11,3,1.0,True,0.0,1.0,1;1
pair_w12_0_w12_1,16,4,8;4;4;8,00;01;10;11,20,1.0,True,0.0,1.0,1;1;1;1
pair_w12_1_w12_0,16,4,8;4;4;8,00;01;10;11,20,1.0,True,0.0,1.0,1;1;1;1
pair_w12_1_w12_1,16,2,12;12,00;11,3,1.0,True,0.0,1.0,1;1
pair_w12_0_w16_0,16,4,6;6;2;10,00;01;10;11,16,1.0,True,0.0,1.0,1;1;1;1
pair_w12_0_w16_1,16,4,6;6;2;10,00;01;10;11,16,1.0,True,0.0,1.0,1;1;1;1
pair_w12_1_w16_0,16,4,6;6;2;10,00;01;10;11,16,1.0000000000000002,True,1.7422633391337625e-09,1.000000005752718,1;1;1;0.999999997
pair_w12_1_w16_1,16,4,6;6;2;10,00;01;10;11,16,1.000000000000001,True,2.7649656891840796e-09,1.0000000103475986,1;1;0.999999993;1
pair_w16_0_w16_0,16,2,8;16,00;11,4,1.0000000000000002,True,4.973559071441127e-09,1.000000010550512,1.00000001;0.999999995
pair_w16_0_w16_1,16,4,4;4;4;12,00;01;10;11,18,1.0000000000000004,True,4.766406597468884e-09,1.0000000128248678,0.999999993;0.999999999;1;1.00000001
pair_w16_1_w16_0,16,4,4;4;4;12,00;01;10;11,18,1.0000000000000004,True,6.233378287062442e-09,1.0000000197507737,0.999999998;0.999999993;1.00000001;0.999999997
pair_w16_1_w16_1,16,2,8;16,00;11,4,1.0,True,0.0,1.0,1;1
triple_8-8-8_0,16,2,16;8,000;111,4,1.0000000000000007,True,3.663048733657879e-10,1.00000000077705,1;1
triple_8-8-8_1,16,2,16;8,000;111,4,1.0,True,0.0,1.0,1;1
triple_8-8-8_2,16,2,16;8,000;111,4,1.0,True,0.0,1.0,1;1
triple_8-12-16_0,16,6,6;4;2;4;2;6,000;001;010;011;101;111,48,1.0,True,0.0,1.0,1;1;1;1;1;1
triple_12-12-12_0,16,2,12;12,000;111,3,1.0,True,0.0,1.0,1;1
triple_12-12-12_1,16,2,12;12,000;111,3,1.0,True,0.0,1.0,1;1
triple_12-12-12_2,16,2,12;12,000;111,3,1.0000000000000007,True,1.4392724234646447e-09,1.000000002878545,0.999999999;1
triple_12-12-16_0,16,4,6;6;2;10,000;001;110;111,16,1.0,True,0.0,1.0,1;1;1;1
triple_12-12-16_1,16,4,6;6;2;10,000;001;110;111,16,1.000000000000001,True,2.7649656891840796e-09,1.0000000103475986,1;1;0.999999993;1
triple_12-12-16_2,16,4,6;6;2;10,000;001;110;111,16,1.0000000000000009,True,4.170751562611038e-09,1.0000000095118078,1;0.999999997;0.999999997;1.00000001
random_t2_w12-16_0,16,4,2;10;6;6,00;01;10;11,16,1.0,True,0.0,1.0,1;1;1;1
random_t2_w8-16_1,16,4,4;12;4;4,00;01;10;11,18,1.000000000000001,False,7.572418064078017e-09,1.000000019847136,0.999999988;1.00000001;0.999999997;1.00000001
random_t2_w8-8_2,16,4,12;4;4;4,00;01;10;11,18,1.0000000000000002,True,1.7164829542982689e-09,1.000000003432966,1;0.999999999;0.999999999;0.999999999
random_t2_w8-8_3,16,4,12;4;4;4,00;01;10;11,18,1.000000000000001,True,1.9736175452209335e-09,1.0000000039472352,1;0.999999999;0.999999999;0.999999999
