kind,target,weight_type,series,total_dimension_n,q_exponent,coefficient,distance,interpretation
nearest,534656,q42_pair_output_classes,symmetric_relation_pair_stack,2,1,364560,170096,nearest relation-pair quotient stack coefficient in search window
nearest,1414965,q42_pair_output_classes,symmetric_relation_pair_stack,2,0,1081185,333780,nearest relation-pair quotient stack coefficient in search window
nearest,2537360,q42_pair_output_classes,symmetric_relation_pair_stack,5,10,2118760,418600,nearest relation-pair quotient stack coefficient in search window
exact,32,q42_tensor_coefficient_mass,symmetric_relation_pair_stack,2,406,32,0,exact relation-pair quotient stack coefficient in search window
exact,32,q42_tensor_coefficient_mass,symmetric_relation_pair_stack,2,408,32,0,exact relation-pair quotient stack coefficient in search window
exact,32,q42_tensor_coefficient_mass,symmetric_relation_pair_stack,3,59,32,0,exact relation-pair quotient stack coefficient in search window
exact,32,q42_tensor_coefficient_mass,symmetric_relation_pair_stack,3,63,32,0,exact relation-pair quotient stack coefficient in search window
exact,32,q42_tensor_coefficient_mass,symmetric_relation_pair_stack,3,259,32,0,exact relation-pair quotient stack coefficient in search window
nearest_with_exact_present,32,q42_tensor_coefficient_mass,symmetric_relation_pair_stack,2,406,32,0,nearest relation-pair quotient stack coefficient in search window
nearest,39,q42_tensor_coefficient_mass,symmetric_relation_pair_stack,2,156,38,1,nearest relation-pair quotient stack coefficient in search window
nearest,91,q42_tensor_coefficient_mass,symmetric_relation_pair_stack,3,339,92,1,nearest relation-pair quotient stack coefficient in search window
nearest,243,q42_tensor_coefficient_mass,symmetric_relation_pair_stack,3,414,247,4,nearest relation-pair quotient stack coefficient in search window
nearest,455,q42_tensor_coefficient_mass,symmetric_relation_pair_stack,3,344,469,14,nearest relation-pair quotient stack coefficient in search window
nearest,2275,q42_tensor_coefficient_mass,symmetric_relation_pair_stack,4,443,1990,285,nearest relation-pair quotient stack coefficient in search window
nearest,4095,q42_tensor_coefficient_mass,symmetric_relation_pair_stack,4,443,1990,2105,nearest relation-pair quotient stack coefficient in search window
nearest,6825,q42_tensor_coefficient_mass,symmetric_relation_pair_stack,4,443,1990,4835,nearest relation-pair quotient stack coefficient in search window
nearest,6912,q42_tensor_coefficient_mass,symmetric_relation_pair_stack,4,443,1990,4922,nearest relation-pair quotient stack coefficient in search window
nearest,14560,q42_tensor_coefficient_mass,symmetric_relation_pair_stack,4,443,1990,12570,nearest relation-pair quotient stack coefficient in search window
nearest,455640,q42_tensor_coefficient_mass,symmetric_relation_pair_stack,4,369,444821,10819,nearest relation-pair quotient stack coefficient in search window
nearest,531441,q42_tensor_coefficient_mass,symmetric_relation_pair_stack,2,384,516318,15123,nearest relation-pair quotient stack coefficient in search window
nearest,534656,q42_tensor_coefficient_mass,symmetric_relation_pair_stack,2,384,516318,18338,nearest relation-pair quotient stack coefficient in search window
nearest,1414965,q42_tensor_coefficient_mass,symmetric_relation_pair_stack,3,145,1401253,13712,nearest relation-pair quotient stack coefficient in search window
nearest,2537360,q42_tensor_coefficient_mass,symmetric_relation_pair_stack,4,235,2508986,28374,nearest relation-pair quotient stack coefficient in search window
nearest,32,q12_pair_coefficient_mass,symmetric_relation_pair_stack,7,472,26,6,nearest relation-pair quotient stack coefficient in search window
nearest,39,q12_pair_coefficient_mass,symmetric_relation_pair_stack,7,472,26,13,nearest relation-pair quotient stack coefficient in search window
nearest,91,q12_pair_coefficient_mass,symmetric_relation_pair_stack,1,0,96,5,nearest relation-pair quotient stack coefficient in search window
nearest,243,q12_pair_coefficient_mass,symmetric_relation_pair_stack,5,440,208,35,nearest relation-pair quotient stack coefficient in search window
nearest,455,q12_pair_coefficient_mass,symmetric_relation_pair_stack,4,174,480,25,nearest relation-pair quotient stack coefficient in search window
nearest,2275,q12_pair_coefficient_mass,symmetric_relation_pair_stack,7,470,2326,51,nearest relation-pair quotient stack coefficient in search window
nearest,4095,q12_pair_coefficient_mass,symmetric_relation_pair_stack,2,0,4656,561,nearest relation-pair quotient stack coefficient in search window
nearest,6825,q12_pair_coefficient_mass,symmetric_relation_pair_stack,7,396,5258,1567,nearest relation-pair quotient stack coefficient in search window
nearest,6912,q12_pair_coefficient_mass,symmetric_relation_pair_stack,7,396,5258,1654,nearest relation-pair quotient stack coefficient in search window
nearest,14560,q12_pair_coefficient_mass,symmetric_relation_pair_stack,5,286,14736,176,nearest relation-pair quotient stack coefficient in search window
nearest,455640,q12_pair_coefficient_mass,symmetric_relation_pair_stack,5,96,456288,648,nearest relation-pair quotient stack coefficient in search window
nearest,531441,q12_pair_coefficient_mass,symmetric_relation_pair_stack,7,364,531936,495,nearest relation-pair quotient stack coefficient in search window
nearest,534656,q12_pair_coefficient_mass,symmetric_relation_pair_stack,8,366,532416,2240,nearest relation-pair quotient stack coefficient in search window
nearest,1414965,q12_pair_coefficient_mass,symmetric_relation_pair_stack,7,420,1272640,142325,nearest relation-pair quotient stack coefficient in search window
nearest,2537360,q12_pair_coefficient_mass,symmetric_relation_pair_stack,8,346,2471457,65903,nearest relation-pair quotient stack coefficient in search window
nearest,32,q12_pair_row_support,symmetric_relation_pair_stack,6,424,29,3,nearest relation-pair quotient stack coefficient in search window
nearest,39,q12_pair_row_support,symmetric_relation_pair_stack,6,424,29,10,nearest relation-pair quotient stack coefficient in search window
nearest,91,q12_pair_row_support,symmetric_relation_pair_stack,1,0,96,5,nearest relation-pair quotient stack coefficient in search window
nearest,243,q12_pair_row_support,symmetric_relation_pair_stack,4,381,200,43,nearest relation-pair quotient stack coefficient in search window
nearest,455,q12_pair_row_support,symmetric_relation_pair_stack,5,252,482,27,nearest relation-pair quotient stack coefficient in search window
nearest,2275,q12_pair_row_support,symmetric_relation_pair_stack,6,486,2316,41,nearest relation-pair quotient stack coefficient in search window
nearest,4095,q12_pair_row_support,symmetric_relation_pair_stack,2,0,4656,561,nearest relation-pair quotient stack coefficient in search window
nearest,6825,q12_pair_row_support,symmetric_relation_pair_stack,4,26,4752,2073,nearest relation-pair quotient stack coefficient in search window
nearest,6912,q12_pair_row_support,symmetric_relation_pair_stack,4,26,4752,2160,nearest relation-pair quotient stack coefficient in search window
nearest,14560,q12_pair_row_support,symmetric_relation_pair_stack,5,270,14552,8,nearest relation-pair quotient stack coefficient in search window
nearest,455640,q12_pair_row_support,symmetric_relation_pair_stack,5,284,456288,648,nearest relation-pair quotient stack coefficient in search window
nearest,531441,q12_pair_row_support,symmetric_relation_pair_stack,8,454,519900,11541,nearest relation-pair quotient stack coefficient in search window
nearest,534656,q12_pair_row_support,symmetric_relation_pair_stack,8,454,519900,14756,nearest relation-pair quotient stack coefficient in search window
nearest,1414965,q12_pair_row_support,symmetric_relation_pair_stack,8,443,1407278,7687,nearest relation-pair quotient stack coefficient in search window
nearest,2537360,q12_pair_row_support,symmetric_relation_pair_stack,8,440,2542770,5410,nearest relation-pair quotient stack coefficient in search window
nearest,32,q12_pair_output_classes,symmetric_relation_pair_stack,1,1,34,2,nearest relation-pair quotient stack coefficient in search window
nearest,39,q12_pair_output_classes,symmetric_relation_pair_stack,1,1,34,5,nearest relation-pair quotient stack coefficient in search window
nearest,91,q12_pair_output_classes,symmetric_relation_pair_stack,1,0,96,5,nearest relation-pair quotient stack coefficient in search window
nearest,243,q12_pair_output_classes,symmetric_relation_pair_stack,2,4,105,138,nearest relation-pair quotient stack coefficient in search window
nearest,455,q12_pair_output_classes,symmetric_relation_pair_stack,2,3,476,21,nearest relation-pair quotient stack coefficient in search window
nearest,2275,q12_pair_output_classes,symmetric_relation_pair_stack,4,8,2380,105,nearest relation-pair quotient stack coefficient in search window
nearest,4095,q12_pair_output_classes,symmetric_relation_pair_stack,3,5,3570,525,nearest relation-pair quotient stack coefficient in search window
nearest,6825,q12_pair_output_classes,symmetric_relation_pair_stack,5,10,8568,1743,nearest relation-pair quotient stack coefficient in search window
nearest,6912,q12_pair_output_classes,symmetric_relation_pair_stack,5,10,8568,1656,nearest relation-pair quotient stack coefficient in search window
nearest,14560,q12_pair_output_classes,symmetric_relation_pair_stack,3,4,18410,3850,nearest relation-pair quotient stack coefficient in search window
nearest,455640,q12_pair_output_classes,symmetric_relation_pair_stack,4,5,442680,12960,nearest relation-pair quotient stack coefficient in search window
nearest,531441,q12_pair_output_classes,symmetric_relation_pair_stack,5,8,561680,30239,nearest relation-pair quotient stack coefficient in search window
nearest,534656,q12_pair_output_classes,symmetric_relation_pair_stack,5,8,561680,27024,nearest relation-pair quotient stack coefficient in search window
nearest,1414965,q12_pair_output_classes,symmetric_relation_pair_stack,4,4,1354605,60360,nearest relation-pair quotient stack coefficient in search window
nearest,2537360,q12_pair_output_classes,symmetric_relation_pair_stack,5,7,2577540,40180,nearest relation-pair quotient stack coefficient in search window
exact,32,q12_tensor_coefficient_mass,symmetric_relation_pair_stack,4,244,32,0,exact relation-pair quotient stack coefficient in search window
exact,32,q12_tensor_coefficient_mass,symmetric_relation_pair_stack,5,328,32,0,exact relation-pair quotient stack coefficient in search window
nearest_with_exact_present,32,q12_tensor_coefficient_mass,symmetric_relation_pair_stack,4,244,32,0,nearest relation-pair quotient stack coefficient in search window
nearest,39,q12_tensor_coefficient_mass,symmetric_relation_pair_stack,5,480,38,1,nearest relation-pair quotient stack coefficient in search window
nearest,91,q12_tensor_coefficient_mass,symmetric_relation_pair_stack,5,292,54,37,nearest relation-pair quotient stack coefficient in search window
nearest,243,q12_tensor_coefficient_mass,symmetric_relation_pair_stack,5,292,54,189,nearest relation-pair quotient stack coefficient in search window
