transfer_edge_id,source_state_id,target_state_id,edge_weight,native_transition_flag,derived_transition_flag,promoted_transition_flag,promoted_only_transition_flag,old_repaired_edge_flag,old_spectral_cut_edge_flag,spectral_cut_edge_flag,undirected_stationary_flux_x1e12,source_to_target_probability_x1e12,target_to_source_probability_x1e12,source_stationary_mass_x1e12,target_stationary_mass_x1e12
248,60,63,1,0,1,0,0,1,0,0,170677590,200000000000,166666666667,426693975,512032770
249,60,67,1,0,1,0,0,1,0,0,170677590,200000000000,142857142857,426693975,597371565
250,60,75,1,0,1,0,0,1,0,0,170677590,200000000000,40000000000,426693975,2133469876
251,61,65,1,0,1,0,0,1,0,0,170677590,250000000000,142857142857,341355180,597371565
252,62,63,1,0,1,0,0,1,0,0,170677590,166666666667,166666666667,512032770,512032770
253,62,68,1,0,1,0,0,1,0,0,170677590,166666666666,200000000000,512032770,426693975
254,62,75,1,0,1,0,0,1,0,0,170677590,166666666666,40000000000,512032770,2133469876
255,63,64,1,0,1,0,0,1,0,0,170677590,166666666667,125000000000,512032770,682710360
256,63,75,1,0,1,0,0,1,0,0,170677590,166666666666,40000000000,512032770,2133469876
257,63,80,1,0,1,0,0,1,0,0,170677590,166666666666,125000000000,512032770,682710360
258,64,65,1,0,1,0,0,1,0,0,170677590,125000000000,142857142857,682710360,597371565
259,64,75,1,0,1,0,0,1,0,0,170677590,125000000000,40000000000,682710360,2133469876
260,64,83,1,0,1,0,0,1,0,0,170677590,125000000000,100000000000,682710360,853387950
261,65,83,1,0,1,0,0,1,0,0,170677590,142857142857,100000000000,597371565,853387950
262,66,67,1,0,1,0,0,1,0,0,170677590,166666666667,142857142857,512032770,597371565
263,66,68,1,0,1,0,0,1,0,0,170677590,166666666667,200000000000,512032770,426693975
264,66,69,1,0,1,0,0,1,0,0,170677590,166666666667,125000000000,512032770,682710360
265,66,75,1,0,1,0,0,1,0,0,170677590,166666666666,40000000000,512032770,2133469876
266,66,82,1,0,1,0,0,1,0,0,170677590,166666666666,142857142857,512032770,597371565
267,67,75,1,0,1,0,0,1,0,0,170677590,142857142857,40000000000,597371565,2133469876
268,67,80,1,0,1,0,0,1,0,0,170677590,142857142857,125000000000,597371565,682710360
269,67,83,1,0,1,0,0,1,0,0,170677590,142857142857,100000000000,597371565,853387950
270,68,75,1,0,1,0,0,1,0,0,170677590,200000000000,40000000000,426693975,2133469876
