basis_id,component_id,prob_num,prob_den,prob_num_digits,prob_den_digits,prob_num_mod_1000000007,prob_den_mod_1000000007,prob_num_mod_1000000009,prob_den_mod_1000000009,prob_sha256,active_owner_flag,dominant_component_flag,positive_flag
8,0,28682846669431341059980633268280658223962729521703589771929914408299141468962245972166029408839924452842172842289742449418659514018120382309564460136490765750769113770236318515146122394740167708356420208071709110563335596739316711248308053500041924178331,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,254,254,145908675,253126048,301211449,867253560,f0ba7b9ed54636bd66168815b3b98a16f663fb884da19db3a11bca30e7337a07,0,1,1
8,1,109565108663804405407606584136812538057794640331572879343644262223398410902764426754364089357959714183427251423424738082499463382660473429934024833250449626512889997654966469766165862867527925890194168002778446778062443706471945726674321255450880,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,246,254,862343293,253126048,113646142,867253560,b7aa5c44c3618e6cbde83c3819e4a0ed7f96d148f1b44909db2e9497a3ba304c,0,0,1
8,2,26807966742071909502312850873864619399688815129764012398500252284386982470932474239858332894016951036929842796540505875091013137901695732706906294015076895978236799823527186895106410032290608317887988307990814790975173960503997028342705530419794324920,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,251,254,244874087,253126048,452395969,867253560,f69e932a6ffbedb3ecc29256de4d55ba4d6d2144acff1f4c18ee85aa643ca83c,0,0,1
9,0,31962181454147608689061713557883048230675471517339181041944890974355318091922393053948475246122647383084969040407362597263059860835788975204659031247890092244830002310848743289460763523669575435395471380622034706896271000287562219442430994168403795572,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,251,254,505230978,253126048,331150462,867253560,10d391b2f71abaae42dc8dfd4ac88a0f37dd8c88762f96716f791c805103df00,0,0,1
9,1,19126821314431685159766322209610125737330039743596551986650870374257626440766211840412222462152075667617761141481379072156934732783046278093682696926813011824066449527411858942260199594339171615877416175520936624813290179856970912691991320477070981109257,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,254,254,830908871,253126048,599560470,867253560,b81abb8c163808f3c98b9f486123d21121c631b2cfbf30a9d8ba52a5c9aae675,0,1,1
9,2,9550871249852688864831967603593098194614241179514102948208478738995808915973455115704143558699832446837970757991747943964290817011603393633857440406469773980885697553227135671458038213075479992889422439672309268612571097905005939837162734233543589049302,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,253,254,916986213,253126048,936542637,867253560,db2557b0ae87e34a128a0b1541cb41412204887a7dbdbe040fed94e20c5a3589,0,0,1
10,0,5692673167710678788264041267962771128772695030849193729026300226323530823346797094360435154786490081997233718241819314935819864483683272330477331597581073186989936543774610015971953580130073396814311778815362749789400884437342593965929177414782916016640,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,253,254,467234852,253126048,738720372,867253560,75cd3196e6eaf949e2136a6c111b919616bbfb3ac751ba80ec9943dfe88da738,0,0,1
10,1,15818726315724937732603842653990627684083781127313120430627234379801298636049644271045174903621346681049219598818555109381555448842151876493896815800880644532785871504837190651898631326077478842849201781671281280079977593087260777967284202913651322439474,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,254,254,931530167,253126048,20042301,867253560,6c888121e1ccc434c0a92b3ba10dd100c777d9be1657c9b88497157ef581fbca,0,1,1
10,2,7198255262302905112419467604807708167318480236465679956247759398102961215435147983764704437690193998792363551453159954401113296329650311878370648966068958177421169034338042689137113664730768944538720526087223898263379071237661042815383105376348735498017,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,253,254,854361043,253126048,108490887,867253560,6fff86451016550ebfbb5da28229dd6bbc1070d07bebb3ee5c9e2841493b11cb,0,0,1
11,0,40241933536026500685396886094347756099783649733054734735945426706171228880710211477693973991635131149034890668212419687705579560777886350618350730169210178778126501904144330558610054951120401972110756276540248799213116973871471837406062257235484020296996,86128964237215564899862054580283320940524869183883982347703882012683372024494768047510943488294092285516450605540603136155465828966456382108234389093592027691590931248849530071023095712814963552606702259721603784398272646286793244245789457114348921862393,254,254,245615527,759378144,652301118,601760662,60cf791c2166617c0be1270c10cb971c2497b9dfd6f59697a52594d5642289cf,0,1,1
