path_id,fiber_row_id,sample_count,sum_value,count_component0,count_component1,count_component2,step_count,path_component_sum,component_sum_check_flag,raw_row_word_exists_flag,long_tens_gap_flag,existing_prof_flag,gap_witness_flag,support_product_digits,support_product_mod_1000000007,support_product_mod_1000000009,representative_coeff_product_digits,representative_coeff_product_mod_1000000007,representative_coeff_product_mod_1000000009
122,122,11,2,9,2,0,11,2,1,1,1,0,1,54,454703728,796308113,5,32768,32768
123,123,11,3,8,3,0,11,3,1,1,1,0,1,54,437958321,874546010,6,131072,131072
124,124,11,4,7,4,0,11,4,1,1,1,0,1,55,229070467,552665484,6,524288,524288
125,125,11,5,6,5,0,11,5,1,1,1,0,1,55,166755932,767984976,7,2097152,2097152
126,126,11,6,5,6,0,11,6,1,1,1,0,1,56,385489799,363249455,7,8388608,8388608
127,127,11,7,4,7,0,11,7,1,1,1,0,1,56,634496036,136545126,8,33554432,33554432
128,128,11,8,3,8,0,11,8,1,1,1,0,1,56,981158984,947176866,9,134217728,134217728
129,129,11,9,2,9,0,11,9,1,1,1,0,1,57,423169602,756143975,9,536870912,536870912
130,130,11,10,1,10,0,11,10,1,1,1,0,1,57,131590796,756293952,10,147483634,147483630
131,131,11,11,0,11,0,11,11,1,1,1,0,1,57,760864987,329240219,10,589934536,589934520
132,132,11,12,0,10,1,11,12,1,1,1,0,1,58,996121369,886125263,10,147483634,147483630
133,133,11,13,0,9,2,11,13,1,1,1,0,1,59,823530780,175664566,9,536870912,536870912
134,134,11,14,0,8,3,11,14,1,1,1,0,1,60,338516033,762229558,9,134217728,134217728
135,135,11,15,0,7,4,11,15,1,1,1,0,1,60,274912807,963723631,8,33554432,33554432
136,136,11,16,0,6,5,11,16,1,1,1,0,1,61,775162628,26245206,7,8388608,8388608
137,137,11,17,0,5,6,11,17,1,1,1,0,1,62,273409071,972920601,7,2097152,2097152
138,138,11,18,0,4,7,11,18,1,1,1,0,1,63,914329747,552233214,6,524288,524288
139,139,11,19,0,3,8,11,19,1,1,1,0,1,64,938084341,762305154,6,131072,131072
140,140,11,20,0,2,9,11,20,1,1,1,0,1,64,697206694,523073129,5,32768,32768
141,141,11,21,0,1,10,11,21,1,1,1,0,1,65,396420470,950410055,4,8192,8192
142,142,11,22,0,0,11,11,22,1,1,1,0,1,66,541637408,265171805,4,2048,2048
143,143,12,0,12,0,0,12,0,1,1,1,0,1,58,953996442,907637934,4,4096,4096
144,144,12,1,11,1,0,12,1,1,1,1,0,1,59,355584259,313751854,5,16384,16384
145,145,12,2,10,2,0,12,2,1,1,1,0,1,59,543580238,537367198,5,65536,65536
146,146,12,3,9,3,0,12,3,1,1,1,0,1,59,479009537,798856950,6,262144,262144
147,147,12,4,8,4,0,12,4,1,1,1,0,1,60,812334309,443610957,7,1048576,1048576
148,148,12,5,7,5,0,12,5,1,1,1,0,1,60,741471165,793211756,7,4194304,4194304
149,149,12,6,6,6,0,12,6,1,1,1,0,1,60,703698122,204735324,8,16777216,16777216
150,150,12,7,5,7,0,12,7,1,1,1,0,1,61,784749850,582425282,8,67108864,67108864
151,151,12,8,4,8,0,12,8,1,1,1,0,1,61,145409124,415472822,9,268435456,268435456
152,152,12,9,3,9,0,12,9,1,1,1,0,1,61,268610114,180034285,10,73741817,73741815
153,153,12,10,2,10,0,12,10,1,1,1,0,1,62,919939479,826554844,10,294967268,294967260
154,154,12,11,1,11,0,12,11,1,1,1,0,1,62,835621274,730695496,11,179869065,179869031
155,155,12,12,0,12,0,12,12,1,1,1,0,1,62,330573482,533552185,11,719476260,719476124
156,156,12,13,0,11,1,12,13,1,1,1,0,1,63,524924069,593496388,11,179869065,179869031
157,157,12,14,0,10,2,12,14,1,1,1,0,1,64,669577068,809633405,10,294967268,294967260
158,158,12,15,0,9,3,12,15,1,1,1,0,1,65,266273570,625943993,10,73741817,73741815
159,159,12,16,0,8,4,12,16,1,1,1,0,1,66,15181293,835040791,9,268435456,268435456
160,160,12,17,0,7,5,12,17,1,1,1,0,1,66,501026916,112301803,8,67108864,67108864
161,161,12,18,0,6,6,12,18,1,1,1,0,1,67,394540033,52497195,8,16777216,16777216
162,162,12,19,0,5,7,12,19,1,1,1,0,1,68,858614591,660178823,7,4194304,4194304
163,163,12,20,0,4,8,12,20,1,1,1,0,1,69,217044001,666739694,7,1048576,1048576
164,164,12,21,0,3,9,12,21,1,1,1,0,1,70,36945911,829802904,6,262144,262144
165,165,12,22,0,2,10,12,22,1,1,1,0,1,70,209238221,387283487,5,65536,65536
166,166,12,23,0,1,11,12,23,1,1,1,0,1,71,142884658,341771698,5,16384,16384
167,167,12,24,0,0,12,12,24,1,1,1,0,1,72,441995098,820083905,4,4096,4096
168,168,13,0,13,0,0,13,0,1,1,1,0,1,63,50719913,271389469,4,8192,8192
169,169,13,1,12,1,0,13,1,1,1,1,0,1,63,179378783,519067660,5,32768,32768
170,170,13,2,11,2,0,13,2,1,1,1,0,1,64,80663419,457864293,6,131072,131072
171,171,13,3,10,3,0,13,3,1,1,1,0,1,64,893204177,478561562,6,524288,524288
172,172,13,4,9,4,0,13,4,1,1,1,0,1,64,342389137,56497443,7,2097152,2097152
173,173,13,5,8,5,0,13,5,1,1,1,0,1,65,424998963,379686749,7,8388608,8388608
174,174,13,6,7,6,0,13,6,1,1,1,0,1,65,862890213,575921168,8,33554432,33554432
175,175,13,7,6,7,0,13,7,1,1,1,0,1,66,109998675,593801091,9,134217728,134217728
176,176,13,8,5,8,0,13,8,1,1,1,0,1,66,714790216,211670533,9,536870912,536870912
177,177,13,9,4,9,0,13,9,1,1,1,0,1,66,2411541,805106989,10,147483634,147483630
178,178,13,10,3,10,0,13,10,1,1,1,0,1,67,506875090,7087604,10,589934536,589934520
179,179,13,11,2,11,0,13,11,1,1,1,0,1,67,159967451,333879738,11,359738130,359738062
180,180,13,12,1,12,0,13,12,1,1,1,0,1,67,486213406,76230338,12,438952513,438952239
181,181,13,13,0,13,0,13,13,1,1,1,0,1,68,256708140,295917925,12,755810045,755808947
182,182,13,14,0,12,1,13,14,1,1,1,0,1,68,159740795,146687280,12,438952513,438952239
183,183,13,15,0,11,2,13,15,1,1,1,0,1,69,730096863,957736036,11,359738130,359738062
184,184,13,16,0,10,3,13,16,1,1,1,0,1,70,254626277,119354879,10,589934536,589934520
185,185,13,17,0,9,4,13,17,1,1,1,0,1,71,227827131,706427937,10,147483634,147483630
186,186,13,18,0,8,5,13,18,1,1,1,0,1,72,980569582,678180541,9,536870912,536870912
187,187,13,19,0,7,6,13,19,1,1,1,0,1,72,571416296,215260747,9,134217728,134217728
188,188,13,20,0,6,7,13,20,1,1,1,0,1,73,660137750,116231379,8,33554432,33554432
189,189,13,21,0,5,8,13,21,1,1,1,0,1,74,276124157,331432307,7,8388608,8388608
190,190,13,22,0,4,9,13,22,1,1,1,0,1,75,950263785,713038472,7,2097152,2097152
191,191,13,23,0,3,10,13,23,1,1,1,0,1,75,241963137,752767292,6,524288,524288
192,192,13,24,0,2,11,13,24,1,1,1,0,1,76,304154824,756043665,6,131072,131072
193,193,13,25,0,1,12,13,25,1,1,1,0,1,77,383611029,253247293,5,32768,32768
194,194,13,26,0,0,13,13,26,1,1,1,0,1,78,335002723,571832030,4,8192,8192
195,195,14,0,14,0,0,14,0,1,1,1,0,1,68,304781326,770488985,5,16384,16384
196,196,14,1,13,1,0,14,1,1,1,1,0,1,68,643241801,431590726,5,65536,65536
197,197,14,2,12,2,0,14,2,1,1,1,0,1,69,271073764,831060719,6,262144,262144
198,198,14,3,11,3,0,14,3,1,1,1,0,1,69,892262490,79390811,7,1048576,1048576
199,199,14,4,10,4,0,14,4,1,1,1,0,1,69,469137686,915501063,7,4194304,4194304
200,200,14,5,9,5,0,14,5,1,1,1,0,1,70,933108815,451475891,8,16777216,16777216
201,201,14,6,8,6,0,14,6,1,1,1,0,1,70,98111653,249192373,8,67108864,67108864
202,202,14,7,7,7,0,14,7,1,1,1,0,1,70,114726475,285829383,9,268435456,268435456
203,203,14,8,6,8,0,14,8,1,1,1,0,1,71,306371295,648560034,10,73741817,73741815
204,204,14,9,5,9,0,14,9,1,1,1,0,1,71,110316035,481066424,10,294967268,294967260
205,205,14,10,4,10,0,14,10,1,1,1,0,1,71,205560586,874685185,11,179869065,179869031
206,206,14,11,3,11,0,14,11,1,1,1,0,1,72,106376297,144554885,11,719476260,719476124
207,207,14,12,2,12,0,14,12,1,1,1,0,1,72,246055009,135296033,12,877905026,877904478
208,208,14,13,1,13,0,14,13,1,1,1,0,1,72,467449223,440764703,13,511620083,511617885
209,209,14,14,0,14,0,14,14,1,1,1,0,1,73,223584556,812557288,13,46480318,46471522
210,210,14,15,0,13,1,14,15,1,1,1,0,1,74,142946440,677051193,13,511620083,511617885
211,211,14,16,0,12,2,14,16,1,1,1,0,1,74,646094740,346798907,12,877905026,877904478
212,212,14,17,0,11,3,14,17,1,1,1,0,1,75,167495534,779921071,11,719476260,719476124
213,213,14,18,0,10,4,14,18,1,1,1,0,1,76,152249632,799270293,11,179869065,179869031
214,214,14,19,0,9,5,14,19,1,1,1,0,1,77,186448616,267121618,10,294967268,294967260
215,215,14,20,0,8,6,14,20,1,1,1,0,1,78,349446615,831816408,10,73741817,73741815
216,216,14,21,0,7,7,14,21,1,1,1,0,1,78,117712609,592750175,9,268435456,268435456
217,217,14,22,0,6,8,14,22,1,1,1,0,1,79,932847561,688001705,8,67108864,67108864
218,218,14,23,0,5,9,14,23,1,1,1,0,1,80,24827748,267898349,8,16777216,16777216
219,219,14,24,0,4,10,14,24,1,1,1,0,1,81,715911484,662007131,7,4194304,4194304
220,220,14,25,0,3,11,14,25,1,1,1,0,1,81,811734253,176279470,7,1048576,1048576
221,221,14,26,0,2,12,14,26,1,1,1,0,1,82,390393268,766809776,6,262144,262144
222,222,14,27,0,1,13,14,27,1,1,1,0,1,83,147351661,67229856,5,65536,65536
223,223,14,28,0,0,14,14,28,1,1,1,0,1,84,446101581,548897709,5,16384,16384
224,224,15,0,15,0,0,15,0,1,1,1,0,1,73,534751099,851069187,5,32768,32768
225,225,15,1,14,1,0,15,1,1,1,1,0,1,73,312350709,915246489,6,131072,131072
226,226,15,2,13,2,0,15,2,1,1,1,0,1,73,464378435,824965003,6,524288,524288
227,227,15,3,12,3,0,15,3,1,1,1,0,1,74,322955070,416917566,7,2097152,2097152
228,228,15,4,11,4,0,15,4,1,1,1,0,1,74,935752302,27842195,7,8388608,8388608
229,229,15,5,10,5,0,15,5,1,1,1,0,1,74,558560681,929047778,8,33554432,33554432
230,230,15,6,9,6,0,15,6,1,1,1,0,1,75,541476790,53287108,9,134217728,134217728
231,231,15,7,8,7,0,15,7,1,1,1,0,1,75,206820347,545749104,9,536870912,536870912
232,232,15,8,7,8,0,15,8,1,1,1,0,1,75,801556465,381011445,10,147483634,147483630
233,233,15,9,6,9,0,15,9,1,1,1,0,1,76,527321535,192113202,10,589934536,589934520
234,234,15,10,5,10,0,15,10,1,1,1,0,1,76,656798973,750592869,11,359738130,359738062
235,235,15,11,4,11,0,15,11,1,1,1,0,1,77,123375146,770119527,12,438952513,438952239
236,236,15,12,3,12,0,15,12,1,1,1,0,1,77,258068098,240764242,12,755810045,755808947
237,237,15,13,2,13,0,15,13,1,1,1,0,1,77,333812898,985441819,13,23240159,23235761
238,238,15,14,1,14,0,15,14,1,1,1,0,1,78,958541260,684293793,13,92960636,92943044
239,239,15,15,0,15,0,15,15,1,1,1,0,1,78,524175222,990844343,14,371842544,371772176
240,240,15,16,0,14,1,15,16,1,1,1,0,1,79,327415861,325847703,13,92960636,92943044
241,241,15,17,0,13,2,15,17,1,1,1,0,1,80,136116466,979911509,13,23240159,23235761
242,242,15,18,0,12,3,15,18,1,1,1,0,1,80,722569466,471394387,12,755810045,755808947
243,243,15,19,0,11,4,15,19,1,1,1,0,1,81,58597948,425242053,12,438952513,438952239
244,244,15,20,0,10,5,15,20,1,1,1,0,1,82,820176190,111957783,11,359738130,359738062
245,245,15,21,0,9,6,15,21,1,1,1,0,1,83,677763498,785295026,10,589934536,589934520
246,246,15,22,0,8,7,15,22,1,1,1,0,1,83,926424113,162279611,10,147483634,147483630
247,247,15,23,0,7,8,15,23,1,1,1,0,1,84,385330356,648110912,9,536870912,536870912
248,248,15,24,0,6,9,15,24,1,1,1,0,1,85,92570018,553519316,9,134217728,134217728
249,249,15,25,0,5,10,15,25,1,1,1,0,1,86,871506294,140612376,8,33554432,33554432
250,250,15,26,0,4,11,15,26,1,1,1,0,1,87,786820779,616361795,7,8388608,8388608
251,251,15,27,0,3,12,15,27,1,1,1,0,1,87,936392288,566776872,7,2097152,2097152
252,252,15,28,0,2,13,15,28,1,1,1,0,1,88,709938410,920380438,6,524288,524288
253,253,15,29,0,1,14,15,29,1,1,1,0,1,89,135448979,509677956,6,131072,131072
254,254,15,30,0,0,15,15,30,1,1,1,0,1,90,586447993,672189693,5,32768,32768
255,255,16,0,16,0,0,16,0,1,1,1,0,1,77,190446915,769615180,5,65536,65536
256,256,16,1,15,1,0,16,1,1,1,1,0,1,78,397462250,653642668,6,262144,262144
257,257,16,2,14,2,0,16,2,1,1,1,0,1,78,820730124,748515411,7,1048576,1048576
258,258,16,3,13,3,0,16,3,1,1,1,0,1,79,469956996,137603776,7,4194304,4194304
259,259,16,4,12,4,0,16,4,1,1,1,0,1,79,587643331,809966290,8,16777216,16777216
260,260,16,5,11,5,0,16,5,1,1,1,0,1,79,622750438,352543156,8,67108864,67108864
261,261,16,6,10,6,0,16,6,1,1,1,0,1,80,786889011,426755717,9,268435456,268435456
262,262,16,7,9,7,0,16,7,1,1,1,0,1,80,684625926,582053362,10,73741817,73741815
263,263,16,8,8,8,0,16,8,1,1,1,0,1,80,111467908,655921846,10,294967268,294967260
264,264,16,9,7,9,0,16,9,1,1,1,0,1,81,320893781,721041436,11,179869065,179869031
265,265,16,10,6,10,0,16,10,1,1,1,0,1,81,309647645,132899578,11,719476260,719476124
266,266,16,11,5,11,0,16,11,1,1,1,0,1,81,489335175,87530834,12,877905026,877904478
267,267,16,12,4,12,0,16,12,1,1,1,0,1,82,939947174,955906075,13,511620083,511617885
268,268,16,13,3,13,0,16,13,1,1,1,0,1,82,845449070,617227633,13,46480318,46471522
269,269,16,14,2,14,0,16,14,1,1,1,0,1,82,373411629,776369643,14,185921272,185886088
270,270,16,15,1,15,0,16,15,1,1,1,0,1,83,950043042,107568181,14,743685088,743544352
271,271,16,16,0,16,0,16,16,1,1,1,0,1,83,790637215,814992742,15,974740338,974177390
272,272,16,17,0,15,1,16,17,1,1,1,0,1,84,86164317,56594840,14,743685088,743544352
273,273,16,18,0,14,2,16,18,1,1,1,0,1,85,809720147,74601406,14,185921272,185886088
274,274,16,19,0,13,3,16,19,1,1,1,0,1,85,269770583,149601727,13,46480318,46471522
275,275,16,20,0,12,4,16,20,1,1,1,0,1,86,230245494,601281696,13,511620083,511617885
276,276,16,21,0,11,5,16,21,1,1,1,0,1,87,731710998,434059991,12,877905026,877904478
277,277,16,22,0,10,6,16,22,1,1,1,0,1,88,358189991,337515072,11,719476260,719476124
278,278,16,23,0,9,7,16,23,1,1,1,0,1,89,240756522,936973250,11,179869065,179869031
279,279,16,24,0,8,8,16,24,1,1,1,0,1,89,498099861,597845696,10,294967268,294967260
280,280,16,25,0,7,9,16,25,1,1,1,0,1,90,851034267,495374231,10,73741817,73741815
281,281,16,26,0,6,10,16,26,1,1,1,0,1,91,493347719,437329976,9,268435456,268435456
282,282,16,27,0,5,11,16,27,1,1,1,0,1,92,173968545,639349579,8,67108864,67108864
283,283,16,28,0,4,12,16,28,1,1,1,0,1,93,92705080,761410607,8,16777216,16777216
284,284,16,29,0,3,13,16,29,1,1,1,0,1,93,504054698,561760111,7,4194304,4194304
285,285,16,30,0,2,14,16,30,1,1,1,0,1,94,323244476,464803858,7,1048576,1048576
286,286,16,31,0,1,15,16,31,1,1,1,0,1,95,728778100,303779093,6,262144,262144
287,287,16,32,0,0,16,16,32,1,1,1,0,1,96,523166399,616558781,5,65536,65536
