mode,mode_name,rank,builder,loading,abs_loading
2,kernel-spike q4-loss polarity,15,BLUFF_REVEAL,-0.042322930429659684,0.042322930429659684
2,kernel-spike q4-loss polarity,16,ROBUST_REVEAL,0.017071623902612406,0.017071623902612406
3,monodromy-contamination correction,1,CURVATURE_ZERO,-0.8023769046087524,0.8023769046087524
3,monodromy-contamination correction,2,MONODROME_PURIST,0.452220925792454,0.452220925792454
3,monodromy-contamination correction,3,BLUFF_REVEAL,-0.2293803597109082,0.2293803597109082
3,monodromy-contamination correction,4,EMERGENCE_SEEKER,-0.2252153295850834,0.2252153295850834
3,monodromy-contamination correction,5,ROBUST_REVEAL,0.13682804553618258,0.13682804553618258
3,monodromy-contamination correction,6,BASIN_SWITCHER,0.09273585940974327,0.09273585940974327
3,monodromy-contamination correction,7,DIVERGENCE_MIN,0.08494951455252195,0.08494951455252195
3,monodromy-contamination correction,8,FACE15_ANCHOR,0.06513887423012475,0.06513887423012475
3,monodromy-contamination correction,9,FACE12_ANCHOR,0.05880364069905832,0.05880364069905832
3,monodromy-contamination correction,10,FACE17_ANCHOR,0.05380354051189344,0.05380354051189344
3,monodromy-contamination correction,11,SPREAD_CONTROL,0.036389362798701884,0.036389362798701884
3,monodromy-contamination correction,12,Q4_BALANCER,0.031249000637480404,0.031249000637480404
3,monodromy-contamination correction,13,H2047_PURIST,-0.024547636572597925,0.024547636572597925
3,monodromy-contamination correction,14,SIGMA_MIN,0.01766897334362412,0.01766897334362412
3,monodromy-contamination correction,15,STOCHASTIC_CONTROL,-0.000612238184136955,0.000612238184136955
3,monodromy-contamination correction,16,H954_CORRIDOR,-0.0006063724511917455,0.0006063724511917455
4,homology/bluff stabilizer-breaking micro-mode,1,MONODROME_PURIST,-0.5972579977071424,0.5972579977071424
4,homology/bluff stabilizer-breaking micro-mode,2,EMERGENCE_SEEKER,-0.4548031651334737,0.4548031651334737
4,homology/bluff stabilizer-breaking micro-mode,3,ROBUST_REVEAL,-0.36665741821795084,0.36665741821795084
4,homology/bluff stabilizer-breaking micro-mode,4,STOCHASTIC_CONTROL,0.2754395294986915,0.2754395294986915
4,homology/bluff stabilizer-breaking micro-mode,5,CURVATURE_ZERO,-0.2650901752830649,0.2650901752830649
4,homology/bluff stabilizer-breaking micro-mode,6,H2047_PURIST,-0.1870169718129899,0.1870169718129899
4,homology/bluff stabilizer-breaking micro-mode,7,BLUFF_REVEAL,0.15598274186816977,0.15598274186816977
4,homology/bluff stabilizer-breaking micro-mode,8,FACE12_ANCHOR,0.14705171990503466,0.14705171990503466
4,homology/bluff stabilizer-breaking micro-mode,9,H954_CORRIDOR,0.14356714314950028,0.14356714314950028
4,homology/bluff stabilizer-breaking micro-mode,10,SPREAD_CONTROL,0.11636672878124411,0.11636672878124411
4,homology/bluff stabilizer-breaking micro-mode,11,FACE17_ANCHOR,0.10760925302604546,0.10760925302604546
4,homology/bluff stabilizer-breaking micro-mode,12,FACE15_ANCHOR,0.09494625826800443,0.09494625826800443
4,homology/bluff stabilizer-breaking micro-mode,13,Q4_BALANCER,0.09040126627746785,0.09040126627746785
4,homology/bluff stabilizer-breaking micro-mode,14,DIVERGENCE_MIN,0.08199125162081344,0.08199125162081344
4,homology/bluff stabilizer-breaking micro-mode,15,SIGMA_MIN,-0.06472652360492785,0.06472652360492785
4,homology/bluff stabilizer-breaking micro-mode,16,BASIN_SWITCHER,0.03313057423432847,0.03313057423432847
5,q4/monodromy micro-mode,1,Q4_BALANCER,0.47632833775219485,0.47632833775219485
5,q4/monodromy micro-mode,2,DIVERGENCE_MIN,-0.40387823136732465,0.40387823136732465
5,q4/monodromy micro-mode,3,ROBUST_REVEAL,-0.30575945451819675,0.30575945451819675
5,q4/monodromy micro-mode,4,SIGMA_MIN,0.29415877268947016,0.29415877268947016
5,q4/monodromy micro-mode,5,BLUFF_REVEAL,-0.2935409783517794,0.2935409783517794
5,q4/monodromy micro-mode,6,FACE15_ANCHOR,-0.28292456049141534,0.28292456049141534
5,q4/monodromy micro-mode,7,H954_CORRIDOR,0.27572940685627,0.27572940685627
5,q4/monodromy micro-mode,8,BASIN_SWITCHER,-0.2236982370854861,0.2236982370854861
5,q4/monodromy micro-mode,9,MONODROME_PURIST,0.2031304838332519,0.2031304838332519
5,q4/monodromy micro-mode,10,EMERGENCE_SEEKER,-0.18191020552468823,0.18191020552468823
5,q4/monodromy micro-mode,11,STOCHASTIC_CONTROL,0.12858750579855552,0.12858750579855552
5,q4/monodromy micro-mode,12,FACE17_ANCHOR,-0.12309225790235333,0.12309225790235333
5,q4/monodromy micro-mode,13,CURVATURE_ZERO,0.11224117900427404,0.11224117900427404
5,q4/monodromy micro-mode,14,FACE12_ANCHOR,-0.10955802403813833,0.10955802403813833
5,q4/monodromy micro-mode,15,SPREAD_CONTROL,-0.07192763635325165,0.07192763635325165
5,q4/monodromy micro-mode,16,H2047_PURIST,-0.04336872855888271,0.04336872855888271
6,kernel-drip face-denial micro-mode,1,SIGMA_MIN,-0.42780086585920823,0.42780086585920823
6,kernel-drip face-denial micro-mode,2,MONODROME_PURIST,0.39484180098051724,0.39484180098051724
6,kernel-drip face-denial micro-mode,3,BASIN_SWITCHER,0.3791334149300259,0.3791334149300259
6,kernel-drip face-denial micro-mode,4,ROBUST_REVEAL,-0.3555989796929004,0.3555989796929004
6,kernel-drip face-denial micro-mode,5,H2047_PURIST,-0.3507502080719834,0.3507502080719834
6,kernel-drip face-denial micro-mode,6,SPREAD_CONTROL,-0.3444052774988681,0.3444052774988681
6,kernel-drip face-denial micro-mode,7,CURVATURE_ZERO,0.23131961777832638,0.23131961777832638
6,kernel-drip face-denial micro-mode,8,FACE17_ANCHOR,0.20918533830748776,0.20918533830748776
6,kernel-drip face-denial micro-mode,9,FACE12_ANCHOR,0.15495417816508322,0.15495417816508322
6,kernel-drip face-denial micro-mode,10,STOCHASTIC_CONTROL,0.10922467159756588,0.10922467159756588
6,kernel-drip face-denial micro-mode,11,Q4_BALANCER,-0.09527959446538804,0.09527959446538804
6,kernel-drip face-denial micro-mode,12,EMERGENCE_SEEKER,-0.0750716833316071,0.0750716833316071
6,kernel-drip face-denial micro-mode,13,DIVERGENCE_MIN,-0.03220173450063003,0.03220173450063003
6,kernel-drip face-denial micro-mode,14,H954_CORRIDOR,0.01623372984827826,0.01623372984827826
6,kernel-drip face-denial micro-mode,15,FACE15_ANCHOR,0.005446932845565909,0.005446932845565909
6,kernel-drip face-denial micro-mode,16,BLUFF_REVEAL,-0.00082218410097194,0.00082218410097194
7,tail micro-mode,1,BLUFF_REVEAL,0.5570137660005765,0.5570137660005765
7,tail micro-mode,2,BASIN_SWITCHER,0.4605513441490069,0.4605513441490069
7,tail micro-mode,3,FACE12_ANCHOR,-0.39781119218338384,0.39781119218338384
7,tail micro-mode,4,DIVERGENCE_MIN,-0.32686471532997574,0.32686471532997574
7,tail micro-mode,5,H954_CORRIDOR,-0.23128994694150354,0.23128994694150354
7,tail micro-mode,6,Q4_BALANCER,0.22318490076126504,0.22318490076126504
7,tail micro-mode,7,SPREAD_CONTROL,0.2181778481211849,0.2181778481211849
7,tail micro-mode,8,CURVATURE_ZERO,-0.13063154354223244,0.13063154354223244
7,tail micro-mode,9,H2047_PURIST,0.12694970958244117,0.12694970958244117
7,tail micro-mode,10,MONODROME_PURIST,0.09588457255878283,0.09588457255878283
7,tail micro-mode,11,FACE15_ANCHOR,-0.09040068931496957,0.09040068931496957
7,tail micro-mode,12,ROBUST_REVEAL,-0.08866812115410205,0.08866812115410205
7,tail micro-mode,13,FACE17_ANCHOR,-0.03940611707749985,0.03940611707749985
7,tail micro-mode,14,STOCHASTIC_CONTROL,0.027121930226752376,0.027121930226752376
7,tail micro-mode,15,SIGMA_MIN,0.024208858645716334,0.024208858645716334
7,tail micro-mode,16,EMERGENCE_SEEKER,0.018499019338990973,0.018499019338990973
8,tail micro-mode,1,SPREAD_CONTROL,-0.8488584696121538,0.8488584696121538
8,tail micro-mode,2,H2047_PURIST,0.3114973236671599,0.3114973236671599
8,tail micro-mode,3,SIGMA_MIN,0.20828453472378078,0.20828453472378078
8,tail micro-mode,4,MONODROME_PURIST,-0.19095654903523843,0.19095654903523843
8,tail micro-mode,5,Q4_BALANCER,0.1632749027945425,0.1632749027945425
8,tail micro-mode,6,CURVATURE_ZERO,-0.15852230522047972,0.15852230522047972
8,tail micro-mode,7,BASIN_SWITCHER,0.1322144795266579,0.1322144795266579
8,tail micro-mode,8,BLUFF_REVEAL,0.13188130310315269,0.13188130310315269
8,tail micro-mode,9,FACE15_ANCHOR,0.0785285394706589,0.0785285394706589
8,tail micro-mode,10,STOCHASTIC_CONTROL,-0.06538909841686305,0.06538909841686305
8,tail micro-mode,11,DIVERGENCE_MIN,0.05421312802387175,0.05421312802387175
8,tail micro-mode,12,EMERGENCE_SEEKER,0.031550437097875306,0.031550437097875306
8,tail micro-mode,13,ROBUST_REVEAL,0.025684306410478412,0.025684306410478412
8,tail micro-mode,14,H954_CORRIDOR,0.02252309204043577,0.02252309204043577
8,tail micro-mode,15,FACE17_ANCHOR,0.018423468619346253,0.018423468619346253
8,tail micro-mode,16,FACE12_ANCHOR,-0.004140839347918725,0.004140839347918725
9,tail micro-mode,1,H2047_PURIST,0.5118736481995272,0.5118736481995272
9,tail micro-mode,2,ROBUST_REVEAL,-0.372270863795471,0.372270863795471
9,tail micro-mode,3,FACE17_ANCHOR,-0.36501216099419614,0.36501216099419614
9,tail micro-mode,4,SIGMA_MIN,-0.31439162203657933,0.31439162203657933
9,tail micro-mode,5,DIVERGENCE_MIN,0.3042279571103657,0.3042279571103657
9,tail micro-mode,6,BLUFF_REVEAL,-0.27641943856765544,0.27641943856765544
9,tail micro-mode,7,FACE15_ANCHOR,-0.2690361613931337,0.2690361613931337
9,tail micro-mode,8,BASIN_SWITCHER,0.18294507992588155,0.18294507992588155
9,tail micro-mode,9,H954_CORRIDOR,-0.17265267246321098,0.17265267246321098
9,tail micro-mode,10,STOCHASTIC_CONTROL,-0.1624621614355228,0.1624621614355228
9,tail micro-mode,11,SPREAD_CONTROL,0.10867678204985487,0.10867678204985487
9,tail micro-mode,12,Q4_BALANCER,0.10642465447851022,0.10642465447851022
9,tail micro-mode,13,FACE12_ANCHOR,0.0936187716063289,0.0936187716063289
9,tail micro-mode,14,MONODROME_PURIST,-0.04896173304809922,0.04896173304809922
9,tail micro-mode,15,EMERGENCE_SEEKER,-0.04482465195783533,0.04482465195783533
9,tail micro-mode,16,CURVATURE_ZERO,0.0011678560387876334,0.0011678560387876334
10,tail micro-mode,1,Q4_BALANCER,-0.6086071022643895,0.6086071022643895
10,tail micro-mode,2,H2047_PURIST,0.5053160487027136,0.5053160487027136
10,tail micro-mode,3,DIVERGENCE_MIN,-0.4486320303155477,0.4486320303155477
10,tail micro-mode,4,STOCHASTIC_CONTROL,0.21935775670744723,0.21935775670744723
10,tail micro-mode,5,FACE17_ANCHOR,0.20871607308401002,0.20871607308401002
10,tail micro-mode,6,ROBUST_REVEAL,-0.19479123500374715,0.19479123500374715
10,tail micro-mode,7,BASIN_SWITCHER,-0.12287841448591283,0.12287841448591283
10,tail micro-mode,8,H954_CORRIDOR,0.11979776668446453,0.11979776668446453
10,tail micro-mode,9,CURVATURE_ZERO,-0.08685809027973188,0.08685809027973188
10,tail micro-mode,10,FACE15_ANCHOR,-0.03934159605652934,0.03934159605652934
10,tail micro-mode,11,FACE12_ANCHOR,0.03876361793911621,0.03876361793911621
10,tail micro-mode,12,MONODROME_PURIST,0.03637899347526723,0.03637899347526723
10,tail micro-mode,13,EMERGENCE_SEEKER,-0.03549407398726922,0.03549407398726922
10,tail micro-mode,14,SIGMA_MIN,-0.02339379077071584,0.02339379077071584
10,tail micro-mode,15,BLUFF_REVEAL,-0.01350536917414295,0.01350536917414295
10,tail micro-mode,16,SPREAD_CONTROL,0.0005439635149274963,0.0005439635149274963
11,tail micro-mode,1,H954_CORRIDOR,-0.7300623388441183,0.7300623388441183
11,tail micro-mode,2,FACE15_ANCHOR,0.3306844873506956,0.3306844873506956
11,tail micro-mode,3,SIGMA_MIN,0.32922863201944463,0.32922863201944463
11,tail micro-mode,4,BLUFF_REVEAL,-0.30364062628635735,0.30364062628635735
11,tail micro-mode,5,ROBUST_REVEAL,-0.3002173602167952,0.3002173602167952
11,tail micro-mode,6,FACE17_ANCHOR,0.19164089745351395,0.19164089745351395
11,tail micro-mode,7,FACE12_ANCHOR,-0.10783565251443182,0.10783565251443182
11,tail micro-mode,8,STOCHASTIC_CONTROL,0.09422590578951821,0.09422590578951821
11,tail micro-mode,9,CURVATURE_ZERO,0.0665706492394852,0.0665706492394852
11,tail micro-mode,10,BASIN_SWITCHER,-0.052061207035340465,0.052061207035340465
11,tail micro-mode,11,H2047_PURIST,-0.043879414877667125,0.043879414877667125
11,tail micro-mode,12,EMERGENCE_SEEKER,-0.015629206129860546,0.015629206129860546
11,tail micro-mode,13,Q4_BALANCER,-0.014047451106268358,0.014047451106268358
11,tail micro-mode,14,MONODROME_PURIST,-0.012523994597022551,0.012523994597022551
11,tail micro-mode,15,DIVERGENCE_MIN,-0.004491540884200946,0.004491540884200946
11,tail micro-mode,16,SPREAD_CONTROL,-0.004222784808186664,0.004222784808186664
12,tail micro-mode,1,FACE12_ANCHOR,-0.5818871442807485,0.5818871442807485
12,tail micro-mode,2,SIGMA_MIN,-0.464752049217743,0.464752049217743
12,tail micro-mode,3,FACE15_ANCHOR,0.3754383275027922,0.3754383275027922
12,tail micro-mode,4,FACE17_ANCHOR,0.317660203354945,0.317660203354945
12,tail micro-mode,5,Q4_BALANCER,0.23872332704372268,0.23872332704372268
12,tail micro-mode,6,H2047_PURIST,0.19660969681611756,0.19660969681611756
12,tail micro-mode,7,BASIN_SWITCHER,-0.18771432012666153,0.18771432012666153
12,tail micro-mode,8,H954_CORRIDOR,0.1856578091288846,0.1856578091288846
12,tail micro-mode,9,BLUFF_REVEAL,-0.17086364211587432,0.17086364211587432
12,tail micro-mode,10,DIVERGENCE_MIN,0.05237180897079126,0.05237180897079126
12,tail micro-mode,11,STOCHASTIC_CONTROL,-0.04887011318295337,0.04887011318295337
12,tail micro-mode,12,EMERGENCE_SEEKER,-0.036970980118785336,0.036970980118785336
12,tail micro-mode,13,CURVATURE_ZERO,0.033696286065597096,0.033696286065597096
12,tail micro-mode,14,MONODROME_PURIST,-0.02792385417796559,0.02792385417796559
12,tail micro-mode,15,ROBUST_REVEAL,0.024021435035063998,0.024021435035063998
12,tail micro-mode,16,SPREAD_CONTROL,0.004087922902804997,0.004087922902804997
13,tail micro-mode,1,STOCHASTIC_CONTROL,0.7891652493472567,0.7891652493472567
13,tail micro-mode,2,FACE17_ANCHOR,-0.3908311685352358,0.3908311685352358
13,tail micro-mode,3,FACE12_ANCHOR,-0.2805211468027617,0.2805211468027617
13,tail micro-mode,4,ROBUST_REVEAL,0.21651792442850812,0.21651792442850812
13,tail micro-mode,5,BLUFF_REVEAL,-0.16304895390161456,0.16304895390161456
13,tail micro-mode,6,DIVERGENCE_MIN,0.13298936559025396,0.13298936559025396
13,tail micro-mode,7,BASIN_SWITCHER,0.11323980414654221,0.11323980414654221
13,tail micro-mode,8,SPREAD_CONTROL,-0.10985445568294154,0.10985445568294154
13,tail micro-mode,9,Q4_BALANCER,-0.10257153029835228,0.10257153029835228
13,tail micro-mode,10,EMERGENCE_SEEKER,0.09573641479246742,0.09573641479246742
13,tail micro-mode,11,SIGMA_MIN,-0.07222485384177686,0.07222485384177686
13,tail micro-mode,12,H2047_PURIST,-0.04642527963276705,0.04642527963276705
13,tail micro-mode,13,H954_CORRIDOR,-0.030310284667494733,0.030310284667494733
13,tail micro-mode,14,MONODROME_PURIST,-0.029521015374522865,0.029521015374522865
13,tail micro-mode,15,FACE15_ANCHOR,-0.028568066958630685,0.028568066958630685
13,tail micro-mode,16,CURVATURE_ZERO,0.008380925666008619,0.008380925666008619
14,tail micro-mode,1,FACE15_ANCHOR,-0.55586548921001,0.55586548921001
14,tail micro-mode,2,FACE17_ANCHOR,0.4165872477679353,0.4165872477679353
14,tail micro-mode,3,DIVERGENCE_MIN,0.40198300665131176,0.40198300665131176
14,tail micro-mode,4,BASIN_SWITCHER,-0.38826511481898635,0.38826511481898635
14,tail micro-mode,5,BLUFF_REVEAL,0.2827680396949959,0.2827680396949959
14,tail micro-mode,6,STOCHASTIC_CONTROL,0.21280939378338315,0.21280939378338315
14,tail micro-mode,7,H954_CORRIDOR,-0.18326685230857553,0.18326685230857553
14,tail micro-mode,8,MONODROME_PURIST,0.1466583340036581,0.1466583340036581
14,tail micro-mode,9,FACE12_ANCHOR,-0.09541175127752785,0.09541175127752785
14,tail micro-mode,10,ROBUST_REVEAL,-0.0636796145132327,0.0636796145132327
14,tail micro-mode,11,Q4_BALANCER,0.059300409749377746,0.059300409749377746
14,tail micro-mode,12,SPREAD_CONTROL,-0.054885283690237686,0.054885283690237686
14,tail micro-mode,13,CURVATURE_ZERO,-0.04607312879638518,0.04607312879638518
14,tail micro-mode,14,H2047_PURIST,0.04316605283109082,0.04316605283109082
14,tail micro-mode,15,EMERGENCE_SEEKER,0.031162324329925342,0.031162324329925342
14,tail micro-mode,16,SIGMA_MIN,-0.011954794730597214,0.011954794730597214
15,tail micro-mode,1,BASIN_SWITCHER,-0.45837102553726583,0.45837102553726583
15,tail micro-mode,2,FACE17_ANCHOR,-0.44454055865899084,0.44454055865899084
15,tail micro-mode,3,BLUFF_REVEAL,0.4356654569205798,0.4356654569205798
15,tail micro-mode,4,FACE15_ANCHOR,0.41866588447093767,0.41866588447093767
15,tail micro-mode,5,ROBUST_REVEAL,-0.32025509199214836,0.32025509199214836
15,tail micro-mode,6,MONODROME_PURIST,0.3101846477854506,0.3101846477854506
15,tail micro-mode,7,DIVERGENCE_MIN,0.11024449780774596,0.11024449780774596
15,tail micro-mode,8,FACE12_ANCHOR,0.070332652563917,0.070332652563917
15,tail micro-mode,9,SIGMA_MIN,-0.05171637415722938,0.05171637415722938
15,tail micro-mode,10,CURVATURE_ZERO,-0.05092676198455746,0.05092676198455746
15,tail micro-mode,11,SPREAD_CONTROL,-0.045527045070230754,0.045527045070230754
15,tail micro-mode,12,STOCHASTIC_CONTROL,0.042474640138717795,0.042474640138717795
15,tail micro-mode,13,EMERGENCE_SEEKER,0.03690584456630029,0.03690584456630029
15,tail micro-mode,14,H2047_PURIST,0.022249303281705483,0.022249303281705483
15,tail micro-mode,15,H954_CORRIDOR,0.015556607634844248,0.015556607634844248
15,tail micro-mode,16,Q4_BALANCER,-0.008473739933148624,0.008473739933148624
16,tail micro-mode,1,FACE12_ANCHOR,-0.48715600199729636,0.48715600199729636
16,tail micro-mode,2,Q4_BALANCER,-0.3980882532533469,0.3980882532533469
16,tail micro-mode,3,SIGMA_MIN,0.39739439811837046,0.39739439811837046
16,tail micro-mode,4,DIVERGENCE_MIN,0.37421627706875704,0.37421627706875704
16,tail micro-mode,5,H954_CORRIDOR,0.3258262963632608,0.3258262963632608
16,tail micro-mode,6,ROBUST_REVEAL,-0.2956251284345083,0.2956251284345083
16,tail micro-mode,7,STOCHASTIC_CONTROL,-0.2157086224317692,0.2157086224317692
16,tail micro-mode,8,BASIN_SWITCHER,0.1859412147398686,0.1859412147398686
16,tail micro-mode,9,H2047_PURIST,-0.1290938427654969,0.1290938427654969
16,tail micro-mode,10,EMERGENCE_SEEKER,-0.06878585615067952,0.06878585615067952
16,tail micro-mode,11,MONODROME_PURIST,0.058045205327172396,0.058045205327172396
16,tail micro-mode,12,FACE17_ANCHOR,-0.05657390577047433,0.05657390577047433
16,tail micro-mode,13,FACE15_ANCHOR,-0.04263108857745646,0.04263108857745646
16,tail micro-mode,14,BLUFF_REVEAL,-0.029970409477317054,0.029970409477317054
16,tail micro-mode,15,CURVATURE_ZERO,0.026116101593137656,0.026116101593137656
16,tail micro-mode,16,SPREAD_CONTROL,0.014800429881399856,0.014800429881399856
