product_row_id,left_support_row,right_support_row,left_relation_id,right_relation_id,target_relation_id,target_support_row,inside_support_flag,coefficient
338,38,37,945,943,886,12,1,1
339,46,50,964,975,886,12,1,1
340,33,30,935,930,886,12,1,1
341,33,44,935,961,886,12,1,1
342,33,29,935,928,886,12,1,1
343,51,43,977,960,886,12,1,1
344,52,37,978,943,886,12,1,1
345,39,36,951,941,886,12,1,1
346,46,35,964,940,886,12,1,1
347,46,36,964,941,886,12,1,1
348,18,17,907,897,886,12,1,1
349,21,12,910,886,886,12,1,1
350,20,15,909,895,886,12,1,1
351,18,13,907,890,886,12,1,2
352,12,42,886,956,886,12,1,1
353,40,25,954,921,886,12,1,1
354,53,16,981,896,886,12,1,1
355,12,25,886,921,886,12,1,2
356,42,12,956,886,886,12,1,1
357,25,40,921,954,886,12,1,1
358,20,53,909,981,886,12,1,1
359,25,12,921,886,886,12,1,2
360,17,18,897,907,886,12,1,1
361,12,21,886,910,886,12,1,1
362,15,16,895,896,886,12,1,1
363,13,18,890,907,886,12,1,2
364,18,12,907,886,886,12,1,2
365,27,15,926,895,886,12,1,1
366,25,17,921,897,886,12,1,1
367,26,13,923,890,886,12,1,2
368,54,23,982,916,886,12,1,1
369,13,25,890,921,886,12,1,2
370,13,26,890,923,886,12,1,2
371,40,18,954,907,886,12,1,1
372,46,45,964,962,886,12,1,1
373,47,29,965,928,886,12,1,2
374,38,29,945,928,886,12,1,2
375,48,49,969,973,886,12,1,1
376,29,47,928,965,886,12,1,2
377,45,38,962,945,886,12,1,1
378,44,33,961,935,886,12,1,1
379,43,46,960,964,886,12,1,2
380,27,54,926,982,886,12,1,1
381,25,13,921,890,886,12,1,2
382,18,40,907,954,886,12,1,1
383,12,18,886,907,886,12,1,2
384,15,23,895,916,886,12,1,1
385,17,25,897,921,886,12,1,1
386,38,30,945,930,886,12,1,1
387,48,44,969,961,886,12,1,1
388,46,43,964,960,886,12,1,2
389,30,46,930,964,886,12,1,1
390,29,38,928,945,886,12,1,2
391,31,33,932,935,886,12,1,1
392,38,43,945,960,886,12,1,2
393,39,31,951,932,886,12,1,1
394,38,45,945,962,886,12,1,1
395,41,43,955,960,886,12,1,1
396,29,46,928,964,886,12,1,2
397,44,34,961,938,886,12,1,1
398,43,41,960,955,886,12,1,1
399,45,46,962,964,886,12,1,1
400,46,29,964,928,886,12,1,2
401,39,44,951,961,886,12,1,1
402,52,43,978,960,886,12,1,1
403,46,30,964,930,886,12,1,1
404,43,38,960,945,886,12,1,2
405,49,34,973,938,886,12,1,1
406,30,38,930,945,886,12,1,1
407,43,52,960,978,886,12,1,1
408,18,54,907,982,886,12,1,1
409,20,13,909,890,886,12,1,1
410,21,40,910,954,886,12,1,1
411,12,23,886,916,886,12,1,1
412,53,18,981,907,886,12,1,1
413,40,26,954,923,886,12,1,1
414,27,12,926,886,886,12,1,1
415,18,53,907,981,886,12,1,1
416,26,40,923,954,886,12,1,1
417,54,18,982,907,886,12,1,1
418,13,16,890,896,886,12,1,1
419,40,21,954,910,886,12,1,1
420,42,17,956,897,886,12,1,1
421,25,15,921,895,886,12,1,2
422,20,12,909,886,886,12,1,1
423,17,26,897,923,886,12,1,1
424,13,23,890,916,886,12,1,1
425,15,25,895,921,886,12,1,2
426,38,44,945,961,886,12,1,2
427,48,29,969,928,886,12,1,1
428,47,30,965,930,886,12,1,1
429,43,34,960,938,886,12,1,1
430,44,38,961,945,886,12,1,2
431,45,52,962,978,886,12,1,1
432,26,17,923,897,886,12,1,1
433,27,13,926,890,886,12,1,1
434,17,42,897,956,886,12,1,1
435,12,16,886,896,886,12,1,1
436,39,43,951,960,886,12,1,1
437,41,30,955,930,886,12,1,1
438,29,33,928,935,886,12,1,1
439,45,47,962,965,886,12,1,1
440,47,45,965,962,886,12,1,1
441,46,31,964,932,886,12,1,1
442,48,43,969,960,886,12,1,1
443,30,41,930,955,886,12,1,1
444,29,34,928,938,886,12,1,1
445,31,46,932,964,886,12,1,1
446,52,45,978,962,886,12,1,1
447,39,29,951,928,886,12,1,1
448,46,49,964,973,886,12,1,1
449,30,47,930,965,886,12,1,1
450,49,46,973,964,886,12,1,1
451,43,33,960,935,886,12,1,1
452,12,27,886,926,886,12,1,1
453,12,24,886,917,886,12,1,1
454,40,27,954,926,886,12,1,1
455,53,20,981,909,886,12,1,1
456,55,18,983,907,886,12,1,1
457,28,25,927,921,886,12,1,1
458,28,26,927,923,886,12,1,1
459,28,23,927,916,886,12,1,1
460,12,14,886,893,886,12,1,1
461,13,20,890,909,886,12,1,1
462,15,20,895,909,886,12,1,1
463,17,20,897,909,886,12,1,1
464,19,18,908,907,886,12,1,1
465,22,18,912,907,886,12,1,1
466,19,16,908,896,886,12,1,1
467,28,21,927,910,886,12,1,1
468,17,27,897,926,886,12,1,1
469,15,27,895,926,886,12,1,1
470,12,20,886,909,886,12,1,1
471,13,24,890,917,886,12,1,2
472,19,42,908,956,886,12,1,1
473,28,16,927,896,886,12,1,1
474,19,25,908,921,886,12,1,1
475,22,25,912,921,886,12,1,2
476,29,32,928,934,886,12,1,2
477,29,39,928,951,886,12,1,1
478,30,48,930,969,886,12,1,1
479,31,39,932,951,886,12,1,1
480,35,38,940,945,886,12,1,2
481,36,46,941,964,886,12,1,1
482,37,47,943,965,886,12,1,1
483,37,33,943,935,886,12,1,1
484,54,27,982,926,886,12,1,1
485,40,20,954,909,886,12,1,1
486,13,27,890,926,886,12,1,1
487,19,23,908,916,886,12,1,1
488,19,26,908,923,886,12,1,1
489,28,18,927,907,886,12,1,1
490,43,48,960,969,886,12,1,1
491,44,39,961,951,886,12,1,1
492,45,39,962,951,886,12,1,1
493,37,38,943,945,886,12,1,1
494,36,34,941,938,886,12,1,1
495,37,52,943,978,886,12,1,1
496,45,48,962,969,886,12,1,1
497,44,48,961,969,886,12,1,1
498,29,48,928,969,886,12,1,1
499,43,51,960,977,886,12,1,1
500,36,41,941,955,886,12,1,1
