cycle_type,partition_desc,class_size,centralizer_size,cycle_count,support_size,fixed_points,all_transposition_distance,parity
1^20,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,1,2432902008176640000,20,0,20,0,even
1^18 2,2+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,190,12804747411456000,19,2,18,1,odd
1^17 3,3+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,2280,1067062284288000,18,3,17,2,even
1^16 2^2,2+2+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,14535,167382319104000,18,4,16,2,even
1^16 4,4+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,29070,83691159552000,17,4,16,3,odd
1^15 2 3,3+2+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,310080,7846046208000,17,5,15,3,odd
1^14 2^3,2+2+2+1+1+1+1+1+1+1+1+1+1+1+1+1+1,581400,4184557977600,17,6,14,3,odd
1^15 5,5+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,372096,6538371840000,16,5,15,4,even
1^14 2 4,4+2+1+1+1+1+1+1+1+1+1+1+1+1+1+1,3488400,697426329600,16,6,14,4,even
1^14 3^2,3+3+1+1+1+1+1+1+1+1+1+1+1+1+1+1,1550400,1569209241600,16,6,14,4,even
1^13 2^2 3,3+2+2+1+1+1+1+1+1+1+1+1+1+1+1+1,16279200,149448499200,16,7,13,4,even
1^12 2^4,2+2+2+2+1+1+1+1+1+1+1+1+1+1+1+1,13226850,183936614400,16,8,12,4,even
1^14 6,6+1+1+1+1+1+1+1+1+1+1+1+1+1+1,4651200,523069747200,15,6,14,5,odd
1^13 2 5,5+2+1+1+1+1+1+1+1+1+1+1+1+1+1,39070080,62270208000,15,7,13,5,odd
1^13 3 4,4+3+1+1+1+1+1+1+1+1+1+1+1+1+1,32558400,74724249600,15,7,13,5,odd
1^12 2 3^2,3+3+2+1+1+1+1+1+1+1+1+1+1+1+1,141086400,17244057600,15,8,12,5,odd
1^12 2^2 4,4+2+2+1+1+1+1+1+1+1+1+1+1+1+1,158722200,15328051200,15,8,12,5,odd
1^11 2^3 3,3+2+2+2+1+1+1+1+1+1+1+1+1+1+1,423259200,5748019200,15,9,11,5,odd
1^10 2^5,2+2+2+2+2+1+1+1+1+1+1+1+1+1+1,174594420,13934592000,15,10,10,5,odd
1^13 7,7+1+1+1+1+1+1+1+1+1+1+1+1+1,55814400,43589145600,14,7,13,6,even
1^12 2 6,6+2+1+1+1+1+1+1+1+1+1+1+1+1,423259200,5748019200,14,8,12,6,even
1^12 3 5,5+3+1+1+1+1+1+1+1+1+1+1+1+1,338607360,7185024000,14,8,12,6,even
1^12 4^2,4+4+1+1+1+1+1+1+1+1+1+1+1+1,158722200,15328051200,14,8,12,6,even
1^11 2 3 4,4+3+2+1+1+1+1+1+1+1+1+1+1+1,2539555200,958003200,14,9,11,6,even
1^11 2^2 5,5+2+2+1+1+1+1+1+1+1+1+1+1+1,1523733120,1596672000,14,9,11,6,even
1^11 3^3,3+3+3+1+1+1+1+1+1+1+1+1+1+1,376230400,6466521600,14,9,11,6,even
1^10 2^2 3^2,3+3+2+2+1+1+1+1+1+1+1+1+1+1,4655851200,522547200,14,10,10,6,even
1^10 2^3 4,4+2+2+2+1+1+1+1+1+1+1+1+1+1,3491888400,696729600,14,10,10,6,even
1^9 2^4 3,3+2+2+2+2+1+1+1+1+1+1+1+1+1,5819814000,418037760,14,11,9,6,even
1^8 2^6,2+2+2+2+2+2+1+1+1+1+1+1+1+1,1309458150,1857945600,14,12,8,6,even
1^12 8,8+1+1+1+1+1+1+1+1+1+1+1+1,634888800,3832012800,13,8,12,7,odd
1^11 2 7,7+2+1+1+1+1+1+1+1+1+1+1+1,4353523200,558835200,13,9,11,7,odd
1^11 3 6,6+3+1+1+1+1+1+1+1+1+1+1+1,3386073600,718502400,13,9,11,7,odd
1^11 4 5,5+4+1+1+1+1+1+1+1+1+1+1+1,3047466240,798336000,13,9,11,7,odd
1^10 2 3 5,5+3+2+1+1+1+1+1+1+1+1+1+1,22348085760,108864000,13,10,10,7,odd
1^10 2 4^2,4+4+2+1+1+1+1+1+1+1+1+1+1,10475665200,232243200,13,10,10,7,odd
1^10 2^2 6,6+2+2+1+1+1+1+1+1+1+1+1+1,13967553600,174182400,13,10,10,7,odd
1^10 3^2 4,4+3+3+1+1+1+1+1+1+1+1+1+1,9311702400,261273600,13,10,10,7,odd
1^9 2 3^3,3+3+3+2+1+1+1+1+1+1+1+1+1,20692672000,117573120,13,11,9,7,odd
1^9 2^2 3 4,4+3+2+2+1+1+1+1+1+1+1+1+1,69837768000,34836480,13,11,9,7,odd
1^9 2^3 5,5+2+2+2+1+1+1+1+1+1+1+1+1,27935107200,87091200,13,11,9,7,odd
1^8 2^3 3^2,3+3+2+2+2+1+1+1+1+1+1+1+1,69837768000,34836480,13,12,8,7,odd
1^8 2^4 4,4+2+2+2+2+1+1+1+1+1+1+1+1,39283744500,61931520,13,12,8,7,odd
1^7 2^5 3,3+2+2+2+2+2+1+1+1+1+1+1+1,41902660800,58060800,13,13,7,7,odd
1^6 2^7,2+2+2+2+2+2+2+1+1+1+1+1+1,5237832600,464486400,13,14,6,7,odd
1^11 9,9+1+1+1+1+1+1+1+1+1+1+1,6772147200,359251200,12,9,11,8,even
1^10 2 8,8+2+1+1+1+1+1+1+1+1+1+1,41902660800,58060800,12,10,10,8,even
1^10 3 7,7+3+1+1+1+1+1+1+1+1+1+1,31925836800,76204800,12,10,10,8,even
1^10 4 6,6+4+1+1+1+1+1+1+1+1+1+1,27935107200,87091200,12,10,10,8,even
1^10 5^2,5+5+1+1+1+1+1+1+1+1+1+1,13408851456,181440000,12,10,10,8,even
1^9 2 3 6,6+3+2+1+1+1+1+1+1+1+1+1,186234048000,13063680,12,11,9,8,even
1^9 2 4 5,5+4+2+1+1+1+1+1+1+1+1+1,167610643200,14515200,12,11,9,8,even
1^9 2^2 7,7+2+2+1+1+1+1+1+1+1+1+1,119721888000,20321280,12,11,9,8,even
1^9 3 4^2,4+4+3+1+1+1+1+1+1+1+1+1,69837768000,34836480,12,11,9,8,even
1^9 3^2 5,5+3+3+1+1+1+1+1+1+1+1+1,74493619200,32659200,12,11,9,8,even
1^8 2 3^2 4,4+3+3+2+1+1+1+1+1+1+1+1,419026608000,5806080,12,12,8,8,even
1^8 2^2 3 5,5+3+2+2+1+1+1+1+1+1+1+1,502831929600,4838400,12,12,8,8,even
1^8 2^2 4^2,4+4+2+2+1+1+1+1+1+1+1+1,235702467000,10321920,12,12,8,8,even
1^8 2^3 6,6+2+2+2+1+1+1+1+1+1+1+1,209513304000,11612160,12,12,8,8,even
1^8 3^4,3+3+3+3+1+1+1+1+1+1+1+1,31039008000,78382080,12,12,8,8,even
1^7 2^2 3^3,3+3+3+2+2+1+1+1+1+1+1+1,372468096000,6531840,12,13,7,8,even
1^7 2^3 3 4,4+3+2+2+2+1+1+1+1+1+1+1,838053216000,2903040,12,13,7,8,even
1^7 2^4 5,5+2+2+2+2+1+1+1+1+1+1+1,251415964800,9676800,12,13,7,8,even
1^6 2^4 3^2,3+3+2+2+2+2+1+1+1+1+1+1,488864376000,4976640,12,14,6,8,even
1^6 2^5 4,4+2+2+2+2+2+1+1+1+1+1+1,219988969200,11059200,12,14,6,8,even
1^5 2^6 3,3+2+2+2+2+2+2+1+1+1+1+1,146659312800,16588800,12,15,5,8,even
1^4 2^8,2+2+2+2+2+2+2+2+1+1+1+1,9820936125,247726080,12,16,4,8,even
1^10 10,10+1+1+1+1+1+1+1+1+1+1,67044257280,36288000,11,10,10,9,odd
1^9 2 9,9+2+1+1+1+1+1+1+1+1+1,372468096000,6531840,11,11,9,9,odd
1^9 3 8,8+3+1+1+1+1+1+1+1+1+1,279351072000,8709120,11,11,9,9,odd
1^9 4 7,7+4+1+1+1+1+1+1+1+1+1,239443776000,10160640,11,11,9,9,odd
1^9 5 6,6+5+1+1+1+1+1+1+1+1+1,223480857600,10886400,11,11,9,9,odd
1^8 2 3 7,7+3+2+1+1+1+1+1+1+1+1,1436662656000,1693440,11,12,8,9,odd
1^8 2 4 6,6+4+2+1+1+1+1+1+1+1+1,1257079824000,1935360,11,12,8,9,odd
1^8 2 5^2,5+5+2+1+1+1+1+1+1+1+1,603398315520,4032000,11,12,8,9,odd
1^8 2^2 8,8+2+2+1+1+1+1+1+1+1+1,942809868000,2580480,11,12,8,9,odd
1^8 3 4 5,5+4+3+1+1+1+1+1+1+1+1,1005663859200,2419200,11,12,8,9,odd
1^8 3^2 6,6+3+3+1+1+1+1+1+1+1+1,558702144000,4354560,11,12,8,9,odd
1^8 4^3,4+4+4+1+1+1+1+1+1+1+1,157134978000,15482880,11,12,8,9,odd
1^7 2 3 4^2,4+4+3+2+1+1+1+1+1+1+1,2514159648000,967680,11,13,7,9,odd
1^7 2 3^2 5,5+3+3+2+1+1+1+1+1+1+1,2681770291200,907200,11,13,7,9,odd
1^7 2^2 3 6,6+3+2+2+1+1+1+1+1+1+1,3352212864000,725760,11,13,7,9,odd
1^7 2^2 4 5,5+4+2+2+1+1+1+1+1+1+1,3016991577600,806400,11,13,7,9,odd
1^7 2^3 7,7+2+2+2+1+1+1+1+1+1+1,1436662656000,1693440,11,13,7,9,odd
1^7 3^3 4,4+3+3+3+1+1+1+1+1+1+1,744936192000,3265920,11,13,7,9,odd
1^6 2 3^4,3+3+3+3+2+1+1+1+1+1+1,869092224000,2799360,11,14,6,9,odd
1^6 2^2 3^2 4,4+3+3+2+2+1+1+1+1+1+1,5866372512000,414720,11,14,6,9,odd
1^6 2^3 3 5,5+3+2+2+2+1+1+1+1+1+1,4693098009600,518400,11,14,6,9,odd
1^6 2^3 4^2,4+4+2+2+2+1+1+1+1+1+1,2199889692000,1105920,11,14,6,9,odd
1^6 2^4 6,6+2+2+2+2+1+1+1+1+1+1,1466593128000,1658880,11,14,6,9,odd
1^5 2^3 3^3,3+3+3+2+2+2+1+1+1+1+1,2607276672000,933120,11,15,5,9,odd
1^5 2^4 3 4,4+3+2+2+2+2+1+1+1+1+1,4399779384000,552960,11,15,5,9,odd
1^5 2^5 5,5+2+2+2+2+2+1+1+1+1+1,1055947052160,2304000,11,15,5,9,odd
1^4 2^5 3^2,3+3+2+2+2+2+2+1+1+1+1,1466593128000,1658880,11,16,4,9,odd
1^4 2^6 4,4+2+2+2+2+2+2+1+1+1+1,549972423000,4423680,11,16,4,9,odd
1^3 2^7 3,3+2+2+2+2+2+2+2+1+1+1,209513304000,11612160,11,17,3,9,odd
1^2 2^9,2+2+2+2+2+2+2+2+2+1+1,6547290750,371589120,11,18,2,9,odd
1^9 11,11+1+1+1+1+1+1+1+1+1,609493248000,3991680,10,11,9,10,even
1^8 2 10,10+2+1+1+1+1+1+1+1+1,3016991577600,806400,10,12,8,10,even
1^8 3 9,9+3+1+1+1+1+1+1+1+1,2234808576000,1088640,10,12,8,10,even
1^8 4 8,8+4+1+1+1+1+1+1+1+1,1885619736000,1290240,10,12,8,10,even
1^8 5 7,7+5+1+1+1+1+1+1+1+1,1723995187200,1411200,10,12,8,10,even
1^8 6^2,6+6+1+1+1+1+1+1+1+1,838053216000,2903040,10,12,8,10,even
1^7 2 3 8,8+3+2+1+1+1+1+1+1+1,10056638592000,241920,10,13,7,10,even
1^7 2 4 7,7+4+2+1+1+1+1+1+1+1,8619975936000,282240,10,13,7,10,even
1^7 2 5 6,6+5+2+1+1+1+1+1+1+1,8045310873600,302400,10,13,7,10,even
1^7 2^2 9,9+2+2+1+1+1+1+1+1+1,6704425728000,362880,10,13,7,10,even
1^7 3 4 6,6+4+3+1+1+1+1+1+1+1,6704425728000,362880,10,13,7,10,even
1^7 3 5^2,5+5+3+1+1+1+1+1+1+1,3218124349440,756000,10,13,7,10,even
1^7 3^2 7,7+3+3+1+1+1+1+1+1+1,3831100416000,635040,10,13,7,10,even
1^7 4^2 5,5+4+4+1+1+1+1+1+1+1,3016991577600,806400,10,13,7,10,even
1^6 2 3 4 5,5+4+3+2+1+1+1+1+1+1,28158588057600,86400,10,14,6,10,even
1^6 2 3^2 6,6+3+3+2+1+1+1+1+1+1,15643660032000,155520,10,14,6,10,even
1^6 2 4^3,4+4+4+2+1+1+1+1+1+1,4399779384000,552960,10,14,6,10,even
1^6 2^2 3 7,7+3+2+2+1+1+1+1+1+1,20113277184000,120960,10,14,6,10,even
1^6 2^2 4 6,6+4+2+2+1+1+1+1+1+1,17599117536000,138240,10,14,6,10,even
1^6 2^2 5^2,5+5+2+2+1+1+1+1+1+1,8447576417280,288000,10,14,6,10,even
1^6 2^3 8,8+2+2+2+1+1+1+1+1+1,8799558768000,276480,10,14,6,10,even
1^6 3^2 4^2,4+4+3+3+1+1+1+1+1+1,5866372512000,414720,10,14,6,10,even
1^6 3^3 5,5+3+3+3+1+1+1+1+1+1,4171642675200,583200,10,14,6,10,even
1^5 2 3^3 4,4+3+3+3+2+1+1+1+1+1,15643660032000,155520,10,15,5,10,even
1^5 2^2 3 4^2,4+4+3+2+2+1+1+1+1+1,26398676304000,92160,10,15,5,10,even
1^5 2^2 3^2 5,5+3+3+2+2+1+1+1+1+1,28158588057600,86400,10,15,5,10,even
1^5 2^3 3 6,6+3+2+2+2+1+1+1+1+1,23465490048000,103680,10,15,5,10,even
1^5 2^3 4 5,5+4+2+2+2+1+1+1+1+1,21118941043200,115200,10,15,5,10,even
1^5 2^4 7,7+2+2+2+2+1+1+1+1+1,7542478944000,322560,10,15,5,10,even
1^5 3^5,3+3+3+3+3+1+1+1+1+1,695273779200,3499200,10,15,5,10,even
1^4 2^2 3^4,3+3+3+3+2+2+1+1+1+1,6518191680000,373248,10,16,4,10,even
1^4 2^3 3^2 4,4+3+3+2+2+2+1+1+1+1,29331862560000,82944,10,16,4,10,even
1^4 2^4 3 5,5+3+2+2+2+2+1+1+1+1,17599117536000,138240,10,16,4,10,even
1^4 2^4 4^2,4+4+2+2+2+2+1+1+1+1,8249586345000,294912,10,16,4,10,even
1^4 2^5 6,6+2+2+2+2+2+1+1+1+1,4399779384000,552960,10,16,4,10,even
1^3 2^4 3^3,3+3+3+2+2+2+2+1+1+1,6518191680000,373248,10,17,3,10,even
1^3 2^5 3 4,4+3+2+2+2+2+2+1+1+1,8799558768000,276480,10,17,3,10,even
1^3 2^6 5,5+2+2+2+2+2+2+1+1+1,1759911753600,1382400,10,17,3,10,even
1^2 2^6 3^2,3+3+2+2+2+2+2+2+1+1,1466593128000,1658880,10,18,2,10,even
1^2 2^7 4,4+2+2+2+2+2+2+2+1+1,471404934000,5160960,10,18,2,10,even
1 2^8 3,3+2+2+2+2+2+2+2+2+1,78567489000,30965760,10,19,1,10,even
2^10,2+2+2+2+2+2+2+2+2+2,654729075,3715891200,10,20,0,10,even
1^8 12,12+1+1+1+1+1+1+1+1,5028319296000,483840,9,12,8,11,odd
1^7 2 11,11+2+1+1+1+1+1+1+1,21941756928000,110880,9,13,7,11,odd
1^7 3 10,10+3+1+1+1+1+1+1+1,16090621747200,151200,9,13,7,11,odd
1^7 4 9,9+4+1+1+1+1+1+1+1,13408851456000,181440,9,13,7,11,odd
1^7 5 8,8+5+1+1+1+1+1+1+1,12067966310400,201600,9,13,7,11,odd
1^7 6 7,7+6+1+1+1+1+1+1+1,11493301248000,211680,9,13,7,11,odd
1^6 2 3 9,9+3+2+1+1+1+1+1+1,62574640128000,38880,9,14,6,11,odd
1^6 2 4 8,8+4+2+1+1+1+1+1+1,52797352608000,46080,9,14,6,11,odd
1^6 2 5 7,7+5+2+1+1+1+1+1+1,48271865241600,50400,9,14,6,11,odd
1^6 2 6^2,6+6+2+1+1+1+1+1+1,23465490048000,103680,9,14,6,11,odd
1^6 2^2 10,10+2+2+1+1+1+1+1+1,42237882086400,57600,9,14,6,11,odd
1^6 3 4 7,7+4+3+1+1+1+1+1+1,40226554368000,60480,9,14,6,11,odd
1^6 3 5 6,6+5+3+1+1+1+1+1+1,37544784076800,64800,9,14,6,11,odd
1^6 3^2 8,8+3+3+1+1+1+1+1+1,23465490048000,103680,9,14,6,11,odd
1^6 4 5^2,5+5+4+1+1+1+1+1+1,16895152834560,144000,9,14,6,11,odd
1^6 4^2 6,6+4+4+1+1+1+1+1+1,17599117536000,138240,9,14,6,11,odd
1^5 2 3 4 6,6+4+3+2+1+1+1+1+1,140792940288000,17280,9,15,5,11,odd
