mask,basis_cycle_ids,residue_edge_weight,total_basis_length,total_optical_action,total_connection_log_action,total_entropy_proxy,incidence_vector_mod2
94,1 2 3 4 6,16,36,5271552,205.22576957925725,57.2,101100111100011110100001101100
95,0 1 2 3 4 6,16,44,6346752,250.05832127771924,68.86666666666666,011111100110011110100001100100
96,5 6,8,10,1594368,58.64337930852192,17.3,011110000010000001100001000000
97,0 5 6,10,18,2669568,103.47593100698394,28.966666666666665,101101011000000001100001001000
98,1 5 6,12,18,2915328,105.55537254866378,31.633333333333336,011000110010101011100001001000
99,0 1 5 6,12,26,3990528,150.3879242471258,43.3,101011101000101011100001000000
100,2 5 6,11,15,2368512,87.82122792655699,25.700000000000003,011110001101000001101001000000
101,0 2 5 6,13,23,3443712,132.653779625019,37.36666666666667,101101010111000001101001001000
102,1 2 5 6,15,23,3689472,134.73322116669885,40.03333333333333,011000111101101011101001001000
103,0 1 2 5 6,15,31,4764672,179.5657728651609,51.7,101011100111101011101001000000
104,3 5 6,14,20,2786304,113.24565856934056,30.233333333333334,101010000011111011101001100000
105,0 3 5 6,16,28,3861504,158.0782102678026,41.900000000000006,011001011001111011101001101000
106,1 3 5 6,14,28,4107264,160.15765180948245,44.56666666666666,101100110011010001101001101000
107,0 1 3 5 6,14,36,5182464,204.99020350794444,56.233333333333334,011111101001010001101001100000
108,2 3 5 6,13,25,3560448,142.42350718737566,38.63333333333334,101010001100111011100001100000
109,0 2 3 5 6,15,33,4635648,187.25605888583766,50.3,011001010110111011100001101000
110,1 2 3 5 6,13,33,4881408,189.3355004275175,52.96666666666667,101100111100010001100001101000
111,0 1 2 3 5 6,13,41,5956608,234.1680521259795,64.63333333333333,011111100110010001100001100000
112,4 5 6,10,18,2675712,103.30603197018856,29.033333333333335,110010000010001111100000000100
113,0 4 5 6,10,26,3750912,148.1385836686506,40.7,000001011000001111100000001100
114,1 4 5 6,12,26,3996672,150.21802521033044,43.36666666666666,110100110010100101100000001100
115,0 1 4 5 6,10,34,5071872,195.05057690879244,55.03333333333333,000111101000100101100000000100
116,2 4 5 6,13,23,3449856,132.48388058822366,37.43333333333334,110010001101001111101000000100
117,0 2 4 5 6,13,31,4525056,177.31643228668565,49.099999999999994,000001010111001111101000001100
118,1 2 4 5 6,15,31,4770816,179.3958738283655,51.766666666666666,110100111101100101101000001100
119,0 1 2 4 5 6,13,39,5846016,224.2284255268275,63.43333333333334,000111100111100101101000000100
120,3 4 5 6,12,28,3867648,157.9083112310072,41.96666666666667,000110000011110101101000100100
121,0 3 4 5 6,16,36,4942848,202.74086292946924,53.63333333333334,110101011001110101101000101100
122,1 3 4 5 6,14,36,5188608,204.8203044711491,56.3,000000110011011111101000101100
123,0 1 3 4 5 6,16,44,6263808,249.65285616961108,67.96666666666667,110011101001011111101000100100
124,2 3 4 5 6,11,33,4641792,187.08615984904225,50.366666666666674,000110001100110101100000100100
125,0 2 3 4 5 6,15,41,5716992,231.9187115475043,62.03333333333333,110101010110110101100000101100
126,1 2 3 4 5 6,13,41,5962752,233.99815308918414,64.7,000000111100011111100000101100
127,0 1 2 3 4 5 6,15,49,7037952,278.83070478764614,76.36666666666666,110011100110011111100000100100
128,7,5,5,1069056,30.446359943498578,11.6,000110000000000010010000001000
129,0 7,9,13,2144256,75.2789116419606,23.266666666666666,110101011010000010010000000000
130,1 7,5,13,2390016,77.35835318364045,25.933333333333334,000000110000101000010000000000
131,0 1 7,11,21,3465216,122.19090488210247,37.6,110011101010101000010000001000
132,2 7,10,10,1843200,59.62420856153365,20.0,000110001111000010011000001000
133,0 2 7,10,18,2918400,104.45676025999568,31.666666666666664,110101010101000010011000000000
134,1 2 7,10,18,3164160,106.53620180167552,34.333333333333336,000000111111101000011000000000
135,0 1 2 7,12,26,4239360,151.36875350013753,46.0,110011100101101000011000001000
136,3 7,11,15,2260992,85.04863920431723,24.53333333333333,110010000001111000011000101000
137,0 3 7,11,23,3336192,129.88119090277925,36.2,000001011011111000011000100000
138,1 3 7,11,23,3581952,131.9606324444591,38.86666666666667,110100110001010010011000100000
139,0 1 3 7,13,31,4657152,176.79318414292112,50.53333333333334,000111101011010010011000101000
140,2 3 7,12,20,3035136,114.2264878223523,32.93333333333334,110010001110111000010000101000
141,0 2 3 7,8,28,4110336,159.05903952081434,44.6,000001010100111000010000100000
142,1 2 3 7,12,28,4356096,161.13848106249418,47.26666666666667,110100111110010010010000100000
143,0 1 2 3 7,10,36,5431296,205.97103276095618,58.93333333333333,000111100100010010010000101000
144,4 7,9,13,2150400,75.10901260516522,23.333333333333332,101010000000001100010001001100
145,0 4 7,11,21,3225600,119.94156430362725,35.0,011001011010001100010001000100
146,1 4 7,11,21,3471360,122.02100584530709,37.666666666666664,101100110000100110010001000100
147,0 1 4 7,15,29,4546560,166.8535575437691,49.333333333333336,011111101010100110010001001100
148,2 4 7,14,18,2924544,104.28686122320029,31.733333333333334,101010001111001100011001001100
149,0 2 4 7,12,26,3999744,149.11941292166233,43.4,011001010101001100011001000100
150,1 2 4 7,16,26,4245504,151.19885446334217,46.06666666666667,101100111111100110011001000100
151,0 1 2 4 7,16,34,5320704,196.03140616180417,57.733333333333334,011111100101100110011001001100
152,3 4 7,15,23,3342336,129.71129186598387,36.266666666666666,011110000001110110011001101100
153,0 3 4 7,17,31,4417536,174.5438435644459,47.93333333333334,101101011011110110011001100100
154,1 3 4 7,13,31,4663296,176.62328510612573,50.6,011000110001011100011001100100
155,0 1 3 4 7,17,39,5738496,221.45583680458776,62.26666666666667,101011101011011100011001101100
156,2 3 4 7,16,28,4116480,158.88914048401892,44.66666666666667,011110001110110110010001101100
157,0 2 3 4 7,14,36,5191680,203.72169218248098,56.333333333333336,101101010100110110010001100100
158,1 2 3 4 7,14,36,5437440,205.80113372416082,59.00000000000001,011000111110011100010001100100
159,0 1 2 3 4 7,14,44,6512640,250.63368542262282,70.66666666666666,101011100100011100010001101100
160,5 7,8,10,1760256,59.21874345342548,19.1,101010000000000011010001001000
161,0 5 7,10,18,2835456,104.0512951518875,30.766666666666666,011001011010000011010001000000
162,1 5 7,10,18,3081216,106.13073669356734,33.43333333333334,101100110000101001010001000000
163,0 1 5 7,14,26,4156416,150.96328839202937,45.1,011111101010101001010001001000
164,2 5 7,13,15,2534400,88.39659207146056,27.5,101010001111000011011001001000
165,0 2 5 7,11,23,3609600,133.2291437699226,39.166666666666664,011001010101000011011001000000
166,1 2 5 7,15,23,3855360,135.30858531160243,41.833333333333336,101100111111101001011001000000
167,0 1 2 5 7,15,31,4930560,180.14113701006445,53.5,011111100101101001011001001000
168,3 5 7,14,20,2952192,113.82102271424412,32.03333333333333,011110000001111001011001101000
169,0 3 5 7,16,28,4027392,158.65357441270615,43.7,101101011011111001011001100000
170,1 3 5 7,12,28,4273152,160.733015954386,46.36666666666667,011000110001010011011001100000
171,0 1 3 5 7,16,36,5348352,205.56556765284802,58.03333333333334,101011101011010011011001101000
172,2 3 5 7,15,25,3726336,142.9988713322792,40.43333333333334,011110001110111001010001101000
173,0 2 3 5 7,13,33,4801536,187.83142303074123,52.1,101101010100111001010001100000
174,1 2 3 5 7,13,33,5047296,189.91086457242108,54.76666666666667,011000111110010011010001100000
175,0 1 2 3 5 7,13,41,6122496,234.74341627088307,66.43333333333332,101011100100010011010001101000
176,4 5 7,8,18,2841600,103.88139611509212,30.833333333333336,000110000000001101010000001100
177,0 4 5 7,12,26,3916800,148.71394781355414,42.5,110101011010001101010000000100
178,1 4 5 7,8,26,4162560,150.79338935523398,45.166666666666664,000000110000100111010000000100
179,0 1 4 5 7,14,34,5237760,195.625941053696,56.833333333333336,110011101010100111010000001100
180,2 4 5 7,13,23,3615744,133.0592447331272,39.233333333333334,000110001111001101011000001100
181,0 2 4 5 7,13,31,4690944,177.89179643158923,50.9,110101010101001101011000000100
182,1 2 4 5 7,13,31,4936704,179.97123797326907,53.56666666666667,000000111111100111011000000100
183,0 1 2 4 5 7,15,39,6011904,224.80378967173107,65.23333333333333,110011100101100111011000001100
184,3 4 5 7,14,28,4033536,158.48367537591076,43.766666666666666,110010000001110111011000101100
185,0 3 4 5 7,14,36,5108736,203.3162270743728,55.43333333333334,000001011011110111011000100100
186,1 3 4 5 7,14,36,5354496,205.39566861605263,58.1,110100110001011101011000100100
187,0 1 3 4 5 7,16,44,6429696,250.22822031451466,69.76666666666667,000111101011011101011000101100
188,2 3 4 5 7,15,33,4807680,187.66152399394582,52.16666666666667,110010001110110111010000101100
189,0 2 3 4 5 7,11,41,5882880,232.49407569240788,63.833333333333336,000001010100110111010000100100
190,1 2 3 4 5 7,15,41,6128640,234.57351723408772,66.5,110100111110011101010000100100
191,0 1 2 3 4 5 7,13,49,7203840,279.4060689325497,78.16666666666666,000111100100011101010000101100
192,6 7,8,10,1972224,60.317355742093596,21.4,110100000010000010110000001000
193,0 6 7,8,18,3047424,105.14990744055562,33.06666666666667,000111011000000010110000000000
194,1 6 7,10,18,3293184,107.22934898223546,35.733333333333334,110010110010101000110000000000
195,0 1 6 7,8,26,4368384,152.06190068069748,47.4,000001101000101000110000001000
196,2 6 7,11,15,2746368,89.49520436012867,29.800000000000004,110100001101000010111000001000
197,0 2 6 7,11,23,3821568,134.3277560585907,41.46666666666667,000111010111000010111000000000
198,1 2 6 7,13,23,4067328,136.40719760027054,44.13333333333333,110010111101101000111000000000
199,0 1 2 6 7,11,31,5142528,181.23974929873256,55.800000000000004,000001100111101000111000001000
200,3 6 7,10,20,3164160,114.91963500291224,34.333333333333336,000000000011111000111000101000
201,0 3 6 7,14,28,4239360,159.75218670137428,46.00000000000001,110011011001111000111000100000
202,1 3 6 7,12,28,4485120,161.83162824305413,48.666666666666664,000110110011010010111000100000
203,0 1 3 6 7,14,36,5560320,206.66417994151612,60.333333333333336,110101101001010010111000101000
204,2 3 6 7,9,25,3938304,144.09748362094732,42.733333333333334,000000001100111000110000101000
205,0 2 3 6 7,13,33,5013504,188.93003531940934,54.4,110011010110111000110000100000
206,1 2 3 6 7,11,33,5259264,191.00947686108918,57.06666666666667,000110111100010010110000100000
207,0 1 2 3 6 7,13,41,6334464,235.84202855955118,68.73333333333332,110101100110010010110000101000
208,4 6 7,10,18,3053568,104.98000840376024,33.13333333333333,011000000010001100110001001100
209,0 4 6 7,12,26,4128768,149.81256010222228,44.800000000000004,101011011000001100110001000100
210,1 4 6 7,14,26,4374528,151.89200164390212,47.46666666666667,011110110010100110110001000100
211,0 1 4 6 7,14,34,5449728,196.72455334236412,59.13333333333333,101101101000100110110001001100
212,2 4 6 7,13,23,3827712,134.1578570217953,41.53333333333333,011000001101001100111001001100
213,0 2 4 6 7,15,31,4902912,178.99040872025734,53.199999999999996,101011010111001100111001000100
214,1 2 4 6 7,17,31,5148672,181.06985026193718,55.86666666666667,011110111101100110111001000100
215,0 1 2 4 6 7,17,39,6223872,225.90240196039917,67.53333333333333,101101100111100110111001001100
216,3 4 6 7,16,28,4245504,159.58228766457887,46.06666666666667,101100000011110110111001101100
217,0 3 4 6 7,18,36,5320704,204.41483936304093,57.73333333333334,011111011001110110111001100100
218,1 3 4 6 7,16,36,5566464,206.49428090472077,60.4,101010110011011100111001100100
219,0 1 3 4 6 7,16,44,6641664,251.32683260318277,72.06666666666666,011001101001011100111001101100
220,2 3 4 6 7,15,33,5019648,188.76013628261393,54.466666666666676,101100001100110110110001101100
221,0 2 3 4 6 7,17,41,6094848,233.59268798107598,66.13333333333333,011111010110110110110001100100
222,1 2 3 4 6 7,15,41,6340608,235.67212952275582,68.8,101010111100011100110001100100
223,0 1 2 3 4 6 7,15,49,7415808,280.5046812212178,80.46666666666665,011001100110011100110001101100
224,5 6 7,9,15,2663424,89.08973925202051,28.9,011000000010000011110001001000
225,0 5 6 7,11,23,3738624,133.92229095048253,40.56666666666666,101011011000000011110001000000
226,1 5 6 7,13,23,3984384,136.00173249216238,43.233333333333334,011110110010101001110001000000
227,0 1 5 6 7,13,31,5059584,180.83428419062437,54.9,101101101000101001110001001000
228,2 5 6 7,12,20,3437568,118.26758787005556,37.300000000000004,011000001101000011111001001000
229,0 2 5 6 7,14,28,4512768,163.1001395685176,48.96666666666667,101011010111000011111001000000
230,1 2 5 6 7,16,28,4758528,165.17958111019743,51.63333333333333,011110111101101001111001000000
231,0 1 2 5 6 7,16,36,5833728,210.0121328086595,63.300000000000004,101101100111101001111001001000
232,3 5 6 7,15,25,3855360,143.69201851283913,41.833333333333336,101100000011111001111001101000
233,0 3 5 6 7,17,33,4930560,188.52457021130118,53.50000000000001,011111011001111001111001100000
234,1 3 5 6 7,15,33,5176320,190.60401175298102,56.166666666666664,101010110011010011111001100000
235,0 1 3 5 6 7,15,41,6251520,235.43656345144302,67.83333333333333,011001101001010011111001101000
236,2 3 5 6 7,14,30,4629504,172.86986713087424,50.23333333333334,101100001100111001110001101000
237,0 2 3 5 6 7,16,38,5704704,217.70241882933624,61.9,011111010110111001110001100000
238,1 2 3 5 6 7,14,38,5950464,219.78186037101608,64.56666666666666,101010111100010011110001100000
239,0 1 2 3 5 6 7,14,46,7025664,264.6144120694781,76.23333333333332,011001100110010011110001101000
240,4 5 6 7,11,23,3744768,133.75239191368712,40.63333333333333,110100000010001101110000001100
241,0 4 5 6 7,11,31,4819968,178.58494361214917,52.300000000000004,000111011000001101110000000100
242,1 4 5 6 7,13,31,5065728,180.66438515382902,54.96666666666666,110010110010100111110000000100
243,0 1 4 5 6 7,11,39,6140928,225.49693685229101,66.63333333333333,000001101000100111110000001100
244,2 4 5 6 7,14,28,4518912,162.93024053172223,49.03333333333334,110100001101001101111000001100
245,0 2 4 5 6 7,14,36,5594112,207.76279223018423,60.699999999999996,000111010111001101111000000100
246,1 2 4 5 6 7,16,36,5839872,209.84223377186407,63.36666666666667,110010111101100111111000000100
247,0 1 2 4 5 6 7,14,44,6915072,254.67478547032607,75.03333333333333,000001100111100111111000001100
248,3 4 5 6 7,13,33,4936704,188.35467117450577,53.56666666666667,000000000011110111111000101100
249,0 3 4 5 6 7,17,41,6011904,233.18722287296782,65.23333333333333,110011011001110111111000100100
250,1 3 4 5 6 7,15,41,6257664,235.26666441464766,67.89999999999999,000110110011011101111000100100
251,0 1 3 4 5 6 7,17,49,7332864,280.09921611310966,79.56666666666666,110101101001011101111000101100
252,2 3 4 5 6 7,12,38,5710848,217.53251979254082,61.966666666666676,000000001100110111110000101100
253,0 2 3 4 5 6 7,16,46,6786048,262.3650714910029,73.63333333333333,110011010110110111110000100100
254,1 2 3 4 5 6 7,14,46,7031808,264.4445130326827,76.3,000110111100011101110000100100
255,0 1 2 3 4 5 6 7,16,54,8107008,309.2770647311447,87.96666666666665,110101100110011101110000101100
256,8,5,5,374784,26.810725003903457,4.066666666666666,011000000001000000000110000000
257,0 8,11,13,1449984,71.64327670236548,15.733333333333333,101011011011000000000110001000
258,1 8,13,13,1695744,73.72271824404532,18.4,011110110001101010000110001000
259,0 1 8,13,21,2770944,118.55526994250735,30.066666666666666,101101101011101010000110000000
260,2 8,8,10,1148928,55.98857362193853,12.466666666666667,011000001110000000001110000000
261,0 2 8,10,18,2224128,100.82112532040055,24.133333333333333,101011010100000000001110001000
262,1 2 8,16,18,2469888,102.9005668620804,26.8,011110111110101010001110001000
263,0 1 2 8,12,26,3545088,147.73311856054244,38.46666666666667,101101100100101010001110000000
264,3 8,11,15,1566720,81.4130042647221,17.0,101100000000111010001110100000
265,0 3 8,17,23,2641920,126.24555596318413,28.666666666666668,011111011010111010001110101000
266,1 3 8,11,23,2887680,128.32499750486397,31.333333333333332,101010110000010000001110101000
267,0 1 3 8,11,31,3962880,173.157549203326,43.0,011001101010010000001110100000
268,2 3 8,14,20,2340864,110.59085288275718,25.400000000000002,101100001111111010000110100000
269,0 2 3 8,16,28,3416064,155.42340458121922,37.06666666666666,011111010101111010000110101000
270,1 2 3 8,14,28,3661824,157.50284612289906,39.733333333333334,101010111111010000000110101000
271,0 1 2 3 8,10,36,4737024,202.33539782136106,51.39999999999999,011001100101010000000110100000
272,4 8,11,13,1456128,71.4733776655701,15.799999999999999,110100000001001110000111000100
273,0 4 8,15,21,2531328,116.30592936403212,27.466666666666665,000111011011001110000111001100
274,1 4 8,13,21,2777088,118.38537090571197,30.133333333333333,110010110001100100000111001100
275,0 1 4 8,11,29,3852288,163.217922604174,41.8,000001101011100100000111000100
276,2 4 8,14,18,2230272,100.65122628360517,24.2,110100001110001110001111000100
277,0 2 4 8,14,26,3305472,145.48377798206718,35.86666666666666,000111010100001110001111001100
278,1 2 4 8,16,26,3551232,147.56321952374702,38.53333333333333,110010111110100100001111001100
279,0 1 2 4 8,10,34,4626432,192.39577122220905,50.2,000001100100100100001111000100
280,3 4 8,9,23,2648064,126.07565692638875,28.73333333333333,000000000000110100001111100100
281,0 3 4 8,17,31,3723264,170.90820862485077,40.400000000000006,110011011010110100001111101100
282,1 3 4 8,15,31,3969024,172.9876501665306,43.06666666666666,000110110000011110001111101100
283,0 1 3 4 8,17,39,5044224,217.82020186499264,54.733333333333334,110101101010011110001111100100
284,2 3 4 8,12,28,3422208,155.2535055444238,37.13333333333334,000000001111110100000111100100
285,0 2 3 4 8,16,36,4497408,200.08605724288586,48.8,110011010101110100000111101100
286,1 2 3 4 8,18,36,4743168,202.1654987845657,51.46666666666667,000110111111011110000111101100
287,0 1 2 3 4 8,16,44,5818368,246.9980504830277,63.133333333333326,110101100101011110000111100100
288,5 8,8,10,1065984,55.58310851383036,11.566666666666666,110100000001000001000111000000
289,0 5 8,12,18,2141184,100.41566021229238,23.23333333333333,000111011011000001000111001000
290,1 5 8,14,18,2386944,102.49510175397222,25.900000000000002,110010110001101011000111001000
291,0 1 5 8,12,26,3462144,147.32765345243425,37.56666666666666,000001101011101011000111000000
292,2 5 8,11,15,1840128,84.76095713186544,19.96666666666667,110100001110000001001111000000
293,0 2 5 8,11,23,2915328,129.59350883032747,31.633333333333333,000111010100000001001111001000
294,1 2 5 8,17,23,3161088,131.6729503720073,34.3,110010111110101011001111001000
295,0 1 2 5 8,11,31,4236288,176.50550207046933,45.96666666666667,000001100100101011001111000000
296,3 5 8,10,20,2257920,110.185387774649,24.5,000000000000111011001111100000
297,0 3 5 8,18,28,3333120,155.01793947311103,36.16666666666667,110011011010111011001111101000
298,1 3 5 8,12,28,3578880,157.09738101479087,38.83333333333333,000110110000010001001111101000
299,0 1 3 5 8,14,36,4654080,201.9299327132529,50.5,110101101010010001001111100000
300,2 3 5 8,13,25,3032064,139.3632363926841,32.900000000000006,000000001111111011000111100000
301,0 2 3 5 8,17,33,4107264,184.1957880911461,44.56666666666666,110011010101111011000111101000
302,1 2 3 5 8,15,33,4353024,186.27522963282595,47.233333333333334,000110111111010001000111101000
303,0 1 2 3 5 8,13,41,5428224,231.10778133128795,58.89999999999999,110101100101010001000111100000
304,4 5 8,10,18,2147328,100.245761175497,23.3,011000000001001111000110000100
305,0 4 5 8,16,26,3222528,145.07831287395902,34.96666666666667,101011011011001111000110001100
306,1 4 5 8,14,26,3468288,147.15775441563886,37.633333333333326,011110110001100101000110001100
307,0 1 4 5 8,14,34,4543488,191.9903061141009,49.3,101101101011100101000110000100
308,2 4 5 8,13,23,2921472,129.42360979353208,31.7,011000001110001111001110000100
309,0 2 4 5 8,15,31,3996672,174.2561614919941,43.36666666666666,101011010100001111001110001100
310,1 2 4 5 8,17,31,4242432,176.33560303367395,46.03333333333333,011110111110100101001110001100
311,0 1 2 4 5 8,13,39,5317632,221.16815473213595,57.7,101101100100100101001110000100
312,3 4 5 8,12,28,3339264,154.84804043631564,36.233333333333334,101100000000110101001110100100
313,0 3 4 5 8,18,36,4414464,199.68059213477767,47.900000000000006,011111011010110101001110101100
314,1 3 4 5 8,16,36,4660224,201.7600336764575,50.56666666666666,101010110000011111001110101100
