morphism_id,source_node_id,target_node_id,path_length,source_is_morse_source,target_is_sink,source_sink_path,node_id_0,node_id_1,node_id_2,node_id_3,node_id_4,node_id_5,node_id_6,min_signature_union_count,max_signature_union_count
96,38,44,3,0,1,0,38,41,28,44,-1,-1,-1,155,185
97,38,42,2,0,0,0,38,41,42,-1,-1,-1,-1,155,183
98,38,44,3,0,1,0,38,41,42,44,-1,-1,-1,155,185
99,38,44,2,0,1,0,38,41,44,-1,-1,-1,-1,155,185
100,38,44,1,0,1,0,38,44,-1,-1,-1,-1,-1,155,185
101,41,41,0,0,0,0,41,-1,-1,-1,-1,-1,-1,167,167
102,41,28,1,0,0,0,41,28,-1,-1,-1,-1,-1,167,169
103,41,34,2,0,0,0,41,28,34,-1,-1,-1,-1,167,177
104,41,44,3,0,1,0,41,28,34,44,-1,-1,-1,167,185
105,41,44,2,0,1,0,41,28,44,-1,-1,-1,-1,167,185
106,41,42,1,0,0,0,41,42,-1,-1,-1,-1,-1,167,183
107,41,44,2,0,1,0,41,42,44,-1,-1,-1,-1,167,185
108,41,44,1,0,1,0,41,44,-1,-1,-1,-1,-1,167,185
109,42,42,0,0,0,0,42,-1,-1,-1,-1,-1,-1,183,183
110,42,44,1,0,1,0,42,44,-1,-1,-1,-1,-1,183,185
111,43,43,0,1,0,0,43,-1,-1,-1,-1,-1,-1,155,155
112,43,13,1,1,0,0,43,13,-1,-1,-1,-1,-1,155,165
113,43,19,2,1,0,0,43,13,19,-1,-1,-1,-1,155,173
114,43,34,3,1,0,0,43,13,19,34,-1,-1,-1,155,177
115,43,44,4,1,1,1,43,13,19,34,44,-1,-1,155,185
116,43,44,3,1,1,1,43,13,19,44,-1,-1,-1,155,185
117,43,28,2,1,0,0,43,13,28,-1,-1,-1,-1,155,169
118,43,34,3,1,0,0,43,13,28,34,-1,-1,-1,155,177
119,43,44,4,1,1,1,43,13,28,34,44,-1,-1,155,185
120,43,44,3,1,1,1,43,13,28,44,-1,-1,-1,155,185
121,43,41,2,1,0,0,43,13,41,-1,-1,-1,-1,155,167
122,43,28,3,1,0,0,43,13,41,28,-1,-1,-1,155,169
123,43,34,4,1,0,0,43,13,41,28,34,-1,-1,155,177
124,43,44,5,1,1,1,43,13,41,28,34,44,-1,155,185
125,43,44,4,1,1,1,43,13,41,28,44,-1,-1,155,185
126,43,42,3,1,0,0,43,13,41,42,-1,-1,-1,155,183
127,43,44,4,1,1,1,43,13,41,42,44,-1,-1,155,185
128,43,44,3,1,1,1,43,13,41,44,-1,-1,-1,155,185
129,43,44,2,1,1,1,43,13,44,-1,-1,-1,-1,155,185
130,43,28,1,1,0,0,43,28,-1,-1,-1,-1,-1,155,169
131,43,34,2,1,0,0,43,28,34,-1,-1,-1,-1,155,177
132,43,44,3,1,1,1,43,28,34,44,-1,-1,-1,155,185
133,43,44,2,1,1,1,43,28,44,-1,-1,-1,-1,155,185
134,43,38,1,1,0,0,43,38,-1,-1,-1,-1,-1,155,155
135,43,13,2,1,0,0,43,38,13,-1,-1,-1,-1,155,165
136,43,19,3,1,0,0,43,38,13,19,-1,-1,-1,155,173
137,43,34,4,1,0,0,43,38,13,19,34,-1,-1,155,177
138,43,44,5,1,1,1,43,38,13,19,34,44,-1,155,185
139,43,44,4,1,1,1,43,38,13,19,44,-1,-1,155,185
140,43,28,3,1,0,0,43,38,13,28,-1,-1,-1,155,169
141,43,34,4,1,0,0,43,38,13,28,34,-1,-1,155,177
142,43,44,5,1,1,1,43,38,13,28,34,44,-1,155,185
143,43,44,4,1,1,1,43,38,13,28,44,-1,-1,155,185
144,43,41,3,1,0,0,43,38,13,41,-1,-1,-1,155,167
145,43,28,4,1,0,0,43,38,13,41,28,-1,-1,155,169
146,43,34,5,1,0,0,43,38,13,41,28,34,-1,155,177
147,43,44,6,1,1,1,43,38,13,41,28,34,44,155,185
148,43,44,5,1,1,1,43,38,13,41,28,44,-1,155,185
149,43,42,4,1,0,0,43,38,13,41,42,-1,-1,155,183
150,43,44,5,1,1,1,43,38,13,41,42,44,-1,155,185
151,43,44,4,1,1,1,43,38,13,41,44,-1,-1,155,185
152,43,44,3,1,1,1,43,38,13,44,-1,-1,-1,155,185
153,43,28,2,1,0,0,43,38,28,-1,-1,-1,-1,155,169
154,43,34,3,1,0,0,43,38,28,34,-1,-1,-1,155,177
155,43,44,4,1,1,1,43,38,28,34,44,-1,-1,155,185
156,43,44,3,1,1,1,43,38,28,44,-1,-1,-1,155,185
157,43,41,2,1,0,0,43,38,41,-1,-1,-1,-1,155,167
158,43,28,3,1,0,0,43,38,41,28,-1,-1,-1,155,169
159,43,34,4,1,0,0,43,38,41,28,34,-1,-1,155,177
160,43,44,5,1,1,1,43,38,41,28,34,44,-1,155,185
161,43,44,4,1,1,1,43,38,41,28,44,-1,-1,155,185
162,43,42,3,1,0,0,43,38,41,42,-1,-1,-1,155,183
163,43,44,4,1,1,1,43,38,41,42,44,-1,-1,155,185
164,43,44,3,1,1,1,43,38,41,44,-1,-1,-1,155,185
165,43,44,2,1,1,1,43,38,44,-1,-1,-1,-1,155,185
166,43,41,1,1,0,0,43,41,-1,-1,-1,-1,-1,155,167
167,43,28,2,1,0,0,43,41,28,-1,-1,-1,-1,155,169
168,43,34,3,1,0,0,43,41,28,34,-1,-1,-1,155,177
169,43,44,4,1,1,1,43,41,28,34,44,-1,-1,155,185
170,43,44,3,1,1,1,43,41,28,44,-1,-1,-1,155,185
171,43,42,2,1,0,0,43,41,42,-1,-1,-1,-1,155,183
172,43,44,3,1,1,1,43,41,42,44,-1,-1,-1,155,185
173,43,44,2,1,1,1,43,41,44,-1,-1,-1,-1,155,185
174,43,44,1,1,1,1,43,44,-1,-1,-1,-1,-1,155,185
175,44,44,0,0,1,0,44,-1,-1,-1,-1,-1,-1,185,185
