start_index,success,F,K,norm,nit,best_codeword_abs_corr,best_codeword_weight,message
27,True,1.0,1.0,3.0986809407534484e-05,4,0.7071647803061452,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
28,True,1.0,1.0,5.155624779091195e-05,2,0.8166212445940791,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
29,True,1.062447254780327,1.0307508208972365,3.53828410551519,4,0.8164965809305933,16,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
30,False,1.0000003209047437,1.000000160452359,0.00012164689834232851,14,0.6049576015273161,16,ABNORMAL: 
31,True,1.4448548592664312,1.2020211559146665,3.361095849806469,9,1.0000000000000002,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
32,True,1.0000002307140337,1.0000001153570102,0.0001417550676433846,9,0.999999988026511,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
33,True,1.4448548592664259,1.2020211559146643,3.3610956473820295,7,0.9999999999999997,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
34,True,1.0000000285392217,1.0000000142696108,0.0003683697678795363,22,0.6493401873509297,8,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
35,False,1.0000001481652705,1.0000000740826325,0.00017794415093579604,12,0.6041240567058401,12,ABNORMAL: 
36,True,1.444854859266432,1.202021155914667,3.3610958568418914,13,1.0000000000000002,8,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
37,True,1.0000002458280692,1.000000122914027,0.00013132790011597813,35,0.6195082185632742,8,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
38,True,1.0000000174373482,1.000000008718674,0.0004500628913556654,23,0.6834323661533283,16,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
39,True,1.0,1.0,3.626538450716866e-05,4,0.666667229457423,12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
40,True,1.0000000184260591,1.0000000092130295,0.00033735004924412434,29,0.6575790906496312,12,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
41,True,1.4448548592664314,1.2020211559146667,3.361095850382933,9,1.0000000000000002,8,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
42,True,1.0000000052047322,1.000000002602366,0.000554646196491297,20,0.6677814567386262,8,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
43,True,1.0000001913992285,1.0000000956996096,0.00015124594657190446,14,0.880155927984345,12,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
44,False,1.0000002692516805,1.0000001346258311,0.00012169621893980377,18,0.24039560883661368,8,ABNORMAL: 
45,True,1.4448548592664316,1.2020211559146667,3.3610958530886688,8,1.0,16,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
