combo_id,feature_id_0,feature_id_1,feature_id_2,feature_id_3,feature_id_4,projection_rank,kernel_dimension,unique_exact_column_count,unique_projective_column_count,duplicate_projective_class_count,total_hit_count,total_miss_count,total_multi_count,perfect_generator_count,worst_generator_miss_count,best_flag,selected_hcgrade_flag
103,3,4,5,11,23,33,23,36,36,12,98,406,63,0,56,0,0
104,3,4,7,10,18,33,23,36,36,12,83,421,34,0,54,0,0
105,3,4,7,10,21,33,23,36,36,12,86,418,30,0,54,0,0
106,3,4,7,11,18,33,23,36,36,12,91,413,41,0,55,0,0
107,3,4,7,11,21,33,23,36,36,12,93,411,37,0,55,0,0
108,3,4,9,10,18,33,23,36,36,12,135,369,73,0,53,0,0
109,3,4,9,10,21,33,23,36,36,12,124,380,69,0,55,0,0
110,3,4,9,11,18,33,23,36,36,12,118,386,69,0,55,0,0
111,3,4,9,11,21,33,23,36,36,12,109,395,61,0,55,0,0
112,3,4,10,18,22,33,23,36,36,12,98,406,42,0,55,0,0
113,3,4,10,18,23,33,23,36,36,12,130,374,72,0,53,0,0
114,3,4,10,21,22,33,23,36,36,12,102,402,40,0,55,0,0
115,3,4,10,21,23,33,23,36,36,12,116,388,64,0,55,0,0
116,3,4,11,18,22,33,23,36,36,12,94,410,41,0,55,0,0
117,3,4,11,18,23,33,23,36,36,12,118,386,65,0,53,0,0
118,3,4,11,21,22,33,23,36,36,12,98,406,39,0,55,0,0
119,3,4,11,21,23,33,23,36,36,12,109,395,59,0,55,0,0
120,3,5,7,10,18,33,23,36,36,12,103,401,59,0,54,0,0
121,3,5,7,10,20,33,23,36,36,12,99,405,51,0,56,0,0
122,3,5,7,11,18,33,23,36,36,12,92,412,52,0,56,0,0
123,3,5,7,11,20,33,23,36,36,12,89,415,44,0,56,0,0
124,3,5,9,10,18,33,23,36,36,12,169,335,121,0,52,0,0
125,3,5,9,10,20,33,23,36,36,12,136,368,96,0,56,0,0
126,3,5,9,11,18,33,23,36,36,12,143,361,101,0,54,0,0
127,3,5,9,11,20,33,23,36,36,12,108,396,72,0,56,0,0
128,3,5,10,18,22,33,23,36,36,12,126,378,82,0,55,0,0
129,3,5,10,18,23,33,23,36,36,12,162,342,107,0,53,0,0
130,3,5,10,20,22,33,23,36,36,12,102,402,51,0,56,0,0
131,3,5,10,20,23,33,23,36,36,12,113,391,67,0,55,0,0
132,3,5,11,18,22,33,23,36,36,12,111,393,70,0,56,0,0
133,3,5,11,18,23,33,23,36,36,12,155,349,113,0,53,0,0
134,3,5,11,20,22,33,23,36,36,12,100,404,54,0,56,0,0
135,3,5,11,20,23,33,23,36,36,12,114,390,78,0,56,0,0
136,3,7,10,18,20,33,23,36,36,12,115,389,51,0,53,0,0
137,3,7,10,18,21,33,23,36,36,12,122,382,63,0,54,0,0
138,3,7,10,20,21,33,23,36,36,12,111,393,47,0,54,0,0
139,3,7,11,18,20,33,23,36,36,12,100,404,47,0,55,0,0
140,3,7,11,18,21,33,23,36,36,12,109,395,55,0,55,0,0
141,3,7,11,20,21,33,23,36,36,12,116,388,52,0,53,0,0
142,3,9,10,18,20,33,23,36,36,12,154,350,98,0,54,0,0
143,3,9,10,18,21,33,23,36,36,12,169,335,111,0,54,0,0
144,3,9,10,20,21,33,23,36,36,12,131,373,72,0,54,0,0
145,3,9,11,18,20,33,23,36,36,12,145,359,93,0,52,0,0
146,3,9,11,18,21,33,23,36,36,12,172,332,114,0,50,0,0
147,3,9,11,20,21,33,23,36,36,12,136,368,84,0,55,0,0
148,3,10,18,20,22,33,23,36,36,12,111,393,62,0,54,0,0
149,3,10,18,20,23,33,23,36,36,12,135,369,82,0,54,0,0
150,3,10,18,21,22,33,23,36,36,12,139,365,90,0,53,0,0
