rank,slack_row_id,face_id,vertex_id,face_type_code,face_size,slack_x1e12,face_weight,tau_num,tau_den
71,1566,28,44,1,6,769800358920,-841,769800358920,841
72,1477,27,7,1,6,769800358920,-784,96225044865,98
73,1478,27,8,1,6,769800358920,-784,96225044865,98
74,1491,27,25,1,6,769800358920,-784,96225044865,98
75,1492,27,26,1,6,769800358920,-784,96225044865,98
76,1510,27,46,1,6,769800358920,-784,96225044865,98
77,1511,27,47,1,6,769800358920,-784,96225044865,98
78,1334,24,26,1,6,622781572642,-625,622781572642,625
79,1341,24,35,1,6,622781572642,-625,622781572642,625
80,1356,24,54,1,6,622781572642,-625,622781572642,625
81,1014,18,30,1,6,384900179460,-361,384900179460,361
82,1016,18,32,1,6,384900179460,-361,384900179460,361
83,1022,18,40,1,6,384900179460,-361,384900179460,361
84,1024,18,44,1,6,384900179460,-361,384900179460,361
85,1026,18,46,1,6,384900179460,-361,384900179460,361
86,1027,18,49,1,6,384900179460,-361,384900179460,361
87,1255,23,2,1,6,622781572642,-576,311390786321,288
88,1263,23,12,1,6,622781572642,-576,311390786321,288
89,1305,23,57,1,6,622781572642,-576,311390786321,288
90,955,17,25,1,6,384900179460,-324,32075014955,27
91,957,17,29,1,6,384900179460,-324,32075014955,27
92,959,17,31,1,6,384900179460,-324,32075014955,27
93,960,17,34,1,6,384900179460,-324,32075014955,27
94,966,17,42,1,6,384900179460,-324,32075014955,27
95,967,17,43,1,6,384900179460,-324,32075014955,27
96,1690,31,4,1,6,1245563145284,-1024,311390786321,256
97,1719,31,33,1,6,1245563145284,-1024,311390786321,256
98,1725,31,39,1,6,1245563145284,-1024,311390786321,256
99,1320,24,12,1,6,769800358920,-625,153960071784,125
100,1321,24,13,1,6,769800358920,-625,153960071784,125
101,1330,24,22,1,6,769800358920,-625,153960071784,125
102,1332,24,24,1,6,769800358920,-625,153960071784,125
103,1344,24,40,1,6,769800358920,-625,153960071784,125
104,1347,24,43,1,6,769800358920,-625,153960071784,125
105,1162,21,16,1,6,622781572642,-484,311390786321,242
106,1175,21,32,1,6,622781572642,-484,311390786321,242
107,1189,21,49,1,6,622781572642,-484,311390786321,242
108,1257,23,5,1,6,769800358920,-576,32075014955,24
109,1258,23,6,1,6,769800358920,-576,32075014955,24
110,1295,23,45,1,6,769800358920,-576,32075014955,24
111,1299,23,49,1,6,769800358920,-576,32075014955,24
112,1300,23,50,1,6,769800358920,-576,32075014955,24
113,1304,23,54,1,6,769800358920,-576,32075014955,24
114,1696,31,10,1,6,1392581931561,-1024,1392581931561,1024
115,1698,31,12,1,6,1392581931561,-1024,1392581931561,1024
116,1712,31,26,1,6,1392581931561,-1024,1392581931561,1024
117,1713,31,27,1,6,1392581931561,-1024,1392581931561,1024
118,1729,31,45,1,6,1392581931561,-1024,1392581931561,1024
119,1731,31,47,1,6,1392581931561,-1024,1392581931561,1024
120,1592,29,14,1,6,1245563145284,-900,311390786321,225
121,1597,29,19,1,6,1245563145284,-900,311390786321,225
122,1606,29,28,1,6,1245563145284,-900,311390786321,225
123,1527,28,5,1,6,1245563145284,-841,1245563145284,841
124,1556,28,34,1,6,1245563145284,-841,1245563145284,841
125,1574,28,54,1,6,1245563145284,-841,1245563145284,841
126,1579,29,1,1,6,1392581931561,-900,154731325729,100
127,1580,29,2,1,6,1392581931561,-900,154731325729,100
128,1608,29,30,1,6,1392581931561,-900,154731325729,100
129,1610,29,32,1,6,1392581931561,-900,154731325729,100
130,1624,29,50,1,6,1392581931561,-900,154731325729,100
131,1625,29,51,1,6,1392581931561,-900,154731325729,100
132,1472,27,2,1,6,1245563145284,-784,311390786321,196
133,1501,27,37,1,6,1245563145284,-784,311390786321,196
134,1505,27,41,1,6,1245563145284,-784,311390786321,196
135,1148,21,2,1,6,769800358920,-484,192450089730,121
136,1149,21,3,1,6,769800358920,-484,192450089730,121
137,1165,21,21,1,6,769800358920,-484,192450089730,121
138,1167,21,23,1,6,769800358920,-484,192450089730,121
139,1183,21,41,1,6,769800358920,-484,192450089730,121
140,1184,21,42,1,6,769800358920,-484,192450089730,121
141,1687,31,1,1,6,1630463324743,-1024,1630463324743,1024
142,1689,31,3,1,6,1630463324743,-1024,1630463324743,1024
143,1718,31,32,1,6,1630463324743,-1024,1630463324743,1024
144,1720,31,34,1,6,1630463324743,-1024,1630463324743,1024
145,1722,31,36,1,6,1630463324743,-1024,1630463324743,1024
146,1724,31,38,1,6,1630463324743,-1024,1630463324743,1024
147,1533,28,11,1,6,1392581931561,-841,1392581931561,841
148,1535,28,13,1,6,1392581931561,-841,1392581931561,841
149,1538,28,16,1,6,1392581931561,-841,1392581931561,841
150,1540,28,18,1,6,1392581931561,-841,1392581931561,841
151,1563,28,41,1,6,1392581931561,-841,1392581931561,841
152,1565,28,43,1,6,1392581931561,-841,1392581931561,841
153,1015,18,31,1,6,622781572642,-361,622781572642,361
154,1023,18,43,1,6,622781572642,-361,622781572642,361
155,1025,18,45,1,6,622781572642,-361,622781572642,361
156,1697,31,11,1,6,1777482111021,-1024,1777482111021,1024
157,1711,31,25,1,6,1777482111021,-1024,1777482111021,1024
158,1730,31,46,1,6,1777482111021,-1024,1777482111021,1024
159,1475,27,5,1,6,1392581931561,-784,1392581931561,784
160,1479,27,9,1,6,1392581931561,-784,1392581931561,784
161,1493,27,27,1,6,1392581931561,-784,1392581931561,784
162,1494,27,28,1,6,1392581931561,-784,1392581931561,784
163,1509,27,45,1,6,1392581931561,-784,1392581931561,784
164,1512,27,48,1,6,1392581931561,-784,1392581931561,784
165,1588,29,10,1,6,1630463324743,-900,1630463324743,900
166,1591,29,13,1,6,1630463324743,-900,1630463324743,900
167,1593,29,15,1,6,1630463324743,-900,1630463324743,900
168,1596,29,18,1,6,1630463324743,-900,1630463324743,900
169,1604,29,26,1,6,1630463324743,-900,1630463324743,900
170,1607,29,29,1,6,1630463324743,-900,1630463324743,900
171,956,17,27,1,6,622781572642,-324,311390786321,162
172,958,17,30,1,6,622781572642,-324,311390786321,162
173,968,17,44,1,6,622781572642,-324,311390786321,162
174,1528,28,6,1,6,1630463324743,-841,56222873267,29
175,1529,28,7,1,6,1630463324743,-841,56222873267,29
176,1552,28,30,1,6,1630463324743,-841,56222873267,29
177,1555,28,33,1,6,1630463324743,-841,56222873267,29
178,1570,28,50,1,6,1630463324743,-841,56222873267,29
179,1573,28,53,1,6,1630463324743,-841,56222873267,29
180,714,13,1,1,6,384900179460,-196,96225044865,49
181,715,13,3,1,6,384900179460,-196,96225044865,49
182,717,13,6,1,6,384900179460,-196,96225044865,49
183,718,13,8,1,6,384900179460,-196,96225044865,49
184,725,13,17,1,6,384900179460,-196,96225044865,49
185,727,13,19,1,6,384900179460,-196,96225044865,49
186,1578,29,0,1,6,1777482111021,-900,592494037007,300
187,1609,29,31,1,6,1777482111021,-900,592494037007,300
188,1626,29,52,1,6,1777482111021,-900,592494037007,300
189,1317,24,9,1,6,1245563145284,-625,1245563145284,625
190,1338,24,32,1,6,1245563145284,-625,1245563145284,625
191,1361,24,59,1,6,1245563145284,-625,1245563145284,625
192,1470,27,0,1,6,1630463324743,-784,1630463324743,784
193,1473,27,3,1,6,1630463324743,-784,1630463324743,784
194,1499,27,35,1,6,1630463324743,-784,1630463324743,784
195,1502,27,38,1,6,1630463324743,-784,1630463324743,784
196,1504,27,40,1,6,1630463324743,-784,1630463324743,784
197,1506,27,42,1,6,1630463324743,-784,1630463324743,784
198,1534,28,12,1,6,1777482111021,-841,1777482111021,841
199,1539,28,17,1,6,1777482111021,-841,1777482111021,841
200,1562,28,40,1,6,1777482111021,-841,1777482111021,841
201,1002,18,18,1,6,769800358920,-361,769800358920,361
202,1003,18,19,1,6,769800358920,-361,769800358920,361
203,1010,18,26,1,6,769800358920,-361,769800358920,361
204,1012,18,28,1,6,769800358920,-361,769800358920,361
205,1035,18,57,1,6,769800358920,-361,769800358920,361
206,1036,18,58,1,6,769800358920,-361,769800358920,361
207,1265,23,15,1,6,1245563145284,-576,311390786321,144
208,1286,23,36,1,6,1245563145284,-576,311390786321,144
209,1294,23,44,1,6,1245563145284,-576,311390786321,144
210,1686,31,0,1,6,2253244897385,-1024,2253244897385,1024
211,1688,31,2,1,6,2253244897385,-1024,2253244897385,1024
212,1716,31,30,1,6,2253244897385,-1024,2253244897385,1024
213,1717,31,31,1,6,2253244897385,-1024,2253244897385,1024
214,1721,31,35,1,6,2253244897385,-1024,2253244897385,1024
215,1723,31,37,1,6,2253244897385,-1024,2253244897385,1024
216,1319,24,11,1,6,1392581931561,-625,1392581931561,625
217,1322,24,14,1,6,1392581931561,-625,1392581931561,625
218,1328,24,20,1,6,1392581931561,-625,1392581931561,625
219,1331,24,23,1,6,1392581931561,-625,1392581931561,625
220,1345,24,41,1,6,1392581931561,-625,1392581931561,625
221,1348,24,44,1,6,1392581931561,-625,1392581931561,625
222,1476,27,6,1,6,1777482111021,-784,1777482111021,784
223,1495,27,29,1,6,1777482111021,-784,1777482111021,784
224,1513,27,49,1,6,1777482111021,-784,1777482111021,784
225,1692,31,6,1,6,2400263683663,-1024,2400263683663,1024
226,1705,31,19,1,6,2400263683663,-1024,2400263683663,1024
227,1708,31,22,1,6,2400263683663,-1024,2400263683663,1024
228,952,17,22,1,6,769800358920,-324,64150029910,27
229,953,17,23,1,6,769800358920,-324,64150029910,27
230,971,17,47,1,6,769800358920,-324,64150029910,27
231,972,17,48,1,6,769800358920,-324,64150029910,27
232,975,17,51,1,6,769800358920,-324,64150029910,27
233,977,17,53,1,6,769800358920,-324,64150029910,27
234,1259,23,7,1,6,1392581931561,-576,154731325729,64
235,1261,23,9,1,6,1392581931561,-576,154731325729,64
236,1296,23,46,1,6,1392581931561,-576,154731325729,64
237,1298,23,48,1,6,1392581931561,-576,154731325729,64
238,1302,23,52,1,6,1392581931561,-576,154731325729,64
239,1303,23,53,1,6,1392581931561,-576,154731325729,64
240,609,11,4,0,5,350487408079,-144,350487408079,144
241,619,11,14,0,5,350487408079,-144,350487408079,144
242,649,11,44,0,5,350487408079,-144,350487408079,144
243,654,11,49,0,5,350487408079,-144,350487408079,144
244,659,11,54,0,5,350487408079,-144,350487408079,144
245,1589,29,11,1,6,2253244897385,-900,450648979477,180
246,1590,29,12,1,6,2253244897385,-900,450648979477,180
247,1594,29,16,1,6,2253244897385,-900,450648979477,180
248,1595,29,17,1,6,2253244897385,-900,450648979477,180
249,1603,29,25,1,6,2253244897385,-900,450648979477,180
250,1605,29,27,1,6,2253244897385,-900,450648979477,180
251,1153,21,7,1,6,1245563145284,-484,311390786321,121
252,1170,21,26,1,6,1245563145284,-484,311390786321,121
253,1198,21,58,1,6,1245563145284,-484,311390786321,121
254,1691,31,5,1,6,2638145076845,-1024,2638145076845,1024
255,1695,31,9,1,6,2638145076845,-1024,2638145076845,1024
256,1701,31,15,1,6,2638145076845,-1024,2638145076845,1024
257,1704,31,18,1,6,2638145076845,-1024,2638145076845,1024
258,1709,31,23,1,6,2638145076845,-1024,2638145076845,1024
259,1710,31,24,1,6,2638145076845,-1024,2638145076845,1024
260,1314,24,6,1,6,1630463324743,-625,1630463324743,625
261,1316,24,8,1,6,1630463324743,-625,1630463324743,625
262,1337,24,31,1,6,1630463324743,-625,1630463324743,625
263,1339,24,33,1,6,1630463324743,-625,1630463324743,625
264,1358,24,56,1,6,1630463324743,-625,1630463324743,625
265,1359,24,57,1,6,1630463324743,-625,1630463324743,625
266,1583,29,5,1,6,2400263683663,-900,2400263683663,900
267,1601,29,23,1,6,2400263683663,-900,2400263683663,900
268,1617,29,39,1,6,2400263683663,-900,2400263683663,900
269,1530,28,8,1,6,2253244897385,-841,2253244897385,841
270,1531,28,9,1,6,2253244897385,-841,2253244897385,841
271,1553,28,31,1,6,2253244897385,-841,2253244897385,841
272,1554,28,32,1,6,2253244897385,-841,2253244897385,841
273,1571,28,51,1,6,2253244897385,-841,2253244897385,841
274,1572,28,52,1,6,2253244897385,-841,2253244897385,841
275,1266,23,16,1,6,1630463324743,-576,1630463324743,576
276,1269,23,19,1,6,1630463324743,-576,1630463324743,576
277,1285,23,35,1,6,1630463324743,-576,1630463324743,576
278,1289,23,39,1,6,1630463324743,-576,1630463324743,576
279,1292,23,42,1,6,1630463324743,-576,1630463324743,576
280,1293,23,43,1,6,1630463324743,-576,1630463324743,576
281,1318,24,10,1,6,1777482111021,-625,1777482111021,625
282,1329,24,21,1,6,1777482111021,-625,1777482111021,625
283,1346,24,42,1,6,1777482111021,-625,1777482111021,625
284,1543,28,21,1,6,2400263683663,-841,2400263683663,841
285,1550,28,28,1,6,2400263683663,-841,2400263683663,841
286,1558,28,36,1,6,2400263683663,-841,2400263683663,841
287,1471,27,1,1,6,2253244897385,-784,2253244897385,784
288,1474,27,4,1,6,2253244897385,-784,2253244897385,784
289,1500,27,36,1,6,2253244897385,-784,2253244897385,784
290,1503,27,39,1,6,2253244897385,-784,2253244897385,784
291,1507,27,43,1,6,2253244897385,-784,2253244897385,784
292,1508,27,44,1,6,2253244897385,-784,2253244897385,784
293,1146,21,0,1,6,1392581931561,-484,1392581931561,484
294,1150,21,4,1,6,1392581931561,-484,1392581931561,484
295,1164,21,20,1,6,1392581931561,-484,1392581931561,484
296,1166,21,22,1,6,1392581931561,-484,1392581931561,484
297,1182,21,40,1,6,1392581931561,-484,1392581931561,484
298,1186,21,44,1,6,1392581931561,-484,1392581931561,484
299,563,10,13,0,5,350487408079,-121,350487408079,121
300,579,10,29,0,5,350487408079,-121,350487408079,121
301,589,10,39,0,5,350487408079,-121,350487408079,121
302,593,10,43,0,5,350487408079,-121,350487408079,121
303,604,10,59,0,5,350487408079,-121,350487408079,121
304,1584,29,6,1,6,2638145076845,-900,527629015369,180
305,1585,29,7,1,6,2638145076845,-900,527629015369,180
306,1599,29,21,1,6,2638145076845,-900,527629015369,180
307,1600,29,22,1,6,2638145076845,-900,527629015369,180
308,1614,29,36,1,6,2638145076845,-900,527629015369,180
309,1616,29,38,1,6,2638145076845,-900,527629015369,180
310,1693,31,7,1,6,3023045256305,-1024,3023045256305,1024
311,1694,31,8,1,6,3023045256305,-1024,3023045256305,1024
312,1702,31,16,1,6,3023045256305,-1024,3023045256305,1024
313,1703,31,17,1,6,3023045256305,-1024,3023045256305,1024
314,1706,31,20,1,6,3023045256305,-1024,3023045256305,1024
315,1707,31,21,1,6,3023045256305,-1024,3023045256305,1024
316,1481,27,11,1,6,2400263683663,-784,2400263683663,784
317,1515,27,51,1,6,2400263683663,-784,2400263683663,784
318,1522,27,58,1,6,2400263683663,-784,2400263683663,784
319,1260,23,8,1,6,1777482111021,-576,592494037007,192
320,1297,23,47,1,6,1777482111021,-576,592494037007,192
321,1301,23,51,1,6,1777482111021,-576,592494037007,192
322,1542,28,20,1,6,2638145076845,-841,2638145076845,841
323,1545,28,23,1,6,2638145076845,-841,2638145076845,841
324,1548,28,26,1,6,2638145076845,-841,2638145076845,841
325,1551,28,29,1,6,2638145076845,-841,2638145076845,841
326,1557,28,35,1,6,2638145076845,-841,2638145076845,841
327,1561,28,39,1,6,2638145076845,-841,2638145076845,841
328,716,13,4,1,6,622781572642,-196,311390786321,98
329,719,13,9,1,6,622781572642,-196,311390786321,98
330,726,13,18,1,6,622781572642,-196,311390786321,98
331,1586,29,8,1,6,3023045256305,-900,604609051261,180
332,1587,29,9,1,6,3023045256305,-900,604609051261,180
333,1598,29,20,1,6,3023045256305,-900,604609051261,180
334,1602,29,24,1,6,3023045256305,-900,604609051261,180
335,1613,29,35,1,6,3023045256305,-900,604609051261,180
336,1615,29,37,1,6,3023045256305,-900,604609051261,180
337,1480,27,10,1,6,2638145076845,-784,2638145076845,784
338,1482,27,12,1,6,2638145076845,-784,2638145076845,784
339,1516,27,52,1,6,2638145076845,-784,2638145076845,784
340,1517,27,53,1,6,2638145076845,-784,2638145076845,784
341,1519,27,55,1,6,2638145076845,-784,2638145076845,784
342,1521,27,57,1,6,2638145076845,-784,2638145076845,784
343,1151,21,5,1,6,1630463324743,-484,148223938613,44
344,1154,21,8,1,6,1630463324743,-484,148223938613,44
345,1169,21,25,1,6,1630463324743,-484,148223938613,44
346,1172,21,28,1,6,1630463324743,-484,148223938613,44
347,1195,21,55,1,6,1630463324743,-484,148223938613,44
348,1197,21,57,1,6,1630463324743,-484,148223938613,44
349,987,18,3,1,6,1245563145284,-361,1245563145284,361
350,1007,18,23,1,6,1245563145284,-361,1245563145284,361
351,1031,18,53,1,6,1245563145284,-361,1245563145284,361
352,498,9,3,0,5,350487408079,-100,350487408079,100
353,514,9,19,0,5,350487408079,-100,350487408079,100
354,529,9,34,0,5,350487408079,-100,350487408079,100
355,537,9,42,0,5,350487408079,-100,350487408079,100
356,548,9,58,0,5,350487408079,-100,350487408079,100
357,1544,28,22,1,6,3023045256305,-841,3023045256305,841
358,1546,28,24,1,6,3023045256305,-841,3023045256305,841
359,1547,28,25,1,6,3023045256305,-841,3023045256305,841
360,1549,28,27,1,6,3023045256305,-841,3023045256305,841
361,1559,28,37,1,6,3023045256305,-841,3023045256305,841
362,1560,28,38,1,6,3023045256305,-841,3023045256305,841
363,1313,24,5,1,6,2253244897385,-625,450648979477,125
364,1315,24,7,1,6,2253244897385,-625,450648979477,125
365,1336,24,30,1,6,2253244897385,-625,450648979477,125
366,1340,24,34,1,6,2253244897385,-625,450648979477,125
367,1357,24,55,1,6,2253244897385,-625,450648979477,125
368,1360,24,58,1,6,2253244897385,-625,450648979477,125
369,1147,21,1,1,6,1777482111021,-484,1777482111021,484
370,1168,21,24,1,6,1777482111021,-484,1777482111021,484
371,1185,21,43,1,6,1777482111021,-484,1777482111021,484
372,1309,24,1,1,6,2400263683663,-625,2400263683663,625
373,1325,24,17,1,6,2400263683663,-625,2400263683663,625
374,1352,24,48,1,6,2400263683663,-625,2400263683663,625
375,948,17,18,1,6,1245563145284,-324,311390786321,81
376,964,17,38,1,6,1245563145284,-324,311390786321,81
377,981,17,57,1,6,1245563145284,-324,311390786321,81
378,1483,27,13,1,6,3023045256305,-784,3023045256305,784
379,1484,27,14,1,6,3023045256305,-784,3023045256305,784
380,1514,27,50,1,6,3023045256305,-784,3023045256305,784
381,1518,27,54,1,6,3023045256305,-784,3023045256305,784
382,1520,27,56,1,6,3023045256305,-784,3023045256305,784
383,1523,27,59,1,6,3023045256305,-784,3023045256305,784
384,999,18,15,1,6,1392581931561,-361,1392581931561,361
385,1001,18,17,1,6,1392581931561,-361,1392581931561,361
386,1009,18,25,1,6,1392581931561,-361,1392581931561,361
387,1013,18,29,1,6,1392581931561,-361,1392581931561,361
388,1033,18,55,1,6,1392581931561,-361,1392581931561,361
389,1037,18,59,1,6,1392581931561,-361,1392581931561,361
390,1267,23,17,1,6,2253244897385,-576,2253244897385,576
391,1268,23,18,1,6,2253244897385,-576,2253244897385,576
392,1287,23,37,1,6,2253244897385,-576,2253244897385,576
393,1288,23,38,1,6,2253244897385,-576,2253244897385,576
394,1290,23,40,1,6,2253244897385,-576,2253244897385,576
395,1291,23,41,1,6,2253244897385,-576,2253244897385,576
396,720,13,10,1,6,769800358920,-196,192450089730,49
397,721,13,11,1,6,769800358920,-196,192450089730,49
398,728,13,20,1,6,769800358920,-196,192450089730,49
399,729,13,21,1,6,769800358920,-196,192450089730,49
400,753,13,45,1,6,769800358920,-196,192450089730,49
401,754,13,46,1,6,769800358920,-196,192450089730,49
402,1270,23,20,1,6,2400263683663,-576,2400263683663,576
403,1279,23,29,1,6,2400263683663,-576,2400263683663,576
404,1284,23,34,1,6,2400263683663,-576,2400263683663,576
405,1308,24,0,1,6,2638145076845,-625,527629015369,125
406,1312,24,4,1,6,2638145076845,-625,527629015369,125
407,1324,24,16,1,6,2638145076845,-625,527629015369,125
408,1326,24,18,1,6,2638145076845,-625,527629015369,125
409,1351,24,47,1,6,2638145076845,-625,527629015369,125
410,1353,24,49,1,6,2638145076845,-625,527629015369,125
411,951,17,21,1,6,1392581931561,-324,154731325729,36
412,954,17,24,1,6,1392581931561,-324,154731325729,36
413,970,17,46,1,6,1392581931561,-324,154731325729,36
414,973,17,49,1,6,1392581931561,-324,154731325729,36
415,976,17,52,1,6,1392581931561,-324,154731325729,36
416,978,17,54,1,6,1392581931561,-324,154731325729,36
417,468,8,28,0,5,350487408079,-81,350487408079,81
418,473,8,33,0,5,350487408079,-81,350487408079,81
419,483,8,48,0,5,350487408079,-81,350487408079,81
420,488,8,53,0,5,350487408079,-81,350487408079,81
421,492,8,57,0,5,350487408079,-81,350487408079,81
422,986,18,2,1,6,1630463324743,-361,85813859197,19
423,988,18,4,1,6,1630463324743,-361,85813859197,19
424,1005,18,21,1,6,1630463324743,-361,85813859197,19
425,1006,18,22,1,6,1630463324743,-361,85813859197,19
426,1029,18,51,1,6,1630463324743,-361,85813859197,19
427,1032,18,54,1,6,1630463324743,-361,85813859197,19
428,1271,23,21,1,6,2638145076845,-576,2638145076845,576
429,1274,23,24,1,6,2638145076845,-576,2638145076845,576
430,1277,23,27,1,6,2638145076845,-576,2638145076845,576
431,1278,23,28,1,6,2638145076845,-576,2638145076845,576
432,1280,23,30,1,6,2638145076845,-576,2638145076845,576
433,1283,23,33,1,6,2638145076845,-576,2638145076845,576
434,1152,21,6,1,6,2253244897385,-484,2253244897385,484
435,1155,21,9,1,6,2253244897385,-484,2253244897385,484
436,1171,21,27,1,6,2253244897385,-484,2253244897385,484
437,1173,21,29,1,6,2253244897385,-484,2253244897385,484
438,1196,21,56,1,6,2253244897385,-484,2253244897385,484
439,1199,21,59,1,6,2253244897385,-484,2253244897385,484
440,1310,24,2,1,6,3023045256305,-625,604609051261,125
441,1311,24,3,1,6,3023045256305,-625,604609051261,125
442,1323,24,15,1,6,3023045256305,-625,604609051261,125
443,1327,24,19,1,6,3023045256305,-625,604609051261,125
444,1349,24,45,1,6,3023045256305,-625,604609051261,125
445,1350,24,46,1,6,3023045256305,-625,604609051261,125
446,606,11,1,0,5,700974816159,-144,233658272053,48
447,608,11,3,0,5,700974816159,-144,233658272053,48
448,615,11,10,0,5,700974816159,-144,233658272053,48
449,618,11,13,0,5,700974816159,-144,233658272053,48
450,647,11,42,0,5,700974816159,-144,233658272053,48
451,648,11,43,0,5,700974816159,-144,233658272053,48
452,650,11,45,0,5,700974816159,-144,233658272053,48
453,653,11,48,0,5,700974816159,-144,233658272053,48
454,655,11,50,0,5,700974816159,-144,233658272053,48
455,658,11,53,0,5,700974816159,-144,233658272053,48
456,1000,18,16,1,6,1777482111021,-361,1777482111021,361
457,1011,18,27,1,6,1777482111021,-361,1777482111021,361
458,1034,18,56,1,6,1777482111021,-361,1777482111021,361
459,1156,21,10,1,6,2400263683663,-484,2400263683663,484
460,1179,21,37,1,6,2400263683663,-484,2400263683663,484
461,1193,21,53,1,6,2400263683663,-484,2400263683663,484
462,947,17,17,1,6,1630463324743,-324,1630463324743,324
463,949,17,19,1,6,1630463324743,-324,1630463324743,324
464,963,17,37,1,6,1630463324743,-324,1630463324743,324
465,965,17,39,1,6,1630463324743,-324,1630463324743,324
466,982,17,58,1,6,1630463324743,-324,1630463324743,324
467,983,17,59,1,6,1630463324743,-324,1630463324743,324
468,1272,23,22,1,6,3023045256305,-576,3023045256305,576
469,1273,23,23,1,6,3023045256305,-576,3023045256305,576
470,1275,23,25,1,6,3023045256305,-576,3023045256305,576
471,1276,23,26,1,6,3023045256305,-576,3023045256305,576
472,1281,23,31,1,6,3023045256305,-576,3023045256305,576
473,1282,23,32,1,6,3023045256305,-576,3023045256305,576
474,1157,21,11,1,6,2638145076845,-484,2638145076845,484
475,1160,21,14,1,6,2638145076845,-484,2638145076845,484
476,1177,21,35,1,6,2638145076845,-484,2638145076845,484
