shell,family,trial,gap,Dq,Dp,ratio_Dq_over_Dp,target_w_over_2,margin_ratio_minus_target,p_min,p_max,p_cv
12,gibbs_coordinate,46,0.13931119000376196,0.1895975388701959,0.008381058144405658,22.622148134928754,6.0,16.622148134928754,0.03006409584684354,0.04922463009729237,0.12802389010395437
12,gibbs_coordinate,47,3.905010974798377,6.79009554119843,0.4808474277333422,14.121101932906527,6.0,8.121101932906527,0.00035374374363405945,0.08288869494460979,0.8808057212485001
12,gibbs_coordinate,48,0.22963349413220596,0.31032618898838965,0.013448782476030612,23.074667877294864,6.0,17.074667877294864,0.028276408540024126,0.05548595996024264,0.16338244062140958
12,gibbs_coordinate,49,2.343612139657983,3.1290132675401328,0.13090018798035827,23.903810344486633,6.0,17.903810344486633,0.011553161101393488,0.0779001073000054,0.492299992393909
12,gibbs_coordinate,50,2.1597330558918326,2.9334181415792577,0.1289475142812375,22.748931283633784,6.0,16.748931283633784,0.009020054315839077,0.07676783109831135,0.479686562698259
12,gibbs_coordinate,51,3.840191938567039,7.082339175389155,0.540357872803686,13.106756710403653,6.0,7.106756710403653,2.3187208199838272e-06,0.08268866949856653,0.9230786653694399
12,gibbs_coordinate,52,0.9134799955743002,1.2274998672323933,0.05233664527634887,23.453927181440978,6.0,17.453927181440978,0.021266874527200375,0.06302076425669702,0.32132982538602806
12,gibbs_coordinate,53,0.16631412809799023,0.22476100498913648,0.009741146148524376,23.07336339709718,6.0,17.07336339709718,0.031855815778622676,0.05436971807150281,0.1393153371936557
12,gibbs_coordinate,54,3.2911571675341595,4.526305546553221,0.20585806316984362,21.987506716308623,6.0,15.987506716308623,0.0029915355049136183,0.0798936536915962,0.5939787236058348
12,gibbs_coordinate,55,4.198934856503763,5.988309294941904,0.2982290730730234,20.07956244251085,6.0,14.079562442510849,0.0006728778120965751,0.08318503184360311,0.7112652224374559
12,gibbs_coordinate,56,0.14313287669540797,0.1934479503287212,0.008385845605552202,23.068389215351264,6.0,17.068389215351264,0.03289214345046044,0.05286763191745713,0.1293011188341941
12,gibbs_coordinate,57,3.7156144720297655,5.269462988833715,0.2589747528006583,20.347400400415868,6.0,14.347400400415868,0.00041191816737773103,0.08281122270130127,0.6464340387177021
12,gibbs_coordinate,58,1.3379111360073905,1.8129568967722218,0.0791742934608052,22.89830218276234,6.0,16.89830218276234,0.01586381184366419,0.0710468052487569,0.3877773613479741
12,gibbs_coordinate,59,4.014620636876092,5.607378427075077,0.2654596316998308,21.12328112251597,6.0,15.12328112251597,0.0009954255956211658,0.08301336743683309,0.6698649562281537
12,gibbs_coordinate,60,2.640157999326293,3.6814644128646012,0.1735510689230514,21.212571237442962,6.0,15.212571237442962,0.0038738893539961472,0.07794854535881113,0.5494966574860096
12,gibbs_coordinate,61,0.2449770318375507,0.3383588304532796,0.015563633102621478,21.740349969846548,6.0,15.740349969846548,0.026295528384044448,0.05146955887431546,0.17020998447329638
12,gibbs_coordinate,62,0.8431826905056707,1.1269116681748104,0.047288162944856604,23.830734754676726,6.0,17.830734754676726,0.022061690837639685,0.07149992828448071,0.3060630716860229
12,gibbs_coordinate,63,2.099637209482361,2.837366553720114,0.12295489070629216,23.076483883002737,6.0,17.076483883002737,0.00669141156593853,0.07313523052673182,0.474069675649194
12,gibbs_coordinate,64,1.2516951852935811,1.6638147148084794,0.06868658825248306,24.223283717230366,6.0,18.223283717230366,0.013130938067121104,0.07647694826109659,0.36511354357371295
