cut_id,left_addr,right_addr,positive_crossing_section_count,reverse_crossing_section_count,total_crossing_section_count,signed_crossing_section_count,positive_crossing_coeff_sum,reverse_crossing_coeff_sum,total_crossing_coeff_sum,signed_crossing_coeff_sum,positive_crossing_coeff_square_sum,reverse_crossing_coeff_square_sum,total_crossing_coeff_square_sum,signed_crossing_coeff_square_sum,projection_count_flag,projection_coeff_flag,projection_coeff_square_flag
87,87,88,52741,149435,202176,-96694,94688,272256,366944,-177568,293494,943754,1237248,-650260,1,1,1
88,88,89,52671,149751,202422,-97080,95408,271376,366784,-175968,299166,934942,1234108,-635776,1,1,1
89,89,90,52431,151011,203442,-98580,94320,273568,367888,-179248,293334,940622,1233956,-647288,1,1,1
90,90,91,52221,151671,203892,-99450,94276,273876,368152,-179600,293710,939598,1233308,-645888,1,1,1
91,91,92,51880,152814,204694,-100934,93104,275984,369088,-182880,288122,945122,1233244,-657000,1,1,1
92,92,93,51772,154190,205962,-102418,91884,278044,369928,-186160,281302,950242,1231544,-668940,1,1,1
93,93,94,51339,155241,206580,-103902,90616,280056,370672,-189440,275608,955660,1231268,-680052,1,1,1
94,94,95,51115,155959,207074,-104844,90440,280232,370672,-189792,275072,953984,1229056,-678912,1,1,1
95,95,96,50697,157025,207722,-106328,89088,282160,371248,-193072,268764,959380,1228144,-690616,1,1,1
96,96,97,50216,158152,208368,-107936,87688,284040,371728,-196352,262952,964020,1226972,-701068,1,1,1
97,97,98,49936,158846,208782,-108910,87416,284120,371536,-196704,262080,962112,1224192,-700032,1,1,1
98,98,99,49528,159410,208938,-109882,87120,284176,371296,-197056,261864,960764,1222628,-698900,1,1,1
99,99,100,48963,160453,209416,-111490,85600,285936,371536,-200336,255838,965190,1221028,-709352,1,1,1
100,100,101,48521,160983,209504,-112462,85244,285932,371176,-200688,255510,963730,1219240,-708220,1,1,1
101,101,102,47862,161808,209670,-113946,83640,287608,371248,-203968,249208,968540,1217748,-719332,1,1,1
102,102,103,47384,162302,209686,-114918,83224,287544,370768,-204320,248760,966960,1215720,-718200,1,1,1
103,103,104,46926,162798,209724,-115872,82784,287456,370240,-204672,248144,965176,1213320,-717032,1,1,1
104,104,105,46528,163342,209870,-116814,82320,287344,369664,-205024,247032,962924,1209956,-715892,1,1,1
105,105,106,46050,163734,209784,-117684,81832,287208,369040,-205376,246488,960980,1207468,-714492,1,1,1
106,106,107,45844,163914,209758,-118070,82176,285952,368128,-203776,250560,950568,1201128,-700008,1,1,1
107,107,108,45059,164979,210038,-119920,80352,287912,368264,-207560,243714,955414,1199128,-711700,1,1,1
108,108,109,44249,166047,210296,-121798,78480,289824,368304,-211344,236722,960062,1196784,-723340,1,1,1
109,109,110,43376,167020,210396,-123644,76560,291688,368248,-215128,229752,964832,1194584,-735080,1,1,1
110,110,111,42496,167882,210378,-125386,74592,293504,368096,-218912,222512,970096,1192608,-747584,1,1,1
111,111,112,41535,168771,210306,-127236,72576,295272,367848,-222696,215442,974718,1190160,-759276,1,1,1
112,112,113,40532,169618,210150,-129086,70512,296992,367504,-226480,208312,979280,1187592,-770968,1,1,1
113,113,114,39514,170342,209856,-130828,68400,298664,367064,-230264,200916,984388,1185304,-783472,1,1,1
114,114,115,38456,171026,209482,-132570,66240,300288,366528,-234048,193456,989432,1182888,-795976,1,1,1
115,115,116,37304,171770,209074,-134466,64032,301864,365896,-237832,186456,993768,1180224,-807312,1,1,1
116,116,117,36138,172482,208620,-136344,61776,303392,365168,-241616,179024,997976,1177000,-818952,1,1,1
117,117,118,34931,173121,208052,-138190,59472,304872,364344,-245400,171570,1002262,1173832,-830692,1,1,1
118,118,119,33635,173721,207356,-140086,57120,306304,363424,-249184,164426,1006454,1170880,-842028,1,1,1
119,119,120,32316,174252,206568,-141936,54720,307688,362408,-252968,156920,1010640,1167560,-853720,1,1,1
120,120,121,30973,174755,205728,-143782,52272,309024,361296,-256752,149306,1014766,1164072,-865460,1,1,1
121,121,122,29727,175223,204950,-145496,49776,310312,360088,-260536,140690,1019470,1160160,-878780,1,1,1
122,122,123,28305,175679,203984,-147374,47232,311552,358784,-264320,132906,1023326,1156232,-890420,1,1,1
123,123,124,26834,176054,202888,-149220,44640,312744,357384,-268104,125116,1027276,1152392,-902160,1,1,1
124,124,125,25321,176387,201708,-151066,42000,313888,355888,-271888,117266,1031166,1148432,-913900,1,1,1
125,125,126,23766,176678,200444,-152912,39312,314984,354296,-275672,109356,1034996,1144352,-925640,1,1,1
126,126,127,22164,176954,199118,-154790,36576,316032,352608,-279456,101356,1038636,1139992,-937280,1,1,1
127,127,128,20515,177151,197666,-156636,33792,317032,350824,-283240,93346,1042366,1135712,-949020,1,1,1
128,128,129,18783,177315,196098,-158532,30960,317984,348944,-287024,85634,1045990,1131624,-960356,1,1,1
129,129,130,17135,177409,194544,-160274,28080,318888,346968,-290808,77194,1050054,1127248,-972860,1,1,1
130,130,131,15491,177507,192998,-162016,25152,319744,344896,-294592,68602,1053966,1122568,-985364,1,1,1
131,131,132,13670,177536,191206,-163866,22176,320552,342728,-298376,60372,1057428,1117800,-997056,1,1,1
132,132,133,11807,177523,189330,-165716,19152,321312,340464,-302160,52082,1060830,1112912,-1008748,1,1,1
133,133,134,9902,177468,187370,-167566,16080,322024,338104,-305944,43732,1064172,1107904,-1020440,1,1,1
134,134,135,7955,177371,185326,-169416,12960,322688,335648,-309728,35322,1067454,1102776,-1032132,1,1,1
135,135,136,5915,177227,183142,-171312,9792,323304,333096,-313512,27218,1070686,1097904,-1043468,1,1,1
136,136,137,3878,177036,180914,-173158,6576,323872,330448,-317296,18688,1073896,1092584,-1055208,1,1,1
137,137,138,1930,176830,178760,-174900,3312,324392,327704,-321080,9696,1077408,1087104,-1067712,1,1,1
138,138,139,0,176614,176614,-176614,0,324864,324864,-324864,0,1081032,1081032,-1081032,1,1,1
139,139,140,976,177390,178366,-176414,2168,327000,329168,-324832,6200,1088860,1095060,-1082660,1,1,1
140,140,141,1940,178154,180094,-176214,4288,329088,333376,-324800,12112,1096400,1108512,-1084288,1,1,1
141,141,142,2880,178894,181774,-176014,6360,331128,337488,-324768,17896,1103812,1121708,-1085916,1,1,1
142,142,143,3808,179622,183430,-175814,8384,333120,341504,-324736,23392,1110936,1134328,-1087544,1,1,1
143,143,144,4431,180105,184536,-175674,10420,333852,344272,-323432,31392,1112104,1143496,-1080712,1,1,1
144,144,145,5046,180580,185626,-175534,12432,334560,346992,-322128,39312,1113192,1152504,-1073880,1,1,1
145,145,146,5652,181040,186692,-175388,14420,335244,349664,-320824,47132,1114260,1161392,-1067128,1,1,1
146,146,147,6250,181492,187742,-175242,16384,335904,352288,-319520,54872,1115248,1170120,-1060376,1,1,1
147,147,148,6827,181929,188756,-175102,18324,336540,354864,-318216,62624,1116168,1178792,-1053544,1,1,1
148,148,149,7396,182358,189754,-174962,20240,337152,357392,-316912,70296,1117008,1187304,-1046712,1,1,1
149,149,150,7954,182770,190724,-174816,22132,337740,359872,-315608,77876,1117836,1195712,-1039960,1,1,1
150,150,151,8504,183174,191678,-174670,24000,338304,362304,-314304,85376,1118584,1203960,-1033208,1,1,1
151,151,152,9120,184270,193390,-175150,26112,343664,369776,-317552,96008,1168920,1264928,-1072912,1,1,1
152,152,153,9304,184611,193915,-175307,28222,343680,371902,-315458,123188,1163880,1287068,-1040692,1,1,1
153,153,154,9650,185250,194900,-175600,30288,344576,374864,-314288,139152,1163904,1303056,-1024752,1,1,1
154,154,155,10227,186286,196513,-176059,32104,349216,381320,-317112,144720,1196136,1340856,-1051416,1,1,1
155,155,156,10454,186714,197168,-176260,34104,349316,383420,-315212,164718,1190228,1354946,-1025510,1,1,1
156,156,157,10807,187337,198144,-176530,36096,350036,386132,-313940,178832,1190048,1368880,-1011216,1,1,1
157,157,158,11028,187751,198779,-176723,38082,350104,388186,-312022,198788,1184048,1382836,-985260,1,1,1
158,158,159,11369,188350,199719,-176981,40052,350744,390796,-310692,212848,1183348,1396196,-970500,1,1,1
159,159,160,11696,188906,200602,-177210,42052,351444,393496,-309392,231416,1183184,1414600,-951768,1,1,1
160,160,161,11817,189118,200935,-177301,44056,351197,395253,-307141,270010,1172959,1442969,-902949,1,1,1
161,161,162,12131,189647,201778,-177516,46026,351797,397823,-305771,288460,1172155,1460615,-883695,1,1,1
162,162,163,12253,189852,202105,-177599,48026,351530,399556,-303504,326998,1161838,1488836,-834840,1,1,1
163,163,164,12303,189929,202232,-177626,50033,351064,401097,-301031,416251,1142646,1558897,-726395,1,1,1
164,164,165,12529,190318,202847,-177789,52015,351072,403087,-299057,436165,1136452,1572617,-700287,1,1,1
165,165,166,12756,190704,203460,-177948,54001,351072,405073,-297071,456081,1130220,1586301,-674139,1,1,1
166,166,167,12803,190772,203575,-177969,56000,350592,406592,-294592,545296,1110984,1656280,-565688,1,1,1
167,167,168,13167,191628,204795,-178461,57304,353192,410496,-295888,551044,1127448,1678492,-576404,1,1,1
168,168,169,13665,192787,206452,-179122,57840,358896,416736,-301056,535764,1191856,1727620,-656092,1,1,1
169,169,170,14001,193615,207616,-179614,59024,361376,420400,-302352,540288,1207096,1747384,-666808,1,1,1
170,170,171,14468,194733,209201,-180265,59392,366912,426304,-307520,521664,1277984,1799648,-756320,1,1,1
171,171,172,15315,196872,212187,-181557,59664,371520,431184,-311856,511374,1294414,1805788,-783040,1,1,1
172,172,173,16104,198953,215057,-182849,59840,376032,435872,-316192,500888,1310648,1811536,-809760,1,1,1
173,173,174,16835,200976,217811,-184141,59920,380448,440368,-320528,490206,1326686,1816892,-836480,1,1,1
174,174,175,17508,202941,220449,-185433,59904,384768,444672,-324864,479328,1342528,1821856,-863200,1,1,1
175,175,176,18123,204848,222971,-186725,59792,388992,448784,-329200,468254,1358174,1826428,-889920,1,1,1
176,176,177,18680,206697,225377,-188017,59584,393120,452704,-333536,456984,1373624,1830608,-916640,1,1,1
177,177,178,19179,208488,227667,-189309,59280,397152,456432,-337872,445518,1388878,1834396,-943360,1,1,1
178,178,179,19729,210476,230205,-190747,58880,401088,459968,-342208,431926,1401954,1833880,-970028,1,1,1
179,179,180,20195,212380,232575,-192185,58384,404928,463312,-346544,418214,1414910,1833124,-996696,1,1,1
180,180,181,20508,213985,234493,-193477,57792,408672,466464,-350880,406184,1429600,1835784,-1023416,1,1,1
181,181,182,20822,215737,236559,-194915,57104,412320,469424,-355216,392176,1442260,1834436,-1050084,1,1,1
182,182,183,21052,217405,238457,-196353,56320,415872,472192,-359552,378048,1454800,1832848,-1076752,1,1,1
183,183,184,21146,218609,239755,-197463,55440,418368,473808,-362928,365308,1462076,1827384,-1096768,1,1,1
184,184,185,21181,219714,240895,-198533,54464,420768,475232,-366304,352236,1469564,1821800,-1117328,1,1,1
185,185,186,21158,220761,241919,-199603,53392,423072,476464,-369680,338956,1476844,1815800,-1137888,1,1,1
186,186,187,21048,221633,242681,-200585,52224,425280,477504,-373056,321508,1485372,1806880,-1163864,1,1,1
187,187,188,20918,222585,243503,-201667,50960,427392,478352,-376432,306272,1492176,1798448,-1185904,1,1,1
188,188,189,20814,222959,243773,-202145,51200,427040,478240,-375840,307568,1486944,1794512,-1179376,1,1,1
189,189,190,20616,223871,244487,-203255,49776,428992,478768,-379216,293572,1492964,1786536,-1199392,1,1,1
190,190,191,20363,224688,245051,-204325,48256,430848,479104,-382592,279148,1499100,1778248,-1219952,1,1,1
191,191,192,20073,225480,245553,-205407,46640,432608,479248,-385968,262848,1504840,1767688,-1241992,1,1,1
192,192,193,19702,226179,245881,-206477,44928,434272,479200,-389344,248048,1510600,1758648,-1262552,1,1,1
193,193,194,19316,226775,246091,-207459,43120,435840,478960,-392720,228560,1517088,1745648,-1288528,1,1,1
194,194,195,19084,227021,246105,-207937,43008,435136,478144,-392128,228416,1510416,1738832,-1282000,1,1,1
195,195,196,18510,227845,246355,-209335,41040,437024,478064,-395984,214454,1516558,1731012,-1302104,1,1,1
196,196,197,17864,228597,246461,-210733,38976,438816,477792,-399840,200344,1522552,1722896,-1322208,1,1,1
197,197,198,17150,229355,246505,-212205,36816,440512,477328,-403696,184440,1527828,1712268,-1343388,1,1,1
198,198,199,16352,229955,246307,-213603,34560,442112,476672,-407552,170046,1533538,1703584,-1363492,1,1,1
199,199,200,15858,230325,246183,-214467,33672,441864,475536,-408192,166164,1530280,1696444,-1364116,1,1,1
200,200,201,15354,230685,246039,-215331,32736,441568,474304,-408832,162092,1526832,1688924,-1364740,1,1,1
201,201,202,14398,231127,245525,-216729,30240,442928,473168,-412688,147260,1532104,1679364,-1384844,1,1,1
202,202,203,13794,231387,245181,-217593,29184,442512,471696,-413328,143088,1528556,1671644,-1385468,1,1,1
203,203,204,12712,231777,244489,-219065,26520,443704,470224,-417184,126344,1532992,1659336,-1406648,1,1,1
204,204,205,12086,232001,244087,-219915,25344,443168,468512,-417824,121296,1528896,1650192,-1407600,1,1,1
205,205,206,10900,232287,243187,-221387,22512,444192,466704,-421680,104216,1532996,1637212,-1428780,1,1,1
206,206,207,9670,232455,242125,-222785,19584,445120,464704,-425536,88518,1537402,1625920,-1448884,1,1,1
207,207,208,8368,232551,240919,-224183,16560,445952,462512,-429392,72672,1541660,1614332,-1468988,1,1,1
208,208,209,6994,232575,239569,-225581,13440,446688,460128,-433248,56678,1545770,1602448,-1489092,1,1,1
209,209,210,5488,232541,238029,-227053,10224,447328,457552,-437104,39062,1549334,1588396,-1510272,1,1,1
210,210,211,3962,232413,236375,-228451,6912,447872,454784,-440960,22784,1553160,1575944,-1530376,1,1,1
211,211,212,3010,232325,235335,-229315,5256,446856,452112,-441600,17352,1548352,1565704,-1531000,1,1,1
212,212,213,2026,232205,234231,-230179,3552,445792,449344,-442240,11840,1543464,1555304,-1531624,1,1,1
213,213,214,1010,232053,233063,-231043,1800,444680,446480,-442880,6248,1538496,1544744,-1532248,1,1,1
214,214,215,0,231893,231893,-231893,0,443520,443520,-443520,0,1533200,1533200,-1533200,1,1,1
215,215,216,730,232454,233184,-231724,1988,444060,446048,-442072,6874,1532930,1539804,-1526056,1,1,1
216,216,217,1822,233345,235167,-231523,3928,445680,449608,-441752,11756,1536928,1548684,-1525172,1,1,1
217,217,218,2526,233880,236406,-231354,5856,446160,452016,-440304,18430,1536458,1554888,-1518028,1,1,1
218,218,219,3218,234403,237621,-231185,7760,446616,454376,-438856,25044,1535928,1560972,-1510884,1,1,1
219,219,220,4266,235250,239516,-230984,9580,448116,457696,-438536,29426,1539426,1568852,-1510000,1,1,1
220,220,221,4932,235747,240679,-230815,11424,448512,459936,-437088,35840,1538696,1574536,-1502856,1,1,1
221,221,222,6042,236693,242735,-230651,13160,449928,463088,-436768,38094,1540090,1578184,-1501996,1,1,1
222,222,223,7136,237623,244759,-230487,14848,451296,466144,-436448,40128,1541264,1581392,-1501136,1,1,1
223,223,224,7778,238126,245904,-230348,16800,452976,469776,-436176,48400,1547624,1596024,-1499224,1,1,1
224,224,225,8416,238624,247040,-230208,18656,454560,473216,-435904,55952,1553744,1609696,-1497792,1,1,1
225,225,226,8876,238964,247840,-230088,20488,454968,475456,-434480,65940,1551808,1617748,-1485868,1,1,1
226,226,227,9320,239288,248608,-229968,22272,455328,477600,-433056,75584,1549528,1625112,-1473944,1,1,1
227,227,228,9383,239402,248785,-230019,24271,454878,479149,-430607,165611,1518934,1684545,-1353323,1,1,1
228,228,229,9525,239661,249186,-230136,26259,454788,481047,-428529,204519,1503056,1707575,-1298537,1,1,1
229,229,230,9635,239865,249500,-230230,28249,454448,482697,-426199,256055,1477718,1733773,-1221663,1,1,1
230,230,231,9764,240103,249867,-230339,30217,454310,484527,-424093,294923,1461696,1756619,-1166773,1,1,1
231,231,232,9865,240292,250157,-230427,32195,453946,486141,-421751,346435,1436310,1782745,-1089875,1,1,1
232,232,233,9922,240390,250312,-230468,34180,453472,487652,-419292,436420,1405664,1842084,-969244,1,1,1
233,233,234,10480,241437,251917,-230957,35684,459876,495560,-424192,420388,1461308,1881696,-1040920,1,1,1
234,234,235,10532,241526,252058,-230994,37601,459330,496931,-421729,506273,1426558,1932831,-920285,1,1,1
235,235,236,10718,241855,252573,-231137,39273,460260,499533,-420987,524465,1424808,1949273,-900343,1,1,1
236,236,237,11059,242495,253554,-231436,40985,461206,502191,-420221,534817,1416562,1951379,-881745,1,1,1
237,237,238,11290,242919,254209,-231629,42777,461306,504083,-418529,553519,1404710,1958229,-851191,1,1,1
238,238,239,11525,243337,254862,-231812,44601,461386,505987,-416785,572417,1392726,1965143,-820309,1,1,1
239,239,240,11723,243662,255385,-231939,46401,462284,508685,-415883,592577,1390720,1983297,-798143,1,1,1
240,240,241,11772,243736,255508,-231964,48256,461664,509920,-413408,677568,1355064,2032632,-677496,1,1,1
241,241,242,12180,244766,256946,-232586,49248,463968,513216,-414720,676212,1361748,2037960,-685536,1,1,1
242,242,243,12473,245493,257966,-233020,50624,464712,515336,-414088,683318,1359238,2042556,-675920,1,1,1
243,243,244,12845,246487,259332,-233642,51504,466904,518408,-415400,681458,1365418,2046876,-683960,1,1,1
244,244,245,13111,247217,260328,-234106,52800,467568,520368,-414768,687526,1362782,2050308,-675256,1,1,1
245,245,246,13357,247927,261284,-234570,54064,468200,522264,-414136,693538,1360090,2053628,-666552,1,1,1
246,246,247,13583,248617,262200,-235034,55296,468800,524096,-413504,699494,1357342,2056836,-657848,1,1,1
247,247,248,13855,249511,263366,-235656,55968,470784,526752,-414816,697090,1362978,2060068,-665888,1,1,1
248,248,249,14037,250157,264194,-236120,57120,471304,528424,-414184,702870,1360054,2062924,-657184,1,1,1
249,249,250,14539,251609,266148,-237070,56560,475944,532504,-419384,662158,1382674,2044832,-720516,1,1,1
250,250,251,14723,252415,267138,-237692,57024,477720,534744,-420696,659090,1387646,2046736,-728556,1,1,1
251,251,252,14879,253193,268072,-238314,57424,479432,536856,-422008,655838,1392434,2048272,-736596,1,1,1
252,252,253,15070,253818,268888,-238748,58368,479744,538112,-421376,660484,1387464,2047948,-726980,1,1,1
253,253,254,15247,254429,269676,-239182,59280,480024,539304,-420744,665038,1382402,2047440,-717364,1,1,1
254,254,255,15653,255785,271438,-240132,58240,484184,542424,-425944,621254,1401950,2023204,-780696,1,1,1
255,255,256,15792,256358,272150,-240566,59040,484352,543392,-425312,625308,1396388,2021696,-771080,1,1,1
256,256,257,15917,256917,272834,-241000,59808,484488,544296,-424680,629270,1390734,2020004,-761464,1,1,1
257,257,258,15985,257607,273592,-241622,59856,485848,545704,-425992,624154,1393658,2017812,-769504,1,1,1
258,258,259,16096,258152,274248,-242056,60544,485904,546448,-425360,627544,1387432,2014976,-759888,1,1,1
