addr,positive_section_count,reverse_section_count,total_section_count,signed_section_count,positive_coeff_sum,reverse_coeff_sum,total_coeff_sum,signed_coeff_sum,positive_coeff_square_sum,reverse_coeff_square_sum,total_coeff_square_sum,signed_coeff_square_sum,projection_count_flag,projection_coeff_flag,projection_coeff_square_flag
137,3918,178798,182716,-174880,6624,326920,333544,-320296,18752,1081184,1099936,-1062432,1,1,1
138,1950,178544,180494,-176594,3336,327416,330752,-324080,9728,1085032,1094760,-1075304,1,1,1
139,988,177590,178578,-176602,2192,327384,329576,-325192,6264,1089848,1096112,-1083584,1,1,1
140,1958,178360,180318,-176402,4336,329496,333832,-325160,12320,1097532,1109852,-1085212,1,1,1
141,2910,179112,182022,-176202,6432,331560,337992,-325128,18168,1105008,1123176,-1086840,1,1,1
142,3844,179846,183690,-176002,8480,333576,342056,-325096,23808,1112276,1136084,-1088468,1,1,1
143,4466,180273,184739,-175807,10480,334332,344812,-323852,31528,1113888,1145416,-1082360,1,1,1
144,5085,180752,185837,-175667,12504,335052,347556,-322548,39488,1115016,1154504,-1075528,1,1,1
145,5704,181230,186934,-175526,14504,335748,350252,-321244,47316,1115976,1163292,-1068660,1,1,1
146,6306,181686,187992,-175380,16480,336420,352900,-319940,55096,1117004,1172100,-1061908,1,1,1
147,6885,182120,189005,-175235,18432,337068,355500,-318636,62884,1118076,1180960,-1055192,1,1,1
148,7458,182553,190011,-175095,20360,337692,358052,-317332,70596,1118956,1189552,-1048360,1,1,1
149,8030,182984,191014,-174954,22264,338292,360556,-316028,78180,1119672,1197852,-1041492,1,1,1
150,8584,183392,191976,-174808,24144,338868,363012,-314724,85720,1120460,1206180,-1034740,1,1,1
151,9137,184414,193551,-175277,26192,344048,370240,-317856,96640,1170360,1267000,-1073720,1,1,1
152,9313,184648,193961,-175335,28232,344136,372368,-315904,123200,1169640,1292840,-1046440,1,1,1
153,9668,185325,194993,-175657,30334,345040,375374,-314706,139296,1167884,1307180,-1028588,1,1,1
154,10262,186456,196718,-176194,32352,349728,382080,-317376,147896,1199040,1346936,-1051144,1,1,1
155,10476,186778,197254,-176302,34136,349860,383996,-315724,164776,1197236,1362012,-1032460,1,1,1
156,10828,187453,198281,-176625,36132,350584,386716,-314452,178910,1193384,1372294,-1014474,1,1,1
157,11051,187820,198871,-176769,38116,350660,388776,-312544,198850,1191094,1389944,-992244,1,1,1
158,11394,188474,199868,-177080,40098,351304,391402,-311206,212960,1186704,1399664,-973744,1,1,1
159,11713,189024,200737,-177311,42084,351988,394072,-309904,231496,1187056,1418552,-955560,1,1,1
160,11829,189164,200993,-177335,44074,351751,395825,-307677,270040,1183611,1453651,-913571,1,1,1
161,12150,189776,201926,-177626,46064,352365,398429,-306301,288590,1176095,1464685,-887505,1,1,1
162,12260,189902,202162,-177642,48036,352096,400132,-304060,327014,1172560,1499574,-845546,1,1,1
163,12304,189954,202258,-177650,50034,351632,401666,-301598,416252,1161940,1578192,-745688,1,1,1
164,12537,190397,202934,-177860,52034,351647,403681,-299613,436220,1143547,1579767,-707327,1,1,1
165,12762,190784,203546,-178022,54015,351648,405663,-297633,456133,1137316,1593449,-681183,1,1,1
166,12804,190800,203604,-177996,56001,351168,407169,-295167,545297,1130316,1675613,-585019,1,1,1
167,13295,191748,205043,-178453,58000,353768,411768,-295768,556936,1131540,1688476,-574604,1,1,1
168,13822,192933,206755,-179111,59280,359496,418776,-300216,560032,1195800,1755832,-635768,1,1,1
169,14143,193749,207892,-179606,59768,362024,421792,-302256,546528,1212064,1758592,-665536,1,1,1
170,14634,194890,209524,-180256,60928,367584,428512,-306656,548908,1282616,1831524,-733708,1,1,1
171,15708,197236,212944,-181528,61248,372240,433488,-310992,525152,1296334,1821486,-771182,1,1,1
172,16526,199346,215872,-182820,61472,376800,438272,-315328,514764,1312666,1827430,-797902,1,1,1
173,17286,201398,218684,-184112,61600,381264,442864,-319664,504180,1328802,1832982,-824622,1,1,1
174,17988,203392,221380,-185404,61632,385632,447264,-324000,493400,1344742,1838142,-851342,1,1,1
175,18632,205328,223960,-186696,61568,389904,451472,-328336,482424,1360486,1842910,-878062,1,1,1
176,19218,207206,226424,-187988,61408,394080,455488,-332672,471252,1376034,1847286,-904782,1,1,1
177,19746,209026,228772,-189280,61152,398160,459312,-337008,459884,1391386,1851270,-931502,1,1,1
178,20327,211030,231357,-190703,60800,402144,462944,-341344,448082,1404794,1852876,-956712,1,1,1
179,20835,212976,233811,-192141,60352,406032,466384,-345680,434430,1417810,1852240,-983380,1,1,1
180,21168,214616,235784,-193448,59808,409824,469632,-350016,420832,1432390,1853222,-1011558,1,1,1
181,21538,216409,237947,-194871,59168,413520,472688,-354352,408540,1445308,1853848,-1036768,1,1,1
182,21810,218119,239929,-196309,58432,417120,475552,-358688,394472,1457908,1852380,-1063436,1,1,1
183,21818,219251,241069,-197433,57600,419664,477264,-362064,380688,1465620,1846308,-1084932,1,1,1
184,21876,220380,242256,-198504,56672,422112,478784,-365440,367960,1473400,1841360,-1105440,1,1,1
185,21882,221456,243338,-199574,55648,424464,480112,-368816,354784,1480784,1835568,-1126000,1,1,1
186,21712,222283,243995,-200571,54528,426720,481248,-372192,341856,1489696,1831552,-1147840,1,1,1
187,21680,223319,244999,-201639,53312,428880,482192,-375568,323796,1496176,1819972,-1172380,1,1,1
188,21174,223311,244485,-202137,52000,428576,480576,-376576,311144,1494712,1805856,-1183568,1,1,1
189,21434,224659,246093,-203225,52224,430544,482768,-378320,309660,1497056,1806716,-1187396,1,1,1
190,21202,225498,246700,-204296,50752,432448,483200,-381696,295644,1503516,1799160,-1207872,1,1,1
