atom_i,atom_j,intersection_size,is_johnson_edge,is_complement_pair,signature_intersection,signature_union,signature_jaccard_distance_numerator,tensor_mass_delta,tensor_mass_sum,tensor_support_delta,complement_mass_contrast,johnson_edge_length,signature_edge_length,affinity_edge_length
5,17,1,0,0,7,133,126,52288,98240,22272,0,0,0,0
5,18,2,1,0,27,119,92,22464,68416,14976,0,1,92,35
5,19,1,0,0,18,149,131,142400,188352,116736,0,0,0,0
6,7,1,0,0,15,149,134,46848,120576,32832,0,0,0,0
6,8,2,1,0,48,109,61,86016,159744,78720,0,1,61,14
6,9,2,1,0,48,129,81,75776,149504,53064,0,1,81,14
6,10,1,0,0,7,115,108,20352,53376,18576,0,0,0,0
6,11,1,0,0,7,113,106,26240,47488,20544,0,0,0,0
6,12,2,1,0,34,91,57,17280,56448,15744,0,1,57,28
6,13,0,0,1,0,137,137,1536,75264,2880,1536,0,0,0
6,14,1,0,0,21,117,96,29184,102912,22464,0,0,0,0
6,15,1,0,0,21,135,114,18944,92672,6456,0,0,0,0
6,16,1,0,0,7,123,116,4096,77824,6144,0,0,0,0
6,17,2,1,0,34,103,69,38400,112128,8832,0,1,69,28
6,18,2,1,0,34,109,75,8576,82304,1536,0,1,75,28
6,19,1,0,0,21,143,122,128512,202240,103296,0,0,0,0
7,8,2,1,0,49,138,89,39168,206592,45888,0,1,89,13
7,9,2,1,0,55,152,97,28928,196352,20232,0,1,97,7
7,10,1,0,0,20,132,112,67200,100224,51408,0,0,0,0
7,11,1,0,0,18,132,114,73088,94336,53376,0,0,0,0
7,12,0,0,1,0,155,155,64128,103296,48576,64128,0,0,0
7,13,2,1,0,46,121,75,45312,122112,35712,0,1,75,16
7,14,1,0,0,20,148,128,17664,149760,10368,0,0,0,0
7,15,1,0,0,18,168,150,27904,139520,26376,0,0,0,0
7,16,2,1,0,46,114,68,42752,124672,38976,0,1,68,16
7,17,1,0,0,20,147,127,8448,158976,24000,0,0,0,0
7,18,1,0,0,18,155,137,38272,129152,31296,0,0,0,0
7,19,2,1,0,46,148,102,81664,249088,70464,0,1,102,16
8,9,2,1,0,48,152,104,10240,235520,25656,0,1,104,14
8,10,1,0,0,20,125,105,106368,139392,97296,0,0,0,0
8,11,0,0,1,0,143,143,112256,133504,99264,112256,0,0,0
8,12,1,0,0,21,127,106,103296,142464,94464,0,0,0,0
8,13,1,0,0,20,140,120,84480,161280,81600,0,0,0,0
8,14,2,1,0,49,112,63,56832,188928,56256,0,1,63,13
8,15,1,0,0,21,158,137,67072,178688,72264,0,0,0,0
8,16,1,0,0,20,133,113,81920,163840,84864,0,0,0,0
8,17,2,1,0,49,111,62,47616,198144,69888,0,1,62,13
8,18,1,0,0,21,145,124,77440,168320,77184,0,0,0,0
8,19,2,1,0,49,138,89,42496,288256,24576,0,1,89,13
9,10,0,0,1,0,165,165,96128,129152,71640,96128,0,0,0
9,11,1,0,0,18,145,127,102016,123264,73608,0,0,0,0
9,12,1,0,0,21,147,126,93056,132224,68808,0,0,0,0
9,13,1,0,0,18,162,144,74240,151040,55944,0,0,0,0
9,14,1,0,0,21,160,139,46592,178688,30600,0,0,0,0
9,15,2,1,0,61,138,77,56832,168448,46608,0,1,77,1
9,16,1,0,0,18,155,137,71680,153600,59208,0,0,0,0
9,17,1,0,0,21,159,138,37376,187904,44232,0,0,0,0
9,18,2,1,0,61,125,64,67200,158080,51528,0,1,64,1
9,19,2,1,0,61,146,85,52736,278016,50232,0,1,85,1
10,11,2,1,0,23,85,62,5888,27136,1968,0,1,62,39
10,12,2,1,0,23,90,67,3072,36096,2832,0,1,67,39
10,13,2,1,0,34,91,57,21888,54912,15696,0,1,57,28
10,14,2,1,0,34,92,58,49536,82560,41040,0,1,58,28
10,15,1,0,0,10,134,124,39296,72320,25032,0,0,0,0
10,16,2,1,0,35,83,48,24448,57472,12432,0,1,48,27
10,17,2,1,0,35,90,55,58752,91776,27408,0,1,55,27
10,18,1,0,0,7,124,117,28928,61952,20112,0,0,0,0
10,19,1,0,0,20,132,112,148864,181888,121872,0,0,0,0
11,12,2,1,0,23,88,65,8960,30208,4800,0,1,65,39
11,13,2,1,0,38,85,47,27776,49024,17664,0,1,47,24
11,14,1,0,0,10,114,104,55424,76672,43008,0,0,0,0
11,15,2,1,0,38,104,66,45184,66432,27000,0,1,66,24
11,16,2,1,0,27,89,62,30336,51584,14400,0,1,62,35
11,17,1,0,0,7,116,109,64640,85888,29376,0,0,0,0
11,18,2,1,0,27,102,75,34816,56064,22080,0,1,75,35
11,19,1,0,0,18,132,114,154752,176000,123840,0,0,0,0
12,13,1,0,0,10,118,108,18816,57984,12864,0,0,0,0
12,14,2,1,0,39,90,51,46464,85632,38208,0,1,51,23
12,15,2,1,0,39,108,69,36224,75392,22200,0,1,69,23
12,16,1,0,0,7,114,107,21376,60544,9600,0,0,0,0
12,17,2,1,0,34,94,60,55680,94848,24576,0,1,60,28
12,18,2,1,0,34,100,66,25856,65024,17280,0,1,66,28
12,19,1,0,0,21,134,113,145792,184960,119040,0,0,0,0
13,14,2,1,0,34,107,73,27648,104448,25344,0,1,73,28
13,15,2,1,0,38,121,83,17408,94208,9336,0,1,83,24
13,16,2,1,0,46,87,41,2560,79360,3264,0,1,41,16
13,17,1,0,0,20,120,100,36864,113664,11712,0,0,0,0
13,18,1,0,0,18,128,110,7040,83840,4416,0,0,0,0
13,19,2,1,0,46,121,75,126976,203776,106176,0,1,75,16
14,15,2,1,0,39,121,82,10240,121856,16008,0,1,82,23
14,16,1,0,0,20,114,94,25088,107008,28608,0,0,0,0
14,17,2,1,0,49,92,43,9216,141312,13632,0,1,43,13
14,18,1,0,0,21,126,105,20608,111488,20928,0,0,0,0
14,19,2,1,0,49,119,70,99328,231424,80832,0,1,70,13
15,16,1,0,0,18,134,116,14848,96768,12600,0,0,0,0
15,17,1,0,0,21,138,117,19456,131072,2376,0,0,0,0
15,18,2,1,0,61,104,43,10368,101248,4920,0,1,43,1
15,19,2,1,0,61,125,64,109568,221184,96840,0,1,64,1
16,17,2,1,0,35,98,63,34304,116224,14976,0,1,63,27
16,18,2,1,0,27,112,85,4480,86400,7680,0,1,85,35
16,19,2,1,0,46,114,68,124416,206336,109440,0,1,68,16
17,18,2,1,0,34,112,78,29824,120704,7296,0,1,78,28
17,19,2,1,0,49,118,69,90112,240640,94464,0,1,69,13
18,19,2,1,0,61,112,51,119936,210816,101760,0,1,51,1
