trace,shell,t,F,ratio,dF,Emax,kmax,barrier_class,dissonance_class,danger_flag,pitch_hz,amplitude,roughness,brightness,lambda_hc_channel
w16_prefix16_low_barrier_dissonance,16,16.123552123552123,-3.3882843624073473,0.03376655841051051,2.987500115248034e-06,6.899336025489866e-06,16,below,dissonant,False,514.3615287812876,0.21746207431843784,0.0005519468820391893,1.8671875720300212e-07,0.0
w16_prefix16_low_barrier_dissonance,16,16.216216216216214,-3.3882840963887304,0.033766567393044865,2.757148080535605e-06,6.3673607554326495e-06,16,below,dissonant,False,514.3615510178861,0.21746208711705323,0.000509388860434612,1.723217550334753e-07,0.0
w16_prefix16_low_barrier_dissonance,16,16.30888030888031,-3.388283850881656,0.03376657568297705,2.5445555718190576e-06,5.876399367110707e-06,16,below,dissonant,False,514.3615715399184,0.2174620989288239,0.0004701119493688566,1.590347232386911e-07,0.0
w16_prefix16_low_barrier_dissonance,16,16.4015444015444,-3.388283624304705,0.033766583333705684,2.3483536597096353e-06,5.423290500572442e-06,16,below,dissonant,False,514.3615904795752,0.2174621098298345,0.00043386324004579535,1.467721037318522e-07,0.0
w16_prefix16_low_barrier_dissonance,16,16.494208494208493,-3.3882834151983943,0.033766590394512096,2.1672788671842776e-06,5.005116198830706e-06,16,below,dissonant,False,514.3616079588553,0.217462119890303,0.00040040929590645646,1.3545492919901735e-07,0.0
w16_prefix16_low_barrier_dissonance,16,16.586872586872587,-3.388283222215705,0.03376659691088015,2.000165079985973e-06,4.6191833732445176e-06,16,below,dissonant,False,514.3616240903564,0.2174621291750367,0.0003695346698595614,1.2501031749912331e-07,0.0
w16_prefix16_low_barrier_dissonance,16,16.679536679536678,-3.3882830441135283,0.03376660292478509,1.845936100336628e-06,4.263006841753736e-06,16,below,dissonant,False,514.36163897799,0.2174621377438435,0.00034104054734029887,1.1537100627103924e-07,0.0
w16_prefix16_low_barrier_dissonance,16,16.772200772200772,-3.3882828797444944,0.03376660847496945,1.7035985878898735e-06,3.934292386986726e-06,16,below,dissonant,False,514.3616527176652,0.2174621456519253,0.0003147433909589381,1.0647491174311709e-07,0.0
w16_prefix16_low_barrier_dissonance,16,16.864864864864863,-3.3882827280497665,0.03376661359718632,1.5722358257030333e-06,3.6309230715403373e-06,16,below,dissonant,False,514.3616653978904,0.21746215295022447,0.000290473845723227,9.826473910643958e-08,0.0
w16_prefix16_low_barrier_dissonance,16,16.957528957528957,-3.3882825880520997,0.03376661832443377,1.4510017292671154e-06,3.3509449671731417e-06,16,below,dissonant,False,514.3616771003537,0.21746215968575788,0.00026807559737385134,9.068760807919471e-08,0.0
w16_prefix16_low_barrier_dissonance,16,17.050193050193048,-3.388282458849581,0.033766622687166195,1.3391153966913512e-06,3.092554537453829e-06,16,below,dissonant,False,514.3616879004467,0.21746216590191803,0.0002474043629963063,8.369471229320945e-08,0.0
w16_prefix16_low_barrier_dissonance,16,17.142857142857142,-3.3882823396098587,0.03376662671348914,1.2358561645364276e-06,2.8540875888216632e-06,16,below,dissonant,False,514.3616978677455,0.2174621716387508,0.00022832700710573306,7.724101028352672e-08,0.0
w16_prefix16_low_barrier_dissonance,16,17.235521235521233,-3.388282229564723,0.03376663042934236,1.1405588841567086e-06,2.634007963187024e-06,16,below,dissonant,False,514.3617070664652,0.21746217693321612,0.0002107206370549619,7.128493025979429e-08,0.0
w16_prefix16_low_barrier_dissonance,16,17.328185328185327,-3.3882821280052227,0.03376663385866465,1.0526096755824465e-06,2.43089789009332e-06,16,below,dissonant,False,514.3617155558672,0.21746218181942267,0.00019447183120746558,6.57881047239029e-08,0.0
w16_prefix16_low_barrier_dissonance,16,17.42084942084942,-3.3882820342770543,0.03376663702354954,9.714420405740162e-07,2.2434493051060045e-06,16,below,dissonant,False,514.3617233906452,0.21746218632885023,0.00017947594440848036,6.071512753587601e-08,0.0
w16_prefix16_low_barrier_dissonance,16,17.513513513513512,-3.3882819477763633,0.033766639944387104,8.965330683714174e-07,2.070454405256328e-06,16,below,dissonant,False,514.3617306212753,0.21746219049055127,0.00016563635242050623,5.603331677321359e-08,0.0
w16_prefix16_low_barrier_dissonance,16,17.606177606177607,-3.3882818679458424,0.03376664263999567,8.274002400977714e-07,1.9107990549827036e-06,16,below,dissonant,False,514.3617372943431,0.21746219433133868,0.0001528639243986163,5.171251500611071e-08,0.0
w16_prefix16_low_barrier_dissonance,16,17.698841698841697,-3.3882817942711583,0.03376664512774249,7.635981408217624e-07,1.7634543549860382e-06,16,below,dissonant,False,514.3617434528421,0.21746219787595805,0.00014107634839888306,4.772488380136015e-08,0.0
