term_id,class_id,gap_kind,coeff_num,coeff_den,exp12_n,exp12_x,exp12_const,exp18_n,exp18_x,exp18_const,exp48_n,exp48_x,exp48_const
219,5,1,-1,3,2,-1,0,0,1,1,0,0,0
220,5,1,1,36,2,-1,2,0,1,1,0,0,0
221,6,0,1,15,0,0,0,1,0,1,1,0,0
222,6,0,14,5,0,0,0,2,0,0,0,0,0
223,6,0,-1,180,0,0,1,1,0,1,1,0,1
224,6,0,-7,30,0,0,1,2,0,1,0,0,0
225,6,0,-1,15,0,0,2,1,0,-2,1,0,1
226,6,0,-14,5,0,0,2,2,0,-2,0,0,0
227,6,0,1,180,0,0,3,1,0,-2,1,0,2
228,6,0,7,30,0,0,3,2,0,-1,0,0,0
229,6,0,1,15,1,0,0,0,0,0,1,0,1
230,6,0,14,5,1,0,0,1,0,0,0,0,0
231,6,0,-1,3,1,0,0,1,0,1,0,0,0
232,6,0,-1,15,1,0,1,0,0,0,1,0,0
233,6,0,-1,180,1,0,1,0,0,0,1,0,2
234,6,0,-14,5,1,0,1,1,0,-1,0,0,0
235,6,0,-7,30,1,0,1,1,0,1,0,0,0
236,6,0,1,180,1,0,2,0,0,0,1,0,1
237,6,0,7,30,1,0,2,1,0,0,0,0,0
238,6,0,1,36,1,0,2,1,0,1,0,0,0
239,6,0,1,3,1,0,3,1,0,-2,0,0,0
240,6,0,-1,36,1,0,5,1,0,-2,0,0,0
241,6,1,-1,75,0,0,0,1,0,-1,1,0,2
242,6,1,16,25,0,0,0,1,0,0,1,0,0
243,6,1,1,900,0,0,0,1,0,0,1,0,3
244,6,1,-1,15,0,0,0,1,0,1,1,0,0
245,6,1,-4,75,0,0,0,1,0,1,1,0,1
246,6,1,1,180,0,0,0,1,0,2,1,0,1
247,6,1,672,25,0,0,0,2,0,-1,0,0,0
248,6,1,-14,25,0,0,0,2,0,-2,0,0,2
249,6,1,-14,5,0,0,0,2,0,0,0,0,0
250,6,1,7,150,0,0,0,2,0,0,0,0,2
251,6,1,-56,25,0,0,0,2,0,1,0,0,0
252,6,1,7,30,0,0,0,2,0,2,0,0,0
253,6,1,1,15,0,0,1,1,0,-1,1,0,1
254,6,1,14,5,0,0,1,2,0,-1,0,0,0
255,6,1,-1,180,0,0,2,1,0,-1,1,0,2
256,6,1,-7,30,0,0,2,2,0,0,0,0,0
257,6,1,-1,15,1,0,0,0,0,0,1,0,1
258,6,1,1,15,1,0,0,1,0,-1,0,0,2
259,6,1,-6,1,1,0,0,1,0,0,0,0,0
260,6,1,1,3,1,0,0,1,0,1,0,0,0
261,6,1,1,15,1,0,1,0,0,0,1,0,0
262,6,1,1,180,1,0,1,0,0,0,1,0,2
263,6,1,14,5,1,0,1,1,0,-1,0,0,0
264,6,1,-1,180,1,0,1,1,0,0,0,0,2
265,6,1,1,2,1,0,1,1,0,1,0,0,0
266,6,1,-1,36,1,0,1,1,0,2,0,0,0
267,6,1,-1,180,1,0,2,0,0,0,1,0,1
268,6,1,-1,3,1,0,2,1,0,-1,0,0,0
269,6,1,-7,30,1,0,2,1,0,0,0,0,0
270,6,1,1,36,1,0,4,1,0,-1,0,0,0
271,7,0,1,15,0,0,0,1,0,1,1,0,0
272,7,0,-1,180,0,0,0,1,0,2,1,0,1
273,7,0,14,5,0,0,0,2,0,0,0,0,0
274,7,0,-7,30,0,0,0,2,0,2,0,0,0
275,7,0,-1,15,0,0,1,1,0,-1,1,0,1
276,7,0,-14,5,0,0,1,2,0,-1,0,0,0
277,7,0,1,180,0,0,2,1,0,-1,1,0,2
278,7,0,7,30,0,0,2,2,0,0,0,0,0
279,7,0,1,15,1,0,0,0,0,0,1,0,1
280,7,0,14,5,1,0,0,1,0,0,0,0,0
281,7,0,-1,3,1,0,0,1,0,1,0,0,0
282,7,0,-1,15,1,0,1,0,0,0,1,0,0
283,7,0,-1,180,1,0,1,0,0,0,1,0,2
284,7,0,-14,5,1,0,1,1,0,-1,0,0,0
285,7,0,-7,30,1,0,1,1,0,1,0,0,0
286,7,0,1,36,1,0,1,1,0,2,0,0,0
287,7,0,1,180,1,0,2,0,0,0,1,0,1
288,7,0,1,3,1,0,2,1,0,-1,0,0,0
289,7,0,7,30,1,0,2,1,0,0,0,0,0
290,7,0,-1,36,1,0,4,1,0,-1,0,0,0
291,7,1,-1,75,0,0,0,1,0,-2,1,0,3
292,7,1,16,25,0,0,0,1,0,0,1,0,0
293,7,1,1,15,0,0,0,1,0,0,1,0,1
294,7,1,1,900,0,0,0,1,0,0,1,0,3
295,7,1,-1,15,0,0,0,1,0,1,1,0,0
296,7,1,-4,75,0,0,0,1,0,1,1,0,1
297,7,1,1,180,0,0,0,1,0,2,1,0,1
298,7,1,672,25,0,0,0,2,0,-1,0,0,0
299,7,1,-14,25,0,0,0,2,0,-3,0,0,3
300,7,1,7,150,0,0,0,2,0,0,0,0,2
301,7,1,-56,25,0,0,0,2,0,1,0,0,0
302,7,1,7,30,0,0,0,2,0,2,0,0,0
303,7,1,-1,180,0,0,1,1,0,0,1,0,2
304,7,1,-7,30,0,0,1,2,0,1,0,0,0
305,7,1,-1,15,1,0,0,0,0,0,1,0,1
306,7,1,1,15,1,0,0,1,0,-2,0,0,3
307,7,1,-6,1,1,0,0,1,0,0,0,0,0
308,7,1,1,3,1,0,0,1,0,1,0,0,0
309,7,1,1,15,1,0,1,0,0,0,1,0,0
310,7,1,1,180,1,0,1,0,0,0,1,0,2
311,7,1,14,5,1,0,1,1,0,-1,0,0,0
312,7,1,-1,3,1,0,1,1,0,0,0,0,0
313,7,1,-1,180,1,0,1,1,0,0,0,0,2
314,7,1,1,2,1,0,1,1,0,1,0,0,0
315,7,1,-1,36,1,0,1,1,0,2,0,0,0
316,7,1,-1,180,1,0,2,0,0,0,1,0,1
317,7,1,-7,30,1,0,2,1,0,0,0,0,0
318,7,1,1,36,1,0,3,1,0,0,0,0,0
319,8,0,1,15,0,-1,0,1,1,1,1,0,0
320,8,0,-1,180,0,-1,0,1,1,2,1,0,1
321,8,0,14,5,0,-1,0,2,1,0,0,0,0
322,8,0,-7,30,0,-1,0,2,1,2,0,0,0
323,8,0,-1,15,0,-1,1,1,1,-1,1,0,1
324,8,0,1,180,0,-1,1,1,1,0,1,0,2
325,8,0,-14,5,0,-1,1,2,1,-1,0,0,0
326,8,0,7,30,0,-1,1,2,1,1,0,0,0
327,8,0,-1,3,1,-1,0,1,1,1,0,0,0
328,8,0,1,36,1,-1,1,1,1,2,0,0,0
329,8,0,1,3,1,-1,2,1,1,-1,0,0,0
330,8,0,-1,36,1,-1,3,1,1,0,0,0,0
331,8,0,1,15,1,0,0,0,0,0,1,0,1
332,8,0,14,5,1,0,0,1,0,0,0,0,0
333,8,0,-1,15,1,0,1,0,0,0,1,0,0
334,8,0,-1,180,1,0,1,0,0,0,1,0,2
335,8,0,-14,5,1,0,1,1,0,-1,0,0,0
336,8,0,-7,30,1,0,1,1,0,1,0,0,0
337,8,0,1,180,1,0,2,0,0,0,1,0,1
338,8,0,7,30,1,0,2,1,0,0,0,0,0
339,8,1,1,15,0,-1,0,1,1,0,1,0,1
340,8,1,-1,180,0,-1,0,1,1,1,1,0,2
341,8,1,14,5,0,-1,0,2,1,0,0,0,0
342,8,1,-7,30,0,-1,0,2,1,2,0,0,0
343,8,1,1,900,0,0,0,1,-1,-1,1,1,4
344,8,1,-1,75,0,0,0,1,-1,-2,1,1,3
345,8,1,16,25,0,0,0,1,0,0,1,0,0
346,8,1,-1,15,0,0,0,1,0,1,1,0,0
347,8,1,-4,75,0,0,0,1,0,1,1,0,1
348,8,1,1,180,0,0,0,1,0,2,1,0,1
349,8,1,7,150,0,0,0,2,-1,-1,0,1,3
350,8,1,-14,25,0,0,0,2,-1,-3,0,1,3
351,8,1,672,25,0,0,0,2,0,-1,0,0,0
352,8,1,-14,5,0,0,0,2,0,0,0,0,0
353,8,1,-56,25,0,0,0,2,0,1,0,0,0
354,8,1,7,30,0,0,0,2,0,2,0,0,0
355,8,1,-1,3,1,-1,1,1,1,0,0,0,0
356,8,1,1,36,1,-1,2,1,1,1,0,0,0
357,8,1,-1,15,1,0,0,0,0,0,1,0,1
358,8,1,1,15,1,0,0,1,-1,-2,0,1,3
359,8,1,-6,1,1,0,0,1,0,0,0,0,0
360,8,1,1,3,1,0,0,1,0,1,0,0,0
361,8,1,1,15,1,0,1,0,0,0,1,0,0
362,8,1,1,180,1,0,1,0,0,0,1,0,2
363,8,1,-1,180,1,0,1,1,-1,-1,0,1,3
364,8,1,14,5,1,0,1,1,0,-1,0,0,0
365,8,1,1,2,1,0,1,1,0,1,0,0,0
366,8,1,-1,36,1,0,1,1,0,2,0,0,0
367,8,1,-1,180,1,0,2,0,0,0,1,0,1
368,8,1,-7,30,1,0,2,1,0,0,0,0,0
369,9,0,-1,15,0,-1,1,1,1,-1,1,0,1
370,9,0,1,180,0,-1,1,1,1,0,1,0,2
371,9,0,-14,5,0,-1,1,2,1,-1,0,0,0
372,9,0,7,30,0,-1,1,2,1,1,0,0,0
373,9,0,1,75,0,0,0,1,-1,0,1,1,1
374,9,0,-1,900,0,0,0,1,-1,1,1,1,2
375,9,0,-16,25,0,0,0,1,0,0,1,0,0
376,9,0,1,15,0,0,0,1,0,1,1,0,0
377,9,0,4,75,0,0,0,1,0,1,1,0,1
378,9,0,-1,180,0,0,0,1,0,2,1,0,1
379,9,0,14,25,0,0,0,2,-1,-1,0,1,1
380,9,0,-7,150,0,0,0,2,-1,1,0,1,1
381,9,0,-672,25,0,0,0,2,0,-1,0,0,0
382,9,0,14,5,0,0,0,2,0,0,0,0,0
383,9,0,56,25,0,0,0,2,0,1,0,0,0
384,9,0,-7,30,0,0,0,2,0,2,0,0,0
385,9,0,1,3,1,-1,2,1,1,-1,0,0,0
386,9,0,-1,36,1,-1,3,1,1,0,0,0,0
387,9,0,1,15,1,0,0,0,0,0,1,0,1
388,9,0,-1,15,1,0,0,1,-1,0,0,1,1
389,9,0,6,1,1,0,0,1,0,0,0,0,0
390,9,0,-1,3,1,0,0,1,0,1,0,0,0
391,9,0,-1,15,1,0,1,0,0,0,1,0,0
392,9,0,-1,180,1,0,1,0,0,0,1,0,2
393,9,0,1,180,1,0,1,1,-1,1,0,1,1
394,9,0,-14,5,1,0,1,1,0,-1,0,0,0
395,9,0,-1,2,1,0,1,1,0,1,0,0,0
396,9,0,1,36,1,0,1,1,0,2,0,0,0
397,9,0,1,180,1,0,2,0,0,0,1,0,1
398,9,0,7,30,1,0,2,1,0,0,0,0,0
399,9,1,1,75,0,0,0,1,-1,-1,1,1,2
400,9,1,1,900,0,0,0,1,-1,-1,1,1,4
401,9,1,-1,75,0,0,0,1,-1,-2,1,1,3
402,9,1,-1,900,0,0,0,1,-1,0,1,1,3
403,9,1,-16,25,0,0,0,1,0,-1,1,0,1
404,9,1,16,25,0,0,0,1,0,0,1,0,0
405,9,1,1,15,0,0,0,1,0,0,1,0,1
406,9,1,4,75,0,0,0,1,0,0,1,0,2
407,9,1,-1,15,0,0,0,1,0,1,1,0,0
408,9,1,-4,75,0,0,0,1,0,1,1,0,1
409,9,1,-1,180,0,0,0,1,0,1,1,0,2
410,9,1,1,180,0,0,0,1,0,2,1,0,1
411,9,1,14,25,0,0,0,2,-1,-1,0,1,1
412,9,1,7,150,0,0,0,2,-1,-1,0,1,3
413,9,1,-14,25,0,0,0,2,-1,-3,0,1,3
414,9,1,-7,150,0,0,0,2,-1,1,0,1,1
415,9,1,-1,15,1,0,0,0,0,0,1,0,1
416,9,1,1,15,1,0,0,1,-1,-2,0,1,3
417,9,1,-6,1,1,0,0,1,0,0,0,0,0
418,9,1,1,3,1,0,0,1,0,1,0,0,0
419,9,1,1,15,1,0,1,0,0,0,1,0,0
420,9,1,1,180,1,0,1,0,0,0,1,0,2
421,9,1,-1,15,1,0,1,1,-1,-1,0,1,1
422,9,1,-1,180,1,0,1,1,-1,-1,0,1,3
423,9,1,6,1,1,0,1,1,0,-1,0,0,0
424,9,1,-1,3,1,0,1,1,0,0,0,0,0
425,9,1,1,2,1,0,1,1,0,1,0,0,0
426,9,1,-1,36,1,0,1,1,0,2,0,0,0
427,9,1,-1,180,1,0,2,0,0,0,1,0,1
428,9,1,1,180,1,0,2,1,-1,0,0,1,1
429,9,1,-1,2,1,0,2,1,0,0,0,0,0
430,9,1,1,36,1,0,2,1,0,1,0,0,0
431,10,0,16,25,0,0,0,1,0,-1,1,0,1
432,10,0,-16,25,0,0,0,1,0,0,1,0,0
433,10,0,-1,15,0,0,0,1,0,0,1,0,1
434,10,0,-4,75,0,0,0,1,0,0,1,0,2
435,10,0,1,15,0,0,0,1,0,1,1,0,0
436,10,0,4,75,0,0,0,1,0,1,1,0,1
437,10,0,1,180,0,0,0,1,0,1,1,0,2
438,10,0,-1,180,0,0,0,1,0,2,1,0,1
439,10,0,14,25,0,0,0,2,-1,-1,0,1,1
440,10,0,-14,25,0,0,0,2,-1,0,0,1,0
441,10,0,-7,150,0,0,0,2,-1,1,0,1,1
442,10,0,7,150,0,0,0,2,-1,2,0,1,0
443,10,0,1,15,1,0,0,0,0,0,1,0,1
444,10,0,-1,15,1,0,0,1,-1,0,0,1,1
445,10,0,6,1,1,0,0,1,0,0,0,0,0
446,10,0,-1,3,1,0,0,1,0,1,0,0,0
447,10,0,-1,15,1,0,1,0,0,0,1,0,0
448,10,0,-1,180,1,0,1,0,0,0,1,0,2
449,10,0,1,15,1,0,1,1,-1,0,0,1,0
450,10,0,1,180,1,0,1,1,-1,1,0,1,1
451,10,0,-6,1,1,0,1,1,0,-1,0,0,0
452,10,0,1,3,1,0,1,1,0,0,0,0,0
453,10,0,-1,2,1,0,1,1,0,1,0,0,0
454,10,0,1,36,1,0,1,1,0,2,0,0,0
455,10,0,1,180,1,0,2,0,0,0,1,0,1
456,10,0,-1,180,1,0,2,1,-1,1,0,1,0
457,10,0,1,2,1,0,2,1,0,0,0,0,0
458,10,0,-1,36,1,0,2,1,0,1,0,0,0
459,10,1,1,75,0,0,0,1,-1,-1,1,1,2
460,10,1,1,900,0,0,0,1,-1,-1,1,1,4
461,10,1,-1,75,0,0,0,1,-1,-2,1,1,3
462,10,1,-1,900,0,0,0,1,-1,0,1,1,3
463,10,1,-16,25,0,0,0,1,0,-1,1,0,1
464,10,1,16,25,0,0,0,1,0,0,1,0,0
465,10,1,1,15,0,0,0,1,0,0,1,0,1
466,10,1,4,75,0,0,0,1,0,0,1,0,2
467,10,1,-1,15,0,0,0,1,0,1,1,0,0
468,10,1,-4,75,0,0,0,1,0,1,1,0,1
469,10,1,-1,180,0,0,0,1,0,1,1,0,2
470,10,1,1,180,0,0,0,1,0,2,1,0,1
471,10,1,14,25,0,0,0,2,-1,-1,0,1,1
472,10,1,7,150,0,0,0,2,-1,-1,0,1,3
473,10,1,-14,25,0,0,0,2,-1,-3,0,1,3
474,10,1,-7,150,0,0,0,2,-1,1,0,1,1
