state_id,sample_count,sum_value,outgoing_edge_count,current_average_num,current_average_den,expected_next_average_num_digits,expected_next_average_den_digits,expected_next_average_num_mod_1000000007,expected_next_average_den_mod_1000000007,expected_next_average_num_mod_1000000009,expected_next_average_den_mod_1000000009,drift_num_digits,drift_den_digits,drift_num_mod_1000000007,drift_den_mod_1000000007,drift_num_mod_1000000009,drift_den_mod_1000000009,abs_drift_num_digits,abs_drift_den_digits,abs_drift_num_mod_1000000007,abs_drift_den_mod_1000000007,abs_drift_num_mod_1000000009,abs_drift_den_mod_1000000009,source_probability_num_digits,source_probability_den_digits,source_probability_num_mod_1000000007,source_probability_den_mod_1000000007,source_probability_num_mod_1000000009,source_probability_den_mod_1000000009,drift_sign,eventual_cone_flag,boundary_defect_flag
81,9,1,3,1,9,11,11,952115549,361350542,952115529,361350474,11,12,207689343,252154857,207689215,252154239,11,12,207689343,252154857,207689215,252154239,3,9,768,214774897,768,214774897,1,1,0
82,9,2,2,2,9,11,12,889975012,84051619,889974918,84051413,11,12,947223945,252154857,947223797,252154239,11,12,947223945,252154857,947223797,252154239,4,9,1152,214774897,1152,214774897,1,1,0
83,9,3,3,1,3,12,12,426485921,504309714,426485193,504308478,12,12,258382683,504309714,258382367,504308478,12,12,258382683,504309714,258382367,504308478,4,9,1728,214774897,1728,214774897,1,1,0
84,9,4,2,4,9,13,13,823475951,512929135,823473291,512925425,12,13,151062999,512929135,151061987,512925425,12,13,151062999,512929135,151061987,512925425,4,9,2592,214774897,2592,214774897,1,1,0
85,9,5,2,5,9,13,13,101063311,538787398,101054103,538776266,13,13,579514762,538787398,579511740,538776266,13,13,579514762,538787398,579511740,538776266,4,9,3888,214774897,3888,214774897,1,1,0
86,9,6,2,2,3,13,13,443667927,923272443,443661691,923265765,12,13,828152972,923272443,828151190,923265765,12,13,828152972,923272443,828151190,923265765,4,9,5832,214774897,5832,214774897,1,1,0
87,9,7,2,7,9,14,14,446954457,849086554,446850445,848986358,14,14,675442699,849086554,675416619,848986358,14,14,675442699,849086554,675416619,848986358,4,9,8748,214774897,8748,214774897,1,1,0
88,9,8,1,8,9,2,2,11,10,11,10,2,2,19,90,19,90,2,2,19,90,19,90,5,9,13122,214774897,13122,214774897,1,1,0
89,9,9,2,1,1,15,15,213049745,410444736,212782913,410219292,14,15,802605016,410444736,802563630,410219292,14,15,802605016,410444736,802563630,410219292,5,9,19683,214774897,19683,214774897,1,1,0
90,9,10,2,10,9,14,14,185741423,68407456,185695157,68369882,13,14,665288698,68407456,665284182,68369882,13,14,665288698,68407456,665284182,68369882,5,9,52488,214774897,52488,214774897,1,1,0
91,9,11,2,11,9,14,14,205902876,712271642,205870018,712246594,13,14,224237542,712271642,224235300,712246594,13,14,224237542,712271642,224235300,712246594,6,9,139968,214774897,139968,214774897,1,1,0
92,9,12,2,4,3,13,13,609366350,452045276,609360488,452041102,12,13,339972651,452045276,339972355,452041102,12,13,339972651,452045276,339972355,452041102,6,9,373248,214774897,373248,214774897,1,1,0
93,9,13,2,13,9,12,12,947101690,326939372,947100856,326938816,11,12,919300378,326939372,919300348,326938816,11,12,919300378,326939372,919300348,326938816,6,9,995328,214774897,995328,214774897,1,1,0
94,9,14,2,14,9,12,12,243525175,939116148,243524433,939115686,11,12,449344512,939116148,449344492,939115686,11,12,449344512,939116148,449344492,939115686,7,9,2654208,214774897,2654208,214774897,1,1,0
