shell,h2_basis_index,c2_support_size,public_profile_actor_support_size,public_profile_actor_zero,public_profile_ids_parity
12,86,4,4,False,"4053,4104,4588,4590"
12,87,2,2,False,"1109,1110"
12,88,4,4,False,"6,7,1103,1110"
12,89,4,4,False,"975,977,1478,1481"
12,90,4,4,False,"975,977,1480,1481"
12,91,4,4,False,"975,977,1481,1482"
12,92,6,6,False,"624,625,975,992,1481,1499"
12,93,4,4,False,"975,992,1481,1497"
12,94,6,6,False,"624,633,975,992,1481,1508"
12,95,8,8,False,"367,368,624,633,975,992,1481,1509"
12,96,8,8,False,"367,372,624,633,975,992,1481,1514"
12,97,10,10,False,"214,218,367,372,624,633,975,992,1481,1518"
12,98,14,14,False,"41,42,113,115,214,218,367,372,624,633,975,992,1481,1521"
12,99,4,4,False,"3741,3797,4588,4590"
12,100,4,4,False,"6,7,1643,1644"
12,101,6,6,False,"6,7,3709,3768,4588,4590"
12,102,6,6,False,"6,7,3728,3768,4588,4590"
12,103,4,4,False,"6,7,3794,3797"
12,104,2,2,False,"1996,1998"
12,105,4,4,False,"3736,3797,4588,4590"
12,106,4,4,False,"3745,3797,4588,4590"
12,107,4,4,False,"6,7,3768,3783"
12,108,2,2,False,"1994,1995"
12,109,2,2,False,"3768,3780"
12,110,2,2,False,"1993,1994"
12,111,4,4,False,"6,7,3768,3776"
12,112,6,6,False,"6,7,3725,3768,4588,4590"
12,113,2,2,False,"3797,3798"
12,114,4,4,False,"1962,1964,1994,1998"
12,115,2,2,False,"3764,3768"
12,116,2,2,False,"1951,1964"
12,117,6,6,False,"6,7,3719,3768,4588,4590"
12,118,6,6,False,"6,7,3710,3768,4588,4590"
12,119,6,6,False,"6,7,3721,3768,4588,4590"
12,120,2,2,False,"3762,3768"
12,121,2,2,False,"1948,1964"
12,122,6,6,False,"6,7,3722,3768,4588,4590"
12,123,4,4,False,"6,7,3791,3797"
12,124,4,4,False,"1964,1966,1994,1998"
12,125,4,4,False,"3740,3797,4588,4590"
12,126,4,4,False,"1459,1460,2031,2033"
12,127,4,4,False,"1451,1460,2029,2031"
12,128,4,4,False,"1452,1460,2031,2032"
12,129,2,2,False,"2030,2031"
12,130,4,4,False,"1964,1994,2003,2031"
12,131,4,4,False,"1964,1994,2007,2031"
12,132,4,4,False,"1460,1481,2031,2051"
12,133,6,6,False,"975,977,1460,1481,2031,2049"
12,134,6,6,False,"1460,1481,1964,1994,2031,2037"
12,135,8,8,False,"975,977,1460,1481,1964,1994,2031,2034"
12,136,6,6,False,"975,992,1460,1481,2031,2060"
12,137,8,8,False,"975,992,1460,1481,1964,1994,2031,2052"
12,138,8,8,False,"975,992,1460,1481,1964,1994,2031,2053"
12,139,8,8,False,"624,633,975,992,1460,1481,2031,2066"
12,140,12,12,False,"367,368,624,633,975,992,1460,1481,1964,1994,2031,2063"
12,141,10,10,False,"624,633,975,992,1460,1481,1964,1994,2031,2062"
12,142,8,8,False,"624,639,975,992,1460,1481,2031,2070"
12,143,12,12,False,"367,372,624,633,975,992,1460,1481,1964,1994,2031,2068"
12,144,8,8,False,"624,643,975,992,1460,1481,2031,2073"
12,145,14,14,False,"214,218,367,372,624,633,975,992,1460,1481,1964,1994,2031,2072"
12,146,4,4,False,"3311,3378,4588,4590"
12,147,4,4,False,"6,7,2241,2242"
12,148,2,2,False,"2240,2242"
12,149,4,4,False,"6,7,3335,3368"
12,150,4,4,False,"6,7,3314,3326"
12,151,4,4,False,"2559,2561,2566,2567"
12,152,4,4,False,"3269,3326,4588,4590"
12,153,2,2,False,"3331,3368"
12,154,2,2,False,"2554,2561"
12,155,2,2,False,"3344,3368"
12,156,2,2,False,"2558,2561"
12,157,2,2,False,"3352,3368"
12,158,2,2,False,"2556,2561"
12,159,6,6,False,"6,7,3296,3368,4588,4590"
12,160,6,6,False,"6,7,3295,3368,4588,4590"
12,161,6,6,False,"6,7,3285,3368,4588,4590"
12,162,4,4,False,"6,7,3357,3368"
12,163,2,2,False,"2560,2561"
12,164,2,2,False,"3316,3326"
12,165,4,4,False,"3270,3326,4588,4590"
12,166,4,4,False,"3236,3326,4586,4590"
12,167,2,2,False,"3329,3368"
12,168,4,4,False,"2534,2551,2566,2567"
12,169,6,6,False,"6,7,3282,3368,4588,4590"
12,170,6,6,False,"6,7,3281,3368,4588,4590"
12,171,6,6,False,"6,7,3246,3368,4586,4590"
12,172,6,6,False,"6,7,3275,3368,4588,4590"
12,173,6,6,False,"6,7,3279,3368,4588,4590"
12,174,4,4,False,"1994,1998,2611,2612"
12,175,6,6,False,"1994,1998,2561,2566,2604,2612"
12,176,6,6,False,"1994,1998,2561,2566,2603,2612"
12,177,6,6,False,"1994,1998,2551,2567,2600,2612"
12,178,6,6,False,"1459,1460,1998,2031,2612,2641"
12,179,4,4,False,"1998,2031,2612,2640"
12,180,6,6,False,"1998,2031,2561,2566,2612,2636"
12,181,8,8,False,"1452,1460,1998,2031,2561,2566,2612,2638"
12,182,8,8,False,"1451,1460,1998,2031,2561,2566,2612,2634"
12,183,6,6,False,"1998,2031,2561,2566,2612,2637"
12,184,8,8,False,"1451,1460,1998,2031,2551,2567,2612,2632"
12,185,6,6,False,"1998,2031,2551,2567,2612,2618"
12,186,6,6,False,"1460,1481,1998,2031,2612,2654"
12,187,10,10,False,"975,977,1460,1481,1998,2031,2561,2566,2612,2651"
12,188,8,8,False,"1460,1481,1998,2031,2561,2566,2612,2653"
12,189,10,10,False,"975,977,1460,1481,1998,2031,2551,2567,2612,2650"
12,190,10,10,False,"624,625,975,992,1460,1481,1998,2031,2612,2662"
12,191,10,10,False,"975,992,1460,1481,1998,2031,2561,2566,2612,2660"
12,192,10,10,False,"975,992,1460,1481,1998,2031,2551,2567,2612,2659"
12,193,10,10,False,"624,634,975,992,1460,1481,1998,2031,2612,2667"
12,194,12,12,False,"624,633,975,992,1460,1481,1998,2031,2561,2566,2612,2665"
12,195,14,14,False,"367,368,624,633,975,992,1460,1481,1998,2031,2551,2567,2612,2664"
12,196,10,10,False,"624,640,975,992,1460,1481,1998,2031,2612,2670"
12,197,12,12,False,"624,639,975,992,1460,1481,1998,2031,2561,2566,2612,2669"
12,198,14,14,False,"367,372,624,633,975,992,1460,1481,1998,2031,2551,2567,2612,2668"
12,199,4,4,False,"2769,2845,4588,4590"
12,200,4,4,False,"6,7,2844,2845"
12,201,2,2,False,"3077,3079"
12,202,4,4,False,"6,7,2846,2849"
12,203,4,4,False,"6,7,2810,2816"
12,204,2,2,False,"3076,3078"
12,205,4,4,False,"6,7,2787,2810"
12,206,6,6,False,"6,7,2742,2810,4588,4590"
12,207,4,4,False,"6,7,2810,2814"
12,208,2,2,False,"3061,3062"
12,209,4,4,False,"6,7,2826,2845"
12,210,4,4,False,"3050,3061,3076,3079"
12,211,4,4,False,"2764,2845,4588,4590"
12,212,4,4,False,"2768,2845,4588,4590"
12,213,4,4,False,"6,7,2819,2845"
12,214,4,4,False,"3048,3061,3076,3079"
12,215,4,4,False,"6,7,2836,2845"
12,216,4,4,False,"3058,3061,3076,3079"
12,217,4,4,False,"2566,2568,3127,3128"
12,218,2,2,False,"3126,3127"
12,219,4,4,False,"2566,2567,3125,3127"
12,220,4,4,False,"3061,3076,3108,3127"
12,221,4,4,False,"3061,3076,3110,3127"
12,222,4,4,False,"3061,3076,3115,3127"
12,223,4,4,False,"2566,2612,3127,3159"
12,224,6,6,False,"1994,1998,2566,2612,3127,3157"
12,225,4,4,False,"2566,2612,3127,3158"
12,226,8,8,False,"1994,1998,2566,2612,3061,3076,3127,3144"
12,227,8,8,False,"1994,1998,2566,2612,3061,3076,3127,3150"
12,228,6,6,False,"2566,2612,3061,3076,3127,3152"
12,229,6,6,False,"1998,2031,2566,2612,3127,3175"
12,230,8,8,False,"1459,1460,1998,2031,2566,2612,3127,3176"
12,231,8,8,False,"1998,2031,2566,2612,3061,3076,3127,3170"
12,232,8,8,False,"1460,1481,1998,2031,2566,2612,3127,3184"
12,233,10,10,False,"1460,1481,1998,2031,2566,2612,3061,3076,3127,3182"
12,234,12,12,False,"624,625,975,992,1460,1481,1998,2031,2566,2612,3127,3189"
12,235,12,12,False,"975,992,1460,1481,1998,2031,2566,2612,3061,3076,3127,3187"
12,236,12,12,False,"624,634,975,992,1460,1481,1998,2031,2566,2612,3127,3192"
12,237,14,14,False,"624,633,975,992,1460,1481,1998,2031,2566,2612,3061,3076,3127,3191"
12,238,4,4,False,"2151,2210,4588,4590"
12,239,4,4,False,"6,7,2195,2210"
12,240,2,2,False,"3505,3509"
12,241,4,4,False,"6,7,2210,2225"
12,242,2,2,False,"3508,3509"
12,243,2,2,False,"2210,2214"
12,244,2,2,False,"3506,3509"
12,245,4,4,False,"6,7,2210,2218"
12,246,2,2,False,"3504,3509"
12,247,4,4,False,"6,7,2203,2210"
12,248,2,2,False,"3509,3513"
12,249,2,2,False,"2210,2219"
12,250,2,2,False,"3509,3510"
12,251,4,4,False,"6,7,3371,3374"
12,252,2,2,False,"2206,2210"
12,253,4,4,False,"2140,2210,4588,4590"
12,254,4,4,False,"6,7,2229,2238"
12,255,4,4,False,"3492,3493,3507,3509"
12,256,4,4,False,"6,7,2197,2210"
12,257,2,2,False,"3465,3493"
12,258,4,4,False,"2152,2210,4588,4590"
12,259,4,4,False,"2144,2210,4588,4590"
12,260,2,2,False,"2231,2238"
12,261,4,4,False,"3493,3495,3507,3509"
12,262,6,6,False,"6,7,2165,2238,4588,4590"
12,263,4,4,False,"6,7,2179,2210"
12,264,2,2,False,"3487,3493"
12,265,4,4,False,"2137,2210,4588,4590"
12,266,4,4,False,"2139,2210,4588,4590"
12,267,4,4,False,"6,7,2184,2210"
12,268,2,2,False,"3475,3493"
12,269,4,4,False,"6,7,2210,2220"
12,270,2,2,False,"3489,3493"
12,271,4,4,False,"2162,2210,4588,4590"
12,272,2,2,False,"2188,2210"
12,273,2,2,False,"3493,3494"
12,274,4,4,False,"3076,3079,3557,3560"
12,275,2,2,False,"3557,3561"
12,276,2,2,False,"3555,3557"
12,277,4,4,False,"3076,3079,3556,3557"
12,278,4,4,False,"3076,3079,3557,3558"
12,279,6,6,False,"3076,3079,3493,3509,3538,3557"
12,280,4,4,False,"3493,3509,3531,3557"
12,281,6,6,False,"3076,3079,3493,3509,3540,3557"
12,282,4,4,False,"3493,3509,3542,3557"
12,283,4,4,False,"3076,3127,3557,3594"
12,284,6,6,False,"2566,2567,3076,3127,3557,3595"
12,285,4,4,False,"3076,3127,3557,3590"
12,286,4,4,False,"3076,3127,3557,3593"
12,287,6,6,False,"2566,2568,3076,3127,3557,3591"
12,288,6,6,False,"3076,3127,3493,3509,3557,3579"
12,289,6,6,False,"3076,3127,3493,3509,3557,3574"
12,290,6,6,False,"3076,3127,3493,3509,3557,3576"
12,291,6,6,False,"3076,3127,3493,3509,3557,3578"
12,292,8,8,False,"1994,1998,2566,2612,3076,3127,3557,3612"
12,293,6,6,False,"2566,2612,3076,3127,3557,3611"
12,294,6,6,False,"2566,2612,3076,3127,3557,3613"
12,295,10,10,False,"1994,1998,2566,2612,3076,3127,3493,3509,3557,3602"
12,296,10,10,False,"1994,1998,2566,2612,3076,3127,3493,3509,3557,3608"
12,297,8,8,False,"1998,2031,2566,2612,3076,3127,3557,3623"
12,298,10,10,False,"1459,1460,1998,2031,2566,2612,3076,3127,3557,3624"
12,299,10,10,False,"1998,2031,2566,2612,3076,3127,3493,3509,3557,3620"
12,300,12,12,False,"1451,1460,1998,2031,2566,2612,3076,3127,3493,3509,3557,3621"
12,301,10,10,False,"1460,1481,1998,2031,2566,2612,3076,3127,3557,3629"
12,302,14,14,False,"975,977,1460,1481,1998,2031,2566,2612,3076,3127,3493,3509,3557,3627"
12,303,14,14,False,"624,625,975,992,1460,1481,1998,2031,2566,2612,3076,3127,3557,3632"
12,304,14,14,False,"975,992,1460,1481,1998,2031,2566,2612,3076,3127,3493,3509,3557,3631"
12,305,4,4,False,"1583,1627,4588,4590"
12,306,4,4,False,"6,7,1617,1627"
12,307,2,2,False,"3837,3842"
12,308,4,4,False,"6,7,1627,1635"
12,309,2,2,False,"3842,3843"
12,310,4,4,False,"6,7,1604,1627"
12,311,2,2,False,"3838,3842"
12,312,2,2,False,"1627,1638"
12,313,2,2,False,"3842,3844"
12,314,2,2,False,"3792,3797"
12,315,4,4,False,"6,7,1613,1627"
12,316,2,2,False,"3842,3846"
12,317,2,2,False,"1627,1639"
12,318,2,2,False,"3842,3849"
12,319,4,4,False,"6,7,1627,1633"
12,320,2,2,False,"3839,3842"
12,321,4,4,False,"6,7,1623,1627"
12,322,2,2,False,"3842,3850"
12,323,2,2,False,"1601,1627"
12,324,4,4,False,"1565,1627,4588,4590"
12,325,4,4,False,"6,7,1598,1627"
12,326,2,2,False,"3828,3831"
12,327,4,4,False,"1563,1627,4588,4590"
12,328,4,4,False,"6,7,1607,1627"
12,329,2,2,False,"3817,3831"
12,330,2,2,False,"1606,1627"
12,331,2,2,False,"3822,3831"
12,332,4,4,False,"6,7,1608,1627"
12,333,2,2,False,"3827,3831"
12,334,4,4,False,"6,7,1599,1627"
12,335,2,2,False,"3826,3831"
12,336,2,2,False,"3886,3895"
12,337,4,4,False,"3507,3509,3886,3887"
12,338,4,4,False,"3507,3509,3886,3893"
12,339,2,2,False,"3886,3889"
12,340,2,2,False,"3886,3890"
12,341,2,2,False,"3884,3886"
12,342,4,4,False,"3831,3842,3875,3886"
12,343,4,4,False,"3831,3842,3872,3886"
12,344,4,4,False,"3831,3842,3876,3886"
12,345,4,4,False,"3831,3842,3880,3886"
12,346,4,4,False,"2150,2210,4588,4590"
12,347,4,4,False,"3831,3842,3864,3886"
12,348,6,6,False,"3076,3079,3509,3557,3886,3923"
12,349,6,6,False,"3076,3079,3509,3557,3886,3918"
12,350,6,6,False,"3076,3079,3509,3557,3886,3922"
12,351,4,4,False,"3509,3557,3886,3921"
12,352,4,4,False,"3509,3557,3886,3919"
12,353,6,6,False,"3076,3079,3509,3557,3886,3920"
12,354,6,6,False,"3509,3557,3831,3842,3886,3910"
12,355,6,6,False,"3509,3557,3831,3842,3886,3914"
12,356,8,8,False,"3076,3079,3509,3557,3831,3842,3886,3905"
12,357,6,6,False,"3509,3557,3831,3842,3886,3903"
12,358,6,6,False,"3076,3127,3509,3557,3886,3940"
12,359,6,6,False,"3076,3127,3509,3557,3886,3943"
12,360,6,6,False,"3076,3127,3509,3557,3886,3941"
12,361,10,10,False,"2566,2567,3076,3127,3509,3557,3831,3842,3886,3936"
12,362,8,8,False,"3076,3127,3509,3557,3831,3842,3886,3933"
12,363,8,8,False,"3076,3127,3509,3557,3831,3842,3886,3935"
12,364,10,10,False,"2566,2567,3076,3127,3509,3557,3831,3842,3886,3932"
12,365,8,8,False,"3076,3127,3509,3557,3831,3842,3886,3930"
12,366,10,10,False,"1994,1998,2566,2612,3076,3127,3509,3557,3886,3954"
12,367,8,8,False,"2566,2612,3076,3127,3509,3557,3886,3956"
12,368,8,8,False,"2566,2612,3076,3127,3509,3557,3886,3955"
12,369,12,12,False,"1994,1998,2566,2612,3076,3127,3509,3557,3831,3842,3886,3950"
12,370,12,12,False,"1994,1998,2566,2612,3076,3127,3509,3557,3831,3842,3886,3948"
12,371,12,12,False,"1994,1998,2566,2612,3076,3127,3509,3557,3831,3842,3886,3949"
12,372,10,10,False,"1998,2031,2566,2612,3076,3127,3509,3557,3886,3962"
12,373,12,12,False,"1459,1460,1998,2031,2566,2612,3076,3127,3509,3557,3886,3963"
12,374,14,14,False,"1451,1460,1998,2031,2566,2612,3076,3127,3509,3557,3831,3842,3886,3959"
12,375,12,12,False,"1998,2031,2566,2612,3076,3127,3509,3557,3831,3842,3886,3960"
12,376,12,12,False,"1460,1481,1998,2031,2566,2612,3076,3127,3509,3557,3886,3966"
12,377,16,16,False,"975,977,1460,1481,1998,2031,2566,2612,3076,3127,3509,3557,3831,3842,3886,3965"
12,378,4,4,False,"1060,1096,4588,4590"
12,379,4,4,False,"6,7,1094,1096"
12,380,2,2,False,"4107,4109"
12,381,2,2,False,"1076,1096"
12,382,4,4,False,"6,7,1091,1096"
12,383,2,2,False,"4091,4096"
12,384,4,4,False,"6,7,1079,1096"
12,385,2,2,False,"4090,4096"
12,386,2,2,False,"4108,4110"
12,387,4,4,False,"1069,1114,4588,4590"
12,388,4,4,False,"6,7,1087,1096"
12,389,2,2,False,"4109,4111"
12,390,2,2,False,"1105,1114"
12,391,4,4,False,"4095,4096,4109,4110"
12,392,4,4,False,"6,7,1090,1096"
12,393,2,2,False,"4092,4096"
12,394,4,4,False,"4096,4109,4130,4144"
12,395,4,4,False,"4096,4109,4138,4144"
12,396,4,4,False,"4096,4109,4129,4144"
12,397,4,4,False,"4096,4109,4128,4144"
12,398,2,2,False,"4144,4146"
12,399,2,2,False,"4143,4144"
12,400,4,4,False,"4096,4109,4131,4144"
12,401,4,4,False,"4096,4109,4135,4144"
12,402,4,4,False,"3842,3886,4144,4174"
12,403,6,6,False,"3842,3886,4096,4109,4144,4165"
12,404,6,6,False,"3842,3886,4096,4109,4144,4159"
12,405,6,6,False,"3842,3886,4096,4109,4144,4164"
12,406,6,6,False,"3507,3509,3842,3886,4144,4172"
12,407,4,4,False,"3842,3886,4144,4173"
12,408,8,8,False,"3507,3509,3842,3886,4096,4109,4144,4163"
12,409,6,6,False,"3842,3886,4096,4109,4144,4162"
12,410,6,6,False,"3842,3886,4096,4109,4144,4160"
12,411,6,6,False,"3842,3886,4096,4109,4144,4168"
12,412,8,8,False,"3076,3079,3509,3557,3842,3886,4144,4190"
12,413,8,8,False,"3509,3557,3842,3886,4096,4109,4144,4184"
12,414,8,8,False,"3509,3557,3842,3886,4096,4109,4144,4186"
12,415,10,10,False,"3076,3079,3509,3557,3842,3886,4096,4109,4144,4183"
12,416,8,8,False,"3076,3127,3509,3557,3842,3886,4144,4202"
12,417,10,10,False,"3076,3127,3509,3557,3842,3886,4096,4109,4144,4198"
12,418,10,10,False,"3076,3127,3509,3557,3842,3886,4096,4109,4144,4200"
12,419,10,10,False,"2566,2568,3076,3127,3509,3557,3842,3886,4144,4203"
12,420,12,12,False,"2566,2567,3076,3127,3509,3557,3842,3886,4096,4109,4144,4199"
12,421,10,10,False,"2566,2612,3076,3127,3509,3557,3842,3886,4144,4210"
12,422,14,14,False,"1994,1998,2566,2612,3076,3127,3509,3557,3842,3886,4096,4109,4144,4208"
12,423,12,12,False,"2566,2612,3076,3127,3509,3557,3842,3886,4096,4109,4144,4209"
12,424,14,14,False,"1459,1460,1998,2031,2566,2612,3076,3127,3509,3557,3842,3886,4144,4215"
12,425,14,14,False,"1998,2031,2566,2612,3076,3127,3509,3557,3842,3886,4096,4109,4144,4214"
12,426,4,4,False,"670,690,4588,4590"
12,427,4,4,False,"6,7,690,692"
12,428,2,2,False,"4277,4279"
12,429,2,2,False,"690,702"
12,430,2,2,False,"4279,4280"
12,431,4,4,False,"675,690,4588,4590"
12,432,2,2,False,"690,696"
12,433,2,2,False,"4279,4283"
12,434,4,4,False,"6,7,690,697"
12,435,2,2,False,"4279,4282"
12,436,4,4,False,"6,7,690,695"
12,437,2,2,False,"4276,4279"
12,438,2,2,False,"4300,4304"
12,439,2,2,False,"4299,4300"
12,440,4,4,False,"4109,4110,4300,4303"
12,441,2,2,False,"4300,4302"
12,442,4,4,False,"4109,4144,4300,4321"
12,443,4,4,False,"4109,4144,4300,4319"
12,444,4,4,False,"4109,4144,4300,4320"
12,445,4,4,False,"4109,4144,4300,4324"
12,446,6,6,False,"3842,3886,4109,4144,4300,4334"
12,447,6,6,False,"3842,3886,4109,4144,4300,4337"
12,448,6,6,False,"3842,3886,4109,4144,4300,4335"
12,449,8,8,False,"3509,3557,3842,3886,4109,4144,4300,4344"
12,450,10,10,False,"3076,3079,3509,3557,3842,3886,4109,4144,4300,4346"
12,451,10,10,False,"3076,3079,3509,3557,3842,3886,4109,4144,4300,4345"
12,452,10,10,False,"3076,3127,3509,3557,3842,3886,4109,4144,4300,4351"
12,453,12,12,False,"2566,2568,3076,3127,3509,3557,3842,3886,4109,4144,4300,4352"
12,454,12,12,False,"2566,2612,3076,3127,3509,3557,3842,3886,4109,4144,4300,4355"
12,455,4,4,False,"401,419,4588,4590"
12,456,4,4,False,"6,7,416,419"
12,457,2,2,False,"4393,4396"
12,458,4,4,False,"399,419,4588,4590"
12,459,2,2,False,"4408,4411"
12,460,4,4,False,"4279,4300,4411,4425"
12,461,6,6,False,"4109,4110,4279,4300,4411,4426"
12,462,4,4,False,"4279,4300,4411,4423"
12,463,6,6,False,"4109,4144,4279,4300,4411,4436"
12,464,6,6,False,"4109,4144,4279,4300,4411,4434"
12,465,8,8,False,"3842,3886,4109,4144,4279,4300,4411,4444"
12,466,12,12,False,"3076,3079,3509,3557,3842,3886,4109,4144,4279,4300,4411,4449"
12,467,14,14,False,"2566,2568,3076,3127,3509,3557,3842,3886,4109,4144,4279,4300,4411,4452"
12,468,4,4,False,"236,246,4588,4590"
12,469,4,4,False,"6,7,245,246"
12,470,2,2,False,"4473,4474"
12,471,4,4,False,"237,246,4588,4590"
12,472,2,2,False,"242,246"
12,473,2,2,False,"4482,4483"
12,474,4,4,False,"4472,4474,4481,4483"
12,475,4,4,False,"4396,4411,4483,4492"
12,476,4,4,False,"4396,4411,4483,4491"
12,477,6,6,False,"4396,4411,4472,4474,4483,4489"
12,478,6,6,False,"4279,4300,4396,4411,4483,4500"
12,479,10,10,False,"4109,4110,4279,4300,4396,4411,4472,4474,4483,4498"
12,480,8,8,False,"4279,4300,4396,4411,4472,4474,4483,4497"
12,481,8,8,False,"4109,4144,4279,4300,4396,4411,4483,4506"
12,482,10,10,False,"4109,4144,4279,4300,4396,4411,4472,4474,4483,4504"
12,483,12,12,False,"3507,3509,3842,3886,4109,4144,4279,4300,4396,4411,4483,4511"
12,484,12,12,False,"3842,3886,4109,4144,4279,4300,4396,4411,4472,4474,4483,4509"
12,485,12,12,False,"3509,3559,3842,3886,4109,4144,4279,4300,4396,4411,4483,4514"
12,486,16,16,False,"3076,3079,3509,3557,3842,3886,4109,4144,4279,4300,4396,4411,4472,4474,4483,4513"
12,487,4,4,False,"129,134,4588,4590"
12,488,2,2,False,"132,134"
12,489,4,4,False,"6,7,130,134"
12,490,4,4,False,"4525,4526,4530,4531"
12,491,4,4,False,"4522,4526,4527,4531"
12,492,4,4,False,"4474,4483,4531,4537"
12,493,6,6,False,"4474,4483,4525,4526,4531,4536"
12,494,6,6,False,"4474,4483,4522,4526,4531,4533"
12,495,6,6,False,"4396,4411,4474,4483,4531,4542"
12,496,8,8,False,"4396,4411,4474,4483,4525,4526,4531,4541"
12,497,8,8,False,"4396,4411,4474,4483,4522,4526,4531,4538"
12,498,10,10,False,"4109,4110,4279,4300,4396,4411,4474,4483,4531,4547"
12,499,10,10,False,"4279,4300,4396,4411,4474,4483,4525,4526,4531,4546"
12,500,10,10,False,"4279,4300,4396,4411,4474,4483,4522,4526,4531,4543"
12,501,12,12,False,"3842,3852,4109,4144,4279,4300,4396,4411,4474,4483,4531,4551"
12,502,12,12,False,"4109,4144,4279,4300,4396,4411,4474,4483,4525,4526,4531,4550"
12,503,12,12,False,"4109,4144,4279,4300,4396,4411,4474,4483,4522,4526,4531,4548"
12,504,16,16,False,"3507,3509,3842,3886,4109,4144,4279,4300,4396,4411,4474,4483,4525,4526,4531,4553"
12,505,14,14,False,"3842,3886,4109,4144,4279,4300,4396,4411,4474,4483,4522,4526,4531,4552"
12,506,4,4,False,"55,58,4588,4590"
12,507,4,4,False,"6,7,57,58"
12,508,4,4,False,"4557,4559,4560,4562"
12,509,4,4,False,"4526,4531,4562,4565"
12,510,6,6,False,"4526,4531,4557,4559,4562,4563"
12,511,6,6,False,"4474,4483,4526,4531,4562,4568"
12,512,8,8,False,"4474,4483,4526,4531,4557,4559,4562,4566"
12,513,8,8,False,"4396,4411,4474,4483,4526,4531,4562,4571"
12,514,10,10,False,"4396,4411,4474,4483,4526,4531,4557,4559,4562,4570"
